"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 RC 2 FSM 0 DM 1 LT 1 UPC 1E-05","2.085E-08","0.8511","1203","All",1,0.999907,9.31452E-05,0.5,6.4501E-7,6.45008E-07,1,9.31452E-05,1.00038E-05,4.5,1.63488,0.851129,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.4375,0.345759,,,4.30611E-07,,,,,1.11407E-07,0,1.03E-07,0.446338,9.99991,9.99998,19.9999,0.000109847,1000,1000,3.53401E-07,2.1414E-7,2.2904E-5,2.3118E-05,1.45773E-07,2.28921E-05,9.94902E-05,9.98436E-05,1.63488E-05,8.31415E-05,2.0226E-05,6.29155E-05,0,4.30611E-7,0.4375,1.11407E-07,0,0,0.246168,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.45008E-7,6.45008E-07,0.999999,0,4.30611E-07,1.11407E-07,0,5.70219E-8,4.5969E-8
"MODRA CM 1 RC 2 FSM 0 DM 1 LT 1 UPC 1E-05","2.085E-08","0.8511","1203","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,4.50002,1.63488,0.851131,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.63488E-05,1000,1000,0,0,0,0,0,0,1.63488E-05,1.63488E-05,1.63488E-05,0,0,0,0,0,,0,0,0,,0,-2.58316E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 1 RC 2 FSM 0 DM 1 LT 1 UPC 1E-05","2.085E-08","0.8511","1203","DisputeArises",9.3E-5,0,1,0.478601,0.0069248,0.00692475,1,1,0.1074,4.32881,1.5999,0.836283,0.150153,0.137669,0.126354,0.118809,0.114389,0.113482,0.11697,0.122174,1,1,0.4375,0.345759,,,0.004623,,,,,0.00119605,0,0.001106,0.446338,9.00022,9.99597,18.9962,1.00381,998.807,999.996,0.00379409,0.0022989,0.245894,0.248193,0.00156501,0.245768,0.892616,0.896411,1.5999E-05,0.8926,0.217145,0.675456,0,0.004623,0.4375,0.00119605,0,0,0.246168,0,0.02773,0.11177,0.136315,0.14159,0.137017,0.1323,0.128468,0.11826,0.09428,0.11351,0.139576,0.147012,0.13255,0.129321,0.126742,0.117389,0.0938989,0.00692475,0.00692475,0.993075,0,0.004623,0.00119605,0,0.00061218,0.0004935
"MODRA CM 1 RC 2 FSM 0 DM 1 LT 1 UPC 1E-05","2.085E-08","0.8511","1203","PFiles",6.5E-7,0,1,0.586563,1,1,1,1,0.101114,5.19251,1,1.00303,0.00232543,0.0150119,0.0701314,0.200792,0.309897,0.250929,0.115769,0.0351435,1,1,0.4375,0.345759,,,0.667605,,,,,0.172721,0,0.159673,0.446338,9.03141,9.42068,18.4521,1.54791,998.686,999.484,0.547902,0.33199,0.362312,0.694302,0.226002,0.344164,0.898896,1.4468,1E-05,0.898886,0.360673,0.538213,0,0.667605,0.4375,0.172721,0,0,0.401842,0,4.94089,0,0,0,0,0,0,0.473203,0.526797,0.0816933,0.250701,0.667605,0,0,0,0,0,1,1,0,0,0.667605,0.172721,0,0.088405,0.0712683
"MODRA CM 1 RC 2 FSM 0 DM 1 LT 1 UPC 1E-05","2.085E-08","0.8511","1203","DAnswers",6.5E-7,0,1,0.586563,1,1,1,1,0.101114,5.19251,1,1.00303,0.00232543,0.0150119,0.0701314,0.200792,0.309897,0.250929,0.115769,0.0351435,1,1,0.4375,0.345759,,,0.667605,,,,,0.172721,0,0.159673,0.446338,9.03141,9.42068,18.4521,1.54791,998.686,999.484,0.547902,0.33199,0.362312,0.694302,0.226002,0.344164,0.898896,1.4468,1E-05,0.898886,0.360673,0.538213,0,0.667605,0.4375,0.172721,0,0,0.401842,0,4.94089,0,0,0,0,0,0,0.473203,0.526797,0.0816933,0.250701,0.667605,0,0,0,0,0,1,1,0,0,0.667605,0.172721,0,0.088405,0.0712683
"MODRA CM 1 RC 2 FSM 0 DM 1 LT 1 UPC 1E-05","2.085E-08","0.8511","1203","Litigated",6.5E-7,0,1,0.586563,1,1,1,1,0.101114,5.19251,1,1.00303,0.00232543,0.0150119,0.0701314,0.200792,0.309897,0.250929,0.115769,0.0351435,1,1,0.4375,0.345759,,,0.667605,,,,,0.172721,0,0.159673,0.446338,9.03141,9.42068,18.4521,1.54791,998.686,999.484,0.547902,0.33199,0.362312,0.694302,0.226002,0.344164,0.898896,1.4468,1E-05,0.898886,0.360673,0.538213,0,0.667605,0.4375,0.172721,0,0,0.401842,0,4.94089,0,0,0,0,0,0,0.473203,0.526797,0.0816933,0.250701,0.667605,0,0,0,0,0,1,1,0,0,0.667605,0.172721,0,0.088405,0.0712683
"MODRA CM 1 RC 2 FSM 0 DM 1 LT 1 UPC 1E-05","2.085E-08","0.8511","1203","Not Litigated",1,0.999907,9.25003E-05,0.5,0,0,1,9.25003E-05,9.93854E-06,4.5,1.63488,0.851129,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99998,19.9999,0.000108849,1000,1000,0,0,2.267E-05,2.26702E-5,0,2.26702E-05,9.89105E-05,9.89105E-05,1.63488E-05,8.25617E-05,1.99934E-05,6.25684E-05,0,0,,0,0,0,0.245082,0,-3.18691E-06,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"MODRA CM 1 RC 2 FSM 0 DM 1 LT 1 UPC 1E-05","2.085E-08","0.8511","1203","Settles",4.3E-7,0,1,0.621226,1,1,1,1,0.101412,5.46981,1,1.03155,0.000476107,0.00542713,0.0399388,0.159571,0.309297,0.290565,0.147298,0.0474275,1,1,0.4375,0.4375,,,1,,,,,0,0,0,,9.1375,9.36249,18.5,1.50001,999.139,999.519,0.5,0.328128,0.418563,0.74669,0.209181,0.36101,0.898598,1.3986,1E-05,0.898588,0.435555,0.463034,0,1,0.4375,0,0,0,0.48529,0,4.54991,0,0,0,0,0,0,0.450089,0.549911,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"MODRA CM 1 RC 2 FSM 0 DM 1 LT 1 UPC 1E-05","2.085E-08","0.8511","1203","Tried",1E-07,0,1,0.559904,1,1,1,1,0.100893,4.97923,1,0.981791,0.0018838,0.0154073,0.0823825,0.240208,0.33721,0.225497,0.0797684,0.0176436,1,1,0.4375,0.163743,,,0,,,,,0,0,1,0.446338,8.94634,9.25365,18.2,1.80001,997.885,998.877,0.8,0.523855,0.30492,0.828775,0.50412,0.367658,0.899117,1.69912,1E-05,0.899107,0.289859,0.609248,0,0,,0,0,0,0.322909,0,6.22419,0,0,0,0,0,0,0,1,0.224186,0.775814,0,0,0,0,0,0,1,1,0,0,0,0,0,0.553662,0.446338
"MODRA CM 1 RC 2 FSM 0 DM 1 LT 1 UPC 1E-05","2.085E-08","0.8511","1203","PWins",4.6E-8,0,1,0.591719,1,1,1,1,0.101166,5.23375,1,1.00803,0.000704331,0.00754049,0.0527791,0.196755,0.340187,0.268527,0.107546,0.0259617,1,1,0.4375,0.166188,,,0,,,,,0,0,1,1,9.5,8.69999,18.2,1.80001,999.679,997.675,0.8,0.897966,0.201017,1.09898,1.04675,0.100508,0.898844,1.69884,1E-05,0.898834,0.360871,0.537963,0,0,,0,0,0,0.402034,0,6.20066,0,0,0,0,0,0,0,1,0.200655,0.799345,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
