Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000003799,0,0,0,0.05,0.025,0.05,0.075,0.2
0.000023016,0,0,1,0.05,0.025,0.05,0.075,1.2
0.000014979,0,1,0,0.05,0.025,0.05,0.075,1.2
0.634806333,0,0,0,0,0,0,0,0
0.000002549,0,0,0,0.05,0.025,0.05,0,0.125
0.000024193,0,0,1,0.05,0.025,0.05,0,1.125
0.000001300,0,1,0,0.05,0.025,0.05,0,1.125
0.135095554,3E-05,0,0,0,0,0,0,3E-05
0.000001344,3E-05,0,1,0,0,0,0,1.00003
0.000001172,3E-05,0,0,0.05,0.025,0.05,0,0.12503
0.000006218,3E-05,0,1,0.05,0.025,0.05,0,1.12503
0.000001579,3E-05,1,0,0.05,0.025,0.05,0,1.12503
0.000001718,1E-05,0,0,0.05,0.025,0.05,0,0.12501
0.000002141,1E-05,0,1,0.05,0.025,0.05,0,1.12501
0.000012865,1E-05,1,0,0.05,0.025,0.05,0,1.12501
0.000000584,1E-05,0,0,0.05,0.025,0.05,0.075,0.20001
0.000000047,1E-05,0,1,0.05,0.025,0.05,0.075,1.20001
0.000005012,1E-05,1,0,0.05,0.025,0.05,0.075,1.20001
0.229995597,1E-05,0,0,0,0,0,0,1E-05
