"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 WA 0.0001 DM 2","7.064E-07","0.9736","308","All",1,0.999835,0.000165318,0.5,0.0001653,0.000165318,1,0.000165318,9.99954E-05,4.5,4,0.592442,0.125002,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125002,1,1,0.062501,0.062501,,,0.000165318,,,,,8.88715E-11,3.74629E-17,1.44E-10,0.115208,9.99985,9.99993,19.9998,0.00022185,1000,1000,1.65318E-05,2.8931E-5,6.579E-12,2.89309E-5,5.06324E-06,1.69767E-12,0.000105323,0.000121855,4.00002E-05,6.53227E-05,2.22856E-11,6.53227E-05,0,0.00016532,0.125001,8.88715E-11,3.74629E-17,1.77814E-17,2.90025E-07,0,-1.78489E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00016532,0.000165318,0.999835,3.30768E-11,0.000165318,8.88715E-11,3.74629E-17,1.2774E-10,1.663E-11
"MODRA CM 0.25 WA 0.0001 DM 2","7.064E-07","0.9736","308","NoDispute",0.9998,1,0,0.500003,0,0,1,0,0,4.50002,4,0.592444,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.00002E-05,1000,1000,0,0,0,0,0,0,4.00002E-05,4.00002E-05,4.00002E-05,0,0,0,0,0,,0,0,0,,0,0,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 WA 0.0001 DM 2","7.064E-07","0.9736","308","DisputeArises",0.0002,0,1,0.483716,1,1,1,1,0.604866,4.36973,4,0.581449,0.148227,0.134768,0.123649,0.11747,0.114942,0.115593,0.11994,0.125411,1,1,0.062501,0.062501,,,0.999998,,,,,5.37579E-07,2.26611E-13,8.733E-7,0.115208,9.075,9.82496,18.9,1.10004,999,999.922,0.1,0.175001,3.9795E-8,0.175001,0.0306272,1.02691E-08,0.395174,0.495174,4E-05,0.395134,1.34805E-07,0.395133,0,0.999998,0.125001,5.37579E-07,2.26611E-13,1.07559E-13,2.90025E-07,0,-4.50451E-13,0.109769,0.134128,0.139935,0.136448,0.132978,0.130149,0.12039,0.0962037,0.109769,0.134128,0.139935,0.136448,0.132978,0.130149,0.12039,0.0962037,1,1,2.0008E-07,2.0008E-07,0.999998,5.37579E-07,2.26611E-13,7.72684E-7,1.0061E-7
"MODRA CM 0.25 WA 0.0001 DM 2","7.064E-07","0.9736","308","PFiles",0.0002,0,1,0.483716,1,1,1,1,0.604866,4.36973,4,0.581449,0.148227,0.134768,0.123649,0.11747,0.114942,0.115593,0.11994,0.125411,1,1,0.062501,0.062501,,,0.999998,,,,,5.37579E-07,2.26611E-13,8.733E-7,0.115208,9.075,9.82496,18.9,1.10004,999,999.922,0.1,0.175001,3.9795E-8,0.175001,0.0306273,1.02691E-08,0.395174,0.495174,4E-05,0.395134,1.34805E-07,0.395133,0,0.999998,0.125001,5.37579E-07,2.26611E-13,1.07559E-13,2.90025E-07,0,-4.36541E-13,0.109769,0.134128,0.139935,0.136448,0.132978,0.130149,0.12039,0.0962037,0.109769,0.134128,0.139935,0.136448,0.132978,0.130149,0.12039,0.0962037,1,1,0,2.0008E-07,0.999998,5.37579E-07,2.26611E-13,7.72684E-7,1.0061E-7
"MODRA CM 0.25 WA 0.0001 DM 2","7.064E-07","0.9736","308","DAnswers",0.0002,0,1,0.483716,1,1,1,1,0.604866,4.36973,4,0.581449,0.148227,0.134768,0.123649,0.11747,0.114942,0.115593,0.11994,0.125411,1,1,0.062501,0.062501,,,0.999999,,,,,5.37579E-07,2.26611E-13,8.733E-7,0.115208,9.075,9.82496,18.9,1.10004,999,999.922,0.1,0.175001,3.9795E-8,0.175001,0.0306265,1.02691E-08,0.395174,0.495174,4E-05,0.395134,1.34805E-07,0.395133,0,0.999999,0.125001,5.37579E-07,2.26611E-13,1.07559E-13,2.90025E-07,0,-4.29041E-13,0.109769,0.134128,0.139935,0.136448,0.132978,0.130149,0.12039,0.0962037,0.109769,0.134128,0.139935,0.136448,0.132978,0.130149,0.12039,0.0962037,1,1,0,0,0.999999,5.37579E-07,2.26611E-13,7.72685E-7,1.0061E-7
"MODRA CM 0.25 WA 0.0001 DM 2","7.064E-07","0.9736","308","Litigated",0.0002,0,1,0.483716,1,1,1,1,0.604866,4.36973,4,0.581449,0.148227,0.134768,0.123649,0.11747,0.114942,0.115593,0.11994,0.125411,1,1,0.062501,0.062501,,,0.999999,,,,,5.37579E-07,2.26611E-13,8.733E-7,0.115208,9.075,9.82496,18.9,1.10004,999,999.922,0.1,0.175001,3.9795E-8,0.175001,0.0306265,1.02691E-08,0.395174,0.495174,4E-05,0.395134,1.34805E-07,0.395133,0,0.999999,0.125001,5.37579E-07,2.26611E-13,1.07559E-13,2.90025E-07,0,-4.29041E-13,0.109769,0.134128,0.139935,0.136448,0.132978,0.130149,0.12039,0.0962037,0.109769,0.134128,0.139935,0.136448,0.132978,0.130149,0.12039,0.0962037,1,1,0,0,0.999999,5.37579E-07,2.26611E-13,7.72685E-7,1.0061E-7
"MODRA CM 0.25 WA 0.0001 DM 2","7.064E-07","0.9736","308","Not Litigated",0.9998,1,6.61646E-11,0.500003,3.308E-11,0,1,6.61646E-11,4.00208E-11,4.50002,4,0.592444,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.00003E-05,1000,1000,8.27058E-13,6.616E-11,0,6.6165E-11,1.32329E-10,0,4.00002E-05,4.00002E-05,4.00002E-05,2.61439E-11,0,2.61439E-11,0,0,,0,0,0,2.90025E-07,0,-1.89885E-15,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,3.3082E-11,0,1,3.30823E-11,0,0,0,0,0
"MODRA CM 0.25 WA 0.0001 DM 2","7.064E-07","0.9736","308","Settles",0.0002,0,1,0.483716,1,1,1,1,0.604866,4.36973,4,0.581449,0.148227,0.134768,0.123649,0.11747,0.114942,0.115593,0.11994,0.125411,1,1,0.0625003,0.062501,,,1,,,,,0,0,0,,9.075,9.82496,18.9,1.10004,999,999.922,0.1,0.175001,3.9361E-8,0.175001,0.0306261,9.802E-09,0.395174,0.495174,4E-05,0.395134,1.34308E-07,0.395133,0,1,0.125001,0,0,0,2.89025E-07,0,-4.341E-08,0.109769,0.134128,0.139935,0.136448,0.132978,0.130149,0.12039,0.0962037,0.109769,0.134128,0.139935,0.136448,0.132978,0.130149,0.12039,0.0962037,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 WA 0.0001 DM 2","7.064E-07","0.9736","308","Tried",1E-10,0,1,0.641531,1,1,1,1,0.623234,5.63225,3.97535,0.692472,0.0228505,0.0472332,0.08365,0.124255,0.155991,0.175698,0.189761,0.200561,1,1,0.560741,0.0651705,,,0,,,,,0,0,1,0.115208,9.15542,9.69455,18.85,1.15004,998.766,998.631,0.15,0.304697,0.0004975,0.305195,0.498862,0.000534865,0.376805,0.526805,3.97535E-05,0.376766,0.000568586,0.376197,0,0,,0,0,0,0.00114634,0,0.558125,1.46092E-07,2.18033E-07,2.27486E-07,0.222038,0.214769,0.213422,0.194881,0.154889,0.0450531,0.0677441,0.09395,0.126878,0.157997,0.179745,0.17973,0.148903,1,1,0,0,0,0,0,0.884792,0.115208
"MODRA CM 0.25 WA 0.0001 DM 2","7.064E-07","0.9736","308","PWins",2E-11,0,1,0.742573,1,1,1,1,0.634219,6.44058,3.93012,0.768334,0.00400974,0.0117287,0.0314861,0.0705828,0.127211,0.192115,0.25535,0.307516,1,1,0.560882,0.0695335,,,0,,,,,0,0,1,1,10.925,7.92496,18.85,1.15004,1000.16,988.351,0.15,2.06907,0,2.06907,4.28694,0,0.365821,0.515821,3.93012E-05,0.365781,0.00294857,0.362833,0,0,,0,0,0,0.0059328,0,0.34007,1.81494E-07,2.86105E-07,3.83284E-07,0.121468,0.171895,0.234236,0.251602,0.220799,0.0187955,0.0384108,0.0494159,0.0909291,0.147374,0.205331,0.236093,0.213651,1,1,0,0,0,0,0,0,1
