"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 DM 4 FSM 0 LT 1 UPC 1E-05","2.36E-08","0.9362","36","All",1,0.999937,6.32063E-05,0.500001,6.3206E-5,6.32063E-05,1,6.32063E-05,9.99947E-06,3,4,0.544166,0.2,0.199999,0.199999,0.2,0.200002,1,1,0.100001,0.100001,,,6.32063E-05,,,,,5.05852E-11,4.24335E-17,2.47E-17,0.299673,9.99995,9.99992,19.9999,0.000128489,1000,1000,2.52825E-05,3.7924E-5,0,3.7924E-05,2.2755E-05,0,9.3207E-05,0.00011849,4.00002E-05,5.32069E-05,4.5101400000000005E-11,5.32068E-05,0,6.32063E-5,0.400003,5.05852E-11,4.24335E-17,1.01211E-17,8.01483E-07,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,6.32063E-5,6.32063E-05,0.999937,1.26463E-11,6.32063E-05,5.05852E-11,4.24335E-17,1.7283E-17,7.396E-18
"MODRA CM 1 DM 4 FSM 0 LT 1 UPC 1E-05","2.36E-08","0.9362","36","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,4,0.544168,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.00002E-05,1000,1000,0,0,0,0,0,0,4.00002E-05,4.00002E-05,4.00002E-05,0,0,0,0,0,,0,0,0,,0,0,0.176196,0.215678,0.216243,0.215682,0.176201,0.176196,0.215678,0.216243,0.215682,0.176201,0,0,1,0,0,0,0,0,0
"MODRA CM 1 DM 4 FSM 0 LT 1 UPC 1E-05","2.36E-08","0.9362","36","DisputeArises",6.3E-5,0,1,0.454165,1,1,1,1,0.158204,2.77083,4,0.510732,0.260123,0.217707,0.184094,0.167373,0.170703,1,1,0.100001,0.100001,,,0.999999,,,,,8.00318E-07,6.71349E-13,3.9E-13,0.299673,9.2,9.39996,18.6,1.40004,999.262,999.567,0.4,0.600003,1.995E-13,0.600003,0.360011,2.05203E-13,0.841836,1.24184,4E-05,0.841796,7.13559E-07,0.841796,0,0.999999,0.400003,8.00318E-07,6.71349E-13,1.60128E-13,8.01483E-07,0,-1.30272E-14,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1,1,2.0008E-07,2.0008E-07,0.999999,8.00318E-07,6.71349E-13,2.7344E-13,1.17E-13
"MODRA CM 1 DM 4 FSM 0 LT 1 UPC 1E-05","2.36E-08","0.9362","36","PFiles",6.3E-5,0,1,0.454165,1,1,1,1,0.158204,2.77083,4,0.510732,0.260123,0.217707,0.184094,0.167373,0.170703,1,1,0.100001,0.100001,,,0.999999,,,,,8.00319E-07,6.71349E-13,3.9E-13,0.299673,9.2,9.39996,18.6,1.40004,999.262,999.567,0.4,0.600003,3.911E-14,0.600003,0.360011,4.48426E-14,0.841836,1.24184,4E-05,0.841796,7.13559E-07,0.841796,0,0.999999,0.400003,8.00319E-07,6.71349E-13,1.60128E-13,8.01483E-07,0,-1.33641E-14,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1,1,0,2.0008E-07,0.999999,8.00319E-07,6.71349E-13,2.7344E-13,1.17E-13
"MODRA CM 1 DM 4 FSM 0 LT 1 UPC 1E-05","2.36E-08","0.9362","36","DAnswers",6.3E-5,0,1,0.454165,1,1,1,1,0.158204,2.77083,4,0.510732,0.260123,0.217707,0.184094,0.167373,0.170703,1,1,0.100001,0.100001,,,0.999999,,,,,8.00319E-07,6.71349E-13,3.9E-13,0.299673,9.2,9.39996,18.6,1.40004,999.262,999.567,0.4,0.600002,3.911E-14,0.600002,0.360008,4.48426E-14,0.841836,1.24184,4E-05,0.841796,7.13559E-07,0.841796,0,0.999999,0.400003,8.00319E-07,6.71349E-13,1.60128E-13,8.01483E-07,0,-1.15554E-14,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1,1,0,0,0.999999,8.00319E-07,6.71349E-13,2.7344E-13,1.17E-13
"MODRA CM 1 DM 4 FSM 0 LT 1 UPC 1E-05","2.36E-08","0.9362","36","Litigated",6.3E-5,0,1,0.454165,1,1,1,1,0.158204,2.77083,4,0.510732,0.260123,0.217707,0.184094,0.167373,0.170703,1,1,0.100001,0.100001,,,0.999999,,,,,8.00319E-07,6.71349E-13,3.9E-13,0.299673,9.2,9.39996,18.6,1.40004,999.262,999.567,0.4,0.600002,3.911E-14,0.600002,0.360008,4.48426E-14,0.841836,1.24184,4E-05,0.841796,7.13559E-07,0.841796,0,0.999999,0.400003,8.00319E-07,6.71349E-13,1.60128E-13,8.01483E-07,0,-1.15554E-14,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1,1,0,0,0.999999,8.00319E-07,6.71349E-13,2.7344E-13,1.17E-13
"MODRA CM 1 DM 4 FSM 0 LT 1 UPC 1E-05","2.36E-08","0.9362","36","Not Litigated",0.9999,1,2.52942E-11,0.500004,1.265E-11,0,1,2.52942E-11,4.00164E-12,3.00002,4,0.544168,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.00002E-05,1000,1000,1.26471E-12,5.059E-11,0,5.0588E-11,2.02354E-10,0,4.00002E-05,4.00002E-05,4.00002E-05,2.12926E-11,0,2.12926E-11,0,0,,0,0,0,8.01483E-07,0,0,0.176196,0.215678,0.216243,0.215682,0.176201,0.176196,0.215678,0.216243,0.215682,0.176201,1.2647E-11,0,1,1.26471E-11,0,0,0,0,0
"MODRA CM 1 DM 4 FSM 0 LT 1 UPC 1E-05","2.36E-08","0.9362","36","Settles",6.3E-5,0,1,0.454165,1,1,1,1,0.158204,2.77083,4,0.510732,0.260123,0.217707,0.184094,0.167373,0.170703,1,1,0.100001,0.100001,,,1,,,,,0,0,0,,9.2,9.39996,18.6,1.40004,999.262,999.567,0.4,0.600003,6.308E-15,0.600003,0.360008,2.52307E-15,0.841836,1.24184,4E-05,0.841796,7.13559E-07,0.841796,0,1,0.400003,0,0,0,8.01483E-07,0,-7.71231E-15,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1,1,0,0,1,0,0,0,0
"MODRA CM 1 DM 4 FSM 0 LT 1 UPC 1E-05","2.36E-08","0.9362","36","Tried",2E-17,0,1,0.460084,1,1,1,1,0.143791,2.80042,3.0757,0.803485,0.232309,0.224957,0.209293,0.176891,0.156551,1,1,0.616721,0.221925,,,0,,,,,0,0,1,0.299673,9.89869,8.50128,18.4,1.60003,998.427,696.243,0.6,1.27284,0.0758523,1.34869,4.01526,0.0986081,0.856239,1.45624,3.0757E-05,0.856209,0.22764,0.628568,0,0,,0,0,0,0.2667,0,0.204343,0.184612,0.203718,0.26145,0.207222,0.142998,0.208568,0.258525,0.261775,0.15067,0.120462,1,1,0,0,0,0,0,0.700327,0.299673
"MODRA CM 1 DM 4 FSM 0 LT 1 UPC 1E-05","2.36E-08","0.9362","36","PWins",7E-18,0,1,0.589102,1,1,1,1,0.138768,3.44551,2.44937,1.14003,0.0745601,0.170757,0.244053,0.25587,0.25476,1,1,0.627532,0.305063,,,0,,,,,0,0,1,1,12.7,5.69998,18.4,1.60002,1000.19,-13.2674,0.6,3.60474,0,3.60474,13.206,0,0.861257,1.46126,2.44937E-05,0.861232,0.593769,0.267464,0,0,,0,0,0,0.695263,0,0.355744,0.0903033,0.142129,0.255817,0.283088,0.228663,0.107294,0.214684,0.353105,0.158628,0.166289,1,1,0,0,0,0,0,0,1
