"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 FSM 5 DM 0.5","6.806E-08","0.9639","36","All",1,0.999933,6.67395E-05,0.500001,7.9281E-6,7.43564E-06,1,6.67395E-05,9.99943E-06,3,3.39188,0.73056,0.2,0.199999,0.2,0.2,0.200002,1,1,0.64701,0.1,,,1.81406E-11,,,,,3.74542E-06,3.06632E-06,6.239E-7,0.451983,9.99993,9.99996,19.9999,0.000103807,9.99993,9.99996,3.14829E-06,1.6629E-6,5.0892E-6,6.75213E-6,1.35084E-06,5.43284E-06,9.0659E-05,9.38073E-05,3.3919E-05,5.674E-05,4.77009E-06,5.19699E-05,0,1.8141E-11,0.109895,3.74542E-06,3.06632E-06,2.96838E-06,0.0840718,0,-1.5191E-15,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,7.92815E-6,7.43564E-06,0.999992,4.92504E-07,1.81406E-11,3.74542E-06,3.06632E-06,3.41902E-7,2.8199E-7
"Risk Neutral CM 1 FSM 5 DM 0.5","6.806E-08","0.9639","36","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,3.39188,0.73056,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.3919E-05,10,9.99997,0,0,0,0,0,0,3.3919E-05,3.3919E-05,3.3919E-05,0,0,0,0,0,,0,0,0,,0,-1.65209E-06,0.176196,0.215678,0.216243,0.215682,0.176201,0.176195,0.215678,0.216242,0.215683,0.176201,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 FSM 5 DM 0.5","6.806E-08","0.9639","36","DisputeArises",6.7E-5,0,1,0.453787,0.118792,0.111413,1,1,0.149828,2.76893,3.30705,0.718556,0.253164,0.218865,0.196603,0.168611,0.162758,1,1,0.64701,0.1,,,2.71812E-07,,,,,0.05612,0.0459446,0.009348,0.451983,9.00347,9.94932,18.9528,1.04721,9.00347,9.94932,0.0471728,0.0249168,0.0762547,0.101172,0.0202406,0.0814037,0.850205,0.897378,3.30705E-05,0.850172,0.0714734,0.778699,0,2.71812E-7,0.109895,0.05612,0.0459446,0.0444771,0.0840718,0,0.0247527,0.214774,0.246112,0.217614,0.18593,0.135569,0.215651,0.249625,0.227668,0.176531,0.130525,0.118792,0.111413,0.881208,0.0073795,2.71812E-07,0.05612,0.0459446,0.00512294,0.0042252
"Risk Neutral CM 1 FSM 5 DM 0.5","6.806E-08","0.9639","36","PFiles",7.9E-6,0,1,0.603418,1,0.937879,1,1,0.150371,3.51709,2.99999,0.98876,0.0126027,0.103624,0.371326,0.378973,0.133474,1,1,0.64701,0.1,,,2.28812E-06,,,,,0.47242,0.386763,0.078693,0.451983,9.02923,9.57363,18.6029,1.39713,9.02923,9.57363,0.397102,0.209751,0.446645,0.656396,0.170386,0.48999,0.849659,1.24676,2.99999E-05,0.849629,0.433568,0.416061,0,2.28812E-6,0.109895,0.47242,0.386763,0.37441,0.512449,0,1.751,1.68225E-06,2.00458E-06,1.91994E-06,0.700146,0.299849,0.0872529,0.276659,0.636084,2.01396E-06,1.64014E-06,1,0.937879,0,0.062121,2.28812E-06,0.47242,0.386763,0.0431251,0.0355679
"Risk Neutral CM 1 FSM 5 DM 0.5","6.806E-08","0.9639","36","DAnswers",7.4E-6,0,1,0.599523,1,1,1,1,0.15007,3.49762,3,0.984785,0.0133759,0.108165,0.375555,0.373276,0.129628,1,1,0.64701,0.1,,,2.43968E-06,,,,,0.503711,0.412381,0.083905,0.451983,9.00468,9.57851,18.5832,1.41681,9.00468,9.57851,0.416781,0.21227,0.450136,0.662406,0.175985,0.506789,0.84996,1.26674,3E-05,0.84993,0.425574,0.424356,0,2.43968E-6,0.109895,0.503711,0.412381,0.399209,0.502904,0,1.77772,7.13904E-07,7.48396E-07,5.57831E-07,0.703316,0.296682,0.0930312,0.294982,0.611986,3.17022E-07,2.34402E-07,1,1,0,0,2.43968E-06,0.503711,0.412381,0.0459815,0.0379238
"Risk Neutral CM 1 FSM 5 DM 0.5","6.806E-08","0.9639","36","Litigated",7.4E-6,0,1,0.599523,1,1,1,1,0.15007,3.49762,3,0.984785,0.0133759,0.108165,0.375555,0.373276,0.129628,1,1,0.64701,0.1,,,2.43968E-06,,,,,0.503711,0.412381,0.083905,0.451983,9.00468,9.57851,18.5832,1.41681,9.00468,9.57851,0.416781,0.21227,0.450136,0.662406,0.175985,0.506789,0.84996,1.26674,3E-05,0.84993,0.425574,0.424356,0,2.43968E-6,0.109895,0.503711,0.412381,0.399209,0.502904,0,1.77772,7.13904E-07,7.48396E-07,5.57831E-07,0.703316,0.296682,0.0930312,0.294982,0.611986,3.17022E-07,2.34402E-07,1,1,0,0,2.43968E-06,0.503711,0.412381,0.0459815,0.0379238
"Risk Neutral CM 1 FSM 5 DM 0.5","6.806E-08","0.9639","36","Not Litigated",1,0.999941,5.93042E-05,0.5,4.9251E-7,0,1,5.93042E-05,8.88363E-06,3,3.39188,0.730558,0.200001,0.2,0.199998,0.199999,0.200002,1,1,,,,,0,,,,,0,0,0,,9.99994,9.99997,19.9999,9.32725E-05,9.99994,9.99997,4.92508E-08,8.4572E-8,1.7422E-6,1.82673E-6,4.22861E-08,1.66455E-06,8.43396E-05,8.43889E-05,3.3919E-05,5.04206E-05,1.60569E-06,4.88149E-05,0,0,,0,0,0,0.0315577,0,-1.32186E-05,0.176199,0.215682,0.216245,0.215677,0.176197,0.176199,0.21568,0.21624,0.215682,0.176199,4.92508E-7,0,1,4.92508E-07,0,0,0,0,0
"Risk Neutral CM 1 FSM 5 DM 0.5","6.806E-08","0.9639","36","Settles",2E-11,0,1,0.491971,1,1,1,1,0.149848,2.95986,3.22602,0.788465,0.188781,0.18833,0.248031,0.223968,0.15089,1,1,0.201179,0.238401,,,1,,,,,0,0,0,,8.9099,9.69007,18.6,1.40003,8.9099,9.69007,0.4,0.230281,0.190338,0.420619,0.0728356,0.192191,0.850184,1.25018,3.22602E-05,0.850152,0.163533,0.686619,0,1,0.109895,0,0,0,0.192823,0,0.477313,0.155702,0.177156,0.155651,0.359944,0.151547,0.183385,0.258166,0.332426,0.129944,0.0960788,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 FSM 5 DM 0.5","6.806E-08","0.9639","36","Tried",6.2E-7,0,1,0.603405,1,1,1,1,0.150122,3.51702,3,0.987957,0.00383523,0.0751738,0.415647,0.410821,0.0945231,1,1,0.759683,0.1,,,0,,,,,0,0,1,0.451983,8.78194,9.61803,18.4,1.60003,8.78194,9.61803,0.6,0.715606,0.50789,1.2235,1.22475,1.42209,0.849908,1.44991,3E-05,0.849878,0.429071,0.420806,0,0,,0,0,0,0.505345,0,3.16764,1.05711E-18,1.03391E-18,1.18116E-06,3.94195E-07,0.999998,0.167647,0.832353,1.5141E-07,6.05017E-19,4.47341E-19,1,1,0,0,0,0,0,0.548017,0.451983
"Risk Neutral CM 1 FSM 5 DM 0.5","6.806E-08","0.9639","36","PWins",2.8E-7,0,1,0.675606,1,1,1,1,0.150607,3.87803,3,1.06215,0.000133639,0.0148366,0.268288,0.540347,0.176395,1,1,0.759683,0.1,,,0,,,,,0,0,1,1,10.7,7.69997,18.4,1.60003,10.7,7.69997,0.6,1.58326,0,1.58326,2.70973,0,0.849423,1.44942,3E-05,0.849393,0.608527,0.240866,0,0,,0,0,0,0.716742,0,3.11479,2.65274E-19,3.45858E-19,1.21926E-06,5.67219E-07,0.999998,0.114794,0.885206,2.17346E-07,1.32008E-24,1.13172E-24,1,1,0,0,0,0,0,0,1
