"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 HIGHRA LT 1.2","3.217E-07","0.9868","47","All",1,0.999919,8.08369E-05,0.5,5.701E-11,1.67561E-17,1,8.08369E-05,9.99929E-06,3,2,1.18788,0.2,0.2,0.2,0.2,0.200001,1,1,0.595335,0.57256,,,1.53910E-17,,,,,5.94826E-19,7.39069E-19,3.12E-20,0.329686,9.99992,9.99998,19.9999,0.000100837,1000,1000,2.28039E-11,1.901E-11,2.9777E-5,2.97768E-5,1.90085E-11,2.97767E-05,9.08378E-05,9.08378E-05,2.00002E-05,7.08376E-05,2.57974E-05,4.50402E-05,0,1.5391E-17,0.586935,5.94826E-19,7.39069E-19,1.19688E-24,0.368356,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,5.701E-11,1.67561E-17,1,5.70096E-11,1.53910E-17,5.94826E-19,7.39069E-19,2.0902E-20,1.028E-20
"Risk Neutral CM 4 HIGHRA LT 1.2","3.217E-07","0.9868","47","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,3.00001,2,1.18788,0.199998,0.199999,0.2,0.200001,0.200002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.00002E-05,1000,1000,0,0,0,0,0,0,2.00002E-05,2.00002E-05,2.00002E-05,0,0,0,0,0,,0,0,0,,0,0,0.176197,0.215679,0.216243,0.215681,0.176199,0.176197,0.215679,0.216243,0.215681,0.176199,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 HIGHRA LT 1.2","3.217E-07","0.9868","47","DisputeArises",8.1E-5,0,1,0.479743,7.0524E-7,2.07282E-13,1,1,0.123697,2.89872,2,1.16437,0.22351,0.20685,0.201284,0.184125,0.184231,1,1,0.595335,0.57256,,,1.90395E-13,,,,,7.35834E-15,9.14271E-15,3.86E-16,0.329686,9,9.99998,19,1.00002,999.82,1000,2.82097E-07,2.3515E-7,0.368356,0.368356,2.35146E-07,0.368356,0.876323,0.876323,2E-05,0.876303,0.319129,0.557174,0,1.904E-13,0.586935,7.35834E-15,9.14271E-15,1.48061E-20,0.368356,0,-1.5292E-15,0.193446,0.22834,0.215793,0.202784,0.159637,0.193446,0.22834,0.215793,0.202784,0.159637,7.05243E-7,2.07282E-13,0.999999,7.05243E-07,1.90395E-13,7.35834E-15,9.14271E-15,2.5857E-16,1.272E-16
"Risk Neutral CM 4 HIGHRA LT 1.2","3.217E-07","0.9868","47","PFiles",6E-11,0,1,0.490844,1,2.93916E-07,1,1,0.105278,2.95422,0.897653,1.47034,0.217636,0.202175,0.190826,0.187056,0.202306,1,1,0.595335,0.57256,,,2.69972E-07,,,,,1.04338E-08,1.29639E-08,5.47E-10,0.329686,9.6,8.99999,18.6,1.40001,999.987,999.82,0.4,0.333425,0.26663,0.600055,0.333425,0.106652,0.894731,1.29473,8.97653E-06,0.894722,0.597238,0.297484,0,2.69972E-7,0.586935,1.04338E-08,1.29639E-08,2.09943E-14,0.666575,0,-1.75601E-14,0.183639,0.221124,0.216028,0.210124,0.169086,0.183639,0.221124,0.216028,0.210124,0.169086,1,2.93916E-07,0,1,2.69972E-07,1.04338E-08,1.29639E-08,3.6663E-10,1.803E-10
"Risk Neutral CM 4 HIGHRA LT 1.2","3.217E-07","0.9868","47","DAnswers",2E-17,0,1,0.48148,1,1,1,1,0.119447,2.9074,1.71986,1.2223,0.228987,0.205657,0.188546,0.182592,0.194218,1,1,0.595335,0.57256,,,0.918532,,,,,0.0354991,0.0441075,0.001861,0.329686,8.7831,8.6154,17.3985,2.60151,998.739,998.144,1.60149,0.903181,0.461945,1.36513,0.952197,0.460551,0.880571,2.48206,1.71986E-05,0.880553,0.432171,0.448382,0,0.918532,0.586935,0.0354991,0.0441075,7.14296E-08,0.484486,0,-5.25993E-14,0.191872,0.227295,0.215965,0.20392,0.160949,0.191872,0.227295,0.215965,0.20392,0.160949,1,1,0,0,0.918532,0.0354991,0.0441075,0.00124741,0.0006135
"Risk Neutral CM 4 HIGHRA LT 1.2","3.217E-07","0.9868","47","Litigated",2E-17,0,1,0.48148,1,1,1,1,0.119447,2.9074,1.71986,1.2223,0.228987,0.205657,0.188546,0.182592,0.194218,1,1,0.595335,0.57256,,,0.918532,,,,,0.0354991,0.0441075,0.001861,0.329686,8.7831,8.6154,17.3985,2.60151,998.739,998.144,1.60149,0.903181,0.461945,1.36513,0.952197,0.460551,0.880571,2.48206,1.71986E-05,0.880553,0.432171,0.448382,0,0.918532,0.586935,0.0354991,0.0441075,7.14296E-08,0.484486,0,-5.25993E-14,0.191872,0.227295,0.215965,0.20392,0.160949,0.191872,0.227295,0.215965,0.20392,0.160949,1,1,0,0,0.918532,0.0354991,0.0441075,0.00124741,0.0006135
"Risk Neutral CM 4 HIGHRA LT 1.2","3.217E-07","0.9868","47","Not Litigated",1,0.999919,8.08369E-05,0.5,5.701E-11,0,1,8.08369E-05,9.99929E-06,3,2,1.18788,0.2,0.2,0.2,0.2,0.200001,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99998,19.9999,0.000100837,1000,1000,2.28039E-11,1.901E-11,2.9777E-5,2.97768E-5,1.90084E-11,2.97767E-05,9.08378E-05,9.08378E-05,2.00002E-05,7.08376E-05,2.57974E-05,4.50402E-05,0,0,,0,0,0,0.368356,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,5.701E-11,0,1,5.70096E-11,0,0,0,0,0
"Risk Neutral CM 4 HIGHRA LT 1.2","3.217E-07","0.9868","47","Settles",2E-17,0,1,0.482962,1,1,1,1,0.119115,2.91481,1.69501,1.22903,0.222517,0.210725,0.1919,0.179146,0.195712,1,1,0.583773,0.590096,,,1,,,,,0,0,0,,8.78693,8.61305,17.4,2.60002,998.836,998.214,1.6,0.898196,0.474453,1.37265,0.943049,0.47834,0.880902,2.4809,1.69501E-05,0.880885,0.439841,0.441044,0,1,0.586935,0,0,0,0.492084,0,-0.0815445,0.191177,0.232877,0.228761,0.19137,0.155814,0.168216,0.240864,0.219536,0.19616,0.175224,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 HIGHRA LT 1.2","3.217E-07","0.9868","47","Tried",3E-20,0,1,0.397625,1,1,1,1,0.120241,2.48812,2,1.07204,0.0951927,0.40651,0.417155,0.077267,0.00387569,1,1,0.899966,0.1,,,0,,,,,0,0,1,0.329686,8.12969,8.47029,16.6,3.40002,984.946,992.39,2.4,1.44854,0.116576,1.56512,2.32346,0.182143,0.879779,3.27978,2E-05,0.879759,0.0712847,0.808475,0,0,,0,0,0,0.0811427,0,3.15418,1.46953E-11,1.69156E-11,1.54997E-11,0.845825,0.154175,1,1.62844E-11,1.62288E-11,1.62198E-11,1.32634E-11,1,1,0,0,0,0,0,0.670314,0.329686
"Risk Neutral CM 4 HIGHRA LT 1.2","3.217E-07","0.9868","47","PWins",1E-20,0,1,0.490964,1,1,1,1,0.120551,2.95482,2,1.18128,0.0121017,0.219763,0.580266,0.176952,0.0109164,1,1,0.899968,0.1,,,0,,,,,0,0,1,1,8.8,7.79998,16.6,3.40002,999.596,977.739,2.4,2.01213,0.225442,2.23757,4.20125,0.270531,0.879469,3.27947,2E-05,0.879449,0.165038,0.714411,0,0,,0,0,0,0.187868,0,3.22214,1.66191E-11,2.25143E-11,2.54927E-11,0.777863,0.222137,1,2.30085E-11,2.78591E-11,3.26776E-11,2.90653E-11,1,1,0,0,0,0,0,0,1
