"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 P Risk Averse UPC 1.2E-05","1.815E-06","0.9974","45","All",1,0.99993,7.04259E-05,0.500001,7.11E-11,1.40908E-11,1,7.04259E-05,9.99939E-06,3,3,0.740795,0.2,0.199999,0.199999,0.2,0.200002,1,1,0.100001,0.100001,,,1.40908E-11,,,,,1.17901E-17,5.92099E-19,4.55E-19,0.676771,9.99993,9.99996,19.9999,0.000106426,1000,9.99996,4.53492E-11,2.937E-11,1.286E-05,1.28596E-5,2.83379E-11,1.28596E-05,9.64267E-05,9.64267E-05,3.60002E-05,6.04265E-05,1.07189E-05,4.97076E-05,0,1.4091E-11,0.100001,1.17901E-17,5.92099E-19,1.58021E-19,0.182598,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,7.11E-11,1.40908E-11,1,5.70097E-11,1.40908E-11,1.17901E-17,5.92099E-19,1.4709E-19,3.08E-19
"Risk Neutral CM 4 P Risk Averse UPC 1.2E-05","1.815E-06","0.9974","45","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,3.00001,3,0.740797,0.199997,0.199999,0.2,0.200001,0.200003,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.60002E-05,1000,9.99996,0,0,0,0,0,0,3.60002E-05,3.60002E-05,3.60002E-05,0,0,0,0,0,,0,0,0,,0,0,0.176196,0.215679,0.216243,0.215682,0.1762,0.176196,0.215679,0.216243,0.215682,0.1762,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 P Risk Averse UPC 1.2E-05","1.815E-06","0.9974","45","DisputeArises",7E-05,0,1,0.468106,1.0096E-6,2.0008E-07,1,1,0.141985,2.84053,3,0.714507,0.246966,0.208927,0.183317,0.178192,0.182598,1,1,0.100001,0.100001,,,2.0008E-07,,,,,1.67411E-13,8.40741E-15,6.46E-15,0.676771,9,9.99996,19,1.00004,998.808,9.99996,6.43928E-07,4.171E-07,0.182598,0.182598,4.02379E-07,0.182598,0.858051,0.858052,3.6E-05,0.858015,0.152201,0.705814,0,2.0008E-07,0.100001,1.67411E-13,8.40741E-15,2.2438E-15,0.182598,0,-3.98763E-15,0.204363,0.236558,0.215751,0.194543,0.148785,0.204363,0.236558,0.215751,0.194543,0.148785,1.00958E-6,2.0008E-07,0.999999,8.09499E-07,2.0008E-07,1.67411E-13,8.40741E-15,2.0885E-15,4.373E-15
"Risk Neutral CM 4 P Risk Averse UPC 1.2E-05","1.815E-06","0.9974","45","PFiles",7E-11,0,1,0.486338,1,0.198182,1,1,0.112553,2.93169,1.3143,1.12405,0.223449,0.203514,0.189338,0.185299,0.1984,1,1,0.100001,0.100001,,,0.198181,,,,,1.65823E-07,8.32764E-09,6.4E-09,0.676771,9.34236,9.0198,18.3622,1.63783,998.746,9.0198,0.637818,0.413141,0.275308,0.688449,0.398562,0.190097,0.887463,1.52528,1.57716E-05,0.887447,0.50904,0.378407,0,0.198181,0.100001,1.65823E-07,8.32764E-09,2.22251E-09,0.57066,0,-2.38216E-14,0.187746,0.224183,0.215973,0.207036,0.165062,0.187746,0.224183,0.215973,0.207036,0.165062,1,0.198182,0,0.801818,0.198181,1.65823E-07,8.32764E-09,2.06869E-9,4.3314E-9
"Risk Neutral CM 4 P Risk Averse UPC 1.2E-05","1.815E-06","0.9974","45","DAnswers",1E-11,0,1,0.468106,1,1,1,1,0.141985,2.84053,3,0.714507,0.246966,0.208927,0.183317,0.178192,0.182598,1,1,0.100001,0.100001,,,0.999999,,,,,8.36722E-07,4.20202E-08,3.229E-8,0.676771,8.3,9.09996,17.4,2.60004,994.596,9.09996,1.6,0.735662,0.310416,1.04608,0.662096,0.527707,0.858051,2.45805,3.6E-05,0.858015,0.152201,0.705814,0,0.999999,0.100001,8.36722E-07,4.20202E-08,1.12145E-08,0.182598,0,-4.47512E-15,0.204363,0.236558,0.215751,0.194543,0.148785,0.204363,0.236558,0.215751,0.194543,0.148785,1,1,0,0,0.999999,8.36722E-07,4.20202E-08,1.04384E-8,2.1856E-8
"Risk Neutral CM 4 P Risk Averse UPC 1.2E-05","1.815E-06","0.9974","45","Litigated",1E-11,0,1,0.468106,1,1,1,1,0.141985,2.84053,3,0.714507,0.246966,0.208927,0.183317,0.178192,0.182598,1,1,0.100001,0.100001,,,0.999999,,,,,8.36722E-07,4.20202E-08,3.229E-8,0.676771,8.3,9.09996,17.4,2.60004,994.596,9.09996,1.6,0.735662,0.310416,1.04608,0.662096,0.527707,0.858051,2.45805,3.6E-05,0.858015,0.152201,0.705814,0,0.999999,0.100001,8.36722E-07,4.20202E-08,1.12145E-08,0.182598,0,-4.47512E-15,0.204363,0.236558,0.215751,0.194543,0.148785,0.204363,0.236558,0.215751,0.194543,0.148785,1,1,0,0,0.999999,8.36722E-07,4.20202E-08,1.04384E-8,2.1856E-8
"Risk Neutral CM 4 P Risk Averse UPC 1.2E-05","1.815E-06","0.9974","45","Not Litigated",1,0.99993,7.04259E-05,0.500001,5.701E-11,0,1,7.04259E-05,9.99939E-06,3,3,0.740795,0.2,0.199999,0.199999,0.2,0.200002,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99996,19.9999,0.000106426,1000,9.99996,2.28039E-11,1.901E-11,1.286E-05,1.28596E-5,1.90084E-11,1.28596E-05,9.64266E-05,9.64267E-05,3.60002E-05,6.04265E-05,1.07189E-05,4.97075E-05,0,0,,0,0,0,0.182598,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,5.701E-11,0,1,5.70097E-11,0,0,0,0,0
"Risk Neutral CM 4 P Risk Averse UPC 1.2E-05","1.815E-06","0.9974","45","Settles",1E-11,0,1,0.468106,1,1,1,1,0.141985,2.84053,3,0.714507,0.246966,0.208927,0.183317,0.178192,0.182598,1,1,0.1,0.100001,,,1,,,,,0,0,0,,8.3,9.09996,17.4,2.60004,994.596,9.09996,1.6,0.735662,0.310416,1.04608,0.662096,0.527707,0.858051,2.45805,3.6E-05,0.858015,0.152201,0.705814,0,1,0.100001,0,0,0,0.182598,0,-8.71274E-08,0.204363,0.236558,0.215751,0.194543,0.148785,0.204363,0.236558,0.215751,0.194543,0.148785,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 P Risk Averse UPC 1.2E-05","1.815E-06","0.9974","45","Tried",5E-19,0,1,0.382451,1,1,1,1,0.104875,2.41225,1.00001,1.10069,0.152174,0.397686,0.347004,0.0919824,0.0111527,1,1,0.899998,0.1,,,0,,,,,0,0,1,0.676771,8.47677,8.12322,16.6,3.40001,993.883,8.12322,2.4,1.02895,1.23521,2.26415,1.29406,1.96145,0.895137,3.29514,1.20001E-05,0.895125,0.758741,0.136384,0,0,,0,0,0,0.847823,0,1.73554,1.01332E-06,1.33128E-06,0.660367,0.263286,0.0763452,0.319575,0.680423,1.06979E-06,9.64632E-07,7.37741E-07,1,1,0,0,0,0,0,0.323229,0.676771
"Risk Neutral CM 4 P Risk Averse UPC 1.2E-05","1.815E-06","0.9974","45","PWins",3E-19,0,1,0.435998,1,1,1,1,0.105122,2.67999,1,1.1596,0.0691031,0.346837,0.435466,0.132156,0.0164383,1,1,0.9,0.1,,,0,,,,,0,0,1,1,8.8,7.79999,16.6,3.40001,998.13,7.79999,2.4,1.2691,1.11708,2.38618,1.67495,1.34049,0.89489,3.29489,1.2E-05,0.894878,0.832947,0.0619309,0,0,,0,0,0,0.930897,0,1.76612,3.96215E-09,1.29938E-07,0.598008,0.301405,0.100586,0.26354,0.736459,8.97516E-08,2.1114E-07,2.59786E-07,1,1,0,0,0,0,0,0,1
