"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 FSM 2 DM 0.5 LT 1 UPC 1E-05","6.844E-07","0.9864","47","All",1,0.99993,7.04259E-05,0.500001,7.11E-11,1.40908E-11,1,7.04259E-05,9.99939E-06,3,3,0.888954,0.2,0.199999,0.2,0.2,0.200001,1,1,0.100001,0.100001,,,1.40908E-11,,,,,1.12771E-17,1.02121E-23,2.3E-24,0.335588,9.99993,9.99997,19.9999,0.000100426,1000,1000,1.13373E-11,7.944E-12,2.4898E-5,2.48977E-5,3.40243E-12,2.48977E-05,9.04267E-05,9.04267E-05,3.00002E-05,6.04265E-05,2.0873E-05,3.95535E-05,0,1.4091E-11,0.0500004,1.12771E-17,1.02121E-23,2.25633E-24,0.35353,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,7.11E-11,1.40908E-11,1,5.70097E-11,1.40908E-11,1.12771E-17,1.02121E-23,1.529E-24,7.723E-25
"MODRA CM 1 FSM 2 DM 0.5 LT 1 UPC 1E-05","6.844E-07","0.9864","47","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,3.00001,3,0.888957,0.199997,0.199999,0.2,0.200001,0.200003,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.00002E-05,1000,1000,0,0,0,0,0,0,3.00002E-05,3.00002E-05,3.00002E-05,0,0,0,0,0,,0,0,0,,0,0,0.176196,0.215679,0.216243,0.215682,0.1762,0.176196,0.215679,0.216243,0.215682,0.1762,0,0,1,0,0,0,0,0,0
"MODRA CM 1 FSM 2 DM 0.5 LT 1 UPC 1E-05","6.844E-07","0.9864","47","DisputeArises",7E-05,0,1,0.467183,1.0096E-6,2.0008E-07,1,1,0.141985,2.83591,3,0.856178,0.239958,0.208725,0.197787,0.182504,0.171026,1,1,0.100001,0.100001,,,2.0008E-07,,,,,1.60128E-13,1.45005E-19,3.27E-20,0.335588,9,9.99997,19,1.00003,998.808,1000,1.60982E-07,1.1279E-7,0.35353,0.35353,4.83122E-08,0.35353,0.858045,0.858046,3E-05,0.858015,0.296382,0.561633,0,2.0008E-07,0.0500004,1.60128E-13,1.45005E-19,3.20384E-20,0.35353,0,-3.07958E-15,0.204363,0.236558,0.215751,0.194543,0.148785,0.204363,0.236558,0.215751,0.194543,0.148785,1.00958E-6,2.0008E-07,0.999999,8.09499E-07,2.0008E-07,1.60128E-13,1.45005E-19,2.1710E-20,1.097E-20
"MODRA CM 1 FSM 2 DM 0.5 LT 1 UPC 1E-05","6.844E-07","0.9864","47","PFiles",7E-11,0,1,0.4863,1,0.198182,1,1,0.112553,2.9315,1.3143,1.3487,0.224421,0.202404,0.188946,0.18571,0.198519,1,1,0.100001,0.100001,,,0.198182,,,,,1.58609E-07,1.43629E-13,3.24E-14,0.335588,9.291,9.54953,18.8405,1.15947,999.321,999.719,0.159455,0.111723,0.466032,0.577755,0.0478539,0.323934,0.88746,1.04691,1.3143E-05,0.887447,0.634334,0.253114,0,0.198182,0.0500004,1.58609E-07,1.43629E-13,3.17344E-14,0.712496,0,-2.75689E-14,0.187746,0.224183,0.215973,0.207036,0.165062,0.187746,0.224183,0.215973,0.207036,0.165062,1,0.198182,0,0.801818,0.198182,1.58609E-07,1.43629E-13,2.1504E-14,1.086E-14
"MODRA CM 1 FSM 2 DM 0.5 LT 1 UPC 1E-05","6.844E-07","0.9864","47","DAnswers",1E-11,0,1,0.467183,1,1,1,1,0.141985,2.83591,3,0.856178,0.239958,0.208725,0.197787,0.182504,0.171026,1,1,0.100001,0.100001,,,0.999999,,,,,8.00319E-07,7.24734E-13,1.63E-13,0.335588,8.85,9.74997,18.6,1.40003,998.326,999.879,0.4,0.161618,0.40656,0.568177,0.0404044,0.467543,0.858045,1.25805,3E-05,0.858015,0.296382,0.561633,0,0.999999,0.0500004,8.00319E-07,7.24734E-13,1.60128E-13,0.35353,0,-1.19414E-14,0.204363,0.236558,0.215751,0.194543,0.148785,0.204363,0.236558,0.215751,0.194543,0.148785,1,1,0,0,0.999999,8.00319E-07,7.24734E-13,1.0851E-13,5.481E-14
"MODRA CM 1 FSM 2 DM 0.5 LT 1 UPC 1E-05","6.844E-07","0.9864","47","Litigated",1E-11,0,1,0.467183,1,1,1,1,0.141985,2.83591,3,0.856178,0.239958,0.208725,0.197787,0.182504,0.171026,1,1,0.100001,0.100001,,,0.999999,,,,,8.00319E-07,7.24734E-13,1.63E-13,0.335588,8.85,9.74997,18.6,1.40003,998.326,999.879,0.4,0.161618,0.40656,0.568177,0.0404044,0.467543,0.858045,1.25805,3E-05,0.858015,0.296382,0.561633,0,0.999999,0.0500004,8.00319E-07,7.24734E-13,1.60128E-13,0.35353,0,-1.19414E-14,0.204363,0.236558,0.215751,0.194543,0.148785,0.204363,0.236558,0.215751,0.194543,0.148785,1,1,0,0,0.999999,8.00319E-07,7.24734E-13,1.0851E-13,5.481E-14
"MODRA CM 1 FSM 2 DM 0.5 LT 1 UPC 1E-05","6.844E-07","0.9864","47","Not Litigated",1,0.99993,7.04259E-05,0.500001,5.701E-11,0,1,7.04259E-05,9.99939E-06,3,3,0.888954,0.2,0.199999,0.2,0.2,0.200001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99997,19.9999,0.000100426,1000,1000,5.70097E-12,5.666E-12,2.4898E-5,2.48977E-5,2.83310E-12,2.48976E-05,9.04267E-05,9.04267E-05,3.00002E-05,6.04265E-05,2.08729E-05,3.95535E-05,0,0,,0,0,0,0.35353,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,5.701E-11,0,1,5.70097E-11,0,0,0,0,0
"MODRA CM 1 FSM 2 DM 0.5 LT 1 UPC 1E-05","6.844E-07","0.9864","47","Settles",1E-11,0,1,0.467183,1,1,1,1,0.141985,2.83591,3,0.856178,0.239958,0.208725,0.197787,0.182504,0.171026,1,1,0.100001,0.100001,,,1,,,,,0,0,0,,8.85,9.74997,18.6,1.40003,998.326,999.879,0.4,0.161618,0.40656,0.568177,0.0404045,0.467543,0.858045,1.25805,3E-05,0.858015,0.296382,0.561633,0,1,0.0500004,0,0,0,0.35353,0,-6.26886E-15,0.204363,0.236558,0.215751,0.194543,0.148785,0.204363,0.236558,0.215751,0.194543,0.148785,1,1,0,0,1,0,0,0,0
"MODRA CM 1 FSM 2 DM 0.5 LT 1 UPC 1E-05","6.844E-07","0.9864","47","Tried",2E-24,0,1,0.463842,1,1,1,1,0.141494,2.81921,2.98048,0.858049,0.241939,0.212367,0.198037,0.179861,0.167797,1,1,0.605856,0.105856,,,0,,,,,0,0,1,0.335588,8.6705,9.72947,18.4,1.60003,994.552,999.089,0.6,0.210989,0.228341,0.43933,0.191851,0.345844,0.858536,1.45854,2.98048E-05,0.858506,0.295114,0.563393,0,0,,0,0,0,0.351768,0,0.00449233,0.2063,0.23844,0.215954,0.192779,0.146527,0.200374,0.251459,0.21154,0.190746,0.145881,1,1,0,0,0,0,0,0.664412,0.335588
"MODRA CM 1 FSM 2 DM 0.5 LT 1 UPC 1E-05","6.844E-07","0.9864","47","PWins",8E-25,0,1,0.724612,1,1,1,1,0.156593,4.12306,2.97319,1.12278,0.00972597,0.0538225,0.174531,0.327509,0.434412,1,1,0.608043,0.108043,,,0,,,,,0,0,1,1,9.8,8.59997,18.4,1.60003,999.908,997.118,0.6,0.628714,0.154257,0.782971,0.571685,0.0308514,0.843436,1.44344,2.97319E-05,0.843407,0.646306,0.1971,0,0,,0,0,0,0.771286,0,0.0163156,0.0315757,0.0937176,0.208635,0.334096,0.331976,0.0264255,0.112552,0.201073,0.329632,0.330317,1,1,0,0,0,0,0,0,1
"MODRA CM 1 FSM 2 DM 0.5 LT 1 UPC 1E-05","6.844E-07","0.9864","47","DWins",2E-24,0,1,0.33213,1,1,1,1,0.133867,2.16065,2.98416,0.724336,0.359227,0.292447,0.209909,0.105285,0.033132,1,1,0.604751,0.104751,,,0,,,,,0,0,1,0,8.1,10.3,18.4,1.60003,991.847,1000.08,0.6,0,0.26576,0.26576,0,0.504944,0.866163,1.46616,2.98416E-05,0.866133,0.11773,0.748403,0,0,,0,0,0,0.139874,0,-0.00147949,0.294551,0.311538,0.21965,0.121401,0.0528592,0.288233,0.32162,0.216827,0.120596,0.0527236,1,1,0,0,0,0,0,1,0
"MODRA CM 1 FSM 2 DM 0.5 LT 1 UPC 1E-05","6.844E-07","0.9864","47","Abandoned",1E-17,0,1,0.467183,1,1,1,1,0.141985,2.83591,3,0.856178,0.239958,0.208725,0.197787,0.182504,0.171026,1,1,0.6,0.1,,,0,,,,,0.999999,9.05556E-07,0,,8.8,9.79997,18.6,1.40003,998.13,999.908,0.4,0.129294,0.424236,0.55353,0.0258589,0.509083,0.858045,1.25805,3E-05,0.858015,0.296382,0.561633,0,0,,0.999999,9.05556E-07,2.0008E-07,0.35353,0,-9.16738E-10,0.204363,0.236558,0.215751,0.194543,0.148785,0.204363,0.236558,0.215751,0.194543,0.148785,1,1,0,0,0,0.999999,9.05556E-07,0,0
