"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","All",1,0.99992,7.97519E-05,0.5,7.9752E-5,1.59568E-11,1,7.97519E-05,9.9993E-06,3,2,1.1531,0.2,0.2,0.199999,0.2,0.200001,1,1,0.482473,0.482473,,,1.59567E-11,,,,,6.66504E-18,6.10547E-18,2.56E-24,0.391318,9.99993,9.99994,19.9999,0.000131653,1000,1000,3.19008E-05,2.1616E-5,3.2869E-5,5.44842E-5,1.08078E-05,2.95817E-05,8.97528E-05,0.000121654,2.00002E-05,6.97526E-05,3.18638E-05,3.78888E-05,0,1.5957E-11,0.241236,6.66504E-18,6.10547E-18,2.55512E-24,0.457928,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,7.97519E-5,1.59568E-11,0.99992,7.97519E-05,1.59567E-11,6.66504E-18,6.10547E-18,1.5553E-24,9.999E-25
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,2.00001,1.1531,0.199996,0.199997,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.00003E-05,1000,1000,0,0,0,0,0,0,2.00003E-05,2.00003E-05,2.00003E-05,0,0,0,0,0,,0,0,0,,0,-4.89242E-06,0.176195,0.215678,0.216243,0.215682,0.176201,0.176195,0.215677,0.216243,0.215684,0.176202,0,0,1,0,0,0,0,0,0
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","DisputeArises",8E-05,0,1,0.452155,1,2.0008E-07,1,1,0.12538,2.76078,1.82509,1.14751,0.249688,0.229618,0.193037,0.165544,0.162113,1,1,0.482473,0.482473,,,2.0008E-07,,,,,8.35722E-14,7.65558E-14,3.2E-20,0.391318,9.1,9.49998,18.6,1.40002,999.058,999.679,0.4,0.271036,0.412135,0.683171,0.135518,0.370922,0.874638,1.27464,1.82509E-05,0.87462,0.399537,0.475083,0,2.0008E-07,0.241236,8.35722E-14,7.65558E-14,3.20384E-20,0.457928,0,0.0613406,0.210773,0.243953,0.21797,0.188289,0.139015,0.216995,0.261096,0.218729,0.171794,0.131386,1,2.0008E-07,2.0008E-07,1,2.0008E-07,8.35722E-14,7.65558E-14,1.9501E-20,1.254E-20
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","PFiles",8E-05,0,1,0.452155,1,2.0008E-07,1,1,0.12538,2.76078,1.82509,1.14751,0.249688,0.229618,0.193037,0.165544,0.162113,1,1,0.482473,0.482473,,,2.0008E-07,,,,,8.35722E-14,7.65558E-14,3.2E-20,0.391318,9.1,9.49998,18.6,1.40002,999.058,999.679,0.4,0.271036,0.412135,0.683171,0.135518,0.370922,0.874638,1.27464,1.82509E-05,0.87462,0.399537,0.475083,0,2.0008E-07,0.241236,8.35722E-14,7.65558E-14,3.20384E-20,0.457928,0,0.0613406,0.210773,0.243953,0.21797,0.188289,0.139015,0.216995,0.261096,0.218729,0.171794,0.131386,1,2.0008E-07,0,1,2.0008E-07,8.35722E-14,7.65558E-14,1.9501E-20,1.254E-20
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","DAnswers",2E-11,0,1,0.452155,1,1,1,1,0.12538,2.76078,1.82509,1.14751,0.249688,0.229618,0.193037,0.165544,0.162113,1,1,0.482473,0.482473,,,0.999999,,,,,4.17694E-07,3.82626E-07,1.6E-13,0.391318,8.44124,8.95875,17.4,2.60002,995.635,998.567,1.6,0.614873,0.702377,1.31725,0.600817,1.09551,0.874638,2.47464,1.82509E-05,0.87462,0.399537,0.475083,0,0.999999,0.241236,4.17694E-07,3.82626E-07,1.60128E-13,0.457928,0,0.0613406,0.210773,0.243953,0.21797,0.188289,0.139015,0.216995,0.261096,0.218729,0.171794,0.131386,1,1,0,0,0.999999,4.17694E-07,3.82626E-07,9.7467E-14,6.266E-14
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","Litigated",2E-11,0,1,0.452155,1,1,1,1,0.12538,2.76078,1.82509,1.14751,0.249688,0.229618,0.193037,0.165544,0.162113,1,1,0.482473,0.482473,,,0.999999,,,,,4.17694E-07,3.82626E-07,1.6E-13,0.391318,8.44124,8.95875,17.4,2.60002,995.635,998.567,1.6,0.614873,0.702377,1.31725,0.600817,1.09551,0.874638,2.47464,1.82509E-05,0.87462,0.399537,0.475083,0,0.999999,0.241236,4.17694E-07,3.82626E-07,1.60128E-13,0.457928,0,0.0613406,0.210773,0.243953,0.21797,0.188289,0.139015,0.216995,0.261096,0.218729,0.171794,0.131386,1,1,0,0,0.999999,4.17694E-07,3.82626E-07,9.7467E-14,6.266E-14
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","Not Litigated",1,0.99992,7.97519E-05,0.5,7.9752E-5,0,1,7.97519E-05,9.9993E-06,3,2,1.1531,0.2,0.2,0.199999,0.2,0.200001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99994,19.9999,0.000131653,1000,1000,3.19007E-05,2.1616E-5,3.2869E-5,5.44842E-5,1.08078E-05,2.95817E-05,8.97528E-05,0.000121654,2.00002E-05,6.97526E-05,3.18638E-05,3.78888E-05,0,0,,0,0,0,0.457928,0,-9.78408E-13,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,7.97519E-5,0,0.99992,7.97519E-05,0,0,0,0,0
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","Settles",2E-11,0,1,0.452155,1,1,1,1,0.12538,2.76078,1.82509,1.14751,0.249688,0.229618,0.193037,0.165544,0.162113,1,1,0.482473,0.482473,,,1,,,,,0,0,0,,8.44124,8.95875,17.4,2.60002,995.635,998.567,1.6,0.614873,0.702377,1.31725,0.600817,1.09551,0.874638,2.47464,1.82509E-05,0.87462,0.399537,0.475083,0,1,0.241236,0,0,0,0.457928,0,0.0613406,0.210773,0.243953,0.21797,0.188289,0.139015,0.216995,0.261096,0.218729,0.171794,0.131386,1,1,0,0,1,0,0,0,0
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","Tried",3E-24,0,1,0.452155,1,1,1,1,0.12538,2.76078,1.82509,1.14751,0.249688,0.229618,0.193037,0.165544,0.162113,1,1,0.743427,0.243427,,,0,,,,,0,0,1,0.391318,7.73482,8.86516,16.6,3.40002,898.025,975.957,2.4,0.872354,0.795801,1.66816,2.03114,2.32515,0.874638,3.27464,1.82509E-05,0.87462,0.399537,0.475083,0,0,,0,0,0,0.457928,0,0.0613406,0.210773,0.243953,0.21797,0.188289,0.139015,0.216995,0.261096,0.218729,0.171794,0.131386,1,1,0,0,0,0,0,0.608682,0.391318
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","PWins",1E-24,0,1,0.472185,1,1,1,1,0.118468,2.86092,1.55249,1.25862,0.171468,0.266086,0.24494,0.165066,0.15244,1,1,0.777767,0.277767,,,0,,,,,0,0,1,1,9.5,7.09998,16.6,3.40002,999.679,938.559,2.4,2.22927,0.335363,2.56464,5.19051,0.167682,0.881547,3.28155,1.55249E-05,0.881532,0.590527,0.291004,0,0,,0,0,0,0.670726,0,0.517425,0.168383,0.235915,0.240382,0.207576,0.147744,0.219549,0.373005,0.262397,0.0650323,0.0800155,1,1,0,0,0,0,0,0,1
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","DWins",2E-24,0,1,0.439279,1,1,1,1,0.129824,2.69639,2.00034,1.07607,0.299975,0.206173,0.159668,0.165852,0.168332,1,1,0.721351,0.221351,,,0,,,,,0,0,1,0,6.6,9.99998,16.6,3.40002,832.672,1000,2.4,0,1.09181,1.09181,0,3.71217,0.870196,3.2702,2.00034E-05,0.870176,0.27675,0.593426,0,0,,0,0,0,0.321122,0,-0.231872,0.238025,0.249121,0.203562,0.175889,0.133403,0.215353,0.18915,0.190655,0.24043,0.164412,1,1,0,0,0,0,0,1,0
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","Abandoned",1E-17,0,1,0.452155,1,1,1,1,0.12538,2.76078,1.82509,1.14751,0.249688,0.229618,0.193037,0.165544,0.162113,1,1,0.743427,0.243427,,,0,,,,,0.521909,0.478091,0,,8.43905,8.96094,17.4,2.60002,995.422,998.503,1.6,0.623204,0.700524,1.32373,0.611328,1.10007,0.874638,2.47464,1.82509E-05,0.87462,0.399537,0.475083,0,0,,0.521909,0.478091,2.0008E-07,0.457928,0,0.0613406,0.210773,0.243953,0.21797,0.188289,0.139015,0.216995,0.261096,0.218729,0.171794,0.131386,1,1,0,0,0,0.521909,0.478091,0,0
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","PrecPower1",0.2,0.9999,9.95654E-05,0.1,9.9565E-5,1.99211E-11,1,9.95654E-05,1.02713E-05,1,1.10559,0.914262,1,0,0,0,0,1,1,0.838832,0.838832,,,1.9921E-11,,,,,1.21901E-18,1.47242E-17,3.19E-24,0.268729,9.99991,9.99994,19.9998,0.000150448,1000,1000,3.98262E-05,4.9783E-5,0,4.97827E-5,2.48914E-05,0,0.00010035,0.000140176,1.10561E-05,8.92942E-05,0,8.92942E-05,0,1.9921E-11,0.419416,1.21901E-18,1.47242E-17,3.18992E-24,0,0,0.560305,0.351397,0.334491,0.195956,0.0865977,0.0315585,0.553793,0.349595,0.0876362,0.00864382,0.000331561,9.95654E-5,1.99211E-11,0.9999,9.95654E-05,1.9921E-11,1.21901E-18,1.47242E-17,2.3327E-24,8.572E-25
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","PrecPower2",0.2,0.999908,9.15623E-05,0.3,9.1562E-5,1.83198E-11,1,9.15623E-05,9.95548E-06,2,1.40181,1.11239,0,1,0,0,0,1,1,0.676151,0.676151,,,1.83198E-11,,,,,4.10251E-18,1.05592E-17,2.93E-24,0.453467,9.99992,9.99994,19.9999,0.000142206,1000,1000,3.6625E-05,1.281E-05,5.9348E-5,7.2158E-05,6.40505E-06,5.34132E-05,9.56252E-05,0.00013225,1.40183E-05,8.16069E-05,5.91548E-05,2.24521E-05,0,1.832E-11,0.338075,4.10251E-18,1.05592E-17,2.93351E-24,0.720189,0,0.307006,0.267344,0.295089,0.224402,0.140423,0.0727403,0.2591,0.410443,0.2591,0.0649508,0.00640628,9.15623E-5,1.83198E-11,0.999908,9.15623E-05,1.83198E-11,4.10251E-18,1.05592E-17,1.6033E-24,1.33E-24
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","PrecPower3",0.2,0.999923,7.69755E-05,0.5,7.6975E-5,1.54013E-11,1,7.69755E-05,9.51271E-06,3,2,1.1852,0,0,1,0,0,1,1,0.377177,0.377177,,,1.54012E-11,,,,,8.05535E-18,4.27058E-18,2.47E-24,0.496535,9.99993,9.99994,19.9999,0.000127766,1000,1000,3.07902E-05,2.5153E-5,2.4003E-5,4.91557E-5,1.25764E-05,2.16025E-05,8.7463E-05,0.000118253,2.00002E-05,6.74628E-05,2.38795E-05,4.35833E-05,0,1.5401E-11,0.188588,8.05535E-18,4.27058E-18,2.46617E-24,0.346471,0,9.56612E-06,0.157951,0.221798,0.240497,0.2218,0.157954,0.061359,0.24477,0.387743,0.244769,0.0613585,7.69755E-5,1.54013E-11,0.999923,7.69755E-05,1.54012E-11,8.05535E-18,4.27058E-18,1.2416E-24,1.225E-24
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","PrecPower4",0.2,0.999934,6.60124E-05,0.7,6.6012E-5,1.32078E-11,1,6.60124E-05,9.68091E-06,4,2.59818,1.21858,0,0,0,1,0,1,1,0.165967,0.165967,,,1.32078E-11,,,,,9.69882E-18,8.71619E-19,2.11E-24,0.390186,9.99994,9.99994,19.9999,0.000118399,1000,1000,2.6405E-05,2.0333E-5,2.2813E-5,4.31451E-5,1.01663E-05,2.05313E-05,8.23136E-05,0.000108719,2.5982E-05,5.63315E-05,2.22169E-05,3.41146E-05,0,1.3208E-11,0.0829833,9.69882E-18,8.71619E-19,2.11493E-24,0.383977,0,-0.307,0.0727402,0.140424,0.224402,0.295088,0.267347,0.00640632,0.0649512,0.259101,0.410442,0.259099,6.60124E-5,1.32078E-11,0.999934,6.60124E-05,1.32078E-11,9.69882E-18,8.71619E-19,1.2897E-24,8.252E-25
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","PrecPower5",0.2,0.999935,6.46438E-05,0.9,6.4644E-5,1.29339E-11,1,6.46438E-05,1.05761E-05,5,2.89441,1.33505,0,0,0,0,1,1,1,0.107865,0.107865,,,1.29339E-11,,,,,1.02495E-17,1.01764E-19,2.07E-24,0.367968,9.99994,9.99994,19.9999,0.000119446,1000,1000,2.58575E-05,5.429E-12,5.8179E-5,5.81794E-5,2.70638E-12,5.23615E-05,8.30119E-05,0.000108869,2.89443E-05,5.40676E-05,5.40676E-05,8.641189999999999E-12,0,1.2934E-11,0.0539325,1.02495E-17,1.01764E-19,2.07108E-24,1,0,-0.560318,0.0315589,0.0865995,0.195959,0.334492,0.35139,0.000331562,0.00864384,0.0876366,0.349596,0.553792,6.46437E-5,1.29339E-11,0.999935,6.46437E-05,1.29339E-11,1.02495E-17,1.01764E-19,1.3090E-24,7.621E-25
"MODRA CM 4 FSM 1 DM 0.5 LT 1.2 UPC 1E-05","1.908E-09","0.9638","44","PrecLevel0",4E-07,0.999945,5.49995E-05,0.5,5.4999E-5,1.10043E-11,0.5,5.49995E-05,4.9995E-06,3,0,1.71665,0.200001,0.2,0.199999,0.2,0.200001,1,1,0.9,0.9,,,1.10043E-11,,,,,8.81049E-25,8.80696E-18,1.76E-24,1,9.99995,9.99947,19.9994,0.000576999,1000,1000,2.19998E-05,5.9174E-6,3.8848E-5,4.47657E-5,2.95868E-06,3.49635E-05,0.00055,0.000572,0.0005,5E-05,3.92411E-05,1.07589E-05,0,1.1004E-11,0.45,8.81049E-25,8.80696E-18,1.7621E-24,0.784821,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,5.49995E-5,1.10043E-11,0.999945,5.49995E-05,1.10043E-11,8.81049E-25,8.80696E-18,2.2306E-40,1.762E-24
