"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 1E-05","1.562E-08","0.9952","46","All",1,0.999933,6.67395E-05,0.500001,2.3773E-6,6.23904E-07,1,6.67395E-05,9.99943E-06,3,3.39188,0.73056,0.2,0.199999,0.2,0.2,0.200002,1,1,0.781522,0.100001,,,1.31899E-11,,,,,8.94905E-18,2.73561E-13,6.239E-7,0.451983,9.99994,9.99996,19.9999,0.000102857,9.99994,9.99996,2.19872E-06,3.4126E-6,4.345E-06,7.75756E-6,9.38151E-06,6.21901E-06,9.0659E-05,9.28577E-05,3.3919E-05,5.674E-05,4.77009E-06,5.19699E-05,0,1.319E-11,0.23716,8.94905E-18,2.73561E-13,1.44623E-24,0.0840718,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,2.3773E-06,6.23904E-07,0.999998,1.7534E-06,1.31899E-11,8.94905E-18,2.73561E-13,3.41902E-7,2.8199E-7
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 1E-05","1.562E-08","0.9952","46","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,3.39188,0.73056,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.3919E-05,10,9.99997,0,0,0,0,0,0,3.3919E-05,3.3919E-05,3.3919E-05,0,0,0,0,0,,0,0,0,,0,-1.65209E-06,0.176196,0.215678,0.216243,0.215682,0.176201,0.176195,0.215678,0.216242,0.215683,0.176201,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 1E-05","1.562E-08","0.9952","46","DisputeArises",6.7E-5,0,1,0.453787,0.0356206,0.00934836,1,1,0.149828,2.76893,3.30705,0.718556,0.253164,0.218865,0.196603,0.168611,0.162758,1,1,0.781522,0.100001,,,1.97632E-07,,,,,1.34089E-13,4.09894E-09,0.009348,0.451983,9.03711,9.92991,18.967,1.03298,9.03711,9.92991,0.0329448,0.0511331,0.0651033,0.116236,0.140569,0.0931834,0.850205,0.88315,3.30705E-05,0.850172,0.0714734,0.778699,0,1.97632E-7,0.23716,1.34089E-13,4.09894E-09,2.16698E-20,0.0840718,0,0.0247527,0.214774,0.246112,0.217614,0.18593,0.135569,0.215651,0.249625,0.227668,0.176531,0.130525,0.0356206,0.00934836,0.964379,0.0262723,1.97632E-07,1.34089E-13,4.09894E-09,0.00512294,0.0042252
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 1E-05","1.562E-08","0.9952","46","PFiles",2.4E-6,0,1,0.700427,1,0.262442,1,1,0.15814,4.00214,2.99995,1.08855,0.00105661,0.0247486,0.222715,0.473962,0.277517,1,1,0.781522,0.100001,,,5.54826E-06,,,,,3.76437E-12,1.15072E-07,0.262437,0.451983,10.0419,8.03318,18.0751,1.92491,10.0419,8.03318,0.92488,1.43549,0.218975,1.65447,3.94628,1.00728,0.84189,1.76677,2.99995E-05,0.84186,0.631838,0.210022,0,5.54826E-6,0.23716,3.76437E-12,1.15072E-07,6.08349E-19,0.751488,0,2.30638,4.29409E-06,6.68514E-06,6.40287E-06,6.0833E-06,0.999977,0.0440014,0.218446,0.737541,6.28996E-06,5.14476E-06,1,0.262442,0,0.737558,5.54826E-06,3.76437E-12,1.15072E-07,0.14382,0.118617
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 1E-05","1.562E-08","0.9952","46","DAnswers",6.2E-7,0,1,0.6034,1,1,1,1,0.150122,3.517,3,0.987951,0.00384211,0.0751777,0.415641,0.410815,0.0945243,1,1,0.781522,0.100001,,,2.11409E-05,,,,,1.43436E-11,4.38467E-07,0.999978,0.451983,8.47349,8.1265,16.6,3.40001,8.47349,8.1265,2.39998,2.20713,0.834373,3.0415,10.8696,3.83811,0.849908,3.24989,3E-05,0.849878,0.429063,0.420815,0,2.11409E-5,0.23716,1.43436E-11,4.38467E-07,2.31803E-18,0.505335,0,3.16758,3.88438E-06,7.8429E-06,5.42984E-06,3.75216E-06,0.999979,0.167649,0.832343,5.62286E-07,3.77824E-06,2.79358E-06,1,1,0,0,2.11409E-05,1.43436E-11,4.38467E-07,0.548005,0.451974
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 1E-05","1.562E-08","0.9952","46","Litigated",6.2E-7,0,1,0.6034,1,1,1,1,0.150122,3.517,3,0.987951,0.00384211,0.0751777,0.415641,0.410815,0.0945243,1,1,0.781522,0.100001,,,2.11409E-05,,,,,1.43436E-11,4.38467E-07,0.999978,0.451983,8.47349,8.1265,16.6,3.40001,8.47349,8.1265,2.39998,2.20713,0.834373,3.0415,10.8696,3.83811,0.849908,3.24989,3E-05,0.849878,0.429063,0.420815,0,2.11409E-5,0.23716,1.43436E-11,4.38467E-07,2.31803E-18,0.505335,0,3.16758,3.88438E-06,7.8429E-06,5.42984E-06,3.75216E-06,0.999979,0.167649,0.832343,5.62286E-07,3.77824E-06,2.79358E-06,1,1,0,0,2.11409E-05,1.43436E-11,4.38467E-07,0.548005,0.451974
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 1E-05","1.562E-08","0.9952","46","Not Litigated",1,0.999934,6.61156E-05,0.500001,1.7534E-6,0,1,6.61156E-05,9.90577E-06,3,3.39188,0.730559,0.2,0.199999,0.199999,0.2,0.200002,1,1,,,,,0,,,,,0,0,0,,9.99994,9.99996,19.9999,0.000100736,9.99994,9.99996,7.01359E-07,2.0356E-6,3.8244E-6,5.85996E-6,2.59989E-06,3.82439E-06,9.01288E-05,9.08301E-05,3.3919E-05,5.62098E-05,4.5024E-06,5.17074E-05,0,0,,0,0,0,0.0800965,0,-1.97627E-06,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,1.7534E-06,0,0.999998,1.7534E-06,0,0,0,0,0
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 1E-05","1.562E-08","0.9952","46","Settles",1E-11,0,1,0.41141,1,1,1,1,0.145328,2.55705,3.13261,0.720701,0.324004,0.241312,0.143759,0.135481,0.155445,1,1,0.117326,0.119833,,,1,,,,,0,0,0,,8.43716,8.96281,17.4,2.60003,8.43716,8.96281,1.6,0.98038,0.0676033,1.04798,1.01794,0.0997483,0.854703,2.4547,3.13261E-05,0.854672,0.0488597,0.805812,0,1,0.23716,0,0,0,0.0567797,0,0.24323,0.183738,0.370982,0.156443,0.138332,0.150505,0.30782,0.369705,0.0116167,0.178717,0.132141,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 1E-05","1.562E-08","0.9952","46","Tried",6.2E-7,0,1,0.603404,1,1,1,1,0.150122,3.51702,3,0.987957,0.00383535,0.0751742,0.415647,0.410821,0.0945229,1,1,0.781536,0.1,,,0,,,,,0,0,1,0.451983,8.47349,8.12648,16.6,3.40003,8.47349,8.12648,2.4,2.20715,0.83439,3.04154,10.8699,3.83819,0.849908,3.24991,3E-05,0.849878,0.429071,0.420806,0,0,,0,0,0,0.505345,0,3.16764,1.25950E-18,3.01596E-12,2.12254E-06,8.27709E-07,0.999997,0.167646,0.832354,7.67065E-20,6.05016E-19,5.81518E-19,1,1,0,0,0,0,0,0.548017,0.451983
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 1E-05","1.562E-08","0.9952","46","PWins",2.8E-7,0,1,0.675606,1,1,1,1,0.150607,3.87803,3,1.06215,0.000133697,0.0148371,0.268289,0.540346,0.176394,1,1,0.781536,0.1,,,0,,,,,0,0,1,1,12.2,4.39997,16.6,3.40003,12.2,4.39997,2.4,4.88326,0,4.88326,24.0492,0,0.849423,3.24942,3E-05,0.849393,0.608527,0.240866,0,0,,0,0,0,0.716742,0,3.11479,3.95871E-19,2.36479E-12,2.41678E-06,1.27417E-06,0.999996,0.114794,0.885206,1.10111E-19,1.32025E-24,2.49072E-19,1,1,0,0,0,0,0,0,1
