Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000003525,2E-05,0,0,0.025,0.025,0.05,0,0.10002
0.000027108,2E-05,0,1,0.025,0.025,0.05,0,1.10002
0.000000294,2E-05,1,0,0.025,0.025,0.05,0,1.10002
0.000000094,2E-05,0,0,0.025,0.025,0.05,0.05,0.15002
0.000000324,2E-05,0,1,0.025,0.025,0.05,0.05,1.15002
0.000000314,2E-05,1,0,0.025,0.025,0.05,0.05,1.15002
0.391844687,2E-05,0,0,0,0,0,0,2E-05
0.000001748,2E-05,0,1,0,0,0,0,1.00002
0.000000390,2E-05,1,0,0,0,0,0,1.00002
0.000006081,3E-05,0,0,0.025,0.025,0.05,0,0.10003
0.000022670,3E-05,0,1,0.025,0.025,0.05,0,1.10003
0.000010622,3E-05,1,0,0.025,0.025,0.05,0,1.10003
0.608082143,3E-05,0,0,0,0,0,0,3E-05
