Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000000079,3.6E-05,0,0,0.4,0.4,0.8,0,1.600036
0.000000198,3.6E-05,0,1,0.4,0.4,0.8,0,2.600036
0.000000243,3.6E-05,1,0,0.4,0.4,0.8,0,2.600036
0.000000015,3.6E-05,0,0,0.4,0.4,0.8,0.8,2.400036
0.000000069,3.6E-05,0,1,0.4,0.4,0.8,0.8,3.400036
0.000000021,3.6E-05,1,0,0.4,0.4,0.8,0.8,3.400036
0.391851256,3.6E-05,0,0,0,0,0,0,3.6E-05
0.000025988,3.6E-05,0,1,0,0,0,0,1.000036
0.000000615,3.6E-05,1,0,0,0,0,0,1.000036
0.608093457,4.8E-05,0,0,0,0,0,0,4.8E-05
0.000028059,4.8E-05,0,1,0,0,0,0,1.000048
