"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 PCPM 2 DM 2","4.266E-09","0.6605","207","All",1,0.999935,6.47967E-05,0.500001,6.4797E-5,6.47967E-05,1,6.47967E-05,9.99945E-06,3,3.68001,0.633405,0.2,0.199999,0.199999,0.2,0.200002,1,1,0.150359,0.1,,,5.79414E-05,,,,,0,0,6.855E-6,0.183175,9.99995,9.99995,19.9999,0.000108419,9.99995,9.99994,6.82243E-06,1.7062E-5,3.2014E-7,1.73822E-5,7.73462E-06,3.36975E-07,9.15974E-05,9.84198E-05,3.68001E-05,5.47972E-05,6.22368E-07,5.41748E-05,0,5.79414E-5,0.2,0,0,0,0.0111893,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,6.47967E-5,6.47967E-05,0.999935,0,5.79414E-05,0,0,5.59956E-6,1.2557E-6
"Risk Neutral CM 0.25 PCPM 2 DM 2","4.266E-09","0.6605","207","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,3.68002,0.633407,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.68002E-05,10,9.99996,0,0,0,0,0,0,3.68002E-05,3.68002E-05,3.68002E-05,0,0,0,0,0,,0,0,0,,0,-1.12983E-06,0.176195,0.215678,0.216243,0.215682,0.176201,0.176195,0.215678,0.216243,0.215683,0.176201,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 PCPM 2 DM 2","4.266E-09","0.6605","207","DisputeArises",6.5E-5,0,1,0.451674,1,1,1,1,0.15432,2.75837,3.60648,0.616804,0.259882,0.220426,0.187776,0.165271,0.166645,1,1,0.150359,0.1,,,0.894203,,,,,0,0,0.105797,0.183175,9.16495,9.72972,18.8947,1.10533,9.16495,9.72971,0.10529,0.263317,0.0049408,0.268258,0.119368,0.00520049,0.845716,0.951005,3.60648E-05,0.84568,0.00960494,0.836075,0,0.894203,0.2,0,0,0,0.0111893,0,0.0174354,0.217508,0.246927,0.215989,0.18431,0.135267,0.222117,0.251,0.21062,0.181824,0.134438,1,1,0,0,0.894203,0,0,0.0864175,0.0193793
"Risk Neutral CM 0.25 PCPM 2 DM 2","4.266E-09","0.6605","207","PFiles",6.5E-5,0,1,0.451674,1,1,1,1,0.15432,2.75837,3.60648,0.616804,0.259882,0.220426,0.187776,0.165271,0.166645,1,1,0.150359,0.1,,,0.894203,,,,,0,0,0.105797,0.183175,9.16495,9.72972,18.8947,1.10533,9.16495,9.72971,0.10529,0.263317,0.0049408,0.268258,0.119368,0.00520049,0.845716,0.951005,3.60648E-05,0.84568,0.00960494,0.836075,0,0.894203,0.2,0,0,0,0.0111893,0,0.0174354,0.217508,0.246927,0.215989,0.18431,0.135267,0.222117,0.251,0.21062,0.181824,0.134438,1,1,0,0,0.894203,0,0,0.0864175,0.0193793
"Risk Neutral CM 0.25 PCPM 2 DM 2","4.266E-09","0.6605","207","DAnswers",6.5E-5,0,1,0.451674,1,1,1,1,0.15432,2.75837,3.60648,0.616804,0.259882,0.220426,0.187776,0.165271,0.166645,1,1,0.150359,0.1,,,0.894203,,,,,0,0,0.105797,0.183175,9.16495,9.72972,18.8947,1.10533,9.16495,9.72971,0.10529,0.263317,0.0049408,0.268258,0.119368,0.00520049,0.845716,0.951005,3.60648E-05,0.84568,0.00960494,0.836075,0,0.894203,0.2,0,0,0,0.0111893,0,0.0174354,0.217508,0.246927,0.215989,0.18431,0.135267,0.222117,0.251,0.21062,0.181824,0.134438,1,1,0,0,0.894203,0,0,0.0864175,0.0193793
"Risk Neutral CM 0.25 PCPM 2 DM 2","4.266E-09","0.6605","207","Litigated",6.5E-5,0,1,0.451674,1,1,1,1,0.15432,2.75837,3.60648,0.616804,0.259882,0.220426,0.187776,0.165271,0.166645,1,1,0.150359,0.1,,,0.894203,,,,,0,0,0.105797,0.183175,9.16495,9.72972,18.8947,1.10533,9.16495,9.72971,0.10529,0.263317,0.0049408,0.268258,0.119368,0.00520049,0.845716,0.951005,3.60648E-05,0.84568,0.00960494,0.836075,0,0.894203,0.2,0,0,0,0.0111893,0,0.0174354,0.217508,0.246927,0.215989,0.18431,0.135267,0.222117,0.251,0.21062,0.181824,0.134438,1,1,0,0,0.894203,0,0,0.0864175,0.0193793
"Risk Neutral CM 0.25 PCPM 2 DM 2","4.266E-09","0.6605","207","Not Litigated",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,3.68002,0.633407,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.68002E-05,10,9.99996,0,0,0,0,0,0,3.68002E-05,3.68002E-05,3.68002E-05,0,0,0,0,0,,0,0,0,,0,-1.12983E-06,0.176195,0.215678,0.216243,0.215682,0.176201,0.176195,0.215678,0.216243,0.215683,0.176201,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 PCPM 2 DM 2","4.266E-09","0.6605","207","Settles",5.8E-5,0,1,0.46066,1,1,1,1,0.156699,2.8033,3.67823,0.599784,0.270439,0.200341,0.169899,0.174122,0.185199,1,1,0.1,0.1,,,1,,,,,0,0,0,,9.15,9.74996,18.9,1.10004,9.15,9.74996,0.1,0.249838,0.0005508,0.250389,0.0624595,0.000468187,0.843337,0.943337,3.67823E-05,0.843301,0.000566235,0.842734,0,1,0.2,0,0,0,0.00064801,0,-0.194048,0.243242,0.276141,0.160404,0.176721,0.143491,0.198119,0.21266,0.23554,0.203337,0.150344,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 PCPM 2 DM 2","4.266E-09","0.6605","207","Tried",6.9E-6,0,1,0.375722,1,1,1,1,0.134214,2.37861,3,0.760657,0.170656,0.39019,0.338868,0.090458,0.00982704,1,1,0.575994,0.1,,,0,,,,,0,0,1,0.183175,9.29135,9.55862,18.85,1.15003,9.29135,9.55861,0.15,0.377243,0.042045,0.419288,0.60036,0.0451983,0.865816,1.01582,3E-05,0.865786,0.0860008,0.779785,0,0,,0,0,0,0.100285,0,1.80491,0,0,0.68579,0.248451,0.0657582,0.424946,0.575054,0,0,0,1,1,0,0,0,0,0,0.816825,0.183175
"Risk Neutral CM 0.25 PCPM 2 DM 2","4.266E-09","0.6605","207","PWins",1.3E-6,0,1,0.542718,1,1,1,1,0.137933,3.21359,3,0.925981,0.00853494,0.148239,0.509263,0.289026,0.0449363,1,1,0.63444,0.1,,,0,,,,,0,0,1,1,10.925,7.92497,18.85,1.15003,10.925,7.92496,0.15,1.74104,0,1.74104,3.25364,0,0.862097,1.0121,3E-05,0.862067,0.286324,0.575742,0,0,,0,0,0,0.333962,0,1.92473,0,0,0.4861,0.355598,0.158302,0.252524,0.747476,0,0,0,1,1,0,0,0,0,0,0,1
