"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 PCPM 2 FSM 0 DM 1 LT 1 UPC 1E-05","7.319E-09","0.8758","218","All",1,0.999935,6.53123E-05,0.500001,6.5312E-5,6.53123E-05,1,6.53123E-05,9.99945E-06,3,3.60793,0.658637,0.2,0.199999,0.199999,0.2,0.200002,1,1,0.181752,0.1,,,5.53726E-05,,,,,0,0,9.94E-06,0.261249,9.99994,9.99995,19.9999,0.00010842,9.99994,9.99995,7.02822E-06,1.0206E-5,1.0325E-6,1.12382E-5,2.70825E-06,9.93419E-07,9.13922E-05,9.84204E-05,3.60793E-05,5.53129E-05,1.91303E-06,5.33998E-05,0,5.53726E-5,0.1,0,0,0,0.0343957,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,6.53123E-5,6.53123E-05,0.999935,0,5.53726E-05,0,0,7.34296E-6,2.5967E-6
"Risk Neutral CM 0.25 PCPM 2 FSM 0 DM 1 LT 1 UPC 1E-05","7.319E-09","0.8758","218","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,3.60794,0.658638,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.60794E-05,10,9.99996,0,0,0,0,0,0,3.60794E-05,3.60794E-05,3.60794E-05,0,0,0,0,0,,0,0,0,,0,-1.24243E-06,0.176195,0.215678,0.216243,0.215682,0.176201,0.176195,0.215678,0.216243,0.215683,0.176201,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 PCPM 2 FSM 0 DM 1 LT 1 UPC 1E-05","7.319E-09","0.8758","218","DisputeArises",6.5E-5,0,1,0.452439,1,1,1,1,0.153102,2.76219,3.53204,0.643387,0.257908,0.219739,0.190244,0.166471,0.165638,1,1,0.181752,0.1,,,0.847813,,,,,0,0,0.152187,0.261249,9.07074,9.82162,18.8924,1.10764,9.07074,9.82161,0.107609,0.156259,0.0158092,0.172069,0.0414661,0.0152103,0.846933,0.954543,3.53204E-05,0.846898,0.0292905,0.817608,0,0.847813,0.1,0,0,0,0.0343957,0,0.0190217,0.216534,0.246525,0.216463,0.184945,0.135533,0.220363,0.249019,0.216853,0.180389,0.133377,1,1,0,0,0.847813,0,0,0.112428,0.0397587
"Risk Neutral CM 0.25 PCPM 2 FSM 0 DM 1 LT 1 UPC 1E-05","7.319E-09","0.8758","218","PFiles",6.5E-5,0,1,0.452439,1,1,1,1,0.153102,2.76219,3.53204,0.643387,0.257908,0.219739,0.190244,0.166471,0.165638,1,1,0.181752,0.1,,,0.847813,,,,,0,0,0.152187,0.261249,9.07074,9.82162,18.8924,1.10764,9.07074,9.82161,0.107609,0.156259,0.0158092,0.172069,0.0414661,0.0152103,0.846933,0.954543,3.53204E-05,0.846898,0.0292905,0.817608,0,0.847813,0.1,0,0,0,0.0343957,0,0.0190217,0.216534,0.246525,0.216463,0.184945,0.135533,0.220363,0.249019,0.216853,0.180389,0.133377,1,1,0,0,0.847813,0,0,0.112428,0.0397587
"Risk Neutral CM 0.25 PCPM 2 FSM 0 DM 1 LT 1 UPC 1E-05","7.319E-09","0.8758","218","DAnswers",6.5E-5,0,1,0.452439,1,1,1,1,0.153102,2.76219,3.53204,0.643387,0.257908,0.219739,0.190244,0.166471,0.165638,1,1,0.181752,0.1,,,0.847813,,,,,0,0,0.152187,0.261249,9.07074,9.82162,18.8924,1.10764,9.07074,9.82161,0.107609,0.156259,0.0158092,0.172069,0.0414661,0.0152103,0.846933,0.954543,3.53204E-05,0.846898,0.0292905,0.817608,0,0.847813,0.1,0,0,0,0.0343957,0,0.0190217,0.216534,0.246525,0.216463,0.184945,0.135533,0.220363,0.249019,0.216853,0.180389,0.133377,1,1,0,0,0.847813,0,0,0.112428,0.0397587
"Risk Neutral CM 0.25 PCPM 2 FSM 0 DM 1 LT 1 UPC 1E-05","7.319E-09","0.8758","218","Litigated",6.5E-5,0,1,0.452439,1,1,1,1,0.153102,2.76219,3.53204,0.643387,0.257908,0.219739,0.190244,0.166471,0.165638,1,1,0.181752,0.1,,,0.847813,,,,,0,0,0.152187,0.261249,9.07074,9.82162,18.8924,1.10764,9.07074,9.82161,0.107609,0.156259,0.0158092,0.172069,0.0414661,0.0152103,0.846933,0.954543,3.53204E-05,0.846898,0.0292905,0.817608,0,0.847813,0.1,0,0,0,0.0343957,0,0.0190217,0.216534,0.246525,0.216463,0.184945,0.135533,0.220363,0.249019,0.216853,0.180389,0.133377,1,1,0,0,0.847813,0,0,0.112428,0.0397587
"Risk Neutral CM 0.25 PCPM 2 FSM 0 DM 1 LT 1 UPC 1E-05","7.319E-09","0.8758","218","Not Litigated",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,3.60794,0.658638,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.60794E-05,10,9.99996,0,0,0,0,0,0,3.60794E-05,3.60794E-05,3.60794E-05,0,0,0,0,0,,0,0,0,,0,-1.24243E-06,0.176195,0.215678,0.216243,0.215682,0.176201,0.176195,0.215678,0.216243,0.215683,0.176201,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 PCPM 2 FSM 0 DM 1 LT 1 UPC 1E-05","7.319E-09","0.8758","218","Settles",5.5E-5,0,1,0.454249,1,1,1,1,0.155655,2.77124,3.62754,0.610384,0.282616,0.204648,0.159455,0.165434,0.187846,1,1,0.1,0.1,,,1,,,,,0,0,0,,9.05,9.84996,18.9,1.10004,9.05,9.84996,0.1,0.149681,0.0020193,0.1517,0.0224522,0.0019183,0.844382,0.944382,3.62754E-05,0.844345,0.0018466,0.842499,0,1,0.1,0,0,0,0.00212554,0,-0.24193,0.255403,0.290777,0.145071,0.167582,0.141166,0.20731,0.222526,0.200076,0.212769,0.157319,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 PCPM 2 FSM 0 DM 1 LT 1 UPC 1E-05","7.319E-09","0.8758","218","Tried",9.9E-6,0,1,0.442354,1,1,1,1,0.138882,2.71177,3,0.82724,0.120258,0.303806,0.361768,0.172246,0.0419227,1,1,0.637184,0.1,,,0,,,,,0,0,1,0.261249,9.18625,9.66372,18.85,1.15003,9.18625,9.6637,0.15,0.192906,0.0926308,0.285537,0.14739,0.0892581,0.861148,1.01115,3E-05,0.861118,0.182176,0.678942,0,0,,0,0,0,0.214168,0,1.47274,0,0,0.614175,0.281673,0.104152,0.29308,0.396607,0.310313,0,0,1,1,0,0,0,0,0,0.738751,0.261249
"Risk Neutral CM 0.25 PCPM 2 FSM 0 DM 1 LT 1 UPC 1E-05","7.319E-09","0.8758","218","PWins",2.6E-6,0,1,0.614334,1,1,1,1,0.144851,3.57167,3,0.999584,0.00426872,0.0827746,0.386254,0.390423,0.136279,1,1,0.70061,0.1,,,0,,,,,0,0,1,1,9.925,8.92497,18.85,1.15003,9.925,8.92495,0.15,0.548298,0.0395027,0.5878,0.549917,0.0029627,0.855179,1.00518,3E-05,0.855149,0.447732,0.407417,0,0,,0,0,0,0.526702,0,1.42582,0,0,0.402451,0.374969,0.222579,0.122114,0.361461,0.516425,0,0,1,1,0,0,0,0,0,0,1
