"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","All",1,0.999931,6.90463E-05,0.500001,6.9046E-5,6.90463E-05,1,6.90463E-05,9.99941E-06,3,3.39225,0.72885,0.2,0.199999,0.199999,0.2,0.200002,1,1,0.290542,0.191628,,,5.78073E-05,,,,,0,0,1.124E-5,0.308045,9.99995,9.99992,19.9999,0.000132835,9.99995,9.9999,2.98663E-05,3.652E-05,1.0066E-6,3.75262E-5,2.9805E-05,1.27913E-06,9.29694E-05,0.000122836,3.39225E-05,5.90469E-05,9.06381E-06,4.99831E-05,0,5.78073E-5,0.418885,0,0,0,0.146286,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,6.90463E-5,6.90463E-05,0.999931,0,5.78073E-05,0,0,7.77693E-6,3.4621E-6
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,3.00002,3.39227,0.728847,0.199997,0.199999,0.2,0.200001,0.200003,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.39227E-05,10,9.99995,0,0,0,0,0,0,3.39227E-05,3.39227E-05,3.39227E-05,0,0,0,0,0,,0,0,0,,0,-5.27302E-07,0.176196,0.215679,0.216243,0.215682,0.1762,0.176196,0.215679,0.216244,0.215679,0.176202,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","DisputeArises",6.9E-5,0,1,0.467045,1,1,1,1,0.144822,2.83522,3.16761,0.773726,0.244784,0.210401,0.187925,0.178587,0.178303,1,1,0.290542,0.191628,,,0.837224,,,,,0,0,0.162776,0.308045,9.23471,9.33271,18.5674,1.43259,9.23471,9.33268,0.432555,0.528914,0.0145788,0.543493,0.431666,0.0185256,0.85521,1.28777,3.16761E-05,0.855178,0.131271,0.723907,0,0.837224,0.418885,0,0,0,0.146286,0,0.00763641,0.205907,0.2376,0.21626,0.193821,0.146413,0.210601,0.229819,0.205125,0.22829,0.126164,1,1,0,0,0.837224,0,0,0.112633,0.0501422
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","PFiles",6.9E-5,0,1,0.467045,1,1,1,1,0.144822,2.83522,3.16761,0.773726,0.244784,0.210401,0.187925,0.178587,0.178303,1,1,0.290542,0.191628,,,0.837224,,,,,0,0,0.162776,0.308045,9.23471,9.33271,18.5674,1.43259,9.23471,9.33268,0.432555,0.528914,0.0145788,0.543493,0.431666,0.0185256,0.85521,1.28777,3.16761E-05,0.855178,0.131271,0.723907,0,0.837224,0.418885,0,0,0,0.146286,0,0.00763641,0.205907,0.2376,0.21626,0.193821,0.146413,0.210601,0.229819,0.205125,0.22829,0.126164,1,1,0,0,0.837224,0,0,0.112633,0.0501422
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","DAnswers",6.9E-5,0,1,0.467045,1,1,1,1,0.144822,2.83522,3.16761,0.773726,0.244784,0.210401,0.187925,0.178587,0.178303,1,1,0.290542,0.191628,,,0.837224,,,,,0,0,0.162776,0.308045,9.23471,9.33271,18.5674,1.43259,9.23471,9.33268,0.432555,0.528914,0.0145788,0.543493,0.431666,0.0185256,0.85521,1.28777,3.16761E-05,0.855178,0.131271,0.723907,0,0.837224,0.418885,0,0,0,0.146286,0,0.00763641,0.205907,0.2376,0.21626,0.193821,0.146413,0.210601,0.229819,0.205125,0.22829,0.126164,1,1,0,0,0.837224,0,0,0.112633,0.0501422
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","Litigated",6.9E-5,0,1,0.467045,1,1,1,1,0.144822,2.83522,3.16761,0.773726,0.244784,0.210401,0.187925,0.178587,0.178303,1,1,0.290542,0.191628,,,0.837224,,,,,0,0,0.162776,0.308045,9.23471,9.33271,18.5674,1.43259,9.23471,9.33268,0.432555,0.528914,0.0145788,0.543493,0.431666,0.0185256,0.85521,1.28777,3.16761E-05,0.855178,0.131271,0.723907,0,0.837224,0.418885,0,0,0,0.146286,0,0.00763641,0.205907,0.2376,0.21626,0.193821,0.146413,0.210601,0.229819,0.205125,0.22829,0.126164,1,1,0,0,0.837224,0,0,0.112633,0.0501422
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","Not Litigated",0.9999,1,0,0.500003,0,0,1,0,0,3.00002,3.39227,0.728847,0.199997,0.199999,0.2,0.200001,0.200003,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.39227E-05,10,9.99995,0,0,0,0,0,0,3.39227E-05,3.39227E-05,3.39227E-05,0,0,0,0,0,,0,0,0,,0,-5.27302E-07,0.176196,0.215679,0.216243,0.215682,0.1762,0.176196,0.215679,0.216244,0.215679,0.176202,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","Settles",5.8E-5,0,1,0.490006,1,1,1,1,0.147981,2.95003,3.29037,0.75889,0.225685,0.200138,0.178974,0.188866,0.206337,1,1,0.209442,0.209442,,,1,,,,,0,0,0,,9.21888,9.38108,18.6,1.40003,9.21888,9.38107,0.4,0.481402,0.0016995,0.483101,0.274643,0.0016995,0.852052,1.25205,3.29037E-05,0.852019,0.125842,0.726177,0,1,0.418885,0,0,0,0.138502,0,-0.192671,0.206673,0.251479,0.185673,0.195697,0.160479,0.144578,0.240404,0.19165,0.272675,0.150693,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","Tried",1.1E-5,0,1,0.348943,1,1,1,1,0.128572,2.24471,2.53621,0.850031,0.343022,0.263185,0.233965,0.125715,0.0341132,1,1,0.70767,0.1,,,0,,,,,0,0,1,0.308045,9.31609,9.08389,18.4,1.60003,9.31609,9.08379,0.6,0.773291,0.0808228,0.854113,1.23931,0.10507,0.871453,1.47145,2.53621E-05,0.871428,0.159196,0.712232,0,0,,0,0,0,0.186319,0,1.0379,0.201967,0.166215,0.373582,0.18417,0.0740669,0.550186,0.175377,0.274437,0,0,1,1,0,0,0,0,0,0.691955,0.308045
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","PWins",3.5E-6,0,1,0.468356,1,1,1,1,0.132285,2.84178,2.55342,0.971613,0.183311,0.224598,0.253291,0.244599,0.0942004,1,1,0.752329,0.1,,,0,,,,,0,0,1,1,10.7,7.69997,18.4,1.60003,10.7,7.69988,0.6,1.89698,0,1.89698,3.83914,0,0.86774,1.46774,2.55342E-05,0.867715,0.344463,0.523252,0,0,,0,0,0,0.403018,0,1.17659,0.147305,0.157364,0.301738,0.248388,0.145205,0.477107,0.135555,0.387339,0,0,1,1,0,0,0,0,0,0,1
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","DWins",7.8E-6,0,1,0.295782,1,1,1,1,0.126919,1.97891,2.52855,0.795905,0.414121,0.280363,0.225361,0.072791,0.00736357,1,1,0.687788,0.1,,,0,,,,,0,0,1,0,8.7,9.69997,18.4,1.60003,8.7,9.69989,0.6,0.273045,0.116804,0.389849,0.0819136,0.151845,0.873106,1.47311,2.52855E-05,0.873081,0.076719,0.796362,0,0,,0,0,0,0.0898489,0,0.976162,0.226302,0.170155,0.405565,0.155581,0.0423976,0.582719,0.193106,0.224175,0,0,1,1,0,0,0,0,0,1,0
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","Abandoned",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Neutral CM 1 PCPM 5 DM 2","5.843E-09","0.6651","276","PrecPower1",0.2,0.999915,8.45073E-05,0.1,8.4507E-5,8.45073E-05,1,8.45073E-05,1.05568E-05,1,3.28894,0.427054,1,0,0,0,0,1,1,0.237981,0.102476,,,6.52311E-05,,,,,0,0,1.928E-5,0.16462,9.99992,9.99993,19.9998,0.000155055,9.99992,9.99991,3.76581E-05,3.8379E-5,0,3.83787E-5,2.88924E-05,0,0.00010684,0.000144498,3.28894E-05,7.39505E-05,2.37821E-07,7.37126E-05,0,6.52311E-5,0.206417,0,0,0,0.00309561,0,0.560314,0.351394,0.334491,0.195957,0.0865991,0.0315591,0.553794,0.349595,0.0876364,0.00864384,0.000331562,8.45073E-5,8.45073E-05,0.999915,0,6.52311E-05,0,0,1.6103E-05,3.1732E-6
