"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 Noise 0.25,0.25 DM 2","1.236E-08","0.9523","36","All",1,0.999933,6.69049E-05,0.5,6.6662E-5,6.6662E-05,1,6.69049E-05,9.99943E-06,3,3.32355,0.717015,0.2,0.2,0.2,0.2,0.2,1,1,0.100039,0.100001,,,6.66588E-05,,,,,5.33483E-11,1.37852E-13,3.186E-9,0.991315,9.99993,9.99994,19.9999,0.000126806,1000,1000,2.66654E-05,2.6659E-5,1.3784E-7,2.67973E-5,1.06676E-05,1.37849E-07,9.01411E-05,0.000116807,3.32357E-05,5.69054E-05,1.24047E-07,5.67814E-05,0,6.66588E-5,0.200002,5.33483E-11,1.37852E-13,1.11381E-17,0.002108,0,0,0.199894,0.200106,0.2,0.200106,0.199894,0.199894,0.200106,0.2,0.200106,0.199894,6.6662E-05,6.6662E-05,0.999933,1.33377E-11,6.66588E-05,5.33483E-11,1.37852E-13,2.7672E-11,3.1584E-9
"MODRA CM 1 Noise 0.25,0.25 DM 2","1.236E-08","0.9523","36","NoDispute",0.9999,1,0,0.500005,0,0,1,0,0,3.00002,3.32357,0.717015,0.199995,0.199997,0.200001,0.200003,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.32359E-05,1000,1000,0,0,0,0,0,0,3.32359E-05,3.32359E-05,3.32359E-05,0,0,0,0,0,,0,0,0,,0,-1.29179E-07,0.199889,0.200103,0.200001,0.200108,0.199898,0.199889,0.200103,0.200001,0.200108,0.199898,0,0,1,0,0,0,0,0,0
"MODRA CM 1 Noise 0.25,0.25 DM 2","1.236E-08","0.9523","36","DisputeArises",6.7E-5,0,1,0.429971,0.99637,0.99637,1,1,0.149457,2.64985,3.11623,0.715987,0.272465,0.240287,0.188985,0.161453,0.13681,1,1,0.100039,0.100001,,,0.996322,,,,,7.97376E-07,2.06042E-09,4.762E-5,0.991315,9.00008,9.60133,18.6014,1.39859,998.808,999.771,0.398558,0.398469,0.0020602,0.400529,0.159444,0.00206037,0.850574,1.24913,3.11623E-05,0.850543,0.00185408,0.848688,0,0.996322,0.200002,7.97376E-07,2.06042E-09,1.66477E-13,0.002108,0,0.00193066,0.271701,0.240404,0.189603,0.161839,0.136454,0.272307,0.241105,0.188312,0.161822,0.136454,0.99637,0.99637,0.00362976,1.99354E-07,0.996322,7.97376E-07,2.06042E-09,4.13598E-7,4.7207E-5
"MODRA CM 1 Noise 0.25,0.25 DM 2","1.236E-08","0.9523","36","PFiles",6.7E-5,0,1,0.430092,1,1,1,1,0.149564,2.65046,3.1203,0.714692,0.273458,0.239279,0.187915,0.162041,0.137308,1,1,0.100039,0.100001,,,0.999951,,,,,8.00281E-07,2.06793E-09,4.779E-5,0.991315,9.00008,9.59988,18.6,1.40004,998.808,999.77,0.400009,0.39992,0.0003087,0.400229,0.160025,0.000308904,0.850467,1.25048,3.1203E-05,0.850436,0.000313601,0.850123,0,0.999951,0.200002,8.00281E-07,2.06793E-09,1.67083E-13,0.000356707,0,-0.00181845,0.272691,0.241279,0.186651,0.162429,0.136951,0.273186,0.238454,0.188998,0.162412,0.136951,1,1,0,2.0008E-07,0.999951,8.00281E-07,2.06793E-09,4.15104E-7,4.7379E-5
"MODRA CM 1 Noise 0.25,0.25 DM 2","1.236E-08","0.9523","36","DAnswers",6.7E-5,0,1,0.430092,1,1,1,1,0.149564,2.65046,3.1203,0.714692,0.273458,0.239279,0.187915,0.162041,0.137308,1,1,0.100039,0.100001,,,0.999951,,,,,8.00281E-07,2.06793E-09,4.779E-5,0.991315,9.00008,9.59988,18.6,1.40004,998.808,999.77,0.40001,0.39992,0.0003087,0.400229,0.160024,0.000308904,0.850467,1.25048,3.1203E-05,0.850436,0.000313601,0.850123,0,0.999951,0.200002,8.00281E-07,2.06793E-09,1.67083E-13,0.000356707,0,-0.00181845,0.272691,0.241279,0.186651,0.162429,0.136951,0.273186,0.238454,0.188998,0.162412,0.136951,1,1,0,0,0.999951,8.00281E-07,2.06793E-09,4.15104E-7,4.7379E-5
"MODRA CM 1 Noise 0.25,0.25 DM 2","1.236E-08","0.9523","36","Litigated",6.7E-5,0,1,0.430092,1,1,1,1,0.149564,2.65046,3.1203,0.714692,0.273458,0.239279,0.187915,0.162041,0.137308,1,1,0.100039,0.100001,,,0.999951,,,,,8.00281E-07,2.06793E-09,4.779E-5,0.991315,9.00008,9.59988,18.6,1.40004,998.808,999.77,0.40001,0.39992,0.0003087,0.400229,0.160024,0.000308904,0.850467,1.25048,3.1203E-05,0.850436,0.000313601,0.850123,0,0.999951,0.200002,8.00281E-07,2.06793E-09,1.67083E-13,0.000356707,0,-0.00181845,0.272691,0.241279,0.186651,0.162429,0.136951,0.273186,0.238454,0.188998,0.162412,0.136951,1,1,0,0,0.999951,8.00281E-07,2.06793E-09,4.15104E-7,4.7379E-5
"MODRA CM 1 Noise 0.25,0.25 DM 2","1.236E-08","0.9523","36","Not Litigated",0.9999,1,2.42878E-07,0.500005,1.334E-11,0,1,2.42878E-07,2.92104E-08,3.00002,3.32356,0.717015,0.199995,0.199997,0.200001,0.200003,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.34787E-05,1000,1000,1.33386E-12,2.667E-11,1.1726E-7,1.17291E-7,5.33402E-11,1.17265E-07,3.34495E-05,3.34495E-05,3.32358E-05,2.13668E-07,1.03149E-07,1.10519E-07,0,0,,0,0,0,0.482813,0,1.21229E-07,0.199889,0.200103,0.200001,0.200108,0.199898,0.199889,0.200103,0.200001,0.200108,0.199898,1.3339E-11,0,1,1.33386E-11,0,0,0,0,0
"MODRA CM 1 Noise 0.25,0.25 DM 2","1.236E-08","0.9523","36","Settles",6.7E-5,0,1,0.430089,1,1,1,1,0.149565,2.65045,3.12035,0.714669,0.273471,0.23929,0.187876,0.162049,0.137315,1,1,0.100001,0.100001,,,1,,,,,0,0,0,,9,9.59997,18.6,1.40003,998.808,999.771,0.4,0.399878,0.0003082,0.400186,0.159952,0.00030822,0.850466,1.25047,3.12035E-05,0.850435,0.00027176,0.850163,0,1,0.200002,0,0,0,0.000308927,0,-0.00191413,0.272704,0.241291,0.18666,0.162389,0.136957,0.273199,0.238417,0.189007,0.162419,0.136957,1,1,0,0,1,0,0,0,0
"MODRA CM 1 Noise 0.25,0.25 DM 2","1.236E-08","0.9523","36","Tried",3.2E-9,0,1,0.499983,1,1,1,1,0.124289,2.99992,1.99995,1.19301,2.78387E-05,2.79261E-05,0.999944,5.40392E-07,4.60046E-10,1,1,0.9,0.1,,,0,,,,,0,0,1,0.991315,10.6826,7.71735,18.4,1.60002,1000.12,981.783,0.6,1.28872,0.0112549,1.29997,1.67533,0.0146313,0.875731,1.47573,1.99995E-05,0.875711,0.875686,2.53758E-05,0,0,,0,0,0,0.999972,0,1.99995,9.13613E-10,5.47706E-05,6.28373E-07,0.999944,6.10788E-07,5.56333E-05,0.999944,4.10351E-07,5.44138E-10,4.58835E-10,1,1,0,0,0,0,0,0.00868525,0.991315
"MODRA CM 1 Noise 0.25,0.25 DM 2","1.236E-08","0.9523","36","PWins",3.2E-9,0,1,0.499994,1,1,1,1,0.12429,2.99997,1.99997,1.19302,5.95727E-07,2.76485E-05,0.999971,5.32434E-07,1.51178E-14,1,1,0.9,0.1,,,0,,,,,0,0,1,1,10.7,7.69998,18.4,1.60002,1000.14,981.625,0.6,1.3,0,1.3,1.69,0,0.87573,1.47573,1.99997E-05,0.87571,0.87571,5.5856E-07,0,0,,0,0,0,0.999999,0,1.99997,4.03637E-13,2.75914E-05,6.26456E-07,0.999971,5.41893E-07,2.8338E-05,0.999971,4.0197E-07,5.60581E-16,6.57632E-16,1,1,0,0,0,0,0,0,1
