"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 Noise 0.5,0.5 UPC 1.2E-05","1.494E-08","0.345","38","All",1,0.999931,6.94482E-05,0.5,7.8213E-7,7.82096E-07,1,6.94482E-05,9.9994E-06,3,3,0.687141,0.2,0.199999,0.2,0.2,0.200001,1,1,0.715664,0.100006,,,2.08699E-11,,,,,1.02390E-17,1.22656E-14,7.821E-7,0.341518,9.99993,9.99996,19.9999,0.000105918,9.99993,9.99996,4.69257E-07,4.8321E-7,1.41E-08,4.97313E-7,4.69713E-07,1.20574E-08,9.5449E-05,9.59183E-05,3.60002E-05,5.94488E-05,2.14182E-08,5.94274E-05,0,2.087E-11,0.271749,1.02390E-17,1.22656E-14,9.8626E-25,0.000360096,0,0,0.194059,0.205848,0.200187,0.205848,0.194059,0.194059,0.205848,0.200187,0.205848,0.194059,7.8213E-07,7.82096E-07,0.999999,3.38472E-11,2.08699E-11,1.02390E-17,1.22656E-14,5.14982E-7,2.6709E-7
"Risk Neutral CM 1 Noise 0.5,0.5 UPC 1.2E-05","1.494E-08","0.345","38","NoDispute",0.9999,1,0,0.500005,0,0,1,0,0,3.00002,3.00001,0.687141,0.199996,0.199997,0.2,0.200003,0.200005,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.60004E-05,10,9.99996,0,0,0,0,0,0,3.60004E-05,3.60004E-05,3.60004E-05,0,0,0,0,0,,0,0,0,,0,-1.12648E-06,0.194055,0.205845,0.200187,0.20585,0.194063,0.194055,0.205844,0.200187,0.205851,0.194063,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 Noise 0.5,0.5 UPC 1.2E-05","1.494E-08","0.345","38","DisputeArises",6.9E-5,0,1,0.43346,0.011262,0.0112616,1,1,0.143984,2.6673,2.78385,0.691052,0.269165,0.230883,0.204298,0.154798,0.140856,1,1,0.715664,0.100006,,,3.0051E-07,,,,,1.47433E-13,1.76615E-10,0.011261,0.341518,9.00047,9.99274,18.9932,1.00679,9.00047,9.99274,0.00675693,0.0069579,0.000203,0.00716091,0.0067635,0.000173617,0.85605,0.862807,3.34062E-05,0.856016,0.000308405,0.855708,0,3.0051E-07,0.271749,1.47433E-13,1.76615E-10,1.42014E-20,0.000360096,0,0.0162193,0.251797,0.24742,0.202871,0.166138,0.131774,0.252454,0.254559,0.20212,0.159815,0.131052,0.011262,0.0112616,0.988738,4.87373E-07,3.0051E-07,1.47433E-13,1.76615E-10,0.00741534,0.0038459
"Risk Neutral CM 1 Noise 0.5,0.5 UPC 1.2E-05","1.494E-08","0.345","38","PFiles",7.8E-7,0,1,0.588999,1,0.999957,1,1,0.139315,3.445,2.43512,0.957022,1.34233E-05,0.0119913,0.546339,0.4263,0.0153564,1,1,0.715664,0.100006,,,2.66834E-05,,,,,1.30912E-11,1.56824E-08,0.99993,0.341518,9.04156,9.35844,18.4,1.6,9.04156,9.35844,0.599973,0.617816,0.0134187,0.631235,0.600557,0.0108067,0.860714,1.46069,2.92215E-05,0.860685,0.0234194,0.837266,0,2.66834E-5,0.271749,1.30912E-11,1.56824E-08,1.26099E-18,0.0273649,0,2.01747,9.93408E-06,1.52795E-05,1.40449E-05,0.556229,0.443732,0.00909289,0.555677,0.435196,1.72326E-05,1.76771E-05,1,0.999957,0,4.32757E-05,2.66834E-05,1.30912E-11,1.56824E-08,0.658436,0.341494
"Risk Neutral CM 1 Noise 0.5,0.5 UPC 1.2E-05","1.494E-08","0.345","38","DAnswers",7.8E-7,0,1,0.588996,1,1,1,1,0.139316,3.44498,2.4352,0.957,1.23023E-05,0.0119864,0.546352,0.426306,0.0153426,1,1,0.715664,0.100006,,,2.66846E-05,,,,,1.30917E-11,1.5683E-08,0.999973,0.341518,9.04152,9.35846,18.4,1.60002,9.04152,9.35846,0.599995,0.617842,0.0134151,0.631257,0.600582,0.0108067,0.860713,1.46071,2.92224E-05,0.860684,0.0233829,0.837301,0,2.66846E-5,0.271749,1.30917E-11,1.5683E-08,1.26105E-18,0.0273242,0,2.01756,8.31886E-06,9.76871E-06,4.9403E-06,0.556239,0.443738,0.00909328,0.555695,0.435204,3.62524E-06,4.30859E-06,1,1,0,0,2.66846E-05,1.30917E-11,1.5683E-08,0.658465,0.341509
"Risk Neutral CM 1 Noise 0.5,0.5 UPC 1.2E-05","1.494E-08","0.345","38","Litigated",7.8E-7,0,1,0.588996,1,1,1,1,0.139316,3.44498,2.4352,0.957,1.23023E-05,0.0119864,0.546352,0.426306,0.0153426,1,1,0.715664,0.100006,,,2.66846E-05,,,,,1.30917E-11,1.5683E-08,0.999973,0.341518,9.04152,9.35846,18.4,1.60002,9.04152,9.35846,0.599995,0.617842,0.0134151,0.631257,0.600582,0.0108067,0.860713,1.46071,2.92224E-05,0.860684,0.0233829,0.837301,0,2.66846E-5,0.271749,1.30917E-11,1.5683E-08,1.26105E-18,0.0273242,0,2.01756,8.31886E-06,9.76871E-06,4.9403E-06,0.556239,0.443738,0.00909328,0.555695,0.435204,3.62524E-06,4.30859E-06,1,1,0,0,2.66846E-05,1.30917E-11,1.5683E-08,0.658465,0.341509
"Risk Neutral CM 1 Noise 0.5,0.5 UPC 1.2E-05","1.494E-08","0.345","38","Not Litigated",1,0.999931,6.86662E-05,0.5,3.385E-11,0,1,6.86662E-05,9.89045E-06,3,3,0.687141,0.200001,0.199999,0.2,0.199999,0.200001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99996,19.9999,0.000104666,9.99993,9.99996,3.38473E-12,1.088E-12,3.6084E-9,3.60952E-9,1.08808E-12,3.60549E-09,9.47759E-05,9.47759E-05,3.60002E-05,5.87758E-05,3.13051E-09,5.87726E-05,0,0,,0,0,0,5.29797E-05,0,-1.57792E-06,0.194059,0.205848,0.200187,0.205847,0.194059,0.194059,0.205847,0.200187,0.205848,0.194059,3.3847E-11,0,1,3.38473E-11,0,0,0,0,0
"Risk Neutral CM 1 Noise 0.5,0.5 UPC 1.2E-05","1.494E-08","0.345","38","Settles",2E-11,0,1,0.417439,1,1,1,1,0.135162,2.5872,2.22329,0.801091,0.324507,0.228049,0.150068,0.130492,0.166884,1,1,0.271058,0.272441,,,1,,,,,0,0,0,,9.07175,9.52822,18.6,1.40003,9.07175,9.52822,0.4,0.326463,0.111055,0.437518,0.160116,0.0692912,0.864865,1.26487,2.66795E-05,0.864838,0.158514,0.706324,0,1,0.271749,0,0,0,0.183103,0,0.0537842,0.311748,0.262389,0.0962866,0.154453,0.175124,0.307994,0.248311,0.175827,0.106405,0.161463,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 Noise 0.5,0.5 UPC 1.2E-05","1.494E-08","0.345","38","Tried",7.8E-7,0,1,0.589001,1,1,1,1,0.139317,3.445,2.43521,0.957004,3.64306E-06,0.0119806,0.546363,0.426314,0.0153386,1,1,0.715676,0.100001,,,0,,,,,0,0,1,0.341518,9.04152,9.35845,18.4,1.60003,9.04152,9.35845,0.6,0.617849,0.0134125,0.631262,0.600593,0.0108052,0.860713,1.46071,2.92225E-05,0.860683,0.0233793,0.837304,0,0,,0,0,0,0.02732,0,2.01761,3.07753E-12,2.76704E-06,2.371E-06,0.55625,0.443745,0.00908531,0.555703,0.435211,7.85884E-07,1.58486E-12,1,1,0,0,0,0,0,0.658482,0.341518
"Risk Neutral CM 1 Noise 0.5,0.5 UPC 1.2E-05","1.494E-08","0.345","38","PWins",2.7E-7,0,1,0.557821,1,1,1,1,0.132134,3.28911,2.22614,0.985571,1.57486E-06,0.00168903,0.7396,0.226621,0.0320884,1,1,0.722544,0.100003,,,0,,,,,0,0,1,1,9.7,8.69997,18.4,1.60003,9.7,8.69997,0.6,1.23528,0.0194165,1.25469,1.58645,0.00582494,0.867893,1.46789,2.67137E-05,0.867866,0.055526,0.81234,0,0,,0,0,0,0.0647215,0,2.02408,4.49684E-12,3.82132E-06,3.58312E-06,0.756063,0.24393,0.00631311,0.767535,0.226151,1.19434E-06,3.62958E-12,1,1,0,0,0,0,0,0,1
