"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 Noise 2,0.5 LT 0.8","1.383E-07","0.9619","35","All",1,0.999935,6.50958E-05,0.500001,1.4334E-5,1.43337E-05,1,6.50958E-05,9.99945E-06,3,3.60009,0.652667,0.2,0.199999,0.2,0.2,0.200001,1,1,0.541932,0.221087,,,7.44142E-06,,,,,3.64043E-12,1.83739E-18,6.892E-6,0.159734,9.99993,9.99996,19.9999,0.000108209,9.99993,9.99996,7.11193E-06,3.8372E-6,1.0216E-5,1.40536E-5,1.8242E-06,9.57313E-06,9.10975E-05,9.82094E-05,3.60011E-05,5.50964E-05,9.57556E-06,4.55208E-05,0,7.44142E-6,0.333237,3.64043E-12,1.83739E-18,5.65883E-25,0.182626,0,-4.1109E-15,0.173017,0.21306,0.227846,0.21306,0.173017,0.194059,0.205848,0.200187,0.205848,0.194059,1.43337E-5,1.43337E-05,0.999986,5.90435E-11,7.44142E-06,3.64043E-12,1.83739E-18,5.79132E-6,1.1009E-6
"Risk Neutral CM 1 Noise 2,0.5 LT 0.8","1.383E-07","0.9619","35","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,3.6001,0.652668,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.60012E-05,10,9.99996,0,0,0,0,0,0,3.60012E-05,3.60012E-05,3.60012E-05,0,0,0,0,0,,0,0,0,,0,-1.13855E-05,0.173016,0.213059,0.227846,0.213061,0.173019,0.194055,0.205845,0.200187,0.20585,0.194062,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 Noise 2,0.5 LT 0.8","1.383E-07","0.9619","35","DisputeArises",6.5E-5,0,1,0.445476,0.220194,0.220193,1,1,0.153611,2.72738,3.50413,0.636744,0.257189,0.226187,0.199673,0.165956,0.150994,1,1,0.541932,0.221087,,,0.114315,,,,,5.59242E-08,2.82259E-14,0.105879,0.159734,9.00038,9.89033,18.8907,1.10929,9.00038,9.89033,0.109253,0.0589468,0.156945,0.215891,0.0280233,0.147062,0.846424,0.955677,3.50413E-05,0.846389,0.147099,0.699289,0,0.114315,0.333237,5.59242E-08,2.82259E-14,8.69307E-21,0.182626,0,0.174892,0.19586,0.227972,0.227765,0.198086,0.150316,0.250131,0.245734,0.19382,0.1705,0.139815,0.220194,0.220193,0.779806,9.07025E-07,0.114315,5.59242E-08,2.82259E-14,0.0889661,0.0169125
"Risk Neutral CM 1 Noise 2,0.5 LT 0.8","1.383E-07","0.9619","35","PFiles",1.4E-5,0,1,0.504079,1,0.999996,1,1,0.160593,3.02039,3.52095,0.682713,0.184141,0.244283,0.167817,0.174563,0.229197,1,1,0.541932,0.221087,,,0.519154,,,,,2.53976E-07,1.28186E-13,0.480841,0.159734,9.00173,9.50207,18.5038,1.4962,9.00173,9.50207,0.496167,0.267703,0.169186,0.43689,0.127266,0.124305,0.839442,1.33561,3.52095E-05,0.839407,0.230299,0.609108,0,0.519154,0.333237,2.53976E-07,1.28186E-13,3.94791E-20,0.285818,0,1.77132,8.81709E-07,1.06464E-06,1.11303E-06,0.317345,0.682652,0.197434,0.28161,0.134962,0.184183,0.201811,1,0.999996,0,4.1192E-06,0.519154,2.53976E-07,1.28186E-13,0.404035,0.0768069
"Risk Neutral CM 1 Noise 2,0.5 LT 0.8","1.383E-07","0.9619","35","DAnswers",1.4E-5,0,1,0.504079,1,1,1,1,0.160593,3.02039,3.52096,0.68271,0.184141,0.244283,0.167816,0.174563,0.229197,1,1,0.541932,0.221087,,,0.519156,,,,,2.53978E-07,1.28187E-13,0.480843,0.159734,9.00173,9.50207,18.5038,1.4962,9.00173,9.50207,0.496169,0.267704,0.169187,0.436891,0.127266,0.124305,0.839442,1.33561,3.52096E-05,0.839407,0.230297,0.60911,0,0.519156,0.333237,2.53978E-07,1.28187E-13,3.94792E-20,0.285815,0,1.77133,2.56584E-07,2.78933E-07,2.58658E-07,0.317345,0.682654,0.197434,0.28161,0.134962,0.184183,0.201811,1,1,0,0,0.519156,2.53978E-07,1.28187E-13,0.404036,0.0768073
"Risk Neutral CM 1 Noise 2,0.5 LT 0.8","1.383E-07","0.9619","35","Litigated",1.4E-5,0,1,0.504079,1,1,1,1,0.160593,3.02039,3.52096,0.68271,0.184141,0.244283,0.167816,0.174563,0.229197,1,1,0.541932,0.221087,,,0.519156,,,,,2.53978E-07,1.28187E-13,0.480843,0.159734,9.00173,9.50207,18.5038,1.4962,9.00173,9.50207,0.496169,0.267704,0.169187,0.436891,0.127266,0.124305,0.839442,1.33561,3.52096E-05,0.839407,0.230297,0.60911,0,0.519156,0.333237,2.53978E-07,1.28187E-13,3.94792E-20,0.285815,0,1.77133,2.56584E-07,2.78933E-07,2.58658E-07,0.317345,0.682654,0.197434,0.28161,0.134962,0.184183,0.201811,1,1,0,0,0.519156,2.53978E-07,1.28187E-13,0.404036,0.0768073
"Risk Neutral CM 1 Noise 2,0.5 LT 0.8","1.383E-07","0.9619","35","Not Litigated",1,0.999949,5.07629E-05,0.5,5.904E-11,0,1,5.07629E-05,7.69766E-06,3,3.60009,0.652667,0.2,0.199999,0.200001,0.2,0.2,1,1,,,,,0,,,,,0,0,0,,9.99995,9.99996,19.9999,8.6764E-05,9.99995,9.99996,5.90444E-12,2.695E-12,7.7915E-6,7.7915E-06,2.69539E-12,7.79149E-06,7.90664E-05,7.90664E-05,3.60011E-05,4.30652E-05,6.27465E-06,3.67906E-05,0,0,,0,0,0,0.153489,0,-2.539E-05,0.17302,0.213063,0.227849,0.213058,0.17301,0.194059,0.205847,0.200188,0.205848,0.194059,5.9044E-11,0,1,5.90444E-11,0,0,0,0,0
"Risk Neutral CM 1 Noise 2,0.5 LT 0.8","1.383E-07","0.9619","35","Settles",7.4E-6,0,1,0.48972,1,1,1,1,0.160385,2.9486,3.38873,0.714836,0.249449,0.298177,0.063516,0.0320395,0.356818,1,1,0.333237,0.333238,,,1,,,,,0,0,0,,9.13324,9.46673,18.6,1.40003,9.13324,9.46673,0.4,0.193008,0.248417,0.441426,0.0751347,0.166214,0.839649,1.23965,3.38873E-05,0.839615,0.335498,0.504117,0,1,0.333237,0,0,0,0.420461,0,1.48495,4.19835E-07,3.9901E-07,3.98646E-07,0.61127,0.388729,0.262414,0.348857,6.29669E-07,5.82351E-07,0.388728,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 Noise 2,0.5 LT 0.8","1.383E-07","0.9619","35","Tried",6.9E-6,0,1,0.519582,1,1,1,1,0.160818,3.09791,3.66372,0.648023,0.113628,0.186094,0.280427,0.328442,0.0914087,1,1,0.767256,0.1,,,0,,,,,0,0,1,0.159734,8.85973,9.54023,18.4,1.60004,8.85973,9.54023,0.6,0.348352,0.0836433,0.431995,0.183552,0.0790574,0.839218,1.43922,3.66372E-05,0.839182,0.116713,0.722468,0,0,,0,0,0,0.14044,0,2.08052,8.03251E-08,1.49289E-07,1.07516E-07,6.1154E-08,1,0.127277,0.209006,0.280676,0.383041,3.35895E-07,1,1,0,0,0,0,0,0.840266,0.159734
"Risk Neutral CM 1 Noise 2,0.5 LT 0.8","1.383E-07","0.9619","35","PWins",1.1E-6,0,1,0.670719,1,1,1,1,0.165576,3.85359,3.61758,0.800115,0.000824433,0.152099,0.229574,0.227663,0.389839,1,1,0.776484,0.100001,,,0,,,,,0,0,1,1,9.7,8.69996,18.4,1.60004,9.7,8.69996,0.6,0.680663,0.185801,0.866464,0.699061,0.0557403,0.83446,1.43446,3.61758E-05,0.834424,0.515482,0.318942,0,0,,0,0,0,0.619337,0,1.83808,1.75036E-07,3.4134E-07,2.59619E-07,1.56903E-07,0.999999,0.0270892,0.355331,0.046153,0.571426,1.38471E-06,1,1,0,0,0,0,0,0,1
