"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 Noise 2,2 LT 0.8","8.211E-08","0.8953","50","All",1,0.999937,6.32063E-05,0.500002,8.375E-11,1.26463E-11,1,6.32063E-05,9.99947E-06,3.00001,4,0.544168,0.199998,0.199999,0.2,0.200001,0.200003,1,1,0.100001,0.100001,,,1.26463E-11,,,,,1.01211E-17,1.23977E-23,2.03E-24,1.05725E-6,9.99994,9.99996,19.9999,0.000103207,1000,1000,4.86743E-11,1.871E-11,1.1826E-5,1.18262E-5,1.77815E-11,1.18262E-05,9.3207E-05,9.32071E-05,4.00002E-05,5.32069E-05,9.78283E-06,4.3424E-05,0,1.2646E-11,0.100001,1.01211E-17,1.23977E-23,2.02503E-24,0.187105,0,-2.61546E-15,0.173017,0.21306,0.227846,0.21306,0.173017,0.173017,0.21306,0.227846,0.21306,0.173017,8.3747E-11,1.26463E-11,1,7.11005E-11,1.26463E-11,1.01211E-17,1.23977E-23,2.025E-24,2.141E-30
"MODRA CM 4 Noise 2,2 LT 0.8","8.211E-08","0.8953","50","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,4,0.544168,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.00002E-05,1000,1000,0,0,0,0,0,0,4.00002E-05,4.00002E-05,4.00002E-05,0,0,0,0,0,,0,0,0,,0,0,0.173016,0.213059,0.227846,0.213061,0.173018,0.173016,0.213059,0.227846,0.213061,0.173018,0,0,1,0,0,0,0,0,0
"MODRA CM 4 Noise 2,2 LT 0.8","8.211E-08","0.8953","50","DisputeArises",6.3E-5,0,1,0.482586,1.325E-06,2.0008E-07,1,1,0.158204,2.91293,4,0.531355,0.22163,0.206948,0.195388,0.18893,0.187104,1,1,0.100001,0.100001,,,2.0008E-07,,,,,1.60128E-13,1.96146E-19,3.2E-20,1.05725E-6,9,9.99996,19,1.00004,998.808,1000,7.70086E-07,2.9596E-7,0.187105,0.187105,2.81325E-07,0.187104,0.841836,0.841837,4E-05,0.841796,0.154776,0.68702,0,2.0008E-07,0.100001,1.60128E-13,1.96146E-19,3.20384E-20,0.187105,0,-4.07077E-15,0.193717,0.226569,0.227794,0.199511,0.152409,0.193717,0.226569,0.227794,0.199511,0.152409,1.32497E-6,2.0008E-07,0.999999,1.12489E-06,2.0008E-07,1.60128E-13,1.96146E-19,3.2038E-20,3.387E-26
"MODRA CM 4 Noise 2,2 LT 0.8","8.211E-08","0.8953","50","PFiles",8E-11,0,1,0.492169,1,0.151007,1,1,0.119446,2.96084,1.71986,1.23295,0.211608,0.202308,0.195888,0.194025,0.196171,1,1,0.100001,0.100001,,,0.151007,,,,,1.20853E-07,1.48038E-13,2.42E-14,1.05725E-6,9.40369,9.01508,18.4188,1.58123,998.99,998.846,0.581208,0.223373,0.342471,0.565844,0.212325,0.19943,0.880571,1.46178,1.71986E-05,0.880554,0.678578,0.201976,0,0.151007,0.100001,1.20853E-07,1.48038E-13,2.41804E-14,0.764352,0,-6.38637E-14,0.181325,0.218459,0.227801,0.207627,0.164788,0.181325,0.218459,0.227801,0.207627,0.164788,1,0.151007,0,0.848993,0.151007,1.20853E-07,1.48038E-13,2.418E-14,2.556E-20
"MODRA CM 4 Noise 2,2 LT 0.8","8.211E-08","0.8953","50","DAnswers",1E-11,0,1,0.482586,1,1,1,1,0.158204,2.91293,4,0.531355,0.22163,0.206948,0.195388,0.18893,0.187104,1,1,0.100001,0.100001,,,0.999999,,,,,8.00319E-07,9.80339E-13,1.6E-13,1.05725E-6,8.3,9.09996,17.4,2.60004,994.596,999.058,1.6,0.731606,0.318078,1.04968,0.658446,0.540732,0.841836,2.44184,4E-05,0.841796,0.154776,0.68702,0,0.999999,0.100001,8.00319E-07,9.80339E-13,1.60128E-13,0.187105,0,-5.1003E-14,0.193717,0.226569,0.227794,0.199511,0.152409,0.193717,0.226569,0.227794,0.199511,0.152409,1,1,0,0,0.999999,8.00319E-07,9.80339E-13,1.6013E-13,1.693E-19
"MODRA CM 4 Noise 2,2 LT 0.8","8.211E-08","0.8953","50","Litigated",1E-11,0,1,0.482586,1,1,1,1,0.158204,2.91293,4,0.531355,0.22163,0.206948,0.195388,0.18893,0.187104,1,1,0.100001,0.100001,,,0.999999,,,,,8.00319E-07,9.80339E-13,1.6E-13,1.05725E-6,8.3,9.09996,17.4,2.60004,994.596,999.058,1.6,0.731606,0.318078,1.04968,0.658446,0.540732,0.841836,2.44184,4E-05,0.841796,0.154776,0.68702,0,0.999999,0.100001,8.00319E-07,9.80339E-13,1.60128E-13,0.187105,0,-5.1003E-14,0.193717,0.226569,0.227794,0.199511,0.152409,0.193717,0.226569,0.227794,0.199511,0.152409,1,1,0,0,0.999999,8.00319E-07,9.80339E-13,1.6013E-13,1.693E-19
"MODRA CM 4 Noise 2,2 LT 0.8","8.211E-08","0.8953","50","Not Litigated",1,0.999937,6.32063E-05,0.500002,7.11E-11,0,1,6.32063E-05,9.99946E-06,3.00001,4,0.544168,0.199998,0.199999,0.2,0.200001,0.200003,1,1,,,,,0,,,,,0,0,0,,9.99994,9.99996,19.9999,0.000103207,1000,1000,2.84402E-11,9.455E-12,1.1826E-5,1.18262E-5,9.45462E-12,1.18262E-05,9.3207E-05,9.32071E-05,4.00002E-05,5.32069E-05,9.78283E-06,4.3424E-05,0,0,,0,0,0,0.187105,0,-2.03049E-15,0.173017,0.21306,0.227846,0.21306,0.173017,0.173017,0.21306,0.227846,0.21306,0.173017,7.11E-11,0,1,7.11005E-11,0,0,0,0,0
"MODRA CM 4 Noise 2,2 LT 0.8","8.211E-08","0.8953","50","Settles",1E-11,0,1,0.482586,1,1,1,1,0.158204,2.91293,4,0.531355,0.22163,0.206948,0.195388,0.18893,0.187104,1,1,0.100001,0.100001,,,1,,,,,0,0,0,,8.3,9.09996,17.4,2.60004,994.596,999.058,1.6,0.731606,0.318078,1.04968,0.658446,0.540732,0.841836,2.44184,4E-05,0.841796,0.154776,0.68702,0,1,0.100001,0,0,0,0.187105,0,-3.05589E-14,0.193717,0.226569,0.227794,0.199511,0.152409,0.193717,0.226569,0.227794,0.199511,0.152409,1,1,0,0,1,0,0,0,0
"MODRA CM 4 Noise 2,2 LT 0.8","8.211E-08","0.8953","50","Tried",2E-24,0,1,0.482586,1,1,1,1,0.158204,2.91293,4,0.531355,0.22163,0.206948,0.195388,0.18893,0.187104,1,1,0.6,0.1,,,0,,,,,0,0,1,1.05725E-6,7.8,8.79996,16.6,3.40004,984.99,998.13,2.4,1.0129,0.41163,1.42453,1.17805,0.905586,0.841836,3.24184,4E-05,0.841796,0.154776,0.68702,0,0,,0,0,0,0.187105,0,-1.63035E-14,0.193717,0.226569,0.227794,0.199511,0.152409,0.193717,0.226569,0.227794,0.199511,0.152409,1,1,0,0,0,0,0,0.999999,1.0572E-6
"MODRA CM 4 Noise 2,2 LT 0.8","8.211E-08","0.8953","50","PWins",2E-30,0,1,0.503088,1,1,1,1,0.110849,3.01544,1.20644,1.39735,0.200001,0.197043,0.196694,0.200041,0.206221,1,1,0.9,0.4,,,0,,,,,0,0,1,1,8.8,7.79999,16.6,3.40001,998.13,984.99,2.4,1.3009,1.07892,2.37982,1.78307,1.2947,0.889163,3.28916,1.20644E-05,0.889151,0.801115,0.0880358,0,0,,0,0,0,0.899098,0,3.67389E-15,0.175308,0.214638,0.227928,0.211543,0.170582,0.175308,0.214638,0.227928,0.211543,0.170582,1,1,0,0,0,0,0,0,1
