"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 TIME 0.25 UPC 1.2E-05","1.19E-08","0.9099","47","All",1,0.999928,7.1671E-05,0.500001,7.1671E-5,7.1671E-05,1,7.1671E-05,9.99938E-06,3,2.8238,0.776867,0.2,0.199999,0.199999,0.2,0.200002,1,1,0.106857,0.100001,,,7.0892E-05,,,,,3.14972E-11,1.55875E-13,7.79E-07,0.329684,9.99993,9.99996,19.9999,0.000110991,1000,1000,5.43375E-06,8.2426E-6,1.2094E-5,2.03366E-5,1.34097E-06,1.13372E-05,9.55575E-05,0.000100991,3.38858E-05,6.16717E-05,1.07919E-05,5.08797E-05,0,7.0892E-05,0.100001,3.14972E-11,1.55875E-13,6.50783E-18,0.180582,0,-1.39777E-15,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,7.1671E-05,7.1671E-05,0.999928,1.43399E-11,7.0892E-05,3.14972E-11,1.55875E-13,5.22144E-7,2.5681E-7
"MODRA CM 0.25 TIME 0.25 UPC 1.2E-05","1.19E-08","0.9099","47","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,3.00002,2.8238,0.776868,0.199997,0.199998,0.2,0.200002,0.200003,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.38858E-05,1000,1000,0,0,0,0,0,0,3.38858E-05,3.38858E-05,3.38858E-05,0,0,0,0,0,,0,0,0,,0,-1.16652E-06,0.176196,0.215679,0.216243,0.215682,0.1762,0.176195,0.215679,0.216243,0.215682,0.1762,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 TIME 0.25 UPC 1.2E-05","1.19E-08","0.9099","47","DisputeArises",7.2E-5,0,1,0.464703,1,1,1,1,0.139518,2.82351,2.78181,0.755974,0.248795,0.213049,0.183426,0.175309,0.179421,1,1,0.106857,0.100001,,,0.989131,,,,,4.39469E-07,2.17487E-09,0.010868,0.329684,9.06459,9.85956,18.9242,1.07585,998.971,999.936,0.0758151,0.115007,0.168743,0.28375,0.01871,0.158184,0.860516,0.936331,3.33818E-05,0.860482,0.150576,0.709907,0,0.989131,0.100001,4.39469E-07,2.17487E-09,9.08014E-14,0.180582,0,0.0162749,0.207674,0.238628,0.215118,0.192164,0.146416,0.218185,0.232448,0.212003,0.191163,0.1462,1,1,2.0008E-07,2.0008E-07,0.989131,4.39469E-07,2.17487E-09,0.00728528,0.0035831
"MODRA CM 0.25 TIME 0.25 UPC 1.2E-05","1.19E-08","0.9099","47","PFiles",7.2E-5,0,1,0.464703,1,1,1,1,0.139518,2.82351,2.78181,0.755974,0.248795,0.213049,0.183426,0.175309,0.179421,1,1,0.106857,0.100001,,,0.989131,,,,,4.39469E-07,2.17487E-09,0.010868,0.329684,9.06459,9.85956,18.9242,1.07585,998.971,999.936,0.0758151,0.115007,0.168743,0.28375,0.01871,0.158184,0.860516,0.936331,3.33818E-05,0.860482,0.150576,0.709907,0,0.989131,0.100001,4.39469E-07,2.17487E-09,9.08014E-14,0.180582,0,0.0162749,0.207674,0.238628,0.215118,0.192164,0.146416,0.218185,0.232448,0.212003,0.191163,0.1462,1,1,0,2.0008E-07,0.989131,4.39469E-07,2.17487E-09,0.00728528,0.0035831
"MODRA CM 0.25 TIME 0.25 UPC 1.2E-05","1.19E-08","0.9099","47","DAnswers",7.2E-5,0,1,0.464703,1,1,1,1,0.139518,2.82351,2.78181,0.755974,0.248795,0.213049,0.183426,0.175309,0.179421,1,1,0.106857,0.100001,,,0.989131,,,,,4.39469E-07,2.17487E-09,0.010868,0.329684,9.06459,9.85956,18.9242,1.07585,998.971,999.936,0.0758151,0.115006,0.168743,0.283749,0.0187099,0.158184,0.860516,0.936331,3.33818E-05,0.860482,0.150576,0.709907,0,0.989131,0.100001,4.39469E-07,2.17487E-09,9.08015E-14,0.180582,0,0.0162749,0.207674,0.238628,0.215118,0.192164,0.146416,0.218185,0.232448,0.212003,0.191163,0.1462,1,1,0,0,0.989131,4.39469E-07,2.17487E-09,0.00728528,0.0035831
"MODRA CM 0.25 TIME 0.25 UPC 1.2E-05","1.19E-08","0.9099","47","Litigated",7.2E-5,0,1,0.464703,1,1,1,1,0.139518,2.82351,2.78181,0.755974,0.248795,0.213049,0.183426,0.175309,0.179421,1,1,0.106857,0.100001,,,0.989131,,,,,4.39469E-07,2.17487E-09,0.010868,0.329684,9.06459,9.85956,18.9242,1.07585,998.971,999.936,0.0758151,0.115006,0.168743,0.283749,0.0187099,0.158184,0.860516,0.936331,3.33818E-05,0.860482,0.150576,0.709907,0,0.989131,0.100001,4.39469E-07,2.17487E-09,9.08015E-14,0.180582,0,0.0162749,0.207674,0.238628,0.215118,0.192164,0.146416,0.218185,0.232448,0.212003,0.191163,0.1462,1,1,0,0,0.989131,4.39469E-07,2.17487E-09,0.00728528,0.0035831
"MODRA CM 0.25 TIME 0.25 UPC 1.2E-05","1.19E-08","0.9099","47","Not Litigated",0.9999,1,2.86819E-11,0.500003,1.434E-11,0,1,2.86819E-11,4.00164E-12,3.00002,2.8238,0.776868,0.199997,0.199998,0.2,0.200002,0.200003,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.38859E-05,1000,1000,1.79262E-13,1.175E-11,2.622E-12,1.4373E-11,1.17513E-11,2.59012E-12,3.38859E-05,3.38859E-05,3.38858E-05,2.46803E-11,4.3188E-12,2.03615E-11,0,0,,0,0,0,0.180582,0,-1.16652E-06,0.176196,0.215679,0.216243,0.215682,0.1762,0.176195,0.215679,0.216243,0.215682,0.1762,1.4341E-11,0,1,1.43410E-11,0,0,0,0,0
"MODRA CM 0.25 TIME 0.25 UPC 1.2E-05","1.19E-08","0.9099","47","Settles",7.1E-5,0,1,0.46544,1,1,1,1,0.13973,2.8272,2.7904,0.754465,0.250483,0.210924,0.180858,0.176386,0.18135,1,1,0.1,0.100001,,,1,,,,,0,0,0,,9.0625,9.86247,18.925,1.07503,998.97,999.941,0.075,0.11252,0.170319,0.282839,0.0154716,0.159674,0.860304,0.935304,3.34848E-05,0.86027,0.151447,0.708824,0,1,0.100001,0,0,0,0.181674,0,-0.0182026,0.209956,0.24125,0.217481,0.184982,0.146331,0.209595,0.235002,0.214332,0.193264,0.147806,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 TIME 0.25 UPC 1.2E-05","1.19E-08","0.9099","47","Tried",7.8E-7,0,1,0.397633,1,1,1,1,0.120242,2.48817,2.00002,0.893365,0.0951937,0.406498,0.417145,0.0772746,0.0038889,1,1,0.730831,0.100002,,,0,,,,,0,0,1,0.329684,9.25468,9.59529,18.85,1.15002,999.041,999.513,0.15,0.3413,0.0253,0.3666,0.313419,0.0225518,0.879782,1.02978,2.40003E-05,0.879758,0.0712964,0.808462,0,0,,0,0,0,0.0811566,0,3.15409,6.51115E-12,5.75802E-06,2.51167E-06,0.845809,0.154183,0.99997,3.66676E-06,8.56503E-06,9.55848E-06,8.32327E-06,1,1,0,0,0,0,0,0.670316,0.329684
"MODRA CM 0.25 TIME 0.25 UPC 1.2E-05","1.19E-08","0.9099","47","PWins",2.6E-7,0,1,0.490971,1,1,1,1,0.120551,2.95486,2.00001,0.984403,0.0121018,0.219759,0.580253,0.176956,0.0109312,1,1,0.744427,0.100005,,,0,,,,,0,0,1,1,9.925,8.92498,18.85,1.15002,999.97,998.585,0.15,0.887113,0.0140915,0.901205,0.939555,0.00105686,0.879473,1.02947,2.40001E-05,0.879449,0.165054,0.714395,0,0,,0,0,0,0.187887,0,3.22207,4.30357E-12,1.61645E-06,1.29744E-06,0.777852,0.222145,0.999971,3.32931E-06,1.03531E-05,8.2859E-06,6.69813E-06,1,1,0,0,0,0,0,0,1
