"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 TIME 0 FSM 2","1.582E-08","0.9784","39","All",1,0.999935,6.51925E-05,0.500001,6.5192E-5,6.51925E-05,1,6.51925E-05,9.99945E-06,3,3.60812,0.654865,0.2,0.199999,0.199999,0.2,0.200002,1,1,0.101802,0.100001,,,6.49578E-05,,,,,5.19714E-11,7.80036E-13,2.346E-7,0.451984,9.99994,9.99996,19.9999,0.000104557,1000,1000,3.28309E-06,8.0576E-6,9.1053E-7,8.96818E-6,1.04941E-06,8.57875E-07,9.12744E-05,9.45575E-05,3.60814E-05,5.5193E-05,8.98118E-07,5.42949E-05,0,6.49578E-5,0.100001,5.19714E-11,7.80036E-13,1.58291E-17,0.016054,0,-1.53835E-15,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,6.51925E-5,6.51925E-05,0.999935,1.30437E-11,6.49578E-05,5.19714E-11,7.80036E-13,1.2858E-07,1.0605E-7
"MODRA CM 0.25 TIME 0 FSM 2","1.582E-08","0.9784","39","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,3.60812,0.654866,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.60814E-05,1000,1000,0,0,0,0,0,0,3.60814E-05,3.60814E-05,3.60814E-05,0,0,0,0,0,,0,0,0,,0,-1.31427E-06,0.176195,0.215678,0.216243,0.215682,0.176201,0.176195,0.215678,0.216244,0.215683,0.176201,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 TIME 0 FSM 2","1.582E-08","0.9784","39","DisputeArises",6.5E-5,0,1,0.451539,1,1,1,1,0.153383,2.7577,3.52368,0.641076,0.258938,0.220894,0.189393,0.165083,0.165692,1,1,0.101802,0.100001,,,0.9964,,,,,7.97199E-07,1.19651E-08,0.003599,0.451984,9.07604,9.87357,18.9496,1.0504,999,999.944,0.0503599,0.123598,0.0139668,0.137565,0.0160972,0.0131591,0.846652,0.897012,3.52368E-05,0.846617,0.0137764,0.83284,0,0.9964,0.100001,7.97199E-07,1.19651E-08,2.42805E-13,0.016054,0,0.0201585,0.217637,0.2473,0.216228,0.184059,0.134776,0.220768,0.255548,0.209342,0.18072,0.133622,1,1,2.0008E-07,2.0008E-07,0.9964,7.97199E-07,1.19651E-08,0.00197231,0.0016267
"MODRA CM 0.25 TIME 0 FSM 2","1.582E-08","0.9784","39","PFiles",6.5E-5,0,1,0.451539,1,1,1,1,0.153383,2.7577,3.52368,0.641076,0.258938,0.220894,0.189393,0.165083,0.165692,1,1,0.101802,0.100001,,,0.9964,,,,,7.97199E-07,1.19651E-08,0.003599,0.451984,9.07604,9.87357,18.9496,1.0504,999,999.944,0.0503599,0.123598,0.0139668,0.137565,0.0160972,0.0131591,0.846652,0.897012,3.52368E-05,0.846617,0.0137764,0.83284,0,0.9964,0.100001,7.97199E-07,1.19651E-08,2.42805E-13,0.016054,0,0.0201585,0.217637,0.2473,0.216228,0.184059,0.134776,0.220768,0.255548,0.209342,0.18072,0.133622,1,1,0,2.0008E-07,0.9964,7.97199E-07,1.19651E-08,0.00197231,0.0016267
"MODRA CM 0.25 TIME 0 FSM 2","1.582E-08","0.9784","39","DAnswers",6.5E-5,0,1,0.451539,1,1,1,1,0.153383,2.7577,3.52368,0.641076,0.258938,0.220894,0.189393,0.165083,0.165692,1,1,0.101802,0.100001,,,0.9964,,,,,7.97199E-07,1.19651E-08,0.003599,0.451984,9.07604,9.87357,18.9496,1.0504,999,999.944,0.0503599,0.123598,0.0139668,0.137564,0.016097,0.0131591,0.846652,0.897012,3.52368E-05,0.846617,0.0137764,0.83284,0,0.9964,0.100001,7.97199E-07,1.19651E-08,2.42805E-13,0.016054,0,0.0201585,0.217637,0.2473,0.216228,0.184059,0.134776,0.220768,0.255548,0.209342,0.18072,0.133622,1,1,0,0,0.9964,7.97199E-07,1.19651E-08,0.00197231,0.0016267
"MODRA CM 0.25 TIME 0 FSM 2","1.582E-08","0.9784","39","Litigated",6.5E-5,0,1,0.451539,1,1,1,1,0.153383,2.7577,3.52368,0.641076,0.258938,0.220894,0.189393,0.165083,0.165692,1,1,0.101802,0.100001,,,0.9964,,,,,7.97199E-07,1.19651E-08,0.003599,0.451984,9.07604,9.87357,18.9496,1.0504,999,999.944,0.0503599,0.123598,0.0139668,0.137564,0.016097,0.0131591,0.846652,0.897012,3.52368E-05,0.846617,0.0137764,0.83284,0,0.9964,0.100001,7.97199E-07,1.19651E-08,2.42805E-13,0.016054,0,0.0201585,0.217637,0.2473,0.216228,0.184059,0.134776,0.220768,0.255548,0.209342,0.18072,0.133622,1,1,0,0,0.9964,7.97199E-07,1.19651E-08,0.00197231,0.0016267
"MODRA CM 0.25 TIME 0 FSM 2","1.582E-08","0.9784","39","Not Litigated",0.9999,1,2.60891E-11,0.500004,1.304E-11,0,1,2.60891E-11,4.00164E-12,3.00002,3.60812,0.654866,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.60815E-05,1000,1000,0,1.284E-11,2.094E-13,1.3045E-11,1.28351E-11,2.09418E-13,3.60815E-05,3.60815E-05,3.60814E-05,2.20875E-11,3.59414E-13,2.17281E-11,0,0,,0,0,0,0.016054,0,-1.31427E-06,0.176195,0.215678,0.216243,0.215682,0.176201,0.176195,0.215678,0.216244,0.215683,0.176201,1.3045E-11,0,1,1.30446E-11,0,0,0,0,0
"MODRA CM 0.25 TIME 0 FSM 2","1.582E-08","0.9784","39","Settles",6.5E-5,0,1,0.450991,1,1,1,1,0.153395,2.75495,3.52557,0.639823,0.25986,0.221421,0.188575,0.164195,0.165949,1,1,0.100001,0.100001,,,1,,,,,0,0,0,,9.075,9.87496,18.95,1.05004,999,999.947,0.05,0.123214,0.0132146,0.136429,0.0154019,0.0122235,0.84664,0.89664,3.52557E-05,0.846605,0.0122764,0.834328,0,1,0.100001,0,0,0,0.0142867,0,0.00878978,0.218423,0.248193,0.217009,0.184724,0.131651,0.22096,0.253465,0.210098,0.181373,0.134105,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 TIME 0 FSM 2","1.582E-08","0.9784","39","Tried",2.3E-7,0,1,0.603403,1,1,1,1,0.150122,3.51702,2.99999,0.987957,0.0038361,0.0751758,0.415646,0.410819,0.0945225,1,1,0.6004,0.1,,,0,,,,,0,0,1,0.451984,9.36258,9.48739,18.85,1.15003,998.929,999.121,0.15,0.229725,0.222201,0.451926,0.208523,0.272196,0.849908,0.999908,2.99999E-05,0.849878,0.429071,0.420807,0,0,,0,0,0,0.505345,0,3.16763,9.68317E-12,1.10029E-11,5.45047E-06,2.11182E-06,0.999992,0.167647,0.832353,9.4266E-12,8.22116E-12,6.08514E-12,1,1,0,0,0,0,0,0.548016,0.451984
"MODRA CM 0.25 TIME 0 FSM 2","1.582E-08","0.9784","39","PWins",1.1E-7,0,1,0.675605,1,1,1,1,0.150607,3.87802,2.99999,1.06215,0.000134048,0.0148391,0.26829,0.540344,0.176393,1,1,0.600401,0.1,,,0,,,,,0,0,1,1,10.075,8.77497,18.85,1.15003,1000.03,998.024,0.15,0.508258,0,0.508258,0.461349,0,0.849423,0.999423,2.99999E-05,0.849393,0.608526,0.240867,0,0,,0,0,0,0.716742,0,3.11478,4.83001E-13,9.94964E-13,6.18019E-06,3.24278E-06,0.999991,0.114795,0.885205,1.61511E-13,3.07931E-13,2.59867E-13,1,1,0,0,0,0,0,0,1
