"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 WA 0.0001 UPC 1.2E-05","3.6E-08","0.8993","39","All",1,0.99984,0.000159898,0.500001,0.0001599,0.000159898,1,0.000159898,9.9994E-05,3,3,0.7156,0.200001,0.199999,0.199998,0.199999,0.200003,1,1,0.160396,0.100001,,,0.000138351,,,,,5.23951E-11,4.3112E-12,2.155E-5,0.210836,9.99985,9.99994,19.9998,0.000212966,9.99985,9.99994,1.70672E-05,2.2969E-5,1.2592E-5,3.5561E-05,5.37268E-06,1.25657E-05,9.59047E-05,0.000112972,3.60002E-05,5.99045E-05,5.0671E-06,5.48374E-05,0,0.00013835,0.100001,5.23951E-11,4.3112E-12,1.04832E-17,0.0927361,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,0.0001599,0.000159898,0.99984,3.19925E-11,0.000138351,5.23951E-11,4.3112E-12,1.70042E-5,4.5429E-6
"Risk Neutral CM 0.25 WA 0.0001 UPC 1.2E-05","3.6E-08","0.8993","39","NoDispute",0.9998,1,0,0.500004,0,0,1,0,0,3.00002,3.00001,0.7156,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.60003E-05,10,9.99996,0,0,0,0,0,0,3.60003E-05,3.60003E-05,3.60003E-05,0,0,0,0,0,,0,0,0,,0,-2.56055E-06,0.176196,0.215678,0.216243,0.215682,0.176201,0.176195,0.215679,0.216243,0.215682,0.176202,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 WA 0.0001 UPC 1.2E-05","3.6E-08","0.8993","39","DisputeArises",0.0002,0,1,0.482309,1,1,1,1,0.625359,2.91155,2.95669,0.712646,0.229695,0.204211,0.185835,0.185371,0.194888,1,1,0.160396,0.100001,,,0.865244,,,,,3.27677E-07,2.69621E-08,0.134755,0.210836,9.06157,9.83166,18.8932,1.10677,9.06157,9.83166,0.106738,0.143649,0.0787484,0.222397,0.0336006,0.0785856,0.374676,0.481414,3.54802E-05,0.374641,0.0316895,0.342951,0,0.865244,0.100001,3.27677E-07,2.69621E-08,6.55617E-14,0.0927361,0,0.016011,0.192186,0.227945,0.216494,0.203554,0.159821,0.196963,0.225579,0.216732,0.207076,0.15365,1,1,2.0008E-07,2.0008E-07,0.865244,3.27677E-07,2.69621E-08,0.106344,0.0284113
"Risk Neutral CM 0.25 WA 0.0001 UPC 1.2E-05","3.6E-08","0.8993","39","PFiles",0.0002,0,1,0.482309,1,1,1,1,0.625359,2.91155,2.95669,0.712646,0.229695,0.204211,0.185835,0.185371,0.194888,1,1,0.160396,0.100001,,,0.865244,,,,,3.27677E-07,2.69621E-08,0.134755,0.210836,9.06157,9.83166,18.8932,1.10677,9.06157,9.83166,0.106738,0.143649,0.0787484,0.222397,0.0336006,0.0785856,0.374676,0.481414,3.54802E-05,0.374641,0.0316895,0.342951,0,0.865244,0.100001,3.27677E-07,2.69621E-08,6.55618E-14,0.0927361,0,0.016011,0.192186,0.227945,0.216494,0.203554,0.159821,0.196963,0.225579,0.216732,0.207076,0.15365,1,1,0,2.0008E-07,0.865244,3.27677E-07,2.69621E-08,0.106344,0.0284113
"Risk Neutral CM 0.25 WA 0.0001 UPC 1.2E-05","3.6E-08","0.8993","39","DAnswers",0.0002,0,1,0.482309,1,1,1,1,0.625359,2.91155,2.95669,0.712646,0.229695,0.204211,0.185835,0.185371,0.194888,1,1,0.160396,0.100001,,,0.865244,,,,,3.27677E-07,2.69621E-08,0.134755,0.210836,9.06157,9.83166,18.8932,1.10677,9.06157,9.83166,0.106738,0.143649,0.0787484,0.222397,0.0336004,0.0785856,0.374676,0.481414,3.54802E-05,0.374641,0.0316895,0.342951,0,0.865244,0.100001,3.27677E-07,2.69621E-08,6.55618E-14,0.0927361,0,0.016011,0.192186,0.227945,0.216494,0.203554,0.159821,0.196963,0.225579,0.216732,0.207076,0.15365,1,1,0,0,0.865244,3.27677E-07,2.69621E-08,0.106344,0.0284113
"Risk Neutral CM 0.25 WA 0.0001 UPC 1.2E-05","3.6E-08","0.8993","39","Litigated",0.0002,0,1,0.482309,1,1,1,1,0.625359,2.91155,2.95669,0.712646,0.229695,0.204211,0.185835,0.185371,0.194888,1,1,0.160396,0.100001,,,0.865244,,,,,3.27677E-07,2.69621E-08,0.134755,0.210836,9.06157,9.83166,18.8932,1.10677,9.06157,9.83166,0.106738,0.143649,0.0787484,0.222397,0.0336004,0.0785856,0.374676,0.481414,3.54802E-05,0.374641,0.0316895,0.342951,0,0.865244,0.100001,3.27677E-07,2.69621E-08,6.55618E-14,0.0927361,0,0.016011,0.192186,0.227945,0.216494,0.203554,0.159821,0.196963,0.225579,0.216732,0.207076,0.15365,1,1,0,0,0.865244,3.27677E-07,2.69621E-08,0.106344,0.0284113
"Risk Neutral CM 0.25 WA 0.0001 UPC 1.2E-05","3.6E-08","0.8993","39","Not Litigated",0.9998,1,6.39952E-11,0.500004,3.2E-11,0,1,6.39952E-11,4.002E-11,3.00002,3.00001,0.7156,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.60003E-05,10,9.99996,7.99940E-13,2.903E-11,3.042E-12,3.2072E-11,2.90303E-11,2.96919E-12,3.60003E-05,3.60003E-05,3.60003E-05,2.39752E-11,2.02798E-12,2.1947200000000002E-11,0,0,,0,0,0,0.0927361,0,-2.56055E-06,0.176196,0.215678,0.216243,0.215682,0.176201,0.176195,0.215679,0.216243,0.215682,0.176202,3.1998E-11,0,1,3.19976E-11,0,0,0,0,0
"Risk Neutral CM 0.25 WA 0.0001 UPC 1.2E-05","3.6E-08","0.8993","39","Settles",0.0001,0,1,0.457984,1,1,1,1,0.623897,2.78992,2.99769,0.679343,0.251684,0.213218,0.195386,0.172918,0.166793,1,1,0.1,0.100001,,,1,,,,,0,0,0,,9.05,9.84996,18.9,1.10004,9.05,9.84996,0.1,0.142871,0.0451549,0.188025,0.0214307,0.0428971,0.376139,0.476139,3.59723E-05,0.376103,0.0166295,0.359474,0,1,0.100001,0,0,0,0.0475318,0,-0.247341,0.222118,0.263445,0.214179,0.225371,0.0748874,0.179884,0.251834,0.219451,0.171251,0.177579,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 WA 0.0001 UPC 1.2E-05","3.6E-08","0.8993","39","Tried",2.2E-5,0,1,0.638502,1,1,1,1,0.634751,3.69251,2.69337,0.926482,0.0885021,0.146377,0.12451,0.26533,0.375281,1,1,0.548187,0.1,,,0,,,,,0,0,1,0.210836,9.13584,9.71413,18.85,1.15003,9.13584,9.71413,0.15,0.148645,0.294448,0.443093,0.11174,0.307737,0.365281,0.515281,3.23205E-05,0.365249,0.128388,0.236861,0,0,,0,0,0,0.382987,0,1.70696,7.97201E-07,7.38505E-07,0.231356,0.0634725,0.70517,0.306626,0.056997,0.199278,0.4371,1.03595E-07,1,1,0,0,0,0,0,0.789164,0.210836
"Risk Neutral CM 0.25 WA 0.0001 UPC 1.2E-05","3.6E-08","0.8993","39","PWins",4.5E-6,0,1,0.718013,1,1,1,1,0.636225,4.09007,2.68914,1.00143,0.01544,0.117702,0.156627,0.181814,0.528417,1,1,0.56288,0.100001,,,0,,,,,0,0,1,1,9.925,8.92497,18.85,1.15003,9.925,8.92497,0.15,0.518822,0.0417134,0.560535,0.51602,0.0031285,0.363807,0.513807,3.22697E-05,0.363775,0.187973,0.175802,0,0,,0,0,0,0.556178,0,1.67269,6.63889E-07,9.69586E-07,0.190961,0.0929553,0.716082,0.310851,0.0264461,0.162124,0.500579,1.41253E-07,1,1,0,0,0,0,0,0,1
