"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 WA 0 LT 1.2","1.784E-07","0.8676","45","All",1,0.99994,6.04265E-05,0.500001,5.706E-11,1.26599E-11,1,6.04265E-05,0,3,3,0.888963,0.2,0.199999,0.199999,0.2,0.200001,1,1,0.100986,0.100001,,,1.26388E-11,,,,,1.06070E-17,4.24747E-19,2.1E-14,0.473311,9.99994,9.99997,19.9999,9.04267E-05,9.99994,9.99997,3.80327E-11,2.004E-11,1.071E-05,1.07096E-5,1.91135E-11,1.07096E-05,9.04267E-05,9.04267E-05,3.00002E-05,6.04265E-05,1.07096E-05,4.97168E-05,0,1.2639E-11,0.100001,1.06070E-17,4.24747E-19,2.91274E-24,0.177234,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,5.706E-11,1.26599E-11,1,4.44001E-11,1.26388E-11,1.06070E-17,4.24747E-19,1.1085E-14,9.962E-15
"Risk Neutral CM 4 WA 0 LT 1.2","1.784E-07","0.8676","45","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,3.00001,3,0.888966,0.199997,0.199999,0.2,0.200001,0.200003,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.00002E-05,10,9.99997,0,0,0,0,0,0,3.00002E-05,3.00002E-05,3.00002E-05,0,0,0,0,0,,0,0,0,,0,0,0.176196,0.215679,0.216243,0.215682,0.1762,0.176196,0.215679,0.216243,0.215682,0.1762,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 WA 0 LT 1.2","1.784E-07","0.8676","45","DisputeArises",6E-05,0,1,0.462592,9.4429E-7,2.09509E-07,1,1,0,2.81296,3,0.851883,0.252353,0.211938,0.183341,0.175135,0.177234,1,1,0.100986,0.100001,,,2.0916E-07,,,,,1.75535E-13,7.02915E-15,3.48E-10,0.473311,9,9.99997,19,1.00003,9,9.99997,6.29404E-07,3.316E-07,0.177234,0.177234,3.16309E-07,0.177234,1.00003,1.00003,3E-05,1,0.177234,0.822766,0,2.0916E-07,0.100001,1.75535E-13,7.02915E-15,4.82030E-20,0.177234,0,-3.34487E-15,0.209024,0.240013,0.21567,0.191045,0.144248,0.209024,0.240013,0.21567,0.191045,0.144248,9.44288E-7,2.09509E-07,0.999999,7.34779E-07,2.0916E-07,1.75535E-13,7.02915E-15,1.8345E-10,1.649E-10
"Risk Neutral CM 4 WA 0 LT 1.2","1.784E-07","0.8676","45","PFiles",6E-11,0,1,0.509856,1,0.22187,1,1,0,3.04928,1.21569,1.40215,0.197528,0.190814,0.193779,0.200611,0.217268,1,1,0.100986,0.100001,,,0.221501,,,,,1.85892E-07,7.44386E-09,0.000369,0.473311,9.31156,9.02189,18.3334,1.66655,9.31156,9.02189,0.666539,0.351165,0.301407,0.652572,0.334971,0.204066,1.00001,1.66655,1.21569E-05,1,0.630705,0.369295,0,0.221501,0.100001,1.85892E-07,7.44386E-09,5.10469E-14,0.630705,0,0.053039,0.160577,0.191936,0.238789,0.227731,0.180967,0.170562,0.212594,0.218321,0.219794,0.17873,1,0.22187,0,0.77813,0.221501,1.85892E-07,7.44386E-09,0.00019427,0.0001746
"Risk Neutral CM 4 WA 0 LT 1.2","1.784E-07","0.8676","45","DAnswers",1E-11,0,1,0.455069,1,1,1,1,0,2.77535,2.95499,0.856377,0.254097,0.22341,0.184844,0.168347,0.169302,1,1,0.100986,0.100001,,,0.998337,,,,,8.37842E-07,3.35506E-08,0.001662,0.473311,8.29996,9.09868,17.3986,2.60136,8.29996,9.09868,1.60133,0.747892,0.289571,1.03746,0.674902,0.492189,1.00003,2.60136,2.95499E-05,1,0.170397,0.829603,0,0.998337,0.100001,8.37842E-07,3.35506E-08,2.30076E-13,0.170397,0,0.102501,0.199617,0.229212,0.240138,0.191615,0.139419,0.244621,0.229212,0.205964,0.182447,0.137756,1,1,0,0,0.998337,8.37842E-07,3.35506E-08,0.00087561,0.0007869
"Risk Neutral CM 4 WA 0 LT 1.2","1.784E-07","0.8676","45","Litigated",1E-11,0,1,0.455069,1,1,1,1,0,2.77535,2.95499,0.856377,0.254097,0.22341,0.184844,0.168347,0.169302,1,1,0.100986,0.100001,,,0.998337,,,,,8.37842E-07,3.35506E-08,0.001662,0.473311,8.29996,9.09868,17.3986,2.60136,8.29996,9.09868,1.60133,0.747892,0.289571,1.03746,0.674902,0.492189,1.00003,2.60136,2.95499E-05,1,0.170397,0.829603,0,0.998337,0.100001,8.37842E-07,3.35506E-08,2.30076E-13,0.170397,0,0.102501,0.199617,0.229212,0.240138,0.191615,0.139419,0.244621,0.229212,0.205964,0.182447,0.137756,1,1,0,0,0.998337,8.37842E-07,3.35506E-08,0.00087561,0.0007869
"Risk Neutral CM 4 WA 0 LT 1.2","1.784E-07","0.8676","45","Not Litigated",1,0.99994,6.04265E-05,0.500001,4.44E-11,0,1,6.04265E-05,0,3,3,0.888963,0.2,0.199999,0.199999,0.2,0.200001,1,1,,,,,0,,,,,0,0,0,,9.99994,9.99997,19.9999,9.04267E-05,9.99994,9.99997,1.77601E-11,1.057E-11,1.071E-05,1.07096E-5,1.05693E-11,1.07096E-05,9.04267E-05,9.04267E-05,3.00002E-05,6.04265E-05,1.07096E-05,4.97168E-05,0,0,,0,0,0,0.177234,0,-1.29771E-12,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,4.44E-11,0,1,4.44001E-11,0,0,0,0,0
"Risk Neutral CM 4 WA 0 LT 1.2","1.784E-07","0.8676","45","Settles",1E-11,0,1,0.454996,1,1,1,1,0,2.77498,2.95658,0.855821,0.254491,0.223428,0.184244,0.168281,0.169556,1,1,0.1,0.100001,,,1,,,,,0,0,0,,8.3,9.09997,17.4,2.60003,8.3,9.09997,1.6,0.746725,0.28952,1.03625,0.672053,0.492184,1.00003,2.60003,2.95658E-05,1,0.170306,0.829694,0,1,0.100001,0,0,0,0.170306,0,0.096011,0.199949,0.229593,0.240538,0.191934,0.137986,0.243363,0.229593,0.206307,0.182751,0.137986,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 WA 0 LT 1.2","1.784E-07","0.8676","45","Tried",2E-14,0,1,0.498881,1,1,1,1,0,2.9944,1.99996,1.19032,0.0174092,0.212289,0.545626,0.20784,0.0168358,1,1,0.692785,0.1,,,0,,,,,0,0,1,0.473311,8.27331,8.32667,16.6,3.40002,8.27331,8.32667,2.4,1.44861,0.320122,1.76873,2.38623,0.495204,1.00002,3.40002,1.99996E-05,1,0.224702,0.775298,0,0,,0,0,0,0.224702,0,3.99988,1.92268E-11,2.23453E-05,1.27918E-05,5.08895E-06,0.99996,0.999974,2.59272E-05,2.05367E-11,1.90886E-11,1.32685E-11,1,1,0,0,0,0,0,0.526689,0.473311
"Risk Neutral CM 4 WA 0 LT 1.2","1.784E-07","0.8676","45","PWins",1E-14,0,1,0.561966,1,1,1,1,0,3.30983,1.99995,1.26351,0.00191786,0.0875327,0.542496,0.334911,0.0331428,1,1,0.692786,0.1,,,0,,,,,0,0,1,1,8.8,7.79998,16.6,3.40002,8.8,7.79998,2.4,1.83191,0.441708,2.27362,3.58849,0.53005,1.00002,3.40002,1.99995E-05,1,0.36809,0.63191,0,0,,0,0,0,0.36809,0,3.99986,1.04706E-13,2.15298E-05,1.65465E-05,8.32443E-06,0.999954,0.999965,3.45044E-05,3.49610E-12,8.25607E-12,6.63397E-12,1,1,0,0,0,0,0,0,1
