"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 CM 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.093E-07","0.9699","325","All",1,0.999918,8.19612E-05,0.500001,1.5736E-5,1.57362E-05,1,8.19612E-05,9.99928E-06,4.5,2.90509,0.759249,0.125,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.326185,0.135369,,,6.25544E-06,,,,,7.87539E-13,9.08946E-13,9.481E-6,0.173415,9.99992,9.99997,19.9999,0.000115108,9.99992,9.99997,4.09532E-06,3.705E-06,3.4341E-6,7.13913E-6,1.81052E-06,3.46458E-06,0.000101013,0.000105108,2.90511E-05,7.1962E-05,3.4852E-06,6.84768E-05,0,6.25544E-6,0.187501,7.87539E-13,9.08946E-13,3.47687E-24,0.0484244,0,-1.41828E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.57362E-5,1.57362E-05,0.999984,8.21088E-12,6.25544E-06,7.87539E-13,9.08946E-13,7.83667E-6,1.6441E-6
"Risk Neutral CM 1 CM 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.093E-07","0.9699","325","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,2.9051,0.75925,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.90512E-05,10,9.99997,0,0,0,0,0,0,2.90512E-05,2.90512E-05,2.90512E-05,0,0,0,0,0,,0,0,0,,0,-6.11989E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.102829,0.127184,0.135105,0.134876,0.134876,0.135108,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 CM 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.093E-07","0.9699","325","DisputeArises",8.2E-5,0,1,0.461042,0.191996,0.191996,1,1,0.122,4.18834,2.72324,0.746884,0.159628,0.146398,0.133364,0.121823,0.112746,0.107917,0.107692,0.110431,1,1,0.326185,0.135369,,,0.076322,,,,,9.60868E-09,1.10899E-08,0.115674,0.173415,9.00939,9.94062,18.95,1.04999,9.00939,9.94062,0.0499666,0.0452041,0.0418997,0.0871038,0.0220899,0.042271,0.878027,0.927994,2.72324E-05,0.878,0.0425225,0.835477,0,0.076322,0.187501,9.60868E-09,1.10899E-08,4.24209E-20,0.0484244,0,0.074662,0.121839,0.146693,0.149184,0.139909,0.129846,0.121044,0.107689,0.0837976,0.128999,0.158622,0.143315,0.137987,0.1326,0.114166,0.103176,0.081135,0.191996,0.191996,0.808004,1.0018E-07,0.076322,9.60868E-09,1.10899E-08,0.0956144,0.0200596
"Risk Neutral CM 1 CM 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.093E-07","0.9699","325","PFiles",1.6E-5,0,1,0.387302,1,0.999999,1,1,0.107077,3.59842,1.57243,0.810173,0.170639,0.204365,0.183302,0.126973,0.096445,0.0947484,0.0776887,0.0458394,1,1,0.326185,0.135369,,,0.397519,,,,,5.00462E-08,5.77613E-08,0.602481,0.173415,9.04889,9.69085,18.7397,1.26026,9.04889,9.69085,0.260248,0.235443,0.140443,0.375886,0.115054,0.142376,0.892939,1.15319,1.57243E-05,0.892923,0.153346,0.739577,0,0.397519,0.187501,5.00462E-08,5.77613E-08,2.20947E-19,0.174426,0,2.52422,2.70787E-07,3.30752E-07,0.322384,0.206391,0.109544,0.057587,0.193867,0.110226,0.289078,0.424705,0.0409801,0.0869933,0.158242,6.44015E-07,6.27186E-07,5.16298E-07,1,0.999999,0,5.21782E-07,0.397519,5.00462E-08,5.77613E-08,0.498002,0.104479
"Risk Neutral CM 1 CM 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.093E-07","0.9699","325","DAnswers",1.6E-5,0,1,0.387302,1,1,1,1,0.107077,3.59842,1.57243,0.810173,0.170639,0.204365,0.183302,0.126973,0.096445,0.0947484,0.0776886,0.0458393,1,1,0.326185,0.135369,,,0.397519,,,,,5.00463E-08,5.77614E-08,0.602481,0.173415,9.04889,9.69085,18.7397,1.26026,9.04889,9.69085,0.260248,0.235443,0.140443,0.375886,0.115054,0.142377,0.892939,1.15319,1.57243E-05,0.892923,0.153346,0.739577,0,0.397519,0.187501,5.00463E-08,5.77614E-08,2.20947E-19,0.174426,0,2.52422,2.69335E-07,3.26484E-07,0.322384,0.206391,0.109544,0.057587,0.193867,0.110226,0.289078,0.424706,0.0409801,0.0869933,0.158242,6.44016E-07,4.49304E-07,3.72479E-07,1,1,0,0,0.397519,5.00463E-08,5.77614E-08,0.498002,0.104479
"Risk Neutral CM 1 CM 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.093E-07","0.9699","325","Litigated",1.6E-5,0,1,0.387302,1,1,1,1,0.107077,3.59842,1.57243,0.810173,0.170639,0.204365,0.183302,0.126973,0.096445,0.0947484,0.0776886,0.0458393,1,1,0.326185,0.135369,,,0.397519,,,,,5.00463E-08,5.77614E-08,0.602481,0.173415,9.04889,9.69085,18.7397,1.26026,9.04889,9.69085,0.260248,0.235443,0.140443,0.375886,0.115054,0.142377,0.892939,1.15319,1.57243E-05,0.892923,0.153346,0.739577,0,0.397519,0.187501,5.00463E-08,5.77614E-08,2.20947E-19,0.174426,0,2.52422,2.69335E-07,3.26484E-07,0.322384,0.206391,0.109544,0.057587,0.193867,0.110226,0.289078,0.424706,0.0409801,0.0869933,0.158242,6.44016E-07,4.49304E-07,3.72479E-07,1,1,0,0,0.397519,5.00463E-08,5.77614E-08,0.498002,0.104479
"Risk Neutral CM 1 CM 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.093E-07","0.9699","325","Not Litigated",1,0.999934,6.62261E-05,0.500002,8.211E-12,0,1,6.62261E-05,8.31442E-06,4.50002,2.90511,0.759249,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99997,19.9999,9.52773E-05,9.99993,9.99997,4.1055E-13,2.644E-12,1.2241E-6,1.22413E-6,2.64356E-12,1.22413E-06,8.69629E-05,8.69629E-05,2.90513E-05,5.79116E-05,1.07214E-06,5.68395E-05,0,0,,0,0,0,0.0184842,0,-3.97223E-05,0.102833,0.127189,0.135103,0.134875,0.134877,0.135107,0.127186,0.102831,0.102828,0.127182,0.135107,0.134877,0.134876,0.135108,0.127189,0.102833,8.211E-12,0,1,8.21101E-12,0,0,0,0,0
"Risk Neutral CM 1 CM 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.093E-07","0.9699","325","Settles",6.3E-6,0,1,0.360128,1,1,1,1,0.105773,3.38103,1.48482,0.795759,0.177467,0.239723,0.210564,0.113225,0.0670775,0.079745,0.0719237,0.0402745,1,1,0.1875,0.187501,,,1,,,,,0,0,0,,9.0875,9.71248,18.8,1.20001,9.0875,9.71248,0.2,0.247123,0.128155,0.375278,0.071048,0.116942,0.894242,1.09424,1.48482E-05,0.894227,0.123089,0.771138,0,1,0.187501,0,0,0,0.140444,0,1.54154,4.72216E-07,3.84558E-07,0.449231,0.308358,7.45291E-07,0.00922219,0.233187,4.82684E-07,1.42833E-06,0.757587,7.32344E-07,8.05845E-07,0.242408,4.6149E-07,4.7002E-07,5.42184E-07,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 CM 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.093E-07","0.9699","325","Tried",9.5E-6,0,1,0.405231,1,1,1,1,0.107938,3.74185,1.63023,0.819683,0.166134,0.181035,0.165315,0.136043,0.115822,0.104648,0.0814923,0.0495109,1,1,0.41769,0.100973,,,0,,,,,0,0,1,0.173415,9.02341,9.67657,18.7,1.30002,9.02341,9.67657,0.3,0.227737,0.14855,0.376287,0.144089,0.159159,0.892079,1.19208,1.63023E-05,0.892062,0.173309,0.718754,0,0,,0,0,0,0.196847,0,3.17259,1.35473E-07,2.88166E-07,0.23869,0.139112,0.181821,0.0894982,0.167924,0.182953,0.479811,0.205069,0.0680185,0.144391,0.102708,7.64446E-07,4.35635E-07,2.60507E-07,1,1,0,0,0,0,0,0.826585,0.173415
"Risk Neutral CM 1 CM 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.093E-07","0.9699","325","PWins",1.6E-6,0,1,0.545778,1,1,1,1,0.108146,4.86623,1.59593,0.949131,0.01939,0.0683433,0.15856,0.220485,0.179674,0.126632,0.120957,0.105959,1,1,0.55012,0.1269,,,0,,,,,0,0,1,1,9.85,8.84998,18.7,1.30002,9.85,8.84998,0.3,0.701223,0.0673165,0.76854,0.73909,0.0100975,0.89187,1.19187,1.59593E-05,0.891854,0.397568,0.494286,0,0,,0,0,0,0.448777,0,3.5367,9.5211E-08,3.93608E-07,0.106524,0.0929658,0.235893,0.155263,0.169018,0.240336,0.326388,0.375635,0.0375402,0.120885,0.139546,3.20249E-06,1.81514E-06,1.16649E-06,1,1,0,0,0,0,0,0,1
