"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 CM 2 DM 2","3.24E-09","0.2438","544","All",1,0.999918,8.2407E-05,0.5,5.972E-11,4.51458E-11,1,8.2407E-05,9.99927E-06,4.5,3,0.763774,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125001,0.125001,1,1,0.32104,0.312653,,,4.07778E-11,,,,,1.10151E-12,2.35051E-12,9.16E-13,0.482291,9.99992,9.99997,19.9999,0.000112407,1000,1000,3.93971E-11,4.622E-11,1.9899E-5,1.98992E-5,4.89078E-11,1.98992E-05,0.000102408,0.000102408,3.00002E-05,7.24077E-05,1.72576E-05,5.51501E-05,0,4.0778E-11,0.587094,1.10151E-12,2.35051E-12,1.26466E-18,0.241475,0,-1.97353E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,5.9716E-11,4.51458E-11,1,1.45704E-11,4.07778E-11,1.10151E-12,2.35051E-12,4.7421E-13,4.418E-13
"MODRA CM 1 CM 2 DM 2","3.24E-09","0.2438","544","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,4.50002,3,0.763776,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.00002E-05,1000,1000,0,0,0,0,0,0,3.00002E-05,3.00002E-05,3.00002E-05,0,0,0,0,0,,0,0,0,,0,1.05026E-15,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 1 CM 2 DM 2","3.24E-09","0.2438","544","DisputeArises",8.2E-5,0,1,0.480612,7.2465E-7,5.47839E-07,1,1,0.12134,4.34489,3,0.748361,0.149664,0.136939,0.124754,0.116931,0.114286,0.115951,0.119569,0.121906,1,1,0.32104,0.312653,,,4.94834E-07,,,,,1.33668E-08,2.85232E-08,1.112E-8,0.482291,9,9.99997,19,1.00003,998.808,1000,4.78079E-07,5.6088E-7,0.241474,0.241475,5.93491E-07,0.241474,0.87869,0.87869,3E-05,0.87866,0.209419,0.669241,0,4.94834E-7,0.587094,1.33668E-08,2.85232E-08,1.53465E-14,0.241475,0,-1.52283E-13,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,7.24649E-7,5.47839E-07,0.999999,1.7681E-07,4.94834E-07,1.33668E-08,2.85232E-08,5.75449E-9,5.3608E-9
"MODRA CM 1 CM 2 DM 2","3.24E-09","0.2438","544","PFiles",6E-11,0,1,0.555559,1,0.756006,1,1,0.105026,4.94447,1.32951,0.98278,0.0929107,0.0947706,0.103538,0.118979,0.134113,0.144258,0.15207,0.159361,1,1,0.32104,0.312653,,,0.68286,,,,,0.0184458,0.0393614,0.015339,0.482291,9.62814,8.71211,18.3402,1.65975,999.166,995.016,0.659739,0.774003,0.185425,0.959427,0.819004,0.171768,0.894988,1.55473,1.32951E-05,0.894974,0.492864,0.40211,0,0.68286,0.587094,0.0184458,0.0393614,2.11778E-08,0.54991,0,0.202466,0.0692661,0.0849598,0.0891499,0.132913,0.17128,0.168964,0.157264,0.126203,0.079919,0.103904,0.119103,0.130689,0.142891,0.152499,0.148725,0.122271,1,0.756006,0,0.243994,0.68286,0.0184458,0.0393614,0.00794107,0.0073978
"MODRA CM 1 CM 2 DM 2","3.24E-09","0.2438","544","DAnswers",5E-11,0,1,0.485692,1,1,1,1,0.107882,4.38554,1.61386,0.893597,0.122693,0.124303,0.132263,0.141451,0.139628,0.126096,0.111599,0.101967,1,1,0.32104,0.312653,,,0.903247,,,,,0.024399,0.052065,0.020289,0.482291,9.24993,8.94193,18.1919,1.80813,998.849,996.634,0.808116,0.689617,0.245269,0.934885,0.726247,0.227205,0.892134,1.70025,1.61386E-05,0.892118,0.370565,0.521553,0,0.903247,0.587094,0.024399,0.052065,2.80128E-08,0.416095,0,0.501964,0.0899417,0.108283,0.109169,0.144671,0.175712,0.152504,0.126457,0.0932622,0.105712,0.137438,0.157542,0.172867,0.189007,0.0850378,0.0834893,0.0689054,1,1,0,0,0.903247,0.024399,0.052065,0.010504,0.0097854
"MODRA CM 1 CM 2 DM 2","3.24E-09","0.2438","544","Litigated",5E-11,0,1,0.485692,1,1,1,1,0.107882,4.38554,1.61386,0.893597,0.122693,0.124303,0.132263,0.141451,0.139628,0.126096,0.111599,0.101967,1,1,0.32104,0.312653,,,0.903247,,,,,0.024399,0.052065,0.020289,0.482291,9.24993,8.94193,18.1919,1.80813,998.849,996.634,0.808116,0.689617,0.245269,0.934885,0.726247,0.227205,0.892134,1.70025,1.61386E-05,0.892118,0.370565,0.521553,0,0.903247,0.587094,0.024399,0.052065,2.80128E-08,0.416095,0,0.501964,0.0899417,0.108283,0.109169,0.144671,0.175712,0.152504,0.126457,0.0932622,0.105712,0.137438,0.157542,0.172867,0.189007,0.0850378,0.0834893,0.0689054,1,1,0,0,0.903247,0.024399,0.052065,0.010504,0.0097854
"MODRA CM 1 CM 2 DM 2","3.24E-09","0.2438","544","Not Litigated",1,0.999918,8.24069E-05,0.5,1.457E-11,0,1,8.24069E-05,9.99927E-06,4.5,3,0.763774,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99997,19.9999,0.000112407,1000,1000,2.91408E-12,1.509E-11,1.9899E-5,1.98992E-5,1.61208E-11,1.98992E-05,0.000102408,0.000102408,3.00002E-05,7.24077E-05,1.72576E-05,5.51501E-05,0,0,,0,0,0,0.241475,0,-2.26608E-11,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.457E-11,0,1,1.45704E-11,0,0,0,0,0
"MODRA CM 1 CM 2 DM 2","3.24E-09","0.2438","544","Settles",4E-11,0,1,0.477708,1,1,1,1,0.10904,4.32167,1.71514,0.875036,0.134348,0.132826,0.134211,0.134474,0.128155,0.118322,0.110878,0.106785,1,1,0.273853,0.313241,,,1,,,,,0,0,0,,9.18709,9.01289,18.2,1.80002,998.846,997.945,0.8,0.645796,0.260504,0.9063,0.634311,0.23475,0.890977,1.69098,1.71514E-05,0.89096,0.346648,0.544312,0,1,0.587094,0,0,0,0.390532,0,0.235092,0.0995759,0.119881,0.120863,0.160168,0.179242,0.120758,0.111534,0.0879781,0.10909,0.134761,0.140597,0.173206,0.17948,0.0941467,0.0924323,0.0762863,1,1,0,0,1,0,0,0,0
"MODRA CM 1 CM 2 DM 2","3.24E-09","0.2438","544","Tried",9E-13,0,1,0.489293,1,1,1,1,0.0985042,4.41434,0.781749,0.995209,0.0150802,0.0598994,0.167641,0.285351,0.269027,0.142933,0.0481461,0.0119228,1,1,0.876853,0.174612,,,0,,,,,0,0,1,0.482291,9.36458,8.43541,17.8,2.20001,997.777,983.554,1.2,1.09611,0.298296,1.39441,1.88178,0.477273,0.901504,2.1015,7.81749E-06,0.901496,0.489777,0.411719,0,0,,0,0,0,0.543046,0,4.31446,9.65977E-13,2.06598E-06,1.66618E-06,1.07266E-06,1.61141E-06,0.57871,0.255633,0.165651,0.163155,0.40124,0.435601,3.23908E-07,1.45035E-06,5.7388E-07,7.57118E-07,7.50756E-07,1,1,0,0,0,0,0,0.517709,0.482291
"MODRA CM 1 CM 2 DM 2","3.24E-09","0.2438","544","PWins",4E-13,0,1,0.558946,1,1,1,1,0.0981738,4.97157,0.738139,1.06065,0.00189027,0.0167602,0.0890649,0.244956,0.324275,0.216281,0.0841028,0.0226693,1,1,0.880199,0.187405,,,0,,,,,0,0,1,1,10.4,7.39999,17.8,2.20001,1000.1,966.365,1.2,1.86059,0,1.86059,3.65448,0,0.901834,2.10183,7.38139E-06,0.901826,0.666982,0.234844,0,0,,0,0,0,0.73941,0,4.33724,1.01963E-13,6.67134E-07,7.18654E-07,6.30272E-07,1.07147E-06,0.516329,0.289739,0.193929,0.126698,0.406275,0.467021,4.56336E-07,2.18729E-06,8.68385E-07,1.22366E-06,1.26504E-06,1,1,0,0,0,0,0,0,1
