Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000000756,1E-05,0,0,0.025,0.025,0.05,0,0.10001
0.000005885,1E-05,0,1,0.025,0.025,0.05,0,1.10001
0.000001010,1E-05,1,0,0.025,0.025,0.05,0,1.10001
0.000000359,1E-05,0,0,0.025,0.025,0.05,0.05,0.15001
0.000001857,1E-05,0,1,0.025,0.025,0.05,0.05,1.15001
0.000001374,1E-05,1,0,0.025,0.025,0.05,0.05,1.15001
0.365089157,1E-05,0,0,0,0,0,0,1E-05
0.000023117,1E-05,0,1,0,0,0,0,1.00001
0.000000373,1E-05,1,0,0,0,0,0,1.00001
0.000003163,3E-05,0,0,0.025,0.025,0.05,0,0.10003
0.000007075,3E-05,0,1,0.025,0.025,0.05,0,1.10003
0.000013626,3E-05,1,0,0.025,0.025,0.05,0,1.10003
0.000000190,3E-05,0,0,0.025,0.025,0.05,0.05,0.15003
0.000000506,3E-05,0,1,0.025,0.025,0.05,0.05,1.15003
0.000000747,3E-05,1,0,0.025,0.025,0.05,0.05,1.15003
0.634829175,3E-05,0,0,0,0,0,0,3E-05
0.000018922,3E-05,0,1,0,0,0,0,1.00003
0.000002708,3E-05,1,0,0,0,0,0,1.00003
