Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000001018,1.6E-05,0,0,0.025,0.025,0.05,0,0.100016
0.000008305,1.6E-05,0,1,0.025,0.025,0.05,0,1.100016
0.000000505,1.6E-05,1,0,0.025,0.025,0.05,0,1.100016
0.000000028,1.6E-05,0,1,0.025,0.025,0.05,0.05,1.150016
0.000000057,1.6E-05,1,0,0.025,0.025,0.05,0.05,1.150016
0.102821302,1.6E-05,0,0,0,0,0,0,1.6E-05
0.000001475,2.4E-05,0,0,0.025,0.025,0.05,0,0.100024
0.000010939,2.4E-05,0,1,0.025,0.025,0.05,0,1.100024
0.000000729,2.4E-05,1,0,0.025,0.025,0.05,0,1.100024
0.000000018,2.4E-05,0,1,0.025,0.025,0.05,0.05,1.150024
0.000000048,2.4E-05,1,0,0.025,0.025,0.05,0.05,1.150024
0.148483348,2.4E-05,0,0,0,0,0,0,2.4E-05
0.000005186,3.2E-05,0,0,0.025,0.025,0.05,0,0.100032
0.000028254,3.2E-05,0,1,0.025,0.025,0.05,0,1.100032
0.000005426,3.2E-05,1,0,0.025,0.025,0.05,0,1.100032
0.518615376,3.2E-05,0,0,0,0,0,0,3.2E-05
0.000002300,4E-05,0,0,0.025,0.025,0.05,0,0.10004
0.000006395,4E-05,0,1,0.025,0.025,0.05,0,1.10004
0.000004569,4E-05,1,0,0.025,0.025,0.05,0,1.10004
0.230004720,4E-05,0,0,0,0,0,0,4E-05
