"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 DMORERA DM 0.5","5.58E-09","0.8877","353","All",1,0.999927,7.3354E-05,0.500001,7.3354E-5,1.46767E-11,1,7.3354E-05,9.99936E-06,4.5,4.13487,0.603775,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.0625011,0.0625011,,,1.46766E-11,,,,,2.13827E-17,1.06356E-18,1.17E-19,0.283784,9.99993,9.99992,19.9999,0.000144045,1000,1000,2.93416E-05,3.6497E-5,3.2368E-7,3.68209E-5,1.82486E-05,2.91308E-07,0.000104704,0.000134045,4.13489E-05,6.33546E-05,3.17859E-07,6.30368E-05,0,1.4677E-11,0.0312503,2.13827E-17,1.06356E-18,5.74462E-24,0.00490279,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.3354E-05,1.46767E-11,0.999927,7.3354E-05,1.46766E-11,2.13827E-17,1.06356E-18,8.3476E-20,3.308E-20
"Risk Neutral CM 4 DMORERA DM 0.5","5.58E-09","0.8877","353","NoDispute",0.9999,1,0,0.500005,0,0,1,0,0,4.50004,4.1349,0.603775,0.124997,0.124998,0.124998,0.124999,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.13492E-05,1000,1000,0,0,0,0,0,0,4.13492E-05,4.13492E-05,4.13492E-05,0,0,0,0,0,,0,0,0,,0,-7.09031E-06,0.102829,0.127185,0.135104,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127184,0.135104,0.134876,0.134877,0.135107,0.12719,0.102834,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 DMORERA DM 0.5","5.58E-09","0.8877","353","DisputeArises",7.3E-5,0,1,0.441519,1,2.0008E-07,1,1,0.136317,4.03215,3.79636,0.601222,0.172428,0.155656,0.138767,0.124324,0.111452,0.101809,0.0978151,0.0977491,1,1,0.0625011,0.0625011,,,2.0008E-07,,,,,2.91500E-13,1.4499E-14,1.59E-15,0.283784,9.1,9.49996,18.6,1.40004,999.058,999.979,0.4,0.497549,0.0044125,0.501961,0.248774,0.00397126,0.863721,1.26372,3.79636E-05,0.863683,0.00433322,0.85935,0,2.0008E-07,0.0312503,2.91500E-13,1.4499E-14,7.83137E-20,0.00490279,0,0.0966517,0.129405,0.154811,0.155532,0.142771,0.12835,0.115221,0.0989626,0.074948,0.135271,0.165301,0.160132,0.14204,0.122538,0.114339,0.0907362,0.0696425,1,2.0008E-07,2.0008E-07,1,2.0008E-07,2.91500E-13,1.4499E-14,1.138E-15,4.509E-16
"Risk Neutral CM 4 DMORERA DM 0.5","5.58E-09","0.8877","353","PFiles",7.3E-5,0,1,0.441519,1,2.0008E-07,1,1,0.136317,4.03215,3.79636,0.601222,0.172428,0.155656,0.138767,0.124324,0.111452,0.101809,0.0978151,0.0977491,1,1,0.0625011,0.0625011,,,2.0008E-07,,,,,2.91500E-13,1.4499E-14,1.59E-15,0.283784,9.1,9.49996,18.6,1.40004,999.058,999.979,0.4,0.497549,0.0044125,0.501961,0.248774,0.00397126,0.863721,1.26372,3.79636E-05,0.863683,0.00433322,0.85935,0,2.0008E-07,0.0312503,2.91500E-13,1.4499E-14,7.83137E-20,0.00490279,0,0.0966517,0.129405,0.154811,0.155532,0.142771,0.12835,0.115221,0.0989626,0.074948,0.135271,0.165301,0.160132,0.14204,0.122538,0.114339,0.0907362,0.0696425,1,2.0008E-07,0,1,2.0008E-07,2.91500E-13,1.4499E-14,1.138E-15,4.509E-16
"Risk Neutral CM 4 DMORERA DM 0.5","5.58E-09","0.8877","353","DAnswers",1E-11,0,1,0.441519,1,1,1,1,0.136317,4.03215,3.79636,0.601222,0.172428,0.155656,0.138767,0.124324,0.111452,0.101809,0.0978151,0.0977491,1,1,0.0625011,0.0625011,,,0.999998,,,,,1.45692E-06,7.24662E-08,7.941E-9,0.283784,8.23125,9.16871,17.4,2.60004,993.772,999.91,1.6,0.827175,0.0086717,0.835847,0.687589,0.0153378,0.863721,2.46372,3.79636E-05,0.863683,0.00433322,0.85935,0,0.999998,0.0312503,1.45692E-06,7.24662E-08,3.91412E-13,0.00490279,0,0.0966517,0.129405,0.154811,0.155532,0.142771,0.12835,0.115221,0.0989626,0.074948,0.135271,0.165301,0.160132,0.14204,0.122538,0.114339,0.0907362,0.0696425,1,1,0,0,0.999998,1.45692E-06,7.24662E-08,5.68766E-9,2.2536E-9
"Risk Neutral CM 4 DMORERA DM 0.5","5.58E-09","0.8877","353","Litigated",1E-11,0,1,0.441519,1,1,1,1,0.136317,4.03215,3.79636,0.601222,0.172428,0.155656,0.138767,0.124324,0.111452,0.101809,0.0978151,0.0977491,1,1,0.0625011,0.0625011,,,0.999998,,,,,1.45692E-06,7.24662E-08,7.941E-9,0.283784,8.23125,9.16871,17.4,2.60004,993.772,999.91,1.6,0.827175,0.0086717,0.835847,0.687589,0.0153378,0.863721,2.46372,3.79636E-05,0.863683,0.00433322,0.85935,0,0.999998,0.0312503,1.45692E-06,7.24662E-08,3.91412E-13,0.00490279,0,0.0966517,0.129405,0.154811,0.155532,0.142771,0.12835,0.115221,0.0989626,0.074948,0.135271,0.165301,0.160132,0.14204,0.122538,0.114339,0.0907362,0.0696425,1,1,0,0,0.999998,1.45692E-06,7.24662E-08,5.68766E-9,2.2536E-9
"Risk Neutral CM 4 DMORERA DM 0.5","5.58E-09","0.8877","353","Not Litigated",1,0.999927,7.3354E-05,0.500001,7.3354E-5,0,1,7.3354E-05,9.99936E-06,4.5,4.13487,0.603775,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99992,19.9999,0.000144045,1000,1000,2.93416E-05,3.6497E-5,3.2368E-7,3.68208E-5,1.82486E-05,2.91308E-07,0.000104704,0.000134045,4.13489E-05,6.33546E-05,3.17859E-07,6.30368E-05,0,0,,0,0,0,0.00490279,0,-1.41784E-12,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.3354E-05,0,0.999927,7.3354E-05,0,0,0,0,0
"Risk Neutral CM 4 DMORERA DM 0.5","5.58E-09","0.8877","353","Settles",1E-11,0,1,0.441519,1,1,1,1,0.136317,4.03215,3.79636,0.601222,0.172428,0.155656,0.138767,0.124324,0.111452,0.101809,0.0978151,0.0977491,1,1,0.0625003,0.062501,,,1,,,,,0,0,0,,8.23125,9.16871,17.4,2.60004,993.772,999.91,1.6,0.827175,0.0086716,0.835847,0.687589,0.0153377,0.863721,2.46372,3.79636E-05,0.863683,0.00433317,0.85935,0,1,0.0312503,0,0,0,0.00490273,0,0.0966515,0.129405,0.154811,0.155532,0.142771,0.12835,0.115221,0.0989626,0.074948,0.135271,0.165301,0.160132,0.14204,0.122538,0.114339,0.0907362,0.0696425,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 DMORERA DM 0.5","5.58E-09","0.8877","353","Tried",1E-19,0,1,0.371195,1,1,1,1,0.0991878,3.46956,1.0001,0.869068,0.0674918,0.165037,0.277365,0.279343,0.153654,0.0468085,0.00899937,0.00130146,1,1,0.937486,0.0625005,,,0,,,,,0,0,1,0.283784,7.94189,8.6581,16.6,3.40001,987.716,998.856,2.4,1.13114,0.400529,1.53167,1.4302,0.773859,0.900822,3.30082,1.0001E-05,0.900812,0.189752,0.71106,0,0,,0,0,0,0.210749,0,3.91535,4.56632E-06,5.46283E-06,5.48828E-06,5.03796E-06,0.592083,0.267884,0.104636,0.0353769,0.332188,0.667787,5.88787E-06,5.01219E-06,4.32402E-06,4.03471E-06,3.20181E-06,2.45748E-06,1,1,0,0,0,0,0,0.716216,0.283784
"Risk Neutral CM 4 DMORERA DM 0.5","5.58E-09","0.8877","353","PWins",3E-20,0,1,0.482652,1,1,1,1,0.0993999,4.36121,1,0.96989,0.00566398,0.0415086,0.171089,0.336893,0.293366,0.119806,0.0273591,0.00431409,1,1,0.937499,0.0625005,,,0,,,,,0,0,1,1,8.3,8.29999,16.6,3.40001,994.596,996.99,2.4,1.25516,0.756236,2.01139,1.82237,1.2856,0.90061,3.30061,1E-05,0.9006,0.400507,0.500093,0,0,,0,0,0,0.444845,0,4.07901,1.16551E-07,2.04264E-07,2.92447E-07,3.43205E-07,0.469402,0.303029,0.159236,0.0683316,0.252521,0.747478,7.15918E-07,4.80298E-12,7.19839E-12,9.51616E-12,1.05855E-11,9.38929E-12,1,1,0,0,0,0,0,0,1
"Risk Neutral CM 4 DMORERA DM 0.5","5.58E-09","0.8877","353","DWins",8E-20,0,1,0.327033,1,1,1,1,0.0991037,3.11626,1.00014,0.829119,0.0919897,0.213982,0.319475,0.25654,0.0982965,0.017885,0.00172473,0.000107776,1,1,0.937481,0.0625005,,,0,,,,,0,0,1,0,7.8,8.79999,16.6,3.40001,984.99,999.596,2.4,1.08201,0.259588,1.34159,1.27481,0.571093,0.900906,3.30091,1.00014E-05,0.900896,0.106245,0.794651,0,0,,0,0,0,0.117994,0,3.8505,6.32943E-06,7.54642E-06,7.54701E-06,6.89815E-06,0.640692,0.253958,0.0830018,0.0223194,0.363755,0.636211,7.93714E-06,6.99815E-06,6.03731E-06,5.63336E-06,4.47046E-06,3.4312E-06,1,1,0,0,0,0,0,1,0
"Risk Neutral CM 4 DMORERA DM 0.5","5.58E-09","0.8877","353","Abandoned",2E-17,0,1,0.441456,1,1,1,1,0.133236,4.03165,3.56081,0.628051,0.175028,0.154576,0.135387,0.12246,0.113427,0.104965,0.0987094,0.0954471,1,1,0.575662,0.0802686,,,0,,,,,0.952617,0.0473826,0,,8.22369,9.17627,17.4,2.60004,993.563,999.896,1.6,0.782028,0.0579113,0.839939,0.626248,0.0797243,0.8668,2.4668,3.56081E-05,0.866764,0.0382438,0.828521,0,0,,0.952617,0.0473826,2.55928E-07,0.0426498,0,0.178316,0.129248,0.153038,0.151479,0.136537,0.132757,0.119189,0.101576,0.0761751,0.141008,0.171096,0.152802,0.13986,0.126148,0.122217,0.0830932,0.0637763,1,1,0,0,0,0.952617,0.0473826,0,0
