"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 DMORERA FSM 0 DM 1 LT 1 UPC 1E-05","5.461E-07","0.9823","401","All",1,0.999913,8.72943E-05,0.5,5.944E-11,1.42483E-11,1,8.72943E-05,9.99923E-06,4.5,2.31894,0.832763,0.125001,0.125,0.124999,0.124999,0.125,0.125,0.125,0.125001,1,1,0.0625012,0.0625011,,,1.42483E-11,,,,,1.92423E-17,2.52416E-19,1.66E-18,0.350294,9.99991,9.99998,19.9999,0.000110484,1000,1000,4.08742E-11,2.932E-11,2.5766E-5,2.57661E-5,2.80694E-11,2.5766E-05,0.000100485,0.000100485,2.31896E-05,7.72951E-05,2.25289E-05,5.47662E-05,0,1.4248E-11,0.0625008,1.92423E-17,2.52416E-19,5.18753E-24,0.295163,0,1.59364E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,5.9441E-11,1.42483E-11,1,4.51924E-11,1.42483E-11,1.92423E-17,2.52416E-19,1.0765E-18,5.804E-19
"Risk Neutral CM 4 DMORERA FSM 0 DM 1 LT 1 UPC 1E-05","5.461E-07","0.9823","401","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,4.50002,2.31894,0.832765,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.31896E-05,1000,1000,0,0,0,0,0,0,2.31896E-05,2.31896E-05,2.31896E-05,0,0,0,0,0,,0,0,0,,0,-2.74243E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 DMORERA FSM 0 DM 1 LT 1 UPC 1E-05","5.461E-07","0.9823","401","DisputeArises",8.7E-5,0,1,0.47864,6.8092E-7,1.63221E-07,1,1,0.114546,4.32912,2.27682,0.819702,0.146967,0.13497,0.125659,0.122572,0.121044,0.117487,0.115599,0.115702,1,1,0.0625012,0.0625011,,,1.63221E-07,,,,,2.20430E-13,2.89155E-15,1.9E-14,0.350294,9,9.99998,19,1.00002,998.808,1000,4.68234E-07,3.3592E-7,0.295163,0.295163,3.21549E-07,0.295163,0.885477,0.885477,2.27682E-05,0.885454,0.25808,0.627374,0,1.63221E-7,0.0625008,2.20430E-13,2.89155E-15,5.94257E-20,0.295163,0,0.0314131,0.113449,0.138302,0.143524,0.138456,0.132646,0.127181,0.115457,0.0909844,0.113669,0.138903,0.144957,0.141434,0.137989,0.125401,0.110181,0.087466,6.80922E-7,1.63221E-07,0.999999,5.17701E-07,1.63221E-07,2.20430E-13,2.89155E-15,1.2332E-14,6.649E-15
"Risk Neutral CM 4 DMORERA FSM 0 DM 1 LT 1 UPC 1E-05","5.461E-07","0.9823","401","PFiles",6E-11,0,1,0.491644,1,0.239706,1,1,0.100972,4.43315,1.00491,0.961163,0.135206,0.128241,0.124878,0.124879,0.122839,0.119271,0.120003,0.124685,1,1,0.0625012,0.0625011,,,0.239706,,,,,3.23723E-07,4.24652E-09,2.788E-8,0.350294,9.27939,9.03295,18.3123,1.68766,998.426,999.839,0.687647,0.493328,0.275491,0.768819,0.472225,0.253729,0.899038,1.58669,1.00491E-05,0.899028,0.433521,0.465507,0,0.239706,0.0625008,3.23723E-07,4.24652E-09,8.72724E-14,0.482205,0,0.00923033,0.106999,0.131492,0.13829,0.136144,0.133921,0.132034,0.122738,0.0983816,0.107063,0.131669,0.138711,0.137019,0.135491,0.131511,0.121188,0.0973478,1,0.239706,0,0.760294,0.239706,3.23723E-07,4.24652E-09,1.81112E-8,9.7648E-9
"Risk Neutral CM 4 DMORERA FSM 0 DM 1 LT 1 UPC 1E-05","5.461E-07","0.9823","401","DAnswers",1E-11,0,1,0.451918,1,1,1,1,0.11499,4.11535,2.33933,0.789272,0.177153,0.156748,0.133399,0.112192,0.0971097,0.0950657,0.106869,0.121463,1,1,0.0625012,0.0625011,,,0.999999,,,,,1.3505E-06,1.77155E-08,1.163E-7,0.350294,8.2625,9.13748,17.4,2.60002,994.161,999.898,1.6,0.640265,0.447691,1.08796,0.552229,0.777863,0.885034,2.48503,2.33933E-05,0.88501,0.224135,0.660876,0,0.999999,0.0625008,1.3505E-06,1.77155E-08,3.64081E-13,0.257664,0,0.0851146,0.129921,0.152913,0.150089,0.135045,0.122372,0.115619,0.107071,0.0869703,0.139337,0.170271,0.177691,0.173373,2.41922E-07,0.0970473,0.135063,0.107218,1,1,0,0,0.999999,1.3505E-06,1.77155E-08,7.55559E-8,4.0737E-8
"Risk Neutral CM 4 DMORERA FSM 0 DM 1 LT 1 UPC 1E-05","5.461E-07","0.9823","401","Litigated",1E-11,0,1,0.451918,1,1,1,1,0.11499,4.11535,2.33933,0.789272,0.177153,0.156748,0.133399,0.112192,0.0971097,0.0950657,0.106869,0.121463,1,1,0.0625012,0.0625011,,,0.999999,,,,,1.3505E-06,1.77155E-08,1.163E-7,0.350294,8.2625,9.13748,17.4,2.60002,994.161,999.898,1.6,0.640265,0.447691,1.08796,0.552229,0.777863,0.885034,2.48503,2.33933E-05,0.88501,0.224135,0.660876,0,0.999999,0.0625008,1.3505E-06,1.77155E-08,3.64081E-13,0.257664,0,0.0851146,0.129921,0.152913,0.150089,0.135045,0.122372,0.115619,0.107071,0.0869703,0.139337,0.170271,0.177691,0.173373,2.41922E-07,0.0970473,0.135063,0.107218,1,1,0,0,0.999999,1.3505E-06,1.77155E-08,7.55559E-8,4.0737E-8
"Risk Neutral CM 4 DMORERA FSM 0 DM 1 LT 1 UPC 1E-05","5.461E-07","0.9823","401","Not Litigated",1,0.999913,8.72943E-05,0.5,4.519E-11,0,1,8.72943E-05,9.99922E-06,4.5,2.31894,0.832763,0.125001,0.125,0.124999,0.124999,0.125,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99998,19.9999,0.000110484,1000,1000,1.80769E-11,2.02E-11,2.5766E-5,2.57661E-5,2.02011E-11,2.5766E-05,0.000100485,0.000100485,2.31896E-05,7.72951E-05,2.25289E-05,5.47662E-05,0,0,,0,0,0,0.295163,0,-1.21113E-12,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,4.5192E-11,0,1,4.51924E-11,0,0,0,0,0
"Risk Neutral CM 4 DMORERA FSM 0 DM 1 LT 1 UPC 1E-05","5.461E-07","0.9823","401","Settles",1E-11,0,1,0.451918,1,1,1,1,0.11499,4.11535,2.33933,0.789272,0.177153,0.156748,0.133399,0.112192,0.0971097,0.0950657,0.106869,0.121463,1,1,0.0625004,0.0625011,,,1,,,,,0,0,0,,8.2625,9.13748,17.4,2.60002,994.161,999.898,1.6,0.640265,0.447691,1.08796,0.552229,0.777863,0.885034,2.48503,2.33933E-05,0.88501,0.224135,0.660876,0,1,0.0625008,0,0,0,0.257664,0,0.0851145,0.129921,0.152913,0.150089,0.135045,0.122372,0.115619,0.107071,0.0869703,0.139337,0.170271,0.177691,0.173373,2.41922E-07,0.0970473,0.135063,0.107218,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 DMORERA FSM 0 DM 1 LT 1 UPC 1E-05","5.461E-07","0.9823","401","Tried",2E-18,0,1,0.564052,1,1,1,1,0.111509,5.01242,1.95826,0.933798,0.00767196,0.0305692,0.0969148,0.213932,0.286927,0.221694,0.105994,0.0362974,1,1,0.578151,0.063772,,,0,,,,,0,0,1,0.350294,8.15029,8.44969,16.6,3.40002,989.593,991.939,2.4,1.17835,0.598754,1.77711,1.67124,1.05384,0.888511,3.28851,1.95826E-05,0.888491,0.330049,0.558442,0,0,,0,0,0,0.371942,0,3.3603,4.21444E-07,4.77302E-07,4.4365E-07,3.73422E-07,0.0130456,0.546215,0.297239,0.143499,0.0669505,0.158056,0.272159,0.502834,3.70873E-07,3.08229E-07,3.25454E-07,2.58357E-07,1,1,0,0,0,0,0,0.649706,0.350294
"Risk Neutral CM 4 DMORERA FSM 0 DM 1 LT 1 UPC 1E-05","5.461E-07","0.9823","401","PWins",6E-19,0,1,0.667983,1,1,1,1,0.112165,5.84386,1.96139,1.01741,0.000206539,0.00242071,0.0203176,0.102217,0.260518,0.319897,0.208365,0.0860587,1,1,0.576981,0.0637235,,,0,,,,,0,0,1,1,8.8,7.79998,16.6,3.40002,998.13,977.739,2.4,1.57333,0.752004,2.32533,2.70932,0.902405,0.887855,3.28786,1.96139E-05,0.887835,0.556034,0.331802,0,0,,0,0,0,0.62667,0,3.30653,5.00272E-08,7.68657E-08,1.05346E-07,1.3649E-07,0.0083789,0.442142,0.337932,0.211547,0.0304419,0.108944,0.244673,0.61594,6.85004E-07,2.48298E-07,2.20824E-07,2.17738E-07,1,1,0,0,0,0,0,0,1
