"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 PMORERA DM 0.5","4.242E-09","0.9504","413","All",1,0.999896,0.000104238,0.5,0.0001042,2.08559E-11,1,0.000104238,9.99906E-06,4.5,0.46796,1.02016,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,0.114735,0.0625007,,,1.82446E-11,,,,,1.65226E-12,7.48982E-13,2.1E-13,0.84932,9.99991,9.99994,19.9998,0.000150613,1000,1000,4.16951E-05,2.1959E-5,5.4287E-5,7.62465E-5,1.09797E-05,4.88584E-05,9.89186E-05,0.000140614,4.6798E-06,9.42388E-05,5.43543E-05,3.98845E-05,0,1.8245E-11,0.0312502,1.65226E-12,7.48982E-13,9.30178E-13,0.578667,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00010424,2.08559E-11,0.999896,0.000104238,1.82446E-11,1.65226E-12,7.48982E-13,3.1655E-14,1.784E-13
"Risk Neutral CM 4 PMORERA DM 0.5","4.242E-09","0.9504","413","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,4.50001,0.467965,1.02016,0.124999,0.124999,0.124999,0.125,0.125,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,10,20,4.67985E-06,1000,1000,0,0,0,0,0,0,4.67985E-06,4.67985E-06,4.67985E-06,0,0,0,0,0,,0,0,0,,0,-5.2862E-06,0.102831,0.127186,0.135105,0.134876,0.134876,0.135106,0.127188,0.102832,0.102831,0.127186,0.135105,0.134875,0.134875,0.135107,0.127188,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 PMORERA DM 0.5","4.242E-09","0.9504","413","DisputeArises",0.0001,0,1,0.483304,1,2.0008E-07,1,1,0.0959254,4.36643,0.413945,1.0112,0.134381,0.131524,0.131437,0.130381,0.124635,0.118066,0.115009,0.114566,1,1,0.114735,0.0625007,,,1.75028E-07,,,,,1.58509E-08,7.18532E-09,2.015E-9,0.84932,9.1,9.5,18.6,1.4,999.881,999.679,0.4,0.210667,0.5208,0.731467,0.105333,0.46872,0.904079,1.30408,4.13945E-06,0.904075,0.521445,0.38263,0,1.75028E-7,0.0312502,1.58509E-08,7.18532E-09,8.92361E-09,0.578667,0,0.0507076,0.108188,0.133334,0.140485,0.138002,0.134546,0.130777,0.119784,0.094885,0.108514,0.134216,0.142573,0.142331,0.142331,0.127224,0.118904,0.0839065,1,2.0008E-07,2.0008E-07,1,1.75028E-07,1.58509E-08,7.18532E-09,3.0368E-10,1.7117E-9
"Risk Neutral CM 4 PMORERA DM 0.5","4.242E-09","0.9504","413","PFiles",0.0001,0,1,0.483304,1,2.0008E-07,1,1,0.0959254,4.36643,0.413945,1.0112,0.134381,0.131524,0.131437,0.130381,0.124635,0.118066,0.115009,0.114566,1,1,0.114735,0.0625007,,,1.75028E-07,,,,,1.58509E-08,7.18532E-09,2.015E-9,0.84932,9.1,9.5,18.6,1.4,999.881,999.679,0.4,0.210667,0.5208,0.731467,0.105333,0.46872,0.904079,1.30408,4.13945E-06,0.904075,0.521445,0.38263,0,1.75028E-7,0.0312502,1.58509E-08,7.18532E-09,8.92361E-09,0.578667,0,0.0507076,0.108188,0.133334,0.140485,0.138002,0.134546,0.130777,0.119784,0.094885,0.108514,0.134216,0.142573,0.142331,0.142331,0.127224,0.118904,0.0839065,1,2.0008E-07,0,1,1.75028E-07,1.58509E-08,7.18532E-09,3.0368E-10,1.7117E-9
"Risk Neutral CM 4 PMORERA DM 0.5","4.242E-09","0.9504","413","DAnswers",2E-11,0,1,0.483304,1,1,1,1,0.0959254,4.36643,0.413945,1.0112,0.134381,0.131524,0.131437,0.130381,0.124635,0.118066,0.115009,0.114566,1,1,0.114735,0.0625007,,,0.874792,,,,,0.0792226,0.0359122,0.010073,0.84932,8.24554,9.1464,17.3919,2.60806,996.096,999.112,1.60806,0.367134,1.0091,1.37623,0.298842,1.76748,0.904079,2.51214,4.13945E-06,0.904075,0.521445,0.38263,0,0.874792,0.0312502,0.0792226,0.0359122,0.0446002,0.578667,0,0.0507076,0.108188,0.133334,0.140485,0.138002,0.134546,0.130777,0.119784,0.094885,0.108514,0.134216,0.142573,0.142331,0.142331,0.127224,0.118904,0.0839065,1,1,0,0,0.874792,0.0792226,0.0359122,0.0015178,0.0085551
"Risk Neutral CM 4 PMORERA DM 0.5","4.242E-09","0.9504","413","Litigated",2E-11,0,1,0.483304,1,1,1,1,0.0959254,4.36643,0.413945,1.0112,0.134381,0.131524,0.131437,0.130381,0.124635,0.118066,0.115009,0.114566,1,1,0.114735,0.0625007,,,0.874792,,,,,0.0792226,0.0359122,0.010073,0.84932,8.24554,9.1464,17.3919,2.60806,996.096,999.112,1.60806,0.367134,1.0091,1.37623,0.298842,1.76748,0.904079,2.51214,4.13945E-06,0.904075,0.521445,0.38263,0,0.874792,0.0312502,0.0792226,0.0359122,0.0446002,0.578667,0,0.0507076,0.108188,0.133334,0.140485,0.138002,0.134546,0.130777,0.119784,0.094885,0.108514,0.134216,0.142573,0.142331,0.142331,0.127224,0.118904,0.0839065,1,1,0,0,0.874792,0.0792226,0.0359122,0.0015178,0.0085551
"Risk Neutral CM 4 PMORERA DM 0.5","4.242E-09","0.9504","413","Not Litigated",1,0.999896,0.000104238,0.5,0.0001042,0,1,0.000104238,9.99905E-06,4.5,0.46796,1.02016,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99994,19.9998,0.000150613,1000,1000,4.16951E-05,2.1959E-5,5.4287E-5,7.62465E-5,1.09797E-05,4.88584E-05,9.89185E-05,0.000140614,4.6798E-06,9.42387E-05,5.43543E-05,3.98845E-05,0,0,,0,0,0,0.578667,0,-1.05837E-12,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00010424,0,0.999896,0.000104238,0,0,0,0,0
"Risk Neutral CM 4 PMORERA DM 0.5","4.242E-09","0.9504","413","Settles",2E-11,0,1,0.462412,1,1,1,1,0.0966446,4.1993,0.473191,0.985012,0.153136,0.148071,0.141695,0.126909,0.106685,0.0987634,0.106633,0.118108,1,1,0.0625001,0.0625008,,,1,,,,,0,0,0,,8.23125,9.16875,17.4,2.6,996.037,999.203,1.6,0.390959,0.93686,1.32782,0.324985,1.65707,0.90336,2.50336,4.73191E-06,0.903355,0.476244,0.427111,0,1,0.0312502,0,0,0,0.529674,0,-0.316512,0.123672,0.152417,0.160592,0.157754,0.153803,0.0796555,0.090715,0.0813907,0.11989,0.143288,0.14132,0.122073,0.096158,0.145433,0.135923,0.0959158,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 PMORERA DM 0.5","4.242E-09","0.9504","413","Tried",2E-13,0,1,0.684855,1,1,1,1,0.0909008,5.97884,1.15157E-11,1.24071,0.000297308,0.00297861,0.0214063,0.0939076,0.227281,0.301381,0.233943,0.118805,1,1,0.660505,0.0625002,,,0,,,,,0,0,1,0.84932,8.22466,8.37534,16.6,3.4,994.09,995.129,2.4,0.649342,1.72536,2.37471,0.465396,3.08123,0.909099,3.3091,0,0.909099,0.886661,0.0224385,0,0,,0,0,0,0.975318,0,4.49399,2.83064E-12,3.38842E-12,3.41939E-12,3.20133E-12,8.12963E-06,2.95446E-12,2.77525E-12,0.999992,0.0242762,0.0845474,0.252093,0.639083,2.70379E-07,3.5393E-12,3.30785E-12,2.33423E-12,1,1,0,0,0,0,0,0.15068,0.84932
"Risk Neutral CM 4 PMORERA DM 0.5","4.242E-09","0.9504","413","PWins",2E-13,0,1,0.710362,1,1,1,1,0.0909008,6.1829,1.02385E-11,1.26141,3.80364E-05,0.000755083,0.00938856,0.0627725,0.203546,0.318736,0.266164,0.138599,1,1,0.660505,0.0625002,,,0,,,,,0,0,1,1,8.3,8.3,16.6,3.4,996.99,994.596,2.4,0.710182,1.68269,2.39287,0.514436,2.86057,0.909099,3.3091,0,0.909099,0.899843,0.00925615,0,0,,0,0,0,0.989818,0,4.44486,5.13587E-13,8.60764E-13,1.26851E-12,1.71301E-12,5.03299E-06,2.57430E-12,2.69427E-12,0.999995,0.0182227,0.0733707,0.243468,0.664938,2.95213E-07,2.97181E-12,3.21119E-12,2.02774E-12,1,1,0,0,0,0,0,0,1
