"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 P Risk Averse FSM 0 DM 1 LT 1 UPC 1E-05","8.358E-08","0.9061","360","All",1,0.999911,8.94131E-05,0.500001,6.2914E-6,6.29141E-06,1,8.94131E-05,9.9992E-06,4.5,2,0.859553,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,0.356596,0.299794,,,5.03067E-06,,,,,2.85179E-12,1.23977E-12,1.261E-6,0.608663,9.99991,9.99998,19.9999,0.000112182,1000,9.99998,2.76871E-06,1.3308E-6,2.621E-05,2.7541E-05,7.14345E-07,2.58299E-05,9.94142E-05,0.000102183,2.00002E-05,7.94139E-05,2.3654E-05,5.57599E-05,0,5.03067E-6,0.3125,2.85179E-12,1.23977E-12,5.25254E-24,0.301767,0,-1.24106E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.29142E-6,6.29141E-06,0.999994,9.03385E-12,5.03067E-06,2.85179E-12,1.23977E-12,4.93373E-7,7.6736E-7
"Risk Neutral CM 1 P Risk Averse FSM 0 DM 1 LT 1 UPC 1E-05","8.358E-08","0.9061","360","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50003,2.00001,0.859554,0.124998,0.124998,0.124999,0.124999,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.00003E-05,1000,9.99998,0,0,0,0,0,0,2.00003E-05,2.00003E-05,2.00003E-05,0,0,0,0,0,,0,0,0,,0,-5.64958E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127185,0.135104,0.134875,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 P Risk Averse FSM 0 DM 1 LT 1 UPC 1E-05","8.358E-08","0.9061","360","DisputeArises",8.9E-5,0,1,0.470635,0.0703634,0.0703633,1,1,0.111831,4.26508,1.86391,0.849064,0.148784,0.139456,0.132802,0.1267,0.117481,0.111169,0.111103,0.112505,1,1,0.356596,0.299794,,,0.0562632,,,,,3.18946E-08,1.38656E-08,0.0141,0.608663,9.01068,9.95833,18.969,1.03098,998.826,9.95833,0.0309654,0.0148836,0.293136,0.308019,0.00798926,0.288883,0.888187,0.919153,1.86391E-05,0.888169,0.264547,0.623621,0,0.0562632,0.3125,3.18946E-08,1.38656E-08,5.87446E-20,0.301767,0,0.0631795,0.116705,0.141975,0.146452,0.139626,0.131634,0.124316,0.111716,0.0875763,0.118248,0.145402,0.153148,0.151248,0.121549,0.117441,0.10757,0.0853934,0.0703634,0.0703633,0.929637,1.01035E-07,0.0562632,3.18946E-08,1.38656E-08,0.0055179,0.0085822
"Risk Neutral CM 1 P Risk Averse FSM 0 DM 1 LT 1 UPC 1E-05","8.358E-08","0.9061","360","PFiles",6.3E-6,0,1,0.565939,1,0.999999,1,1,0.1009,5.02751,1,1.03889,0.00587713,0.0267648,0.0943031,0.218996,0.292486,0.220602,0.104596,0.0363745,1,1,0.356596,0.299794,,,0.799608,,,,,4.53283E-07,1.97057E-07,0.20039,0.608663,9.15181,9.4081,18.5599,1.44009,999.068,9.4081,0.440078,0.211524,0.531391,0.742915,0.113543,0.470954,0.89911,1.33919,1E-05,0.8991,0.587905,0.311195,0,0.799608,0.3125,4.53283E-07,1.97057E-07,8.34874E-19,0.654059,0,3.31742,3.31853E-07,4.03711E-07,8.89067E-07,8.68852E-07,1.2292E-06,0.54749,0.303608,0.148898,0.0551616,0.133595,0.283359,0.52788,1.15133E-06,1.29502E-06,1.30771E-06,1.09798E-06,1,0.999999,0,1.4359E-06,0.799608,4.53283E-07,1.97057E-07,0.07842,0.12197
"Risk Neutral CM 1 P Risk Averse FSM 0 DM 1 LT 1 UPC 1E-05","8.358E-08","0.9061","360","DAnswers",6.3E-6,0,1,0.565939,1,1,1,1,0.1009,5.02751,1,1.03889,0.00587714,0.0267648,0.0943032,0.218996,0.292487,0.220602,0.104596,0.0363742,1,1,0.356596,0.299794,,,0.799609,,,,,4.53284E-07,1.97057E-07,0.20039,0.608663,9.15181,9.4081,18.5599,1.44009,999.068,9.4081,0.440078,0.211525,0.531391,0.742916,0.113543,0.470955,0.89911,1.33919,1E-05,0.8991,0.587904,0.311196,0,0.799609,0.3125,4.53284E-07,1.97057E-07,8.34875E-19,0.654058,0,3.31742,3.31854E-07,4.03711E-07,8.26257E-07,7.51031E-07,1.03623E-06,0.547491,0.303608,0.148898,0.0551616,0.133595,0.283359,0.52788,1.15133E-06,8.49534E-07,8.73464E-07,7.41894E-07,1,1,0,0,0.799609,4.53284E-07,1.97057E-07,0.0784201,0.12197
"Risk Neutral CM 1 P Risk Averse FSM 0 DM 1 LT 1 UPC 1E-05","8.358E-08","0.9061","360","Litigated",6.3E-6,0,1,0.565939,1,1,1,1,0.1009,5.02751,1,1.03889,0.00587714,0.0267648,0.0943032,0.218996,0.292487,0.220602,0.104596,0.0363742,1,1,0.356596,0.299794,,,0.799609,,,,,4.53284E-07,1.97057E-07,0.20039,0.608663,9.15181,9.4081,18.5599,1.44009,999.068,9.4081,0.440078,0.211525,0.531391,0.742916,0.113543,0.470955,0.89911,1.33919,1E-05,0.8991,0.587904,0.311196,0,0.799609,0.3125,4.53284E-07,1.97057E-07,8.34875E-19,0.654058,0,3.31742,3.31854E-07,4.03711E-07,8.26257E-07,7.51031E-07,1.03623E-06,0.547491,0.303608,0.148898,0.0551616,0.133595,0.283359,0.52788,1.15133E-06,8.49534E-07,8.73464E-07,7.41894E-07,1,1,0,0,0.799609,4.53284E-07,1.97057E-07,0.0784201,0.12197
"Risk Neutral CM 1 P Risk Averse FSM 0 DM 1 LT 1 UPC 1E-05","8.358E-08","0.9061","360","Not Litigated",1,0.999917,8.31223E-05,0.5,9.034E-12,0,1,8.31223E-05,9.36446E-06,4.5,2.00001,0.859552,0.125001,0.125,0.125,0.124999,0.124999,0.124999,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99998,19.9999,0.000103123,1000,9.99998,9.03391E-13,5.578E-13,2.2867E-5,2.28671E-5,5.57815E-13,2.28671E-05,9.37581E-05,9.37581E-05,2.00003E-05,7.37578E-05,1.99554E-05,5.38024E-05,0,0,,0,0,0,0.275102,0,-2.08714E-05,0.102832,0.127188,0.135107,0.134877,0.134877,0.135103,0.127186,0.102831,0.102831,0.127187,0.135105,0.134874,0.134877,0.135107,0.127188,0.102832,9.0339E-12,0,1,9.03391E-12,0,0,0,0,0
"Risk Neutral CM 1 P Risk Averse FSM 0 DM 1 LT 1 UPC 1E-05","8.358E-08","0.9061","360","Settles",5E-06,0,1,0.556477,1,1,1,1,0.100827,4.95182,1,1.03179,0.0038691,0.0228538,0.095216,0.237187,0.312869,0.216572,0.0873956,0.0240368,1,1,0.3125,0.3125,,,1,,,,,0,0,0,,9.1125,9.48749,18.6,1.40001,999.086,9.48749,0.4,0.184052,0.568775,0.752827,0.0943268,0.504788,0.899183,1.29918,1E-05,0.899173,0.57616,0.323013,0,1,0.3125,0,0,0,0.640873,0,2.97328,3.14156E-07,3.97133E-07,7.26713E-07,7.47342E-07,7.20525E-07,0.636392,0.363604,7.81898E-07,1.40466E-07,0.151193,0.307301,0.541503,1.00349E-06,9.12225E-07,9.79806E-07,8.31193E-07,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 P Risk Averse FSM 0 DM 1 LT 1 UPC 1E-05","8.358E-08","0.9061","360","Tried",1.3E-6,0,1,0.603694,1,1,1,1,0.101192,5.32955,0.999997,1.06724,0.0138889,0.0423702,0.0906608,0.14641,0.211155,0.236682,0.17323,0.0856031,1,1,0.532551,0.249094,,,0,,,,,0,0,1,0.608663,9.30866,9.09133,18.4,1.60001,998.997,9.09133,0.6,0.321146,0.382222,0.703368,0.19022,0.335954,0.898818,1.49882,9.99997E-06,0.898808,0.634768,0.26404,0,0,,0,0,0,0.706671,0,4.69066,3.76688E-19,4.57767E-19,8.64332E-07,5.56443E-07,1.48995E-06,0.192752,0.0642106,0.743035,0.275269,0.0633788,0.187827,0.473523,1.74122E-06,5.9938E-07,2.70744E-12,2.43621E-12,1,1,0,0,0,0,0,0.391337,0.608663
"Risk Neutral CM 1 P Risk Averse FSM 0 DM 1 LT 1 UPC 1E-05","8.358E-08","0.9061","360","PWins",7.7E-7,0,1,0.693745,1,1,1,1,0.101615,6.04996,0.999996,1.14247,0.000580527,0.00517028,0.0269659,0.0859253,0.197223,0.295524,0.253708,0.134903,1,1,0.573883,0.282265,,,0,,,,,0,0,1,1,9.7,8.69999,18.4,1.60001,999.847,8.69999,0.6,0.418641,0.264408,0.683049,0.279826,0.0793223,0.898395,1.4984,9.99996E-06,0.898385,0.791626,0.106759,0,0,,0,0,0,0.881359,0,4.52516,3.47583E-20,6.23455E-20,2.95402E-07,2.59073E-07,1.37747E-06,0.0803133,0.0370854,0.882599,0.131261,0.0597044,0.209693,0.599339,2.22066E-06,6.16598E-07,2.6049E-12,2.48597E-12,1,1,0,0,0,0,0,0,1
