"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 P Risk Averse DM 0.5","7.087E-09","0.8871","338","All",1,0.99989,0.000109999,0.5,0.00011,2.20086E-11,1,0.000109999,9.999E-06,4.5,5.60224E-06,1.06943,0.125,0.125,0.125,0.125,0.125,0.124999,0.125,0.125001,1,1,0.533805,0.25,,,8.79246E-12,,,,,5.18028E-12,6.63862E-12,1.4E-12,0.716325,9.9999,9.99995,19.9998,0.000153999,1000,9.99995,4.39996E-05,2.0794E-5,6.1571E-5,8.23642E-5,1.03968E-05,5.54137E-05,0.0001,0.000144,2.56102E-10,9.99999E-05,6.21932E-05,3.78067E-05,0,8.7925E-12,0.117571,5.18028E-12,6.63862E-12,7.03558E-18,0.621932,0,-1.24659E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00011,2.20086E-11,0.99989,0.000109999,8.79246E-12,5.18028E-12,6.63862E-12,3.9636E-13,1.001E-12
"Risk Neutral CM 4 P Risk Averse DM 0.5","7.087E-09","0.8871","338","NoDispute",0.9999,1,0,0.5,0,0,1,0,0,4.5,5.60246E-06,1.06943,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,10,20,2.56127E-10,1000,10,0,0,0,0,0,0,2.56127E-10,2.56127E-10,2.56127E-10,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 P Risk Averse DM 0.5","7.087E-09","0.8871","338","DisputeArises",0.0001,0,1,0.499691,1,2.0008E-07,1,1,0.0909009,4.49753,3.62896E-06,1.06877,0.127401,0.124946,0.125721,0.126214,0.122194,0.118977,0.122995,0.131553,1,1,0.533805,0.25,,,7.99322E-08,,,,,4.70939E-08,6.03517E-08,1.27E-08,0.716325,9.1,9.5,18.6,1.4,999.058,9.5,0.4,0.189034,0.559739,0.748773,0.0945169,0.503765,0.909099,1.3091,3.62896E-11,0.909099,0.565398,0.343701,0,7.99322E-8,0.117571,4.70939E-08,6.03517E-08,6.39605E-14,0.621932,0,-6.37939E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,2.0008E-07,2.0008E-07,1,7.99322E-08,4.70939E-08,6.03517E-08,3.60329E-9,9.0989E-9
"Risk Neutral CM 4 P Risk Averse DM 0.5","7.087E-09","0.8871","338","PFiles",0.0001,0,1,0.499691,1,2.0008E-07,1,1,0.0909009,4.49753,3.62896E-06,1.06877,0.127401,0.124946,0.125721,0.126214,0.122194,0.118977,0.122995,0.131553,1,1,0.533805,0.25,,,7.99322E-08,,,,,4.7094E-08,6.03517E-08,1.27E-08,0.716325,9.1,9.5,18.6,1.4,999.058,9.5,0.4,0.189034,0.559739,0.748773,0.094517,0.503765,0.909099,1.3091,3.62896E-11,0.909099,0.565398,0.343701,0,7.99322E-8,0.117571,4.7094E-08,6.03517E-08,6.39605E-14,0.621932,0,-5.20135E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,2.0008E-07,0,1,7.99322E-08,4.7094E-08,6.03517E-08,3.60329E-9,9.0989E-9
"Risk Neutral CM 4 P Risk Averse DM 0.5","7.087E-09","0.8871","338","DAnswers",2E-11,0,1,0.499691,1,1,1,1,0.0909009,4.49753,3.62896E-06,1.06877,0.127401,0.124946,0.125721,0.126214,0.122194,0.118977,0.122995,0.131553,1,1,0.533805,0.25,,,0.399501,,,,,0.235376,0.301638,0.063486,0.716325,8.39513,8.95408,17.3492,2.65079,995.103,8.95408,1.65079,0.444768,0.934534,1.3793,0.322385,1.43425,0.909099,2.55989,3.62896E-11,0.909099,0.565398,0.343701,0,0.399501,0.117571,0.235376,0.301638,3.19674E-07,0.621932,0,-3.94074E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,0.399501,0.235376,0.301638,0.0180092,0.0454763
"Risk Neutral CM 4 P Risk Averse DM 0.5","7.087E-09","0.8871","338","Litigated",2E-11,0,1,0.499691,1,1,1,1,0.0909009,4.49753,3.62896E-06,1.06877,0.127401,0.124946,0.125721,0.126214,0.122194,0.118977,0.122995,0.131553,1,1,0.533805,0.25,,,0.399501,,,,,0.235376,0.301638,0.063486,0.716325,8.39513,8.95408,17.3492,2.65079,995.103,8.95408,1.65079,0.444768,0.934534,1.3793,0.322385,1.43425,0.909099,2.55989,3.62896E-11,0.909099,0.565398,0.343701,0,0.399501,0.117571,0.235376,0.301638,3.19674E-07,0.621932,0,-3.94074E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,0.399501,0.235376,0.301638,0.0180092,0.0454763
"Risk Neutral CM 4 P Risk Averse DM 0.5","7.087E-09","0.8871","338","Not Litigated",1,0.99989,0.000109999,0.5,0.00011,0,1,0.000109999,9.999E-06,4.5,5.60224E-06,1.06943,0.125,0.125,0.125,0.125,0.125,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99995,19.9998,0.000153999,1000,9.99995,4.39996E-05,2.0794E-5,6.1571E-5,8.23642E-5,1.03968E-05,5.54136E-05,0.0001,0.000144,2.56102E-10,9.99999E-05,6.21932E-05,3.78067E-05,0,0,,0,0,0,0.621932,0,-1.58437E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00011,0,0.99989,0.000109999,0,0,0,0,0
"Risk Neutral CM 4 P Risk Averse DM 0.5","7.087E-09","0.8871","338","Settles",9E-12,0,1,0.365558,1,1,1,1,0.0909009,3.42447,8.84276E-06,0.949695,0.233752,0.179014,0.138292,0.130709,0.129972,0.100918,0.059136,0.0282075,1,1,0.221588,0.248697,,,1,,,,,0,0,0,,8.31757,9.08243,17.4,2.6,994.702,9.08243,1.6,0.476992,0.719539,1.19653,0.402397,1.15454,0.909099,2.5091,8.84276E-11,0.909099,0.408131,0.500968,0,1,0.117571,0,0,0,0.44894,0,-1.42888,0.257398,0.318364,0.0866245,0.13869,0.198921,6.46353E-07,6.11959E-07,5.05612E-07,0.146078,0.153674,0.123935,0.0797878,0.19953,0.144918,0.0958947,0.0561817,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 P Risk Averse DM 0.5","7.087E-09","0.8871","338","Tried",1E-12,0,1,0.562931,1,1,1,1,0.0909008,5.00345,1.70769E-07,1.13952,0.00617376,0.028503,0.099277,0.222387,0.287239,0.215321,0.104028,0.0370709,1,1,0.937499,0.0625005,,,0,,,,,0,0,1,0.716325,8.15816,8.44184,16.6,3.4,991.871,8.44184,2.4,0.692116,1.56886,2.26098,0.593324,2.87954,0.909099,3.3091,1.70769E-12,0.909099,0.787322,0.121777,0,0,,0,0,0,0.866046,0,3.31564,4.11761E-13,4.7606E-13,4.43603E-13,3.50776E-13,1.74619E-07,0.545105,0.304541,0.150354,0.0542649,0.132387,0.282821,0.530527,2.63055E-07,3.68408E-13,3.92301E-13,3.54825E-13,1,1,0,0,0,0,0,0.283675,0.716325
"Risk Neutral CM 4 P Risk Averse DM 0.5","7.087E-09","0.8871","338","PWins",1E-12,0,1,0.611684,1,1,1,1,0.0909008,5.39347,1.73174E-07,1.18189,0.000839401,0.00824105,0.051566,0.176762,0.303416,0.268122,0.139831,0.0512221,1,1,0.937499,0.0625005,,,0,,,,,0,0,1,1,8.3,8.3,16.6,3.4,994.596,8.3,2.4,0.760646,1.5969,2.35755,0.635551,2.71473,0.909099,3.3091,1.73174E-12,0.909099,0.853966,0.0551336,0,0,,0,0,0,0.939354,0,3.27183,8.62074E-14,1.35662E-13,1.77388E-13,1.94624E-13,1.28176E-07,0.497012,0.324718,0.17827,0.0347032,0.106693,0.273082,0.585522,3.0988E-07,4.70646E-13,5.21084E-13,4.80281E-13,1,1,0,0,0,0,0,0,1
