Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000000257,2E-05,0,0,0.1,0.1,0.2,0,0.40002
0.000001589,2E-05,0,1,0.1,0.1,0.2,0,1.40002
0.000000477,2E-05,1,0,0.1,0.1,0.2,0,1.40002
0.000000041,2E-05,0,0,0.1,0.1,0.2,0.2,0.60002
0.000000259,2E-05,0,1,0.1,0.1,0.2,0.2,1.60002
0.000000070,2E-05,1,0,0.1,0.1,0.2,0.2,1.60002
0.365092539,2E-05,0,0,0,0,0,0,2E-05
0.000028402,2E-05,0,1,0,0,0,0,1.00002
0.000000254,2E-05,1,0,0,0,0,0,1.00002
0.634832528,3E-05,0,0,0,0,0,0,3E-05
0.000026503,3E-05,0,1,0,0,0,0,1.00003
0.000017081,3E-05,1,0,0,0,0,0,1.00003
