"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 FSM 0 DM 1 LT 1 UPC 1.2E-05","4.195E-08","1","7","All",1,0.999905,9.48732E-05,0.5,9.4873E-5,9.48731E-05,1,9.48732E-05,9.99915E-06,4.5,1.40486,0.769549,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.0705406,0.0625008,,,9.28028E-05,,,,,1.11682E-10,2.60809E-13,2.07E-06,0.200366,9.99991,9.99997,19.9999,0.000121323,1000,1000,9.59083E-06,9.5287E-6,1.1804E-5,2.13324E-5,1.34631E-06,1.16599E-05,0.000101733,0.000111323,1.68585E-05,8.4874E-05,1.06692E-05,7.42048E-05,0,9.28028E-5,0.0625004,1.11682E-10,2.60809E-13,2.21354E-17,0.127269,0,-1.28987E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,9.48732E-5,9.48731E-05,0.999905,1.89822E-11,9.28028E-05,1.11682E-10,2.60809E-13,1.65543E-6,4.148E-07
"MODRA CM 0.25 FSM 0 DM 1 LT 1 UPC 1.2E-05","4.195E-08","1","7","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,4.50002,1.40487,0.76955,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.68586E-05,1000,1000,0,0,0,0,0,0,1.68586E-05,1.68586E-05,1.68586E-05,0,0,0,0,0,,0,0,0,,0,-4.78189E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127185,0.135105,0.134877,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 FSM 0 DM 1 LT 1 UPC 1.2E-05","4.195E-08","1","7","DisputeArises",9.5E-5,0,1,0.477504,1,1,1,1,0.105395,4.32003,1.32229,0.75925,0.151704,0.138498,0.126523,0.118475,0.113357,0.1121,0.116262,0.12308,1,1,0.0705406,0.0625008,,,0.978177,,,,,1.17717E-06,2.74903E-09,0.021821,0.200366,9.01496,9.88393,18.8989,1.10111,998.842,999.947,0.101091,0.100436,0.124416,0.224852,0.0141907,0.1229,0.894621,0.995712,1.58675E-05,0.894605,0.112457,0.782148,0,0.978177,0.0625004,1.17717E-06,2.74903E-09,2.33316E-13,0.127269,0,0.0503982,0.113903,0.138423,0.142945,0.137245,0.131466,0.126904,0.116433,0.0926816,0.119226,0.147464,0.144335,0.130136,0.126966,0.124434,0.115251,0.0921887,1,1,2.0008E-07,2.0008E-07,0.978177,1.17717E-06,2.74903E-09,0.0174488,0.0043722
"MODRA CM 0.25 FSM 0 DM 1 LT 1 UPC 1.2E-05","4.195E-08","1","7","PFiles",9.5E-5,0,1,0.477504,1,1,1,1,0.105395,4.32003,1.32229,0.75925,0.151704,0.138498,0.126523,0.118475,0.113357,0.1121,0.116262,0.12308,1,1,0.0705406,0.0625008,,,0.978178,,,,,1.17717E-06,2.74903E-09,0.021821,0.200366,9.01496,9.88393,18.8989,1.10111,998.842,999.947,0.101091,0.100436,0.124416,0.224852,0.0141907,0.1229,0.894621,0.995712,1.58675E-05,0.894605,0.112457,0.782148,0,0.978178,0.0625004,1.17717E-06,2.74903E-09,2.33316E-13,0.127269,0,0.0503982,0.113903,0.138423,0.142945,0.137245,0.131466,0.126904,0.116433,0.0926816,0.119226,0.147464,0.144335,0.130136,0.126966,0.124434,0.115251,0.0921887,1,1,0,2.0008E-07,0.978178,1.17717E-06,2.74903E-09,0.0174488,0.0043722
"MODRA CM 0.25 FSM 0 DM 1 LT 1 UPC 1.2E-05","4.195E-08","1","7","DAnswers",9.5E-5,0,1,0.477504,1,1,1,1,0.105395,4.32003,1.32229,0.75925,0.151704,0.138498,0.126523,0.118475,0.113357,0.1121,0.116262,0.12308,1,1,0.0705406,0.0625008,,,0.978178,,,,,1.17717E-06,2.74903E-09,0.021821,0.200366,9.01496,9.88393,18.8989,1.10111,998.842,999.947,0.101091,0.100436,0.124416,0.224851,0.0141905,0.1229,0.894621,0.995712,1.58675E-05,0.894605,0.112457,0.782148,0,0.978178,0.0625004,1.17717E-06,2.74903E-09,2.33316E-13,0.127269,0,0.0503982,0.113903,0.138423,0.142945,0.137245,0.131466,0.126904,0.116433,0.0926816,0.119226,0.147464,0.144335,0.130136,0.126966,0.124434,0.115251,0.0921887,1,1,0,0,0.978178,1.17717E-06,2.74903E-09,0.0174488,0.0043722
"MODRA CM 0.25 FSM 0 DM 1 LT 1 UPC 1.2E-05","4.195E-08","1","7","Litigated",9.5E-5,0,1,0.477504,1,1,1,1,0.105395,4.32003,1.32229,0.75925,0.151704,0.138498,0.126523,0.118475,0.113357,0.1121,0.116262,0.12308,1,1,0.0705406,0.0625008,,,0.978178,,,,,1.17717E-06,2.74903E-09,0.021821,0.200366,9.01496,9.88393,18.8989,1.10111,998.842,999.947,0.101091,0.100436,0.124416,0.224851,0.0141905,0.1229,0.894621,0.995712,1.58675E-05,0.894605,0.112457,0.782148,0,0.978178,0.0625004,1.17717E-06,2.74903E-09,2.33316E-13,0.127269,0,0.0503982,0.113903,0.138423,0.142945,0.137245,0.131466,0.126904,0.116433,0.0926816,0.119226,0.147464,0.144335,0.130136,0.126966,0.124434,0.115251,0.0921887,1,1,0,0,0.978178,1.17717E-06,2.74903E-09,0.0174488,0.0043722
"MODRA CM 0.25 FSM 0 DM 1 LT 1 UPC 1.2E-05","4.195E-08","1","7","Not Litigated",0.9999,1,3.79681E-11,0.500002,1.898E-11,0,1,3.79681E-11,4.00164E-12,4.50002,1.40487,0.76955,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.68587E-05,1000,1000,4.74601E-13,1.657E-11,2.476E-12,1.9044E-11,1.65679E-11,2.41760E-12,1.68587E-05,1.68587E-05,1.68586E-05,3.39664E-11,4.269789999999999E-12,2.96966E-11,0,0,,0,0,0,0.127269,0,-4.78189E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127185,0.135105,0.134877,0.134877,0.135107,0.127188,0.102832,1.8984E-11,0,1,1.8984E-11,0,0,0,0,0
"MODRA CM 0.25 FSM 0 DM 1 LT 1 UPC 1.2E-05","4.195E-08","1","7","Settles",9.3E-5,0,1,0.476916,1,1,1,1,0.105633,4.31532,1.34352,0.756684,0.154733,0.14027,0.125889,0.115306,0.109962,0.110966,0.117438,0.125437,1,1,0.0625,0.0625008,,,1,,,,,0,0,0,,9.0125,9.88748,18.9,1.10002,998.842,999.953,0.1,0.0982152,0.125392,0.223607,0.0110493,0.123824,0.894383,0.994383,1.61223E-05,0.894367,0.112136,0.78223,0,1,0.0625004,0,0,0,0.126979,0,-0.0504228,0.116443,0.141511,0.146134,0.140307,0.134398,0.120538,0.109703,0.0909662,0.117802,0.140792,0.139292,0.133039,0.129798,0.12721,0.117822,0.0942452,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 FSM 0 DM 1 LT 1 UPC 1.2E-05","4.195E-08","1","7","Tried",2.1E-6,0,1,0.503887,1,1,1,1,0.0947093,4.5311,0.37038,0.874273,0.0159268,0.0590748,0.154925,0.260562,0.265539,0.162952,0.063575,0.0174457,1,1,0.43095,0.0625002,,,0,,,,,0,0,1,0.200366,9.12537,9.72463,18.85,1.15,998.862,999.692,0.15,0.199974,0.0806653,0.280639,0.155,0.0814553,0.905295,1.0553,4.44455E-06,0.905291,0.126851,0.77844,0,0,,0,0,0,0.140277,0,4.56995,1.46273E-12,1.77762E-12,1.85035E-06,3.90164E-06,2.39723E-06,0.412268,0.41815,0.169574,0.183049,0.446571,0.37038,3.58064E-07,5.86445E-07,4.87614E-08,4.83832E-08,3.87787E-08,1,1,0,0,0,0,0,0.799634,0.200366
"MODRA CM 0.25 FSM 0 DM 1 LT 1 UPC 1.2E-05","4.195E-08","1","7","PWins",4.1E-7,0,1,0.614559,1,1,1,1,0.0942025,5.41647,0.31947,0.959112,0.000399824,0.00580805,0.0466597,0.177567,0.306892,0.269613,0.142409,0.0506501,1,1,0.464374,0.0625004,,,0,,,,,0,0,1,1,9.925,8.925,18.85,1.15,999.97,998.585,0.15,0.724981,0.0262514,0.751233,0.753103,0.00196886,0.905801,1.0558,3.83363E-06,0.905798,0.316803,0.588995,0,0,,0,0,0,0.350019,0,4.68418,6.83689E-14,1.21223E-13,1.59974E-07,1.04561E-06,1.0414E-06,0.366219,0.40731,0.226468,0.143414,0.537113,0.31947,8.26687E-07,1.69271E-06,1.46394E-07,1.6666E-07,1.46605E-07,1,1,0,0,0,0,0,0,1
