"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.513E-09","1","8","All",1,0.999933,6.67644E-05,0.500001,6.6764E-5,6.67644E-05,1,6.67644E-05,9.99943E-06,4.50001,5.40485,0.575735,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,0.0669929,0.0625016,,,6.63049E-05,,,,,9.05962E-11,5.09940E-12,4.593E-7,0.476748,9.99993,9.99995,19.9999,0.000116703,1000,1000,6.6994E-06,6.693E-06,7.8485E-6,1.45416E-5,8.47555E-07,7.7754E-06,0.000100004,0.000106703,4.3239E-05,5.6765E-05,6.55585E-06,5.02091E-05,0,6.63049E-5,0.0625012,9.05962E-11,5.09940E-12,2.83895E-17,0.121019,0,-1.38017E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.67644E-5,6.67644E-05,0.999933,1.33582E-11,6.63049E-05,9.05962E-11,5.09940E-12,2.40343E-7,2.1898E-7
"MODRA CM 0.25 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.513E-09","1","8","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,5.40486,0.575737,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.32391E-05,1000,1000,0,0,0,0,0,0,4.32391E-05,4.32391E-05,4.32391E-05,0,0,0,0,0,,0,0,0,,0,-2.39735E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.513E-09","1","8","DisputeArises",6.7E-5,0,1,0.449247,1,1,1,1,0.149772,4.09397,5.25728,0.558702,0.165885,0.152453,0.138309,0.124361,0.111375,0.1029,0.101204,0.103513,1,1,0.0669929,0.0625016,,,0.993118,,,,,1.35695E-06,7.6379E-08,0.00688,0.476748,9.01513,9.88448,18.8996,1.10039,998.843,999.947,0.100344,0.100248,0.117556,0.217804,0.0126947,0.11646,0.85027,0.950614,4.20582E-05,0.850228,0.0981939,0.752034,0,0.993118,0.0625012,1.35695E-06,7.6379E-08,4.2522E-13,0.121019,0,0.0359052,0.129443,0.154153,0.154197,0.141352,0.127652,0.115748,0.100565,0.0768899,0.133195,0.160681,0.154965,0.136485,0.124496,0.11397,0.0996918,0.0765162,1,1,2.0008E-07,2.0008E-07,0.993118,1.35695E-06,7.6379E-08,0.00359987,0.0032799
"MODRA CM 0.25 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.513E-09","1","8","PFiles",6.7E-5,0,1,0.449247,1,1,1,1,0.149772,4.09397,5.25728,0.558702,0.165885,0.152453,0.138309,0.124361,0.111375,0.1029,0.101204,0.103513,1,1,0.0669929,0.0625016,,,0.993119,,,,,1.35695E-06,7.63791E-08,0.00688,0.476748,9.01513,9.88448,18.8996,1.10039,998.843,999.947,0.100344,0.100248,0.117556,0.217804,0.0126947,0.11646,0.85027,0.950614,4.20582E-05,0.850228,0.0981939,0.752034,0,0.993119,0.0625012,1.35695E-06,7.63791E-08,4.2522E-13,0.121019,0,0.0359052,0.129443,0.154153,0.154197,0.141352,0.127652,0.115748,0.100565,0.0768899,0.133195,0.160681,0.154965,0.136485,0.124496,0.11397,0.0996918,0.0765162,1,1,0,2.0008E-07,0.993119,1.35695E-06,7.63791E-08,0.00359987,0.0032799
"MODRA CM 0.25 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.513E-09","1","8","DAnswers",6.7E-5,0,1,0.449247,1,1,1,1,0.149772,4.09397,5.25728,0.558702,0.165885,0.152453,0.138309,0.124361,0.111375,0.1029,0.101204,0.103513,1,1,0.0669929,0.0625016,,,0.993119,,,,,1.35695E-06,7.63791E-08,0.00688,0.476748,9.01513,9.88448,18.8996,1.10039,998.843,999.947,0.100344,0.100248,0.117556,0.217804,0.0126945,0.11646,0.85027,0.950614,4.20582E-05,0.850228,0.0981939,0.752034,0,0.993119,0.0625012,1.35695E-06,7.63791E-08,4.2522E-13,0.121019,0,0.0359052,0.129443,0.154153,0.154197,0.141352,0.127652,0.115748,0.100565,0.0768899,0.133195,0.160681,0.154965,0.136485,0.124496,0.11397,0.0996918,0.0765162,1,1,0,0,0.993119,1.35695E-06,7.63791E-08,0.00359987,0.0032799
"MODRA CM 0.25 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.513E-09","1","8","Litigated",6.7E-5,0,1,0.449247,1,1,1,1,0.149772,4.09397,5.25728,0.558702,0.165885,0.152453,0.138309,0.124361,0.111375,0.1029,0.101204,0.103513,1,1,0.0669929,0.0625016,,,0.993119,,,,,1.35695E-06,7.63791E-08,0.00688,0.476748,9.01513,9.88448,18.8996,1.10039,998.843,999.947,0.100344,0.100248,0.117556,0.217804,0.0126945,0.11646,0.85027,0.950614,4.20582E-05,0.850228,0.0981939,0.752034,0,0.993119,0.0625012,1.35695E-06,7.63791E-08,4.2522E-13,0.121019,0,0.0359052,0.129443,0.154153,0.154197,0.141352,0.127652,0.115748,0.100565,0.0768899,0.133195,0.160681,0.154965,0.136485,0.124496,0.11397,0.0996918,0.0765162,1,1,0,0,0.993119,1.35695E-06,7.63791E-08,0.00359987,0.0032799
"MODRA CM 0.25 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.513E-09","1","8","Not Litigated",0.9999,1,2.67182E-11,0.500004,1.336E-11,0,1,2.67182E-11,4.00164E-12,4.50003,5.40486,0.575737,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.32391E-05,1000,1000,3.33978E-13,1.174E-11,1.657E-12,1.34E-11,1.17424E-11,1.61771E-12,4.32391E-05,4.32391E-05,4.32391E-05,2.27166E-11,2.62357E-12,2.0093000000000002E-11,0,0,,0,0,0,0.121019,0,-2.39735E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,1.3359E-11,0,1,1.33591E-11,0,0,0,0,0
"MODRA CM 0.25 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.513E-09","1","8","Settles",6.6E-5,0,1,0.448557,1,1,1,1,0.14983,4.08846,5.26369,0.557015,0.166998,0.153307,0.138508,0.123541,0.110104,0.1022,0.101295,0.104046,1,1,0.0625009,0.0625016,,,1,,,,,0,0,0,,9.0125,9.88746,18.9,1.10004,998.842,999.953,0.1,0.0991957,0.116785,0.215981,0.0111597,0.115325,0.850212,0.950212,4.21095E-05,0.85017,0.0957941,0.754376,0,1,0.0625012,0,0,0,0.118264,0,-0.00083377,0.13034,0.155221,0.155266,0.142331,0.128537,0.11655,0.0977795,0.0739773,0.132913,0.158372,0.153739,0.13743,0.125358,0.11476,0.100382,0.0770462,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.513E-09","1","8","Tried",4.6E-7,0,1,0.548746,1,1,1,1,0.141438,4.88997,4.33194,0.802195,0.00519464,0.0290505,0.109663,0.242639,0.294869,0.203903,0.0880898,0.0265926,1,1,0.715331,0.0625009,,,0,,,,,0,0,1,0.476748,9.39477,9.45519,18.85,1.15003,998.979,999.072,0.15,0.252175,0.22885,0.481025,0.23425,0.280341,0.858597,1.0086,3.46555E-05,0.858562,0.444601,0.413962,0,0,,0,0,0,0.518657,0,5.3393,7.00481E-12,8.00971E-12,3.00165E-06,2.63609E-06,1.50209E-06,4.74748E-06,0.502656,0.497332,0.173943,0.494109,0.331948,1.61401E-07,3.28578E-07,4.75103E-12,4.17662E-12,3.2048E-12,1,1,0,0,0,0,0,0.523252,0.476748
"MODRA CM 0.25 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.513E-09","1","8","PWins",2.2E-7,0,1,0.606243,1,1,1,1,0.140734,5.34995,4.29236,0.859989,0.00049974,0.00683342,0.0520154,0.188617,0.311576,0.261744,0.132791,0.0459227,1,1,0.728541,0.0625012,,,0,,,,,0,0,1,1,10.075,8.77497,18.85,1.15003,1000.03,998.024,0.15,0.528949,0,0.528949,0.49135,0,0.859301,1.0093,3.43389E-05,0.859266,0.59741,0.261857,0,0,,0,0,0,0.696051,0,5.35837,2.28499E-12,2.62289E-12,2.21016E-06,2.70256E-06,1.85432E-06,3.50917E-06,0.502196,0.497793,0.152979,0.554642,0.292378,1.77477E-07,4.25926E-07,1.58171E-13,1.81771E-13,1.44954E-13,1,1,0,0,0,0,0,0,1
