"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 FSM 0 DM 0.5 LT 0.8 UPC 1.2E-05","2.356E-07","1","7","All",1,0.999913,8.71992E-05,0.500001,2.9703E-6,2.97029E-06,1,8.71992E-05,9.99923E-06,4.5,2.26975,0.692884,0.125,0.125,0.125,0.124999,0.125,0.125,0.125,0.125001,1,1,0.687496,0.437617,,,1.78274E-06,,,,,3.47293E-12,2.27814E-18,1.188E-6,0.436904,9.99991,9.99997,19.9999,0.000115862,1000,1000,1.42563E-06,7.4679E-7,2.2233E-5,2.29797E-5,4.16357E-07,2.21058E-05,0.000104437,0.000105863,2.72372E-05,7.71999E-05,1.95276E-05,5.76723E-05,0,1.78274E-6,0.343748,3.47293E-12,2.27814E-18,3.74496E-24,0.256933,0,-2.78027E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.97031E-6,2.97029E-06,0.999997,2.63243E-11,1.78274E-06,3.47293E-12,2.27814E-18,6.68701E-7,5.1884E-7
"MODRA CM 1 FSM 0 DM 0.5 LT 0.8 UPC 1.2E-05","2.356E-07","1","7","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,2.26976,0.692885,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.72374E-05,1000,1000,0,0,0,0,0,0,2.72374E-05,2.72374E-05,2.72374E-05,0,0,0,0,0,,0,0,0,,0,-4.84964E-06,0.10283,0.127186,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0.102829,0.127185,0.135104,0.134877,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 1 FSM 0 DM 0.5 LT 0.8 UPC 1.2E-05","2.356E-07","1","7","DisputeArises",8.7E-5,0,1,0.470398,0.0340635,0.0340632,1,1,0.114671,4.26318,2.14524,0.682785,0.150443,0.141019,0.132008,0.122809,0.115571,0.113299,0.113019,0.111832,1,1,0.687496,0.437617,,,0.0204444,,,,,3.98275E-08,2.61257E-14,0.013619,0.436904,9.00183,9.9818,18.9836,1.01637,998.809,999.987,0.0163491,0.0085641,0.254967,0.263532,0.00477478,0.253509,0.885355,0.901704,2.57429E-05,0.885329,0.223943,0.661386,0,0.0204444,0.343748,3.98275E-08,2.61257E-14,4.29472E-20,0.256933,0,0.0556109,0.117777,0.142566,0.14615,0.138626,0.130605,0.123891,0.112056,0.0883313,0.12125,0.149094,0.157037,0.129699,0.124635,0.120423,0.110302,0.0875615,0.0340635,0.0340632,0.965936,3.01887E-07,0.0204444,3.98275E-08,2.61257E-14,0.00766866,0.0059501
"MODRA CM 1 FSM 0 DM 0.5 LT 0.8 UPC 1.2E-05","2.356E-07","1","7","PFiles",3E-06,0,1,0.497914,1,0.999991,1,1,0.100335,4.48331,1,0.818114,0.0120652,0.0512303,0.155869,0.286616,0.282859,0.150678,0.049106,0.0115764,1,1,0.687496,0.437617,,,0.600185,,,,,1.16921E-06,7.66968E-13,0.399805,0.436904,9.05368,9.46635,18.52,1.47997,998.839,999.616,0.479958,0.251417,0.436517,0.687934,0.140173,0.393712,0.899677,1.37964,1.2E-05,0.899665,0.444505,0.45516,0,0.600185,0.343748,1.16921E-06,7.66968E-13,1.2608E-18,0.494219,0,4.02636,6.91788E-07,8.37392E-07,1.85951E-06,1.81362E-06,2.5779E-06,0.604613,0.280983,0.114397,0.116838,0.282968,0.600182,2.08118E-06,2.43862E-06,2.74297E-06,2.76986E-06,2.32564E-06,1,0.999991,0,8.86247E-06,0.600185,1.16921E-06,7.66968E-13,0.225128,0.174676
"MODRA CM 1 FSM 0 DM 0.5 LT 0.8 UPC 1.2E-05","2.356E-07","1","7","DAnswers",3E-06,0,1,0.497912,1,1,1,1,0.100335,4.4833,1.00001,0.818112,0.0120653,0.0512307,0.15587,0.286618,0.28286,0.150678,0.0491042,0.0115741,1,1,0.687496,0.437617,,,0.600191,,,,,1.16922E-06,7.66975E-13,0.399808,0.436904,9.05367,9.46635,18.52,1.47997,998.839,999.616,0.479962,0.251419,0.436516,0.687935,0.140174,0.393713,0.899677,1.37964,1.20001E-05,0.899665,0.444502,0.455163,0,0.600191,0.343748,1.16922E-06,7.66975E-13,1.26081E-18,0.494215,0,4.0264,6.91794E-07,8.37399E-07,1.43055E-06,1.223E-06,1.35883E-06,0.604616,0.280983,0.114396,0.116839,0.282971,0.600187,1.0943E-06,7.32077E-07,7.07336E-07,6.47888E-07,5.14317E-07,1,1,0,0,0.600191,1.16922E-06,7.66975E-13,0.22513,0.174678
"MODRA CM 1 FSM 0 DM 0.5 LT 0.8 UPC 1.2E-05","2.356E-07","1","7","Litigated",3E-06,0,1,0.497912,1,1,1,1,0.100335,4.4833,1.00001,0.818112,0.0120653,0.0512307,0.15587,0.286618,0.28286,0.150678,0.0491042,0.0115741,1,1,0.687496,0.437617,,,0.600191,,,,,1.16922E-06,7.66975E-13,0.399808,0.436904,9.05367,9.46635,18.52,1.47997,998.839,999.616,0.479962,0.251419,0.436516,0.687935,0.140174,0.393713,0.899677,1.37964,1.20001E-05,0.899665,0.444502,0.455163,0,0.600191,0.343748,1.16922E-06,7.66975E-13,1.26081E-18,0.494215,0,4.0264,6.91794E-07,8.37399E-07,1.43055E-06,1.223E-06,1.35883E-06,0.604616,0.280983,0.114396,0.116839,0.282971,0.600187,1.0943E-06,7.32077E-07,7.07336E-07,6.47888E-07,5.14317E-07,1,1,0,0,0.600191,1.16922E-06,7.66975E-13,0.22513,0.174678
"MODRA CM 1 FSM 0 DM 0.5 LT 0.8 UPC 1.2E-05","2.356E-07","1","7","Not Litigated",1,0.999916,8.42291E-05,0.500001,2.632E-11,0,1,8.42291E-05,9.70123E-06,4.5,2.26976,0.692884,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99997,19.9999,0.000111466,1000,1000,2.63244E-12,1.416E-12,2.0936E-5,2.09364E-5,7.08167E-13,2.09364E-05,0.000101765,0.000101765,2.72373E-05,7.45279E-05,1.82074E-05,5.63205E-05,0,0,,0,0,0,0.248565,0,-1.19596E-05,0.102831,0.127187,0.135106,0.134877,0.134877,0.135104,0.127186,0.102831,0.102831,0.127186,0.135104,0.134877,0.134877,0.135106,0.127187,0.102831,2.6324E-11,0,1,2.63244E-11,0,0,0,0,0
"MODRA CM 1 FSM 0 DM 0.5 LT 0.8 UPC 1.2E-05","2.356E-07","1","7","Settles",1.8E-6,0,1,0.539939,1,1,1,1,0.100708,4.81951,1.00001,0.84854,0.00332659,0.0237775,0.108084,0.264897,0.318772,0.19442,0.0693775,0.0173456,1,1,0.687495,0.687496,,,1,,,,,0,0,0,,9.14375,9.45624,18.6,1.40001,999.152,999.633,0.4,0.217545,0.513677,0.731222,0.11829,0.439836,0.899304,1.2993,1.20001E-05,0.899292,0.539439,0.359853,0,1,0.343748,0,0,0,0.599914,0,3.5629,1.15262E-06,1.39522E-06,1.77225E-06,1.21484E-06,1.42909E-06,0.569888,0.297276,0.132828,1.43204E-06,2.00549E-06,0.999992,9.27809E-07,3.22495E-07,1.17852E-06,1.07947E-06,8.56922E-07,1,1,0,0,1,0,0,0,0
"MODRA CM 1 FSM 0 DM 0.5 LT 0.8 UPC 1.2E-05","2.356E-07","1","7","Tried",1.2E-6,0,1,0.434822,1,1,1,1,0.0997743,3.97858,1,0.772435,0.0251834,0.0924431,0.227607,0.319224,0.22895,0.0850118,0.0186701,0.00290987,1,1,0.6875,0.0625012,,,0,,,,,0,0,1,0.436904,8.91845,9.48154,18.4,1.60001,998.368,999.591,0.6,0.30227,0.320684,0.622954,0.173027,0.324474,0.900238,1.50024,1.2E-05,0.900226,0.301985,0.598241,0,0,,0,0,0,0.335542,0,4.7222,4.04601E-19,4.82737E-19,1.83594E-13,5.90737E-07,6.24202E-07,0.656749,0.256523,0.0867261,0.292234,0.707762,2.85981E-06,4.7458E-07,4.09821E-07,8.76353E-13,1.07254E-12,1.01015E-12,1,1,0,0,0,0,0,0.563096,0.436904
"MODRA CM 1 FSM 0 DM 0.5 LT 0.8 UPC 1.2E-05","2.356E-07","1","7","PWins",5.2E-7,0,1,0.511652,1,1,1,1,0.0998843,4.59322,0.999999,0.829229,0.00269228,0.0249855,0.129241,0.31427,0.328783,0.154794,0.0387997,0.00643435,1,1,0.6875,0.0625016,,,0,,,,,0,0,1,1,9.2,9.19999,18.4,1.60001,999.262,999.262,0.6,0.376951,0.423049,0.8,0.301561,0.338439,0.900128,1.50013,1.2E-05,0.900116,0.475912,0.424203,0,0,,0,0,0,0.528812,0,4.77704,5.7171E-20,9.16380E-20,1.13109E-13,4.74709E-07,7.51257E-07,0.582236,0.295139,0.122624,0.236659,0.763336,3.97536E-06,4.84744E-07,3.49532E-07,9.0725E-13,1.267E-12,1.30100E-12,1,1,0,0,0,0,0,0,1
