"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 FSM 1 DM 2 LT 1 UPC 1.2E-05","0","NaN","8","All",1,0.999903,9.72184E-05,0.5,9.7218E-5,9.72183E-05,1,9.72184E-05,9.99913E-06,4.5,1.13488,0.791599,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.113137,0.0625007,,,8.69138E-05,,,,,9.48878E-11,2.06173E-12,1.03E-05,0.213949,9.99991,9.99997,19.9999,0.000121074,9.99991,9.99997,1.02371E-05,1.7003E-5,1.1814E-5,2.88173E-5,9.53373E-06,1.11485E-05,0.000100838,0.000111075,1.36188E-05,8.72192E-05,1.1928E-05,7.52913E-05,0,8.69138E-5,0.125001,9.48878E-11,2.06173E-12,1.89852E-17,0.138476,0,-1.49029E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,9.72184E-5,9.72183E-05,0.999903,1.94515E-11,8.69138E-05,9.48878E-11,2.06173E-12,8.09985E-6,2.2046E-6
"Risk Neutral CM 0.25 FSM 1 DM 2 LT 1 UPC 1.2E-05","0","NaN","8","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,1.13489,0.7916,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,1.36189E-05,10,9.99999,0,0,0,0,0,0,1.36189E-05,1.36189E-05,1.36189E-05,0,0,0,0,0,,0,0,0,,0,-5.88757E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127185,0.135104,0.134876,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 FSM 1 DM 2 LT 1 UPC 1.2E-05","0","NaN","8","DisputeArises",9.7E-5,0,1,0.476733,1,1,1,1,0.102852,4.31387,1.03465,0.782372,0.149775,0.137916,0.127718,0.121194,0.115737,0.112461,0.114711,0.120488,1,1,0.113137,0.0625007,,,0.894006,,,,,9.76027E-07,2.12072E-08,0.105993,0.213949,9.09991,9.79478,18.8947,1.10531,9.09991,9.79478,0.1053,0.174894,0.121524,0.296419,0.0980651,0.114675,0.89716,1.00246,1.24158E-05,0.897148,0.122692,0.774455,0,0.894006,0.125001,9.76027E-07,2.12072E-08,1.95284E-13,0.138476,0,0.0605544,0.113711,0.138722,0.1438,0.138263,0.132036,0.126629,0.115412,0.0914269,0.11635,0.143907,0.152867,0.139105,0.123903,0.121432,0.112471,0.0899648,1,1,2.0008E-07,2.0008E-07,0.894006,9.76027E-07,2.12072E-08,0.083316,0.0226771
"Risk Neutral CM 0.25 FSM 1 DM 2 LT 1 UPC 1.2E-05","0","NaN","8","PFiles",9.7E-5,0,1,0.476733,1,1,1,1,0.102852,4.31387,1.03465,0.782372,0.149775,0.137916,0.127718,0.121194,0.115737,0.112461,0.114711,0.120488,1,1,0.113137,0.0625007,,,0.894006,,,,,9.76028E-07,2.12072E-08,0.105993,0.213949,9.09991,9.79478,18.8947,1.10531,9.09991,9.79478,0.1053,0.174894,0.121524,0.296419,0.0980651,0.114675,0.89716,1.00246,1.24158E-05,0.897148,0.122692,0.774455,0,0.894006,0.125001,9.76028E-07,2.12072E-08,1.95284E-13,0.138476,0,0.0605544,0.113711,0.138722,0.1438,0.138263,0.132036,0.126629,0.115412,0.0914269,0.11635,0.143907,0.152867,0.139105,0.123903,0.121432,0.112471,0.0899648,1,1,0,2.0008E-07,0.894006,9.76028E-07,2.12072E-08,0.083316,0.0226771
"Risk Neutral CM 0.25 FSM 1 DM 2 LT 1 UPC 1.2E-05","0","NaN","8","DAnswers",9.7E-5,0,1,0.476733,1,1,1,1,0.102852,4.31387,1.03465,0.782372,0.149775,0.137916,0.127718,0.121194,0.115737,0.112461,0.114711,0.120488,1,1,0.113137,0.0625007,,,0.894006,,,,,9.76028E-07,2.12072E-08,0.105993,0.213949,9.09991,9.79478,18.8947,1.10531,9.09991,9.79478,0.1053,0.174894,0.121524,0.296418,0.0980644,0.114675,0.89716,1.00246,1.24158E-05,0.897148,0.122692,0.774455,0,0.894006,0.125001,9.76028E-07,2.12072E-08,1.95284E-13,0.138476,0,0.0605544,0.113711,0.138722,0.1438,0.138263,0.132036,0.126629,0.115412,0.0914269,0.11635,0.143907,0.152867,0.139105,0.123903,0.121432,0.112471,0.0899648,1,1,0,0,0.894006,9.76028E-07,2.12072E-08,0.0833161,0.0226771
"Risk Neutral CM 0.25 FSM 1 DM 2 LT 1 UPC 1.2E-05","0","NaN","8","Litigated",9.7E-5,0,1,0.476733,1,1,1,1,0.102852,4.31387,1.03465,0.782372,0.149775,0.137916,0.127718,0.121194,0.115737,0.112461,0.114711,0.120488,1,1,0.113137,0.0625007,,,0.894006,,,,,9.76028E-07,2.12072E-08,0.105993,0.213949,9.09991,9.79478,18.8947,1.10531,9.09991,9.79478,0.1053,0.174894,0.121524,0.296418,0.0980644,0.114675,0.89716,1.00246,1.24158E-05,0.897148,0.122692,0.774455,0,0.894006,0.125001,9.76028E-07,2.12072E-08,1.95284E-13,0.138476,0,0.0605544,0.113711,0.138722,0.1438,0.138263,0.132036,0.126629,0.115412,0.0914269,0.11635,0.143907,0.152867,0.139105,0.123903,0.121432,0.112471,0.0899648,1,1,0,0,0.894006,9.76028E-07,2.12072E-08,0.0833161,0.0226771
"Risk Neutral CM 0.25 FSM 1 DM 2 LT 1 UPC 1.2E-05","0","NaN","8","Not Litigated",0.9999,1,3.89067E-11,0.500003,1.945E-11,0,1,3.89067E-11,4.00164E-12,4.50002,1.13489,0.7916,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,1.36189E-05,10,9.99999,4.86334E-13,3.621E-11,2.694E-12,3.8907E-11,6.97319E-11,2.69381E-12,1.36189E-05,1.36189E-05,1.36189E-05,3.49051E-11,4.77356E-12,3.0131500000000003E-11,0,0,,0,0,0,0.138476,0,-5.88757E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127185,0.135104,0.134876,0.134877,0.135107,0.127188,0.102832,1.9453E-11,0,1,1.94533E-11,0,0,0,0,0
"Risk Neutral CM 0.25 FSM 1 DM 2 LT 1 UPC 1.2E-05","0","NaN","8","Settles",8.7E-5,0,1,0.473704,1,1,1,1,0.103868,4.28963,1.11911,0.771294,0.164496,0.14567,0.124274,0.107256,0.100681,0.106512,0.119417,0.131693,1,1,0.0625001,0.0625008,,,1,,,,,0,0,0,,9.075,9.82499,18.9,1.10001,9.075,9.82499,0.1,0.151414,0.124671,0.276085,0.0264981,0.11532,0.896146,0.996146,1.34293E-05,0.896132,0.119051,0.777082,0,1,0.125001,0,0,0,0.134779,0,-0.301205,0.127192,0.155169,0.160848,0.154655,0.105063,0.0999502,0.106084,0.0910376,0.118063,0.1365,0.127193,0.117386,0.138593,0.135829,0.125805,0.100631,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 FSM 1 DM 2 LT 1 UPC 1.2E-05","0","NaN","8","Tried",1E-05,0,1,0.502286,1,1,1,1,0.0942865,4.51829,0.322298,0.875809,0.0256165,0.0725133,0.156767,0.238754,0.242726,0.162638,0.0750146,0.025971,1,1,0.540233,0.0625002,,,0,,,,,0,0,1,0.213949,9.30999,9.54001,18.85,1.15,9.30999,9.54001,0.15,0.372934,0.0949868,0.467921,0.701695,0.109235,0.905717,1.05572,3.86758E-06,0.905714,0.15341,0.752304,0,0,,0,0,0,0.169652,0,3.11184,3.00628E-13,3.66752E-13,1.15437E-06,1.15611E-06,0.359538,0.351657,0.194093,0.0947099,0.101895,0.206388,0.369418,0.322297,2.74684E-07,3.60767E-07,3.97868E-07,2.56402E-07,1,1,0,0,0,0,0,0.786051,0.213949
"Risk Neutral CM 0.25 FSM 1 DM 2 LT 1 UPC 1.2E-05","0","NaN","8","PWins",2.2E-6,0,1,0.629612,1,1,1,1,0.094102,5.5369,0.301208,0.970432,0.000548769,0.00648067,0.0453553,0.161835,0.282141,0.26807,0.163696,0.0718722,1,1,0.578021,0.0625004,,,0,,,,,0,0,1,1,11,7.85,18.85,1.15,11,7.85,0.15,1.7431,0,1.7431,3.27974,0,0.905902,1.0559,3.61449E-06,0.905898,0.368287,0.537611,0,0,,0,0,0,0.406898,0,3.28199,2.17488E-14,4.22586E-14,2.9037E-07,4.5232E-07,0.261204,0.328362,0.251399,0.159034,0.051427,0.172098,0.475265,0.301207,5.50989E-07,8.8564E-07,1.11919E-06,7.46498E-07,1,1,0,0,0,0,0,0,1
