"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 FSM 2 DM 2 LT 1 UPC 8E-06","2.863E-08","1","7","All",1,0.999928,7.20275E-05,0.500001,1.5501E-6,1.55005E-06,1,7.20275E-05,9.99938E-06,4.50001,4.40486,0.737175,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,0.518183,0.118849,,,4.49654E-07,,,,,5.87591E-14,2.5762E-12,1.1E-06,0.316625,9.99993,9.99996,19.9999,0.000108107,9.99993,9.99996,8.40105E-07,1.0175E-6,8.5797E-6,9.59712E-6,2.2062E-06,8.76537E-06,9.72671E-05,9.81073E-05,3.5239E-05,6.20281E-05,7.19894E-06,5.48292E-05,0,4.49654E-7,0.374999,5.87591E-14,2.5762E-12,4.29478E-24,0.120342,0,-4.02661E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.55009E-6,1.55005E-06,0.999998,3.32963E-11,4.49654E-07,5.87591E-14,2.5762E-12,7.51985E-7,3.4841E-7
"Risk Neutral CM 1 FSM 2 DM 2 LT 1 UPC 8E-06","2.863E-08","1","7","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,4.40487,0.737177,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.52391E-05,10,9.99996,0,0,0,0,0,0,3.52391E-05,3.52391E-05,3.52391E-05,0,0,0,0,0,,0,0,0,,0,-3.03423E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 1 UPC 8E-06","2.863E-08","1","7","DisputeArises",7.2E-5,0,1,0.45618,0.0215208,0.0215203,1,1,0.138827,4.14944,4.27204,0.716938,0.163115,0.148852,0.134872,0.12261,0.111811,0.1052,0.105015,0.108525,1,1,0.518183,0.118849,,,0.00624281,,,,,8.15788E-10,3.57669E-08,0.015277,0.316625,9.00282,9.98548,18.9883,1.0117,9.00282,9.98548,0.0116637,0.014126,0.119116,0.133243,0.0306299,0.121695,0.861207,0.872871,3.41764E-05,0.861173,0.0999472,0.761226,0,0.00624281,0.374999,8.15788E-10,3.57669E-08,5.96270E-20,0.120342,0,0.042123,0.125575,0.150209,0.151327,0.140232,0.128525,0.118528,0.104621,0.0809829,0.129977,0.157812,0.152375,0.134437,0.124795,0.116445,0.103606,0.0805523,0.0215208,0.0215203,0.978479,4.62272E-07,0.00624281,8.15788E-10,3.57669E-08,0.0104403,0.0048372
"Risk Neutral CM 1 FSM 2 DM 2 LT 1 UPC 8E-06","2.863E-08","1","7","PFiles",1.6E-6,0,1,0.497455,1,0.999979,1,1,0.126498,4.47964,3.35974,0.901377,0.0164304,0.0613057,0.161165,0.267452,0.263929,0.155815,0.058468,0.0154358,1,1,0.518183,0.118849,,,0.290083,,,,,3.7907E-08,1.66197E-06,0.709894,0.316625,9.13117,9.32683,18.458,1.542,9.13117,9.32683,0.541972,0.656391,0.22069,0.877081,1.42327,0.340499,0.873529,1.4155,2.68779E-05,0.873502,0.243038,0.630464,0,0.290083,0.374999,3.7907E-08,1.66197E-06,2.77067E-18,0.27762,0,4.56904,3.99222E-06,6.44556E-06,6.726E-06,6.55797E-06,6.39054E-06,0.423469,0.41333,0.16317,0.189404,0.45075,0.359812,6.84182E-06,7.10891E-06,7.38152E-06,7.1354E-06,5.86482E-06,1,0.999979,0,2.14803E-05,0.290083,3.7907E-08,1.66197E-06,0.485124,0.22477
"Risk Neutral CM 1 FSM 2 DM 2 LT 1 UPC 8E-06","2.863E-08","1","7","DAnswers",1.6E-6,0,1,0.497451,1,1,1,1,0.126498,4.47961,3.3598,0.901366,0.0164302,0.061306,0.161166,0.267455,0.263931,0.155815,0.0584649,0.0154312,1,1,0.518183,0.118849,,,0.290089,,,,,3.79078E-08,1.66201E-06,0.709909,0.316625,9.13113,9.32686,18.458,1.54201,9.13113,9.32686,0.541982,0.656382,0.220695,0.877077,1.42328,0.340507,0.873528,1.41551,2.68784E-05,0.873502,0.243025,0.630476,0,0.290089,0.374999,3.79078E-08,1.66201E-06,2.77073E-18,0.277606,0,4.56915,3.23602E-06,5.16179E-06,4.8574E-06,4.00373E-06,3.08932E-06,0.423474,0.413335,0.16317,0.189408,0.450759,0.359818,4.92691E-06,3.46816E-06,2.25661E-06,2.32799E-06,1.99121E-06,1,1,0,0,0.290089,3.79078E-08,1.66201E-06,0.485135,0.224775
"Risk Neutral CM 1 FSM 2 DM 2 LT 1 UPC 8E-06","2.863E-08","1","7","Litigated",1.6E-6,0,1,0.497451,1,1,1,1,0.126498,4.47961,3.3598,0.901366,0.0164302,0.061306,0.161166,0.267455,0.263931,0.155815,0.0584649,0.0154312,1,1,0.518183,0.118849,,,0.290089,,,,,3.79078E-08,1.66201E-06,0.709909,0.316625,9.13113,9.32686,18.458,1.54201,9.13113,9.32686,0.541982,0.656382,0.220695,0.877077,1.42328,0.340507,0.873528,1.41551,2.68784E-05,0.873502,0.243025,0.630476,0,0.290089,0.374999,3.79078E-08,1.66201E-06,2.77073E-18,0.277606,0,4.56915,3.23602E-06,5.16179E-06,4.8574E-06,4.00373E-06,3.08932E-06,0.423474,0.413335,0.16317,0.189408,0.450759,0.359818,4.92691E-06,3.46816E-06,2.25661E-06,2.32799E-06,1.99121E-06,1,1,0,0,0.290089,3.79078E-08,1.66201E-06,0.485135,0.224775
"Risk Neutral CM 1 FSM 2 DM 2 LT 1 UPC 8E-06","2.863E-08","1","7","Not Litigated",1,0.99993,7.04775E-05,0.500001,3.33E-11,0,1,7.04775E-05,9.80331E-06,4.50001,4.40486,0.737175,0.125,0.125,0.124999,0.124999,0.124999,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99996,19.9999,0.000105717,9.99993,9.99996,3.32963E-12,3.607E-11,8.2376E-6,8.23762E-6,4.16112E-11,8.23758E-06,9.59133E-05,9.59133E-05,3.52391E-05,6.06742E-05,6.82225E-06,5.3852E-05,0,0,,0,0,0,0.116883,0,-7.08244E-06,0.102831,0.127187,0.135106,0.134876,0.134876,0.135105,0.127186,0.102831,0.102831,0.127186,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,3.3296E-11,0,1,3.32963E-11,0,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 1 UPC 8E-06","2.863E-08","1","7","Settles",4.5E-7,0,1,0.427211,1,1,1,1,0.11904,3.91769,3.00002,0.887671,0.0205651,0.0894205,0.241611,0.342048,0.225738,0.0687984,0.0107786,0.00104051,1,1,0.187499,0.1875,,,1,,,,,0,0,0,,9.175,9.42498,18.6,1.40002,9.175,9.42498,0.4,0.39885,0.252734,0.651584,0.229343,0.208506,0.880984,1.28098,2.40002E-05,0.88096,0.269878,0.611082,0,1,0.374999,0,0,0,0.306346,0,3.99979,1.06762E-05,9.86911E-06,4.84999E-06,4.4944E-06,4.11918E-06,0.999955,6.72046E-06,3.80914E-06,8.50697E-06,0.999956,8.66503E-06,6.28588E-06,5.26504E-06,5.00715E-06,5.17202E-06,4.95931E-06,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 1 UPC 8E-06","2.863E-08","1","7","Tried",1.1E-6,0,1,0.526153,1,1,1,1,0.129546,4.70922,3.50681,0.906961,0.0147405,0.0498178,0.128295,0.236975,0.279539,0.191372,0.0779503,0.0213105,1,1,0.65331,0.0907961,,,0,,,,,0,0,1,0.316625,9.1132,9.28677,18.4,1.60003,9.1132,9.28677,0.6,0.761615,0.207603,0.969219,1.91115,0.394446,0.870482,1.47048,2.80545E-05,0.870454,0.232051,0.638403,0,0,,0,0,0,0.265861,0,4.80182,1.95749E-07,3.23826E-06,4.86044E-06,3.80324E-06,2.6685E-06,0.187909,0.582233,0.229844,0.266802,0.226343,0.506847,4.37161E-06,2.73391E-06,4.57395E-07,3.394E-07,8.47992E-13,1,1,0,0,0,0,0,0.683375,0.316625
"Risk Neutral CM 1 FSM 2 DM 2 LT 1 UPC 8E-06","2.863E-08","1","7","PWins",3.5E-7,0,1,0.614694,1,1,1,1,0.129299,5.41755,3.46018,0.998357,0.000890814,0.00892246,0.05292,0.169872,0.292433,0.27634,0.148609,0.0500132,1,1,0.707634,0.102846,,,0,,,,,0,0,1,1,11.3,7.09997,18.4,1.60003,11.3,7.09997,0.6,2.40542,0,2.40542,6.03601,0,0.870729,1.47073,2.76814E-05,0.870701,0.431604,0.439098,0,0,,0,0,0,0.49458,0,4.91808,3.66337E-07,5.00203E-06,7.02319E-06,6.65081E-06,5.57543E-06,0.132511,0.573521,0.293943,0.217025,0.322717,0.460242,9.16373E-06,6.14214E-06,8.4778E-07,7.23133E-07,1.86345E-12,1,1,0,0,0,0,0,0,1
