"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 FSM 0 DM 2 LT 1.2 UPC 8E-06","4.618E-07","1","8","All",1,0.999915,8.46339E-05,0.500001,1.0579E-6,1.05786E-06,1,8.46339E-05,9.99925E-06,4.5,2.63488,0.997539,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,0.125001,1,1,0.437498,0.437495,,,1.05784E-06,,,,,4.25795E-12,1.32886E-13,8.96E-12,0.417974,9.99992,9.99998,19.9999,0.000107406,9.99992,9.99998,1.69259E-06,1.4001E-6,2.0249E-5,2.16489E-5,2.09418E-06,2.0223E-05,9.57139E-05,9.74065E-05,2.10792E-05,7.46347E-05,1.76027E-05,5.70319E-05,0,1.05784E-6,0.874997,4.25795E-12,1.32886E-13,2.78056E-18,0.239581,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.05788E-6,1.05786E-06,0.999999,2.34059E-11,1.05784E-06,4.25795E-12,1.32886E-13,5.2163E-12,3.746E-12
"Risk Neutral CM 4 FSM 0 DM 2 LT 1.2 UPC 8E-06","4.618E-07","1","8","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,2.63488,0.997541,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.10792E-05,10,9.99998,0,0,0,0,0,0,2.10792E-05,2.10792E-05,2.10792E-05,0,0,0,0,0,,0,0,0,,0,-2.2665E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 FSM 0 DM 2 LT 1.2 UPC 8E-06","4.618E-07","1","8","DisputeArises",8.5E-5,0,1,0.476175,0.0124995,0.0124992,1,1,0.118147,4.3094,2.58998,0.978922,0.149764,0.137412,0.126887,0.12052,0.117269,0.11652,0.116419,0.115209,1,1,0.437498,0.437495,,,0.012499,,,,,5.03102E-08,1.57013E-09,1.059E-7,0.417974,9.00094,9.97904,18.98,1.02002,9.00094,9.97904,0.0199989,0.0165431,0.239251,0.255794,0.024744,0.238947,0.881874,0.901873,2.07198E-05,0.881853,0.207987,0.673866,0,0.012499,0.874997,5.03102E-08,1.57013E-09,3.2854E-14,0.239581,0,0.0267777,0.115578,0.140133,0.144263,0.137912,0.131285,0.125746,0.114494,0.0905893,0.117242,0.14327,0.149513,0.13363,0.128412,0.124073,0.113645,0.0902155,0.0124995,0.0124992,0.987501,2.76554E-07,0.012499,5.03102E-08,1.57013E-09,6.1634E-08,4.4262E-8
"Risk Neutral CM 4 FSM 0 DM 2 LT 1.2 UPC 8E-06","4.618E-07","1","8","PFiles",1.1E-6,0,1,0.567471,1,0.999978,1,1,0.11201,5.03977,1.99995,1.16642,0.002909,0.0183418,0.0828677,0.224911,0.319472,0.231492,0.0944347,0.0255716,1,1,0.437498,0.437495,,,0.999965,,,,,4.02498E-06,1.25615E-07,8.472E-6,0.417974,9.07502,8.32498,17.4,2.6,9.07502,8.32498,1.59998,1.3235,0.325124,1.64862,1.9796,0.300743,0.888006,2.48799,1.59996E-05,0.88799,0.311956,0.576033,0,0.999965,0.874997,4.02498E-06,1.25615E-07,2.62843E-12,0.351504,0,4.72644,3.98941E-06,4.88917E-06,7.70992E-06,7.57134E-06,7.43631E-06,7.33183E-06,0.712305,0.287656,0.0896899,0.259639,0.650635,7.17035E-06,7.58533E-06,7.95871E-06,7.73766E-06,6.38255E-06,1,0.999978,0,2.21252E-05,0.999965,4.02498E-06,1.25615E-07,4.93092E-6,3.5411E-6
"Risk Neutral CM 4 FSM 0 DM 2 LT 1.2 UPC 8E-06","4.618E-07","1","8","DAnswers",1.1E-6,0,1,0.567469,1,1,1,1,0.11201,5.03975,1.99999,1.16641,0.00290881,0.0183415,0.0828682,0.224914,0.319475,0.231493,0.0944321,0.0255671,1,1,0.437498,0.437495,,,0.999987,,,,,4.02507E-06,1.25618E-07,8.472E-6,0.417974,9.07499,8.32499,17.4,2.60002,9.07499,8.32499,1.60001,1.3235,0.325131,1.64863,1.97961,0.30075,0.888006,2.48801,1.59999E-05,0.88799,0.311946,0.576043,0,0.999987,0.874997,4.02507E-06,1.25618E-07,2.62848E-12,0.351493,0,4.72655,3.52254E-06,4.09224E-06,5.85251E-06,4.8755E-06,3.85364E-06,3.03791E-06,0.712316,0.287658,0.0896918,0.259644,0.650649,4.36442E-06,2.57659E-06,2.78729E-06,2.80511E-06,2.37634E-06,1,1,0,0,0.999987,4.02507E-06,1.25618E-07,4.93103E-6,3.5412E-6
"Risk Neutral CM 4 FSM 0 DM 2 LT 1.2 UPC 8E-06","4.618E-07","1","8","Litigated",1.1E-6,0,1,0.567469,1,1,1,1,0.11201,5.03975,1.99999,1.16641,0.00290881,0.0183415,0.0828682,0.224914,0.319475,0.231493,0.0944321,0.0255671,1,1,0.437498,0.437495,,,0.999987,,,,,4.02507E-06,1.25618E-07,8.472E-6,0.417974,9.07499,8.32499,17.4,2.60002,9.07499,8.32499,1.60001,1.3235,0.325131,1.64863,1.97961,0.30075,0.888006,2.48801,1.59999E-05,0.88799,0.311946,0.576043,0,0.999987,0.874997,4.02507E-06,1.25618E-07,2.62848E-12,0.351493,0,4.72655,3.52254E-06,4.09224E-06,5.85251E-06,4.8755E-06,3.85364E-06,3.03791E-06,0.712316,0.287658,0.0896918,0.259644,0.650649,4.36442E-06,2.57659E-06,2.78729E-06,2.80511E-06,2.37634E-06,1,1,0,0,0.999987,4.02507E-06,1.25618E-07,4.93103E-6,3.5412E-6
"Risk Neutral CM 4 FSM 0 DM 2 LT 1.2 UPC 8E-06","4.618E-07","1","8","Not Litigated",1,0.999916,8.35761E-05,0.5,2.341E-11,0,1,8.35761E-05,9.88077E-06,4.5,2.63488,0.997539,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99998,19.9999,0.000104655,9.99992,9.99998,9.36235E-12,2.666E-11,1.9905E-5,1.99049E-5,3.31541E-11,1.99049E-05,9.47746E-05,9.47746E-05,2.10792E-05,7.36954E-05,1.72728E-05,5.64226E-05,0,0,,0,0,0,0.238165,0,-5.00002E-06,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127186,0.102831,0.102831,0.127187,0.135105,0.134876,0.134876,0.135106,0.127187,0.102831,2.3406E-11,0,1,2.34059E-11,0,0,0,0,0
"Risk Neutral CM 4 FSM 0 DM 2 LT 1.2 UPC 8E-06","4.618E-07","1","8","Settles",1.1E-6,0,1,0.56747,1,1,1,1,0.112011,5.03976,2,1.16641,0.00290672,0.0183399,0.0828676,0.224915,0.319478,0.231494,0.0944323,0.0255668,1,1,0.437498,0.437499,,,1,,,,,0,0,0,,9.075,8.32499,17.4,2.60002,9.075,8.32499,1.6,1.3235,0.325132,1.64863,1.97961,0.300747,0.888005,2.48801,1.6E-05,0.887989,0.311947,0.576043,0,1,0.874997,0,0,0,0.351493,0,4.72659,2.53603E-06,3.06528E-06,4.07689E-06,3.74581E-06,1.77489E-06,1.01171E-06,0.712323,0.287661,0.0896898,0.259644,0.650655,2.89527E-06,1.40189E-06,1.33644E-06,2.80514E-06,2.37637E-06,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 FSM 0 DM 2 LT 1.2 UPC 8E-06","4.618E-07","1","8","Tried",9E-12,0,1,0.504708,1,1,1,1,0.107509,4.53766,1.40742,1.16114,0.074104,0.106378,0.134369,0.162485,0.18219,0.16224,0.112509,0.0657248,1,1,0.526493,0.166928,,,0,,,,,0,0,1,0.417974,8.63595,7.96404,16.6,3.40001,8.63595,7.96404,2.4,1.63128,0.359042,1.99032,3.48917,0.683645,0.892503,3.2925,1.12593E-05,0.892491,0.360252,0.53224,0,0,,0,0,0,0.404671,0,2.72915,2.32982E-08,2.42537E-08,0.0963341,0.133346,0.121192,0.239161,0.267513,0.142454,0.160244,0.248269,0.23234,0.133594,0.0951094,0.130443,2.06986E-07,1.85097E-07,1,1,0,0,0,0,0,0.582026,0.417974
"Risk Neutral CM 4 FSM 0 DM 2 LT 1.2 UPC 8E-06","4.618E-07","1","8","PWins",4E-12,0,1,0.589556,1,1,1,1,0.106298,5.21645,1.29332,1.27104,0.0175299,0.0501692,0.105432,0.166075,0.206372,0.198238,0.152774,0.10341,1,1,0.591402,0.199781,,,0,,,,,0,0,1,1,9.8,6.79999,16.6,3.40001,9.8,6.79999,2.4,2.56451,0.127097,2.69161,6.80837,0.0254194,0.893713,3.29371,1.03466E-05,0.893702,0.56733,0.326373,0,0,,0,0,0,0.635486,0,2.92184,9.34518E-09,1.18968E-08,0.0602517,0.0838268,0.130057,0.245826,0.295085,0.184954,0.102336,0.220719,0.316947,0.158295,0.0733284,0.128373,2.40934E-07,2.40405E-07,1,1,0,0,0,0,0,0,1
