"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 FSM 1 DM 2 LT 0.8 UPC 1.2E-05","1.121E-06","1","7","All",1,0.999913,8.71992E-05,0.500001,2.9703E-6,1.18757E-06,1,8.71992E-05,9.99923E-06,4.5,2.26975,0.692884,0.125,0.125,0.125,0.124999,0.125,0.125,0.125,0.125001,1,1,0.360309,0.187499,,,7.79935E-07,,,,,2.4988E-17,9.60416E-14,4.076E-7,0.531747,9.99992,9.99997,19.9999,0.000117376,9.99992,9.99997,2.93931E-06,4.0256E-6,2.1414E-5,2.54395E-5,7.80943E-06,2.20059E-05,0.000104437,0.000107376,2.72372E-05,7.71999E-05,1.95276E-05,5.76723E-05,0,7.79935E-7,0.374997,2.4988E-17,9.60416E-14,4.64061E-24,0.256933,0,-2.0409E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.97032E-6,1.18757E-06,0.999997,1.78275E-06,7.79935E-07,2.4988E-17,9.60416E-14,1.90874E-7,2.1676E-7
"Risk Neutral CM 4 FSM 1 DM 2 LT 0.8 UPC 1.2E-05","1.121E-06","1","7","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,2.26976,0.692885,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.72374E-05,10,9.99997,0,0,0,0,0,0,2.72374E-05,2.72374E-05,2.72374E-05,0,0,0,0,0,,0,0,0,,0,-4.84964E-06,0.10283,0.127186,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0.102829,0.127185,0.135104,0.134877,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 FSM 1 DM 2 LT 0.8 UPC 1.2E-05","1.121E-06","1","7","DisputeArises",8.7E-5,0,1,0.470398,0.0340636,0.013619,1,1,0.114671,4.26318,2.14524,0.682785,0.150443,0.141019,0.132008,0.122809,0.115571,0.113299,0.113019,0.111832,1,1,0.360309,0.187499,,,0.0089443,,,,,2.86562E-13,1.10141E-09,0.004675,0.531747,9.02863,9.93764,18.9663,1.03373,9.02863,9.93764,0.033708,0.0461655,0.245575,0.29174,0.0895586,0.252363,0.885355,0.919063,2.57429E-05,0.885329,0.223943,0.661386,0,0.0089443,0.374997,2.86562E-13,1.10141E-09,5.32185E-20,0.256933,0,0.0556109,0.117777,0.142566,0.14615,0.138626,0.130605,0.123891,0.112056,0.0883313,0.12125,0.149094,0.157037,0.129699,0.124635,0.120423,0.110302,0.0875615,0.0340636,0.013619,0.965936,0.0204446,0.0089443,2.86562E-13,1.10141E-09,0.00218894,0.0024858
"Risk Neutral CM 4 FSM 1 DM 2 LT 0.8 UPC 1.2E-05","1.121E-06","1","7","PFiles",3E-06,0,1,0.497914,1,0.399811,1,1,0.100335,4.48331,1,0.818114,0.0120655,0.0512306,0.155869,0.286616,0.282859,0.150678,0.0491059,0.0115764,1,1,0.360309,0.187499,,,0.262576,,,,,8.41256E-12,3.23338E-08,0.137234,0.531747,9.84043,8.17,18.0104,1.98957,9.84043,8.17,0.989561,1.35527,0.160773,1.51605,2.62916,0.360062,0.899677,1.88924,1.2E-05,0.899665,0.444505,0.45516,0,0.262576,0.374997,8.41256E-12,3.23338E-08,1.56233E-18,0.494218,0,4.02636,6.91787E-07,1.77978E-06,1.85951E-06,2.64527E-06,2.5779E-06,0.604611,0.280982,0.114397,0.116838,0.282968,0.600181,2.3718E-06,2.65179E-06,2.88254E-06,2.85119E-06,2.36728E-06,1,0.399811,0,0.600189,0.262576,8.41256E-12,3.23338E-08,0.0642605,0.072974
"Risk Neutral CM 4 FSM 1 DM 2 LT 0.8 UPC 1.2E-05","1.121E-06","1","7","DAnswers",1.2E-6,0,1,0.434822,1,1,1,1,0.0997745,3.97858,1.00002,0.772433,0.0251861,0.0924446,0.227606,0.319221,0.228948,0.0850117,0.0186712,0.00291137,1,1,0.360309,0.187499,,,0.656752,,,,,2.10413E-11,8.08727E-08,0.343248,0.531747,8.70018,8.42521,17.1254,2.87461,8.70018,8.42521,1.8746,1.28801,0.402122,1.69014,3.27305,0.90058,0.900237,2.77484,1.20002E-05,0.900225,0.301982,0.598243,0,0.656752,0.374997,2.10413E-11,8.08727E-08,3.90767E-18,0.335539,0,4.72212,1.34902E-06,3.26813E-06,3.10367E-06,4.0078E-06,3.22381E-06,0.65674,0.25652,0.0867255,0.292232,0.707754,3.28887E-06,3.11222E-06,2.2705E-06,1.76916E-06,1.62047E-06,1.28639E-06,1,1,0,0,0.656752,2.10413E-11,8.08727E-08,0.160727,0.182521
"Risk Neutral CM 4 FSM 1 DM 2 LT 0.8 UPC 1.2E-05","1.121E-06","1","7","Litigated",1.2E-6,0,1,0.434822,1,1,1,1,0.0997745,3.97858,1.00002,0.772433,0.0251861,0.0924446,0.227606,0.319221,0.228948,0.0850117,0.0186712,0.00291137,1,1,0.360309,0.187499,,,0.656752,,,,,2.10413E-11,8.08727E-08,0.343248,0.531747,8.70018,8.42521,17.1254,2.87461,8.70018,8.42521,1.8746,1.28801,0.402122,1.69014,3.27305,0.90058,0.900237,2.77484,1.20002E-05,0.900225,0.301982,0.598243,0,0.656752,0.374997,2.10413E-11,8.08727E-08,3.90767E-18,0.335539,0,4.72212,1.34902E-06,3.26813E-06,3.10367E-06,4.0078E-06,3.22381E-06,0.65674,0.25652,0.0867255,0.292232,0.707754,3.28887E-06,3.11222E-06,2.2705E-06,1.76916E-06,1.62047E-06,1.28639E-06,1,1,0,0,0.656752,2.10413E-11,8.08727E-08,0.160727,0.182521
"Risk Neutral CM 4 FSM 1 DM 2 LT 0.8 UPC 1.2E-05","1.121E-06","1","7","Not Litigated",1,0.999914,8.60117E-05,0.500001,1.7828E-6,0,1,8.60117E-05,9.88075E-06,4.5,2.26976,0.692884,0.125,0.125,0.124999,0.124999,0.124999,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99997,19.9999,0.000113962,9.99992,9.99997,7.13102E-07,2.496E-06,2.0936E-5,2.34324E-5,3.92248E-06,2.09364E-05,0.000103368,0.000104081,2.72373E-05,7.61309E-05,1.9169E-05,5.69619E-05,0,0,,0,0,0,0.255848,0,-5.60784E-06,0.102831,0.127187,0.135106,0.134876,0.134876,0.135105,0.127187,0.102831,0.102831,0.127186,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.78275E-6,0,0.999998,1.78275E-06,0,0,0,0,0
"Risk Neutral CM 4 FSM 1 DM 2 LT 0.8 UPC 1.2E-05","1.121E-06","1","7","Settles",7.8E-7,0,1,0.401755,1,1,1,1,0.0994768,3.71404,1.00002,0.748137,0.0344271,0.119026,0.267328,0.326754,0.191284,0.0528214,0.00766105,0.000697579,1,1,0.187498,0.187499,,,1,,,,,0,0,0,,8.575,8.82499,17.4,2.60001,8.575,8.82499,1.6,0.922536,0.359757,1.28229,1.0398,0.512654,0.900535,2.50054,1.20002E-05,0.900523,0.227325,0.673198,0,1,0.374997,0,0,0,0.252461,0,4.31148,2.05408E-06,4.9762E-06,4.72578E-06,4.54583E-06,3.95829E-06,0.999979,6.32934E-07,1.69731E-07,0.311572,0.688415,2.88081E-06,3.6357E-06,2.47334E-06,1.74107E-06,1.30138E-06,8.60529E-07,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 FSM 1 DM 2 LT 0.8 UPC 1.2E-05","1.121E-06","1","7","Tried",4.1E-7,0,1,0.498091,1,1,1,1,0.100344,4.48473,1.00001,0.818919,0.00750495,0.0415852,0.151604,0.304808,0.301011,0.146603,0.0397375,0.00714709,1,1,0.690955,0.187498,,,0,,,,,0,0,1,0.531747,8.93969,7.6603,16.6,3.40001,8.93969,7.6603,2.4,1.9873,0.483181,2.47048,7.54601,1.64282,0.899668,3.29967,1.20002E-05,0.899656,0.444827,0.454829,0,0,,0,0,0,0.494497,0,5.50783,1.10133E-18,2.66806E-18,2.5338E-18,2.97836E-06,1.81848E-06,5.47319E-06,0.747329,0.252661,0.255229,0.744757,3.91572E-06,2.11062E-06,1.8824E-06,1.82289E-06,2.23098E-06,2.1012E-06,1,1,0,0,0,0,0,0.468253,0.531747
"Risk Neutral CM 4 FSM 1 DM 2 LT 0.8 UPC 1.2E-05","1.121E-06","1","7","PWins",2.2E-7,0,1,0.557871,1,1,1,1,0.100398,4.96297,1.00001,0.861961,0.000748535,0.0100202,0.0740039,0.252534,0.360276,0.221271,0.0681445,0.0130022,1,1,0.696084,0.187498,,,0,,,,,0,0,1,1,11,5.59999,16.6,3.40001,11,5.59999,2.4,3.73731,0,3.73731,14.191,0,0.899614,3.29961,1.20001E-05,0.899602,0.596119,0.303483,0,0,,0,0,0,0.662693,0,5.50712,1.19691E-19,7.92735E-19,9.66435E-19,2.29658E-06,1.79827E-06,4.46239E-06,0.706468,0.293523,0.213655,0.786331,4.13116E-06,1.76581E-06,1.65494E-06,1.55057E-06,2.16542E-06,2.22353E-06,1,1,0,0,0,0,0,0,1
