"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 FSM 1 DM 1 LT 1 UPC 8E-06","5.07E-09","0.3934","386","All",1,0.999927,7.27636E-05,0.500001,7.2764E-5,7.27635E-05,1,7.27636E-05,9.99937E-06,4.50001,4.26998,0.757062,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125,0.125001,1,1,0.0687197,0.0625013,,,7.18427E-05,,,,,9.92597E-11,7.48316E-12,9.207E-7,0.423337,9.99993,9.99996,19.9999,0.000114246,1000,1000,7.32239E-06,7.3009E-6,8.8379E-6,1.61388E-5,9.97818E-07,8.75624E-06,9.69242E-05,0.000104247,3.416E-05,6.27642E-05,7.63089E-06,5.51333E-05,0,7.18427E-5,0.0625008,9.92597E-11,7.48316E-12,2.35094E-17,0.12599,0,-2.1689E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.27635E-5,7.27635E-05,0.999927,1.45585E-11,7.18427E-05,9.92597E-11,7.48316E-12,5.30961E-7,3.8979E-7
"MODRA CM 0.25 FSM 1 DM 1 LT 1 UPC 8E-06","5.07E-09","0.3934","386","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,4.26999,0.757064,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.41601E-05,1000,1000,0,0,0,0,0,0,3.41601E-05,3.41601E-05,3.41601E-05,0,0,0,0,0,,0,0,0,,0,-3.34641E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 FSM 1 DM 1 LT 1 UPC 8E-06","5.07E-09","0.3934","386","DisputeArises",7.3E-5,0,1,0.45701,1,1,1,1,0.137423,4.15608,4.13622,0.73766,0.161702,0.147796,0.13448,0.123535,0.113734,0.106346,0.104794,0.107613,1,1,0.0687197,0.0625013,,,0.987344,,,,,1.36414E-06,1.02842E-07,0.012654,0.423337,9.01661,9.88273,18.8993,1.10067,998.844,999.945,0.100633,0.100337,0.121461,0.221798,0.0137132,0.120338,0.86261,0.963243,3.30897E-05,0.862577,0.104872,0.757705,0,0.987344,0.0625008,1.36414E-06,1.02842E-07,3.23094E-13,0.12599,0,0.0459868,0.125017,0.149843,0.15136,0.140612,0.128984,0.118796,0.104602,0.0807852,0.128663,0.156216,0.150833,0.143193,0.123533,0.115267,0.102558,0.0797374,1,1,2.0008E-07,2.0008E-07,0.987344,1.36414E-06,1.02842E-07,0.00729707,0.0053569
"MODRA CM 0.25 FSM 1 DM 1 LT 1 UPC 8E-06","5.07E-09","0.3934","386","PFiles",7.3E-5,0,1,0.45701,1,1,1,1,0.137423,4.15608,4.13622,0.73766,0.161702,0.147796,0.13448,0.123535,0.113734,0.106346,0.104794,0.107613,1,1,0.0687197,0.0625013,,,0.987344,,,,,1.36414E-06,1.02842E-07,0.012654,0.423337,9.01661,9.88273,18.8993,1.10067,998.844,999.945,0.100633,0.100337,0.121461,0.221798,0.0137132,0.120338,0.86261,0.963243,3.30897E-05,0.862577,0.104872,0.757705,0,0.987344,0.0625008,1.36414E-06,1.02842E-07,3.23094E-13,0.12599,0,0.0459868,0.125017,0.149843,0.15136,0.140612,0.128984,0.118796,0.104602,0.0807852,0.128663,0.156216,0.150833,0.143193,0.123533,0.115267,0.102558,0.0797374,1,1,0,2.0008E-07,0.987344,1.36414E-06,1.02842E-07,0.00729707,0.0053569
"MODRA CM 0.25 FSM 1 DM 1 LT 1 UPC 8E-06","5.07E-09","0.3934","386","DAnswers",7.3E-5,0,1,0.45701,1,1,1,1,0.137423,4.15608,4.13622,0.73766,0.161702,0.147796,0.13448,0.123535,0.113734,0.106346,0.104794,0.107613,1,1,0.0687197,0.0625013,,,0.987345,,,,,1.36414E-06,1.02842E-07,0.012654,0.423337,9.0166,9.88273,18.8993,1.10067,998.844,999.945,0.100633,0.100337,0.121461,0.221798,0.013713,0.120338,0.86261,0.963243,3.30897E-05,0.862577,0.104872,0.757705,0,0.987345,0.0625008,1.36414E-06,1.02842E-07,3.23094E-13,0.12599,0,0.0459868,0.125017,0.149843,0.15136,0.140612,0.128984,0.118796,0.104602,0.0807852,0.128663,0.156216,0.150833,0.143193,0.123533,0.115267,0.102558,0.0797374,1,1,0,0,0.987345,1.36414E-06,1.02842E-07,0.00729707,0.0053569
"MODRA CM 0.25 FSM 1 DM 1 LT 1 UPC 8E-06","5.07E-09","0.3934","386","Litigated",7.3E-5,0,1,0.45701,1,1,1,1,0.137423,4.15608,4.13622,0.73766,0.161702,0.147796,0.13448,0.123535,0.113734,0.106346,0.104794,0.107613,1,1,0.0687197,0.0625013,,,0.987345,,,,,1.36414E-06,1.02842E-07,0.012654,0.423337,9.0166,9.88273,18.8993,1.10067,998.844,999.945,0.100633,0.100337,0.121461,0.221798,0.013713,0.120338,0.86261,0.963243,3.30897E-05,0.862577,0.104872,0.757705,0,0.987345,0.0625008,1.36414E-06,1.02842E-07,3.23094E-13,0.12599,0,0.0459868,0.125017,0.149843,0.15136,0.140612,0.128984,0.118796,0.104602,0.0807852,0.128663,0.156216,0.150833,0.143193,0.123533,0.115267,0.102558,0.0797374,1,1,0,0,0.987345,1.36414E-06,1.02842E-07,0.00729707,0.0053569
"MODRA CM 0.25 FSM 1 DM 1 LT 1 UPC 8E-06","5.07E-09","0.3934","386","Not Litigated",0.9999,1,2.91192E-11,0.500004,1.456E-11,0,1,2.91192E-11,4.00164E-12,4.50003,4.26999,0.757064,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.41601E-05,1000,1000,3.6399E-13,1.273E-11,1.88E-12,1.4605E-11,1.27252E-11,1.83551E-12,3.41601E-05,3.41601E-05,3.41601E-05,2.51175E-11,3.0537999999999998E-12,2.20637E-11,0,0,,0,0,0,0.12599,0,-3.34641E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,1.456E-11,0,1,1.45596E-11,0,0,0,0,0
"MODRA CM 0.25 FSM 1 DM 1 LT 1 UPC 8E-06","5.07E-09","0.3934","386","Settles",7.2E-5,0,1,0.454778,1,1,1,1,0.137431,4.13822,4.14264,0.734474,0.16374,0.149494,0.135433,0.12318,0.112058,0.104375,0.103825,0.107895,1,1,0.0625005,0.0625012,,,1,,,,,0,0,0,,9.0125,9.88747,18.9,1.10003,998.842,999.953,0.1,0.098767,0.120549,0.219316,0.0111115,0.119042,0.862602,0.962602,3.31411E-05,0.862569,0.101438,0.761132,0,1,0.0625008,0,0,0,0.122075,0,-0.0140921,0.126619,0.151763,0.1533,0.142414,0.130637,0.120318,0.102434,0.0725133,0.129103,0.154751,0.150412,0.139241,0.125116,0.116745,0.103873,0.0807593,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 FSM 1 DM 1 LT 1 UPC 8E-06","5.07E-09","0.3934","386","Tried",9.2E-7,0,1,0.631193,1,1,1,1,0.136807,5.54954,3.63519,0.986247,0.00270194,0.0152633,0.0601324,0.151277,0.244492,0.260146,0.180428,0.0855589,1,1,0.553928,0.0625022,,,0,,,,,0,0,1,0.423337,9.33684,9.51313,18.85,1.15003,999.034,999.291,0.15,0.222866,0.192616,0.415482,0.216701,0.221508,0.863222,1.01322,2.90816E-05,0.863193,0.372857,0.490335,0,0,,0,0,0,0.431463,0,4.73374,6.26540E-12,7.33316E-12,1.19924E-06,2.18114E-06,1.98702E-06,5.12587E-06,0.273784,0.726206,0.0942872,0.270503,0.183689,0.45152,7.14473E-07,3.47736E-12,3.15626E-12,2.57366E-12,1,1,0,0,0,0,0,0.576663,0.423337
"MODRA CM 0.25 FSM 1 DM 1 LT 1 UPC 8E-06","5.07E-09","0.3934","386","PWins",3.9E-7,0,1,0.698099,1,1,1,1,0.137065,6.08479,3.63598,1.04901,0.000152535,0.00242376,0.0214616,0.0928244,0.204162,0.278296,0.251916,0.148763,1,1,0.558164,0.0625035,,,0,,,,,0,0,1,1,10,8.84997,18.85,1.15003,1000,998.326,0.15,0.526452,0,0.526452,0.511887,0,0.862964,1.01296,2.90878E-05,0.862935,0.538676,0.324259,0,0,,0,0,0,0.623548,0,4.70226,3.39727E-12,4.24044E-12,7.63863E-07,2.51762E-06,2.75712E-06,4.13509E-06,0.254576,0.745413,0.0755446,0.288457,0.153321,0.482676,1.1999E-06,1.30704E-12,1.31286E-12,1.30553E-12,1,1,0,0,0,0,0,0,1
