"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 FSM 2 DM 1 LT 1.2 UPC 8E-06","6.809E-07","0.9971","562","All",1,0.999909,9.058E-05,0.5,5.032E-11,3.56528E-11,1,9.058E-05,9.99919E-06,4.5,2,1.08746,0.125,0.125,0.124999,0.125,0.125,0.125,0.125,0.125,1,1,0.315403,0.201392,,,2.65254E-11,,,,,4.17579E-12,4.45315E-12,4.98E-13,0.528742,9.99991,9.99998,19.9999,0.00010658,1000,1000,1.58274E-11,8.945E-12,3.2631E-5,3.26305E-5,4.68147E-12,3.26305E-05,9.6581E-05,9.6581E-05,1.60002E-05,8.05808E-05,2.88506E-05,5.17301E-05,0,2.6525E-11,0.181286,4.17579E-12,4.45315E-12,1.42187E-17,0.36024,0,1.77255E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,5.0319E-11,3.56528E-11,1,1.46663E-11,2.65254E-11,4.17579E-12,4.45315E-12,2.3487E-13,2.635E-13
"MODRA CM 1 FSM 2 DM 1 LT 1.2 UPC 8E-06","6.809E-07","0.9971","562","NoDispute",0.9999,1,0,0.500001,0,0,1,0,0,4.50001,2,1.08746,0.124999,0.124999,0.125,0.125,0.125,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.60002E-05,1000,1000,0,0,0,0,0,0,1.60002E-05,1.60002E-05,1.60002E-05,0,0,0,0,0,,0,0,0,,0,2.13374E-15,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127187,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127187,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 1 FSM 2 DM 1 LT 1.2 UPC 8E-06","6.809E-07","0.9971","562","DisputeArises",9.1E-5,0,1,0.487549,5.5552E-7,3.93605E-07,1,1,0.110391,4.40039,2,1.07435,0.140247,0.129551,0.122717,0.122918,0.124327,0.121697,0.118942,0.119602,1,1,0.315403,0.201392,,,2.9284E-07,,,,,4.61006E-08,4.91626E-08,5.502E-9,0.528742,9,9.99998,19,1.00002,998.808,1000,1.74734E-07,9.875E-08,0.36024,0.36024,5.16832E-08,0.36024,0.889625,0.889625,1.6E-05,0.889609,0.31851,0.571099,0,2.9284E-07,0.181286,4.61006E-08,4.91626E-08,1.56974E-13,0.36024,0,-7.87488E-14,0.109546,0.133865,0.139698,0.136304,0.132984,0.130331,0.120714,0.0965582,0.109546,0.133865,0.139698,0.136304,0.132984,0.130331,0.120714,0.0965582,5.55521E-7,3.93605E-07,0.999999,1.61915E-07,2.9284E-07,4.61006E-08,4.91626E-08,2.593E-09,2.9093E-9
"MODRA CM 1 FSM 2 DM 1 LT 1.2 UPC 8E-06","6.809E-07","0.9971","562","PFiles",5E-11,0,1,0.552306,1,0.708534,1,1,0.100986,4.91845,1.02339,1.26897,0.0798562,0.0945494,0.11442,0.133096,0.141182,0.141495,0.144246,0.151156,1,1,0.315403,0.201392,,,0.527145,,,,,0.0829863,0.0884982,0.009905,0.528742,9.30926,9.37619,18.6855,1.31455,999.089,999.31,0.314541,0.177762,0.263742,0.441504,0.0930357,0.236633,0.899022,1.21356,8.18713E-06,0.899014,0.521674,0.37734,0,0.527145,0.181286,0.0829863,0.0884982,2.82571E-07,0.579745,0,0.219879,0.0394547,0.0482137,0.163856,0.161857,0.160053,0.158765,0.148389,0.119412,0.076994,0.103565,0.122028,0.135002,0.14575,0.15227,0.145843,0.118548,1,0.708534,0,0.291466,0.527145,0.0829863,0.0884982,0.0046677,0.0052371
"MODRA CM 1 FSM 2 DM 1 LT 1.2 UPC 8E-06","6.809E-07","0.9971","562","DAnswers",4E-11,0,1,0.461415,1,1,1,1,0.102881,4.19132,1.25109,1.14411,0.112598,0.132529,0.156046,0.167346,0.150514,0.117299,0.0895605,0.0741066,1,1,0.315403,0.201392,,,0.743994,,,,,0.117124,0.124903,0.013979,0.528742,9.06625,9.53094,18.5972,1.40281,998.731,999.517,0.402796,0.2347,0.332718,0.567418,0.11512,0.330023,0.897129,1.29993,1.00087E-05,0.897119,0.379139,0.517981,0,0.743994,0.181286,0.117124,0.124903,3.98811E-07,0.423054,0,0.607922,0.0556849,0.0680471,0.210172,0.189011,0.161507,0.134181,0.106152,0.075246,0.108667,0.146168,0.172226,0.190537,0.205706,0.0662509,0.061362,0.0490831,1,1,0,0,0.743994,0.117124,0.124903,0.00658782,0.0073914
"MODRA CM 1 FSM 2 DM 1 LT 1.2 UPC 8E-06","6.809E-07","0.9971","562","Litigated",4E-11,0,1,0.461415,1,1,1,1,0.102881,4.19132,1.25109,1.14411,0.112598,0.132529,0.156046,0.167346,0.150514,0.117299,0.0895605,0.0741066,1,1,0.315403,0.201392,,,0.743994,,,,,0.117124,0.124903,0.013979,0.528742,9.06625,9.53094,18.5972,1.40281,998.731,999.517,0.402796,0.2347,0.332718,0.567418,0.11512,0.330023,0.897129,1.29993,1.00087E-05,0.897119,0.379139,0.517981,0,0.743994,0.181286,0.117124,0.124903,3.98811E-07,0.423054,0,0.607922,0.0556849,0.0680471,0.210172,0.189011,0.161507,0.134181,0.106152,0.075246,0.108667,0.146168,0.172226,0.190537,0.205706,0.0662509,0.061362,0.0490831,1,1,0,0,0.743994,0.117124,0.124903,0.00658782,0.0073914
"MODRA CM 1 FSM 2 DM 1 LT 1.2 UPC 8E-06","6.809E-07","0.9971","562","Not Litigated",1,0.999909,9.05799E-05,0.5,1.467E-11,0,1,9.05799E-05,9.99919E-06,4.5,2,1.08746,0.125,0.125,0.124999,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99998,19.9999,0.00010658,1000,1000,1.46663E-12,5.771E-13,3.2631E-5,3.26305E-5,5.77121E-13,3.26305E-05,9.6581E-05,9.6581E-05,1.60002E-05,8.05807E-05,2.88506E-05,5.17301E-05,0,0,,0,0,0,0.36024,0,-2.16711E-11,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.4666E-11,0,1,1.46663E-11,0,0,0,0,0
"MODRA CM 1 FSM 2 DM 1 LT 1.2 UPC 8E-06","6.809E-07","0.9971","562","Settles",3E-11,0,1,0.465617,1,1,1,1,0.105538,4.22494,1.51759,1.11538,0.109901,0.126273,0.157676,0.175566,0.150103,0.1096,0.0879604,0.0829201,1,1,0.181285,0.181286,,,1,,,,,0,0,0,,8.98129,9.6187,18.6,1.40001,998.675,999.76,0.4,0.222738,0.392331,0.615069,0.0989676,0.404142,0.894474,1.29447,1.21408E-05,0.894462,0.351132,0.54333,0,1,0.181286,0,0,0,0.393485,0,9.62731E-07,0.0748459,0.0914618,0.203144,0.203103,0.189948,0.0890477,0.0824764,0.0659724,0.074846,0.0914619,0.203144,0.203103,0.189948,0.0890476,0.0824764,0.0659724,1,1,0,0,1,0,0,0,0
"MODRA CM 1 FSM 2 DM 1 LT 1.2 UPC 8E-06","6.809E-07","0.9971","562","Tried",5E-13,0,1,0.432005,1,1,1,1,0.0951311,3.95604,0.476734,1.2209,0.0259585,0.0951419,0.231713,0.318908,0.224567,0.0826537,0.0181978,0.00285998,1,1,0.929212,0.0920767,,,0,,,,,0,0,1,0.528742,9.26323,9.13676,18.4,1.6,996.202,995.729,0.6,0.64507,0.257378,0.902449,0.902048,0.489018,0.904873,1.50487,3.81387E-06,0.904869,0.448549,0.45632,0,0,,0,0,0,0.495002,0,4.72294,1.11389E-12,1.35597E-12,2.54591E-12,2.06479E-12,1.50462E-07,0.655726,0.25706,0.0872145,0.291447,0.708553,1.84264E-12,2.17327E-12,2.63703E-12,1.32805E-12,1.23005E-12,1.23980E-18,1,1,0,0,0,0,0,0.471258,0.528742
"MODRA CM 1 FSM 2 DM 1 LT 1.2 UPC 8E-06","6.809E-07","0.9971","562","PWins",3E-13,0,1,0.493816,1,1,1,1,0.0944397,4.45053,0.393929,1.30173,0.00479804,0.0360211,0.15539,0.326181,0.305845,0.134085,0.0323807,0.0052994,1,1,0.928478,0.0876576,,,0,,,,,0,0,1,1,10.3,8.1,18.4,1.6,1000.08,991.846,0.6,1.22001,0,1.22001,1.70603,0,0.905563,1.50556,3.15143E-06,0.90556,0.616276,0.289284,0,0,,0,0,0,0.67999,0,4.76505,8.29268E-14,1.88476E-13,8.19552E-13,1.02362E-12,1.29034E-07,0.59616,0.288518,0.115322,0.245889,0.754111,9.31935E-13,1.85939E-12,3.185E-12,1.50807E-12,1.69421E-12,1.14367E-18,1,1,0,0,0,0,0,0,1
