Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000000193,0,0,0,0.025,0.025,0.05,0,0.1
0.000001048,0,0,1,0.025,0.025,0.05,0,1.1
0.000000885,0,1,0,0.025,0.025,0.05,0,1.1
0.000000095,0,0,0,0.025,0.025,0.05,0.05,0.15
0.000000318,0,0,1,0.025,0.025,0.05,0.05,1.15
0.000000637,0,1,0,0.025,0.025,0.05,0.05,1.15
0.499949711,0,0,0,0,0,0,0,0
0.000045173,0,0,1,0,0,0,0,1
0.000001939,0,1,0,0,0,0,0,1
0.000003252,1E-05,0,0,0.025,0.025,0.05,0,0.10001
0.000011946,1E-05,0,1,0.025,0.025,0.05,0,1.10001
0.000016539,1E-05,1,0,0.025,0.025,0.05,0,1.10001
0.000000559,1E-05,0,0,0.025,0.025,0.05,0.05,0.15001
0.000000582,1E-05,0,1,0.025,0.025,0.05,0.05,1.15001
0.000004272,1E-05,1,0,0.025,0.025,0.05,0.05,1.15001
0.499952189,1E-05,0,0,0,0,0,0,1E-05
0.000009638,1E-05,0,1,0,0,0,0,1.00001
0.000001024,1E-05,1,0,0,0,0,0,1.00001
