"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","All",1,0.999926,7.38466E-05,0.800001,6.9359E-6,6.71137E-07,1,7.38466E-05,9.99936E-06,4.50001,4.18985,0.781868,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125,0.125001,1,1,0.599509,0.1,,,0,,,,,0,0,6.711E-7,0.293211,9.99993,9.99996,19.9999,0.000111482,9.99993,9.99995,4.11662E-06,2.6982E-6,1.0572E-5,1.32707E-5,3.13792E-06,9.65248E-06,9.73661E-05,0.000101483,3.35188E-05,6.38473E-05,1.10934E-05,5.27539E-05,0,0,,0,0,0,0.178303,0,0,0.177373,0.214817,0.21562,0.214817,0.177373,0.177373,0.214817,0.21562,0.214817,0.177373,6.93588E-6,6.71137E-07,0.999993,6.26474E-06,0,0,0,4.74352E-7,1.9678E-7
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","NoDispute",0.9999,1,0,0.800005,0,0,1,0,0,4.50002,4.18986,0.781869,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.35189E-05,10,9.99996,0,0,0,0,0,0,3.35189E-05,3.35189E-05,3.35189E-05,0,0,0,0,0,,0,0,0,,0,-8.25044E-07,0.177371,0.214816,0.21562,0.214819,0.177375,0.177371,0.214816,0.215619,0.214819,0.177375,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","DisputeArises",7.4E-5,0,1,0.746586,0.0939227,0.00908826,1,1,0.135407,4.23293,4.15137,0.758274,0.156456,0.142021,0.128636,0.121209,0.117855,0.11388,0.110407,0.109535,1,1,0.599509,0.1,,,0,,,,,0,0,0.009088,0.293211,9.04266,9.90156,18.9442,1.05578,9.04266,9.90156,0.0557456,0.0365384,0.143168,0.179706,0.0424924,0.13071,0.864626,0.920372,3.32109E-05,0.864593,0.150222,0.714371,0,0,,0,0,0,0.178303,0,0.0111716,0.205854,0.236022,0.215913,0.193756,0.148455,0.206113,0.237133,0.219325,0.193732,0.143697,0.0939227,0.00908826,0.906077,0.0848345,0,0,0,0.00642348,0.0026648
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PFiles",6.9E-6,0,1,1.26652,1,0.0967631,1,1,0.151368,6.83259,4,1.07946,0.000119787,0.0009791,0.00638487,0.0304897,0.0979377,0.20539,0.302224,0.356474,1,1,0.599509,0.1,,,0,,,,,0,0,0.096763,0.293211,9.4542,8.95224,18.4064,1.59356,9.4542,8.95223,0.593526,0.389026,0.284611,0.673636,0.452418,0.15197,0.848664,1.44219,3.2E-05,0.848632,0.557828,0.290804,0,0,,0,0,0,0.658699,0,1.2479,0,0,0,0,1,0.0161056,0.0806575,0.27402,0.393465,0.235752,1,0.0967631,0,0.903237,0,0,0,0.0683911,0.028372
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","DAnswers",6.7E-7,0,1,0.974981,1,1,1,1,0.139284,5.3749,4,0.913045,0.00120645,0.00928601,0.0514194,0.172912,0.307006,0.276838,0.137498,0.0438345,1,1,0.599509,0.1,,,0,,,,,0,0,1,0.293211,8.09321,8.50676,16.6,3.40003,8.09321,8.50675,2.4,1.31188,0.290912,1.60279,1.96701,0.510381,0.860748,3.26075,3.2E-05,0.860716,0.155921,0.704795,0,0,,0,0,0,0.181333,0,3.16644,0,0,0,0,1,0.166443,0.833557,0,0,0,1,1,0,0,0,0,0,0.706789,0.293211
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","Litigated",6.7E-7,0,1,0.974981,1,1,1,1,0.139284,5.3749,4,0.913045,0.00120645,0.00928601,0.0514194,0.172912,0.307006,0.276838,0.137498,0.0438345,1,1,0.599509,0.1,,,0,,,,,0,0,1,0.293211,8.09321,8.50676,16.6,3.40003,8.09321,8.50675,2.4,1.31188,0.290912,1.60279,1.96701,0.510381,0.860748,3.26075,3.2E-05,0.860716,0.155921,0.704795,0,0,,0,0,0,0.181333,0,3.16644,0,0,0,0,1,0.166443,0.833557,0,0,0,1,1,0,0,0,0,0,0.706789,0.293211
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","Not Litigated",1,0.999927,7.31755E-05,0.800001,6.2647E-6,0,1,7.31755E-05,9.90589E-06,4.5,4.18985,0.781867,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99996,19.9999,0.0001092,9.99993,9.99996,2.5059E-06,1.8178E-6,1.0377E-5,1.2195E-05,1.81779E-06,9.30995E-06,9.67885E-05,9.92944E-05,3.35188E-05,6.32697E-05,1.09888E-05,5.22809E-05,0,0,,0,0,0,0.178275,0,-2.12512E-06,0.177373,0.214818,0.21562,0.214818,0.177372,0.177373,0.214817,0.21562,0.214818,0.177373,6.26474E-6,0,0.999994,6.26474E-06,0,0,0,0,0
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","Settles",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","Tried",6.7E-7,0,1,0.974981,1,1,1,1,0.139284,5.3749,4,0.913045,0.00120645,0.00928601,0.0514194,0.172912,0.307006,0.276838,0.137498,0.0438345,1,1,0.599509,0.1,,,0,,,,,0,0,1,0.293211,8.09321,8.50676,16.6,3.40003,8.09321,8.50675,2.4,1.31188,0.290912,1.60279,1.96701,0.510381,0.860748,3.26075,3.2E-05,0.860716,0.155921,0.704795,0,0,,0,0,0,0.181333,0,3.16644,0,0,0,0,1,0.166443,0.833557,0,0,0,1,1,0,0,0,0,0,0.706789,0.293211
"Risk Neutral CM 4 PCPM 2 UPC 8E-06","3.42E-07","0.9076","296","PWins",2E-07,0,1,1.12555,1,1,1,1,0.139747,6.12774,4,0.998935,8.33161E-06,0.000292458,0.00587126,0.055621,0.218295,0.351506,0.260714,0.107692,1,1,0.599509,0.1,,,0,,,,,0,0,1,1,8.8,7.79997,16.6,3.40003,8.8,7.79996,2.4,1.83159,0.442087,2.27368,3.58742,0.530504,0.860285,3.26029,3.2E-05,0.860253,0.316774,0.543479,0,0,,0,0,0,0.368406,0,3.10184,0,0,0,0,1,0.101844,0.898156,0,0,0,1,1,0,0,0,0,0,0,1
