Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000001120,1E-05,0,0,0.025,0.025,0.05,0,0.10001
0.000010256,1E-05,0,1,0.025,0.025,0.05,0,1.10001
0.000000133,1E-05,1,0,0.025,0.025,0.05,0,1.10001
0.000000419,1E-05,0,1,0.025,0.025,0.05,0.05,1.15001
0.000000145,1E-05,1,0,0.025,0.025,0.05,0.05,1.15001
0.118236551,1E-05,0,0,0,0,0,0,1E-05
0.000001966,2E-05,0,0,0.025,0.025,0.05,0,0.10002
0.000016188,2E-05,0,1,0.025,0.025,0.05,0,1.10002
0.000000457,2E-05,1,0,0.025,0.025,0.05,0,1.10002
0.000000237,2E-05,0,1,0.025,0.025,0.05,0.05,1.15002
0.000000214,2E-05,1,0,0.025,0.025,0.05,0.05,1.15002
0.202316805,2E-05,0,0,0,0,0,0,2E-05
0.000003247,3E-05,0,0,0.025,0.025,0.05,0,0.10003
0.000017395,3E-05,0,1,0.025,0.025,0.05,0,1.10003
0.000005744,3E-05,1,0,0.025,0.025,0.05,0,1.10003
0.000000213,3E-05,0,0,0.025,0.025,0.05,0.05,0.15003
0.000000747,3E-05,0,1,0.025,0.025,0.05,0.05,1.15003
0.000000680,3E-05,1,0,0.025,0.025,0.05,0.05,1.15003
0.346054177,3E-05,0,0,0,0,0,0,3E-05
0.000003333,4E-05,0,0,0.025,0.025,0.05,0,0.10004
0.000019663,4E-05,0,1,0.025,0.025,0.05,0,1.10004
0.333310311,4E-05,0,0,0,0,0,0,4E-05
