"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 PCPM 5 FSM 1","1.506E-08","0.9352","212","All",1,0.999907,9.29409E-05,0.800001,9.2941E-5,9.29408E-05,1,9.29409E-05,9.99917E-06,4.5,1.75102,0.884095,0.125,0.125,0.125,0.125,0.124999,0.125,0.125,0.125001,1,1,0.51898,0.223779,,,5.6052E-05,,,,,2.82768E-11,6.62081E-12,3.689E-5,0.343489,9.99993,9.99995,19.9999,0.00012159,9.99993,9.99996,1.11385E-05,1.2138E-5,1.2218E-5,2.43559E-5,6.9134E-06,1.1233E-05,0.000100452,0.000111591,1.75104E-05,8.29417E-05,2.87232E-05,5.42185E-05,0,5.6052E-05,0.30524,2.82768E-11,6.62081E-12,6.13532E-18,0.343683,0,0,0.177373,0.214817,0.21562,0.214817,0.177373,0.177373,0.214817,0.21562,0.214817,0.177373,9.29409E-5,9.29408E-05,0.999907,1.85956E-11,5.6052E-05,2.82768E-11,6.62081E-12,2.42179E-5,1.2671E-5
"Risk Neutral CM 0.25 PCPM 5 FSM 1","1.506E-08","0.9352","212","NoDispute",0.9999,1,0,0.800004,0,0,1,0,0,4.50002,1.75105,0.884094,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.75107E-05,10,9.99999,0,0,0,0,0,0,1.75107E-05,1.75107E-05,1.75107E-05,0,0,0,0,0,,0,0,0,,0,-2.34792E-06,0.177371,0.214816,0.21562,0.214819,0.177374,0.177371,0.214816,0.21562,0.214819,0.177375,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 PCPM 5 FSM 1","1.506E-08","0.9352","212","DisputeArises",9.3E-5,0,1,0.767154,1,1,1,1,0.107586,4.33577,1.48375,0.895055,0.144587,0.136576,0.129586,0.123236,0.116557,0.113242,0.11564,0.120577,1,1,0.51898,0.223779,,,0.603093,,,,,3.04245E-07,7.12368E-08,0.396906,0.343489,9.25118,9.62896,18.8801,1.11986,9.25118,9.62897,0.119845,0.130601,0.131457,0.262058,0.074385,0.120862,0.892428,1.01227,1.48375E-05,0.892414,0.309048,0.583366,0,0.603093,0.30524,3.04245E-07,7.12368E-08,6.60132E-14,0.343683,0,0.0252602,0.19404,0.227319,0.215504,0.202266,0.160871,0.201106,0.230052,0.212209,0.197654,0.15898,1,1,2.0008E-07,2.0008E-07,0.603093,3.04245E-07,7.12368E-08,0.260573,0.136333
"Risk Neutral CM 0.25 PCPM 5 FSM 1","1.506E-08","0.9352","212","PFiles",9.3E-5,0,1,0.767154,1,1,1,1,0.107586,4.33577,1.48375,0.895055,0.144587,0.136576,0.129586,0.123236,0.116557,0.113242,0.11564,0.120577,1,1,0.51898,0.223779,,,0.603093,,,,,3.04245E-07,7.12368E-08,0.396906,0.343489,9.25118,9.62896,18.8801,1.11986,9.25118,9.62897,0.119845,0.130601,0.131457,0.262058,0.074385,0.120862,0.892428,1.01227,1.48375E-05,0.892414,0.309048,0.583366,0,0.603093,0.30524,3.04245E-07,7.12368E-08,6.60132E-14,0.343683,0,0.0252602,0.19404,0.227319,0.215504,0.202266,0.160871,0.201106,0.230052,0.212209,0.197654,0.15898,1,1,0,2.0008E-07,0.603093,3.04245E-07,7.12368E-08,0.260573,0.136333
"Risk Neutral CM 0.25 PCPM 5 FSM 1","1.506E-08","0.9352","212","DAnswers",9.3E-5,0,1,0.767154,1,1,1,1,0.107586,4.33577,1.48375,0.895055,0.144587,0.136576,0.129586,0.123236,0.116557,0.113242,0.11564,0.120577,1,1,0.51898,0.223779,,,0.603093,,,,,3.04245E-07,7.12368E-08,0.396906,0.343489,9.25118,9.62896,18.8801,1.11986,9.25118,9.62897,0.119845,0.130601,0.131457,0.262058,0.0743849,0.120862,0.892428,1.01227,1.48375E-05,0.892414,0.309048,0.583366,0,0.603093,0.30524,3.04245E-07,7.12368E-08,6.60132E-14,0.343683,0,0.0252602,0.19404,0.227319,0.215504,0.202266,0.160871,0.201106,0.230052,0.212209,0.197654,0.15898,1,1,0,0,0.603093,3.04245E-07,7.12368E-08,0.260573,0.136333
"Risk Neutral CM 0.25 PCPM 5 FSM 1","1.506E-08","0.9352","212","Litigated",9.3E-5,0,1,0.767154,1,1,1,1,0.107586,4.33577,1.48375,0.895055,0.144587,0.136576,0.129586,0.123236,0.116557,0.113242,0.11564,0.120577,1,1,0.51898,0.223779,,,0.603093,,,,,3.04245E-07,7.12368E-08,0.396906,0.343489,9.25118,9.62896,18.8801,1.11986,9.25118,9.62897,0.119845,0.130601,0.131457,0.262058,0.0743849,0.120862,0.892428,1.01227,1.48375E-05,0.892414,0.309048,0.583366,0,0.603093,0.30524,3.04245E-07,7.12368E-08,6.60132E-14,0.343683,0,0.0252602,0.19404,0.227319,0.215504,0.202266,0.160871,0.201106,0.230052,0.212209,0.197654,0.15898,1,1,0,0,0.603093,3.04245E-07,7.12368E-08,0.260573,0.136333
"Risk Neutral CM 0.25 PCPM 5 FSM 1","1.506E-08","0.9352","212","Not Litigated",0.9999,1,3.71947E-11,0.800004,1.86E-11,0,1,3.71947E-11,4.00164E-12,4.50002,1.75105,0.884094,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.75107E-05,10,9.99999,4.64933E-13,1.221E-11,6.551E-12,1.8757E-11,1.22058E-11,6.39558E-12,1.75107E-05,1.75107E-05,1.75107E-05,3.31930E-11,1.14949E-11,2.1698100000000002E-11,0,0,,0,0,0,0.343683,0,-2.34792E-06,0.177371,0.214816,0.21562,0.214819,0.177374,0.177371,0.214816,0.21562,0.214819,0.177375,1.8597E-11,0,1,1.85973E-11,0,0,0,0,0
"Risk Neutral CM 0.25 PCPM 5 FSM 1","1.506E-08","0.9352","212","Settles",5.6E-5,0,1,0.868527,1,1,1,1,0.114174,4.84264,2.12899,0.885349,0.104005,0.10604,0.107138,0.113127,0.125924,0.139018,0.149083,0.155665,1,1,0.30524,0.305241,,,1,,,,,0,0,0,,9.25524,9.64474,18.9,1.10002,9.25524,9.64475,0.1,0.109138,0.102378,0.211516,0.0226959,0.0674713,0.885847,0.985847,2.12899E-05,0.885826,0.285412,0.600414,0,1,0.30524,0,0,0,0.3168,0,-0.368544,0.161351,0.216047,0.21903,0.258493,0.145079,0.096281,0.188674,0.185275,0.299858,0.229912,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 PCPM 5 FSM 1","1.506E-08","0.9352","212","Tried",3.7E-5,0,1,0.61312,1,1,1,1,0.0975766,3.5656,0.503321,0.909803,0.20625,0.182974,0.163695,0.138595,0.102323,0.0740758,0.0648237,0.0672618,1,1,0.843753,0.1,,,0,,,,,0,0,1,0.343489,9.24501,9.60498,18.85,1.15001,9.24501,9.60498,0.15,0.163213,0.175642,0.338855,0.152925,0.201988,0.902428,1.05243,5.03321E-06,0.902423,0.344961,0.557462,0,0,,0,0,0,0.384531,0,0.62364,0.243711,0.244446,0.210146,0.116829,0.184867,0.360386,0.292925,0.253136,0.0423552,0.051198,1,1,0,0,0,0,0,0.656511,0.343489
"Risk Neutral CM 0.25 PCPM 5 FSM 1","1.506E-08","0.9352","212","PWins",1.3E-5,0,1,0.826328,1,1,1,1,0.0963337,4.63164,0.408919,1.04748,0.0439294,0.0908349,0.154239,0.202664,0.190977,0.134011,0.0930385,0.0903062,1,1,0.856218,0.1,,,0,,,,,0,0,1,1,10,8.85,18.85,1.15,10,8.85,0.15,0.475163,0,0.475163,0.445212,0,0.90367,1.05367,4.08919E-06,0.903666,0.608881,0.294785,0,0,,0,0,0,0.674837,0,0.7969,0.114237,0.195377,0.263646,0.20977,0.21697,0.202503,0.305265,0.408702,0.0338278,0.049702,1,1,0,0,0,0,0,0,1
