"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","All",1,0.99992,8.01475E-05,0.800001,8.0147E-5,8.01474E-05,1,8.01475E-05,9.9993E-06,4.5,3.26173,0.724104,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125001,0.125001,1,1,0.103085,0.116764,,,7.98604E-05,,,,,3.50184E-11,1.16627E-17,2.87E-07,0.156829,9.99993,9.99995,19.9999,0.000120794,1000,1000,8.0291E-06,1.8053E-5,1.1511E-5,2.95634E-5,5.3352E-06,9.726E-06,0.000102766,0.000110795,3.26175E-05,7.01482E-05,1.1891E-05,5.82572E-05,0,7.98604E-5,0.219201,3.50184E-11,1.16627E-17,6.81432E-18,0.170918,0,0,0.177373,0.214817,0.21562,0.214817,0.177373,0.177373,0.214817,0.21562,0.214817,0.177373,8.01474E-5,8.01474E-05,0.99992,1.60359E-11,7.98604E-05,3.50184E-11,1.16627E-17,2.42023E-7,4.5016E-8
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","NoDispute",0.9999,1,0,0.800005,0,0,1,0,0,4.50002,3.26174,0.724105,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.26176E-05,1000,1000,0,0,0,0,0,0,3.26176E-05,3.26176E-05,3.26176E-05,0,0,0,0,0,,0,0,0,,0,-1.70941E-06,0.177371,0.214816,0.21562,0.214819,0.177375,0.177371,0.214815,0.21562,0.214819,0.177375,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","DisputeArises",8E-05,0,1,0.750902,1,1,1,1,0.124761,4.25451,3.13478,0.716094,0.155699,0.142184,0.129004,0.119642,0.113988,0.111945,0.113041,0.114495,1,1,0.103085,0.116764,,,0.996418,,,,,4.36924E-07,1.45516E-13,0.003581,0.156829,9.16945,9.73034,18.8998,1.10021,999.195,999.857,0.100179,0.225245,0.143617,0.368862,0.0665673,0.121351,0.87527,0.975449,3.13478E-05,0.875239,0.148364,0.726875,0,0.996418,0.219201,4.36924E-07,1.45516E-13,8.50223E-14,0.170918,0,0.0213266,0.202338,0.23372,0.215975,0.196107,0.15186,0.204467,0.239564,0.214801,0.193735,0.147433,1,1,2.0008E-07,2.0008E-07,0.996418,4.36924E-07,1.45516E-13,0.00301972,0.0005617
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","PFiles",8E-05,0,1,0.750902,1,1,1,1,0.124761,4.25451,3.13478,0.716094,0.155699,0.142184,0.129004,0.119642,0.113988,0.111945,0.113041,0.114495,1,1,0.103085,0.116764,,,0.996418,,,,,4.36924E-07,1.45516E-13,0.003581,0.156829,9.16945,9.73034,18.8998,1.10021,999.195,999.857,0.100179,0.225245,0.143617,0.368862,0.0665673,0.121351,0.87527,0.975449,3.13478E-05,0.875239,0.148364,0.726875,0,0.996418,0.219201,4.36924E-07,1.45516E-13,8.50223E-14,0.170918,0,0.0213266,0.202338,0.23372,0.215975,0.196107,0.15186,0.204467,0.239564,0.214801,0.193735,0.147433,1,1,0,2.0008E-07,0.996418,4.36924E-07,1.45516E-13,0.00301972,0.0005617
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","DAnswers",8E-05,0,1,0.750902,1,1,1,1,0.124761,4.25451,3.13478,0.716094,0.155699,0.142184,0.129004,0.119642,0.113988,0.111945,0.113041,0.114495,1,1,0.103085,0.116764,,,0.996418,,,,,4.36925E-07,1.45516E-13,0.003581,0.156829,9.16945,9.73034,18.8998,1.10021,999.195,999.857,0.100179,0.225245,0.143617,0.368862,0.0665666,0.121351,0.87527,0.975449,3.13478E-05,0.875239,0.148364,0.726875,0,0.996418,0.219201,4.36925E-07,1.45516E-13,8.50223E-14,0.170918,0,0.0213266,0.202338,0.23372,0.215975,0.196107,0.15186,0.204467,0.239564,0.214801,0.193735,0.147433,1,1,0,0,0.996418,4.36925E-07,1.45516E-13,0.00301972,0.0005617
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","Litigated",8E-05,0,1,0.750902,1,1,1,1,0.124761,4.25451,3.13478,0.716094,0.155699,0.142184,0.129004,0.119642,0.113988,0.111945,0.113041,0.114495,1,1,0.103085,0.116764,,,0.996418,,,,,4.36925E-07,1.45516E-13,0.003581,0.156829,9.16945,9.73034,18.8998,1.10021,999.195,999.857,0.100179,0.225245,0.143617,0.368862,0.0665666,0.121351,0.87527,0.975449,3.13478E-05,0.875239,0.148364,0.726875,0,0.996418,0.219201,4.36925E-07,1.45516E-13,8.50223E-14,0.170918,0,0.0213266,0.202338,0.23372,0.215975,0.196107,0.15186,0.204467,0.239564,0.214801,0.193735,0.147433,1,1,0,0,0.996418,4.36925E-07,1.45516E-13,0.00301972,0.0005617
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","Not Litigated",0.9999,1,3.20744E-11,0.800005,1.604E-11,0,1,3.20744E-11,4.00164E-12,4.50002,3.26174,0.724105,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.26176E-05,1000,1000,4.0093E-13,2.933E-11,2.741E-12,3.2074E-11,5.59256E-11,2.74104E-12,3.26176E-05,3.26176E-05,3.26176E-05,2.80727E-11,4.75869E-12,2.33141E-11,0,0,,0,0,0,0.170918,0,-1.70941E-06,0.177371,0.214816,0.21562,0.214819,0.177375,0.177371,0.214815,0.21562,0.214819,0.177375,1.6037E-11,0,1,1.60372E-11,0,0,0,0,0
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","Settles",8E-05,0,1,0.751292,1,1,1,1,0.124819,4.25646,3.13886,0.71581,0.156112,0.142234,0.128525,0.118976,0.113724,0.112125,0.113404,0.114901,1,1,0.102377,0.116824,,,1,,,,,0,0,0,,9.1692,9.73077,18.9,1.10003,999.196,999.864,0.1,0.224812,0.143998,0.36881,0.0648199,0.121642,0.875212,0.975212,3.13886E-05,0.875181,0.148656,0.726525,0,1,0.219201,0,0,0,0.171261,0,0.01006,0.203066,0.23456,0.216751,0.193779,0.151844,0.201608,0.240425,0.215573,0.194431,0.147963,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","Tried",2.9E-7,0,1,0.642465,1,1,1,1,0.108566,3.71232,2.00007,0.795105,0.0409176,0.128341,0.262338,0.305204,0.18765,0.0618407,0.0120697,0.00163901,1,1,0.300034,0.100004,,,0,,,,,0,0,1,0.156829,9.23866,9.61132,18.85,1.15002,998.831,998.147,0.15,0.345622,0.0377682,0.38339,0.552528,0.0406008,0.891454,1.04145,2.00007E-05,0.891434,0.0672811,0.824153,0,0,,0,0,0,0.0755343,0,3.15597,2.8286E-11,3.28556E-11,3.86194E-05,0.843701,0.15626,0.999904,1.91348E-05,2.26188E-05,3.08937E-05,2.32369E-05,1,1,0,0,0,0,0,0.843171,0.156829
"MODRA CM 0.25 PCPM 5 DM 2","2.737E-08","0.9347","216","PWins",4.5E-8,0,1,0.866098,1,1,1,1,0.108826,4.83049,2,0.912765,0.000951319,0.0124765,0.0879952,0.279376,0.36158,0.19667,0.0524315,0.00851907,1,1,0.300058,0.10002,,,0,,,,,0,0,1,1,10.925,7.92498,18.85,1.15002,1000.16,988.349,0.15,1.81739,0,1.81739,3.49415,0,0.891194,1.04119,2E-05,0.891174,0.229464,0.66171,0,0,,0,0,0,0.257612,0,3.25902,1.83314E-11,4.22617E-11,1.82153E-05,0.740526,0.259456,0.999856,1.39786E-05,2.54132E-05,6.19454E-05,4.25513E-05,1,1,0,0,0,0,0,0,1
