Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000000685,0,0,0,0.025,0.025,0.05,0,0.1
0.000005831,0,0,1,0.025,0.025,0.05,0,1.1
0.000001018,0,1,0,0.025,0.025,0.05,0,1.1
0.000000418,0,0,0,0.025,0.025,0.05,0.05,0.15
0.000002588,0,0,1,0.025,0.025,0.05,0.05,1.15
0.000001590,0,1,0,0.025,0.025,0.05,0.05,1.15
0.229993922,0,0,0,0,0,0,0,0
0.000011600,0,0,1,0,0,0,0,1
0.000000375,0,1,0,0,0,0,0,1
0.000000516,2E-05,0,0,0.025,0.025,0.05,0.05,0.15002
0.000002382,2E-05,0,1,0.025,0.025,0.05,0.05,1.15002
0.000001685,2E-05,1,0,0.025,0.025,0.05,0.05,1.15002
0.269959257,2E-05,0,0,0,0,0,0,2E-05
0.000017416,2E-05,0,1,0,0,0,0,1.00002
0.000000818,2E-05,1,0,0,0,0,0,1.00002
0.499970591,4E-05,0,0,0,0,0,0,4E-05
0.000029309,4E-05,0,1,0,0,0,0,1.00004
