"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 Noise 0.5,0.5 UPC 1.2E-05","4.713E-07","0.9728","423","All",1,0.999896,0.000103747,0.5,1.5898E-6,7.45863E-12,1,0.000103747,9.99906E-06,4.5,0.495225,0.847072,0.125001,0.124999,0.125,0.125,0.125,0.125,0.124999,0.125001,1,1,0.113472,0.0739692,,,6.98548E-12,,,,,1.64518E-16,3.18071E-13,1.55E-13,0.155025,9.9999,9.99999,19.9999,0.000110325,1000,1000,6.35912E-07,9.0108E-9,2.4311E-5,2.43198E-5,9.01032E-09,2.39314E-05,9.96904E-05,0.000100326,5.94291E-06,9.37475E-05,2.26609E-05,7.10867E-05,0,6.9855E-12,0.0625004,1.64518E-16,3.18071E-13,4.86353E-19,0.243471,0,-2.46933E-15,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,1.58976E-6,7.45863E-12,0.999998,1.58975E-06,6.98548E-12,1.64518E-16,3.18071E-13,1.3090E-13,2.401E-14
"MODRA CM 4 Noise 0.5,0.5 UPC 1.2E-05","4.713E-07","0.9728","423","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,4.50002,0.495235,0.847072,0.124999,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,5.94302E-06,1000,1000,0,0,0,0,0,0,5.94302E-06,5.94302E-06,5.94302E-06,0,0,0,0,0,,0,0,0,,0,-2.12767E-06,0.113878,0.133731,0.1272,0.125188,0.125188,0.127201,0.133734,0.11388,0.113878,0.133731,0.1272,0.125188,0.125188,0.1272,0.133735,0.113881,0,0,1,0,0,0,0,0,0
"MODRA CM 4 Noise 0.5,0.5 UPC 1.2E-05","4.713E-07","0.9728","423","DisputeArises",0.0001,0,1,0.478807,0.0153235,7.18927E-08,1,1,0.0963797,4.33046,0.404537,0.839881,0.141401,0.126461,0.128442,0.128826,0.136149,0.125611,0.103783,0.109327,1,1,0.113472,0.0739692,,,6.73322E-08,,,,,1.58577E-12,3.06584E-09,1.493E-9,0.155025,9.00919,9.98467,18.9939,1.00613,998.823,999.982,0.00612948,8.6854E-5,0.234329,0.234416,8.68493E-05,0.230672,0.903625,0.909755,4.85445E-06,0.90362,0.218425,0.685195,0,6.73322E-8,0.0625004,1.58577E-12,3.06584E-09,4.68789E-15,0.243471,0,0.0205062,0.120741,0.14179,0.134833,0.132308,0.129954,0.124783,0.119803,0.0957878,0.120741,0.141792,0.134867,0.132733,0.132733,0.134867,0.109926,0.0923413,0.0153235,7.18927E-08,0.984677,0.0153234,6.73322E-08,1.58577E-12,3.06584E-09,1.26168E-9,2.315E-10
"MODRA CM 4 Noise 0.5,0.5 UPC 1.2E-05","4.713E-07","0.9728","423","PFiles",1.6E-6,0,1,0.817762,1,4.69167E-06,1,1,0.0909009,7.04209,6.6656E-06,1.12026,1.84628E-06,1.65122E-06,1.69164E-06,2.32524E-05,0.00563853,0.175046,0.590773,0.228514,1,1,0.113472,0.0739692,,,4.39405E-06,,,,,1.03486E-10,2.00075E-07,9.744E-8,0.155025,9.59999,9,18.6,1.40001,999.771,998.808,0.400006,0.005668,0.397735,0.403403,0.00566773,0.159097,0.909099,1.3091,7.99872E-11,0.909099,0.903946,0.00515297,0,4.39405E-6,0.0625004,1.03486E-10,2.00075E-07,3.05929E-13,0.994332,0,2.1585,1.57653E-06,1.85137E-06,1.76053E-06,1.72756E-06,1.69682E-06,1.6293E-06,1.56428E-06,0.999988,1.67397E-06,1.1734E-05,0.000478491,0.0113289,0.134408,0.853766,2.50432E-06,2.72007E-06,1,4.69167E-06,0,0.999995,4.39405E-06,1.03486E-10,2.00075E-07,8.23366E-8,1.5106E-8
"MODRA CM 4 Noise 0.5,0.5 UPC 1.2E-05","4.713E-07","0.9728","423","DAnswers",7E-12,0,1,0.592044,1,1,1,1,0.106604,5.23636,1.16348,0.841103,0.251235,0.0771098,0.00776128,0.00977366,0.0179426,0.0831073,0.244395,0.308676,1,1,0.113472,0.0739692,,,0.936564,,,,,2.20575E-05,0.0426447,0.020769,0.155025,8.29609,9.08728,17.3834,2.61663,994.23,998.83,1.61662,0.592297,0.59379,1.18609,0.525016,0.999897,0.89341,2.51003,1.39618E-05,0.893396,0.323033,0.570364,0,0.936564,0.0625004,2.20575E-05,0.0426447,6.52067E-08,0.364668,0,0.324934,0.172059,0.121341,0.0368129,0.0104817,0.02972,0.0996998,0.204895,0.32499,0.356796,1.32053E-06,3.90168E-05,0.00091399,0.010814,0.0685196,0.305927,0.256989,1,1,0,0,0.936564,2.20575E-05,0.0426447,0.0175495,0.0032198
"MODRA CM 4 Noise 0.5,0.5 UPC 1.2E-05","4.713E-07","0.9728","423","Litigated",7E-12,0,1,0.592044,1,1,1,1,0.106604,5.23636,1.16348,0.841103,0.251235,0.0771098,0.00776128,0.00977366,0.0179426,0.0831073,0.244395,0.308676,1,1,0.113472,0.0739692,,,0.936564,,,,,2.20575E-05,0.0426447,0.020769,0.155025,8.29609,9.08728,17.3834,2.61663,994.23,998.83,1.61662,0.592297,0.59379,1.18609,0.525016,0.999897,0.89341,2.51003,1.39618E-05,0.893396,0.323033,0.570364,0,0.936564,0.0625004,2.20575E-05,0.0426447,6.52067E-08,0.364668,0,0.324934,0.172059,0.121341,0.0368129,0.0104817,0.02972,0.0996998,0.204895,0.32499,0.356796,1.32053E-06,3.90168E-05,0.00091399,0.010814,0.0685196,0.305927,0.256989,1,1,0,0,0.936564,2.20575E-05,0.0426447,0.0175495,0.0032198
"MODRA CM 4 Noise 0.5,0.5 UPC 1.2E-05","4.713E-07","0.9728","423","Not Litigated",1,0.999896,0.000103747,0.5,1.5898E-6,0,1,0.000103747,9.99906E-06,4.5,0.495225,0.847072,0.125001,0.124999,0.125,0.125,0.125,0.125,0.124999,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99999,19.9999,0.000110325,1000,1000,6.359E-07,9.0064E-9,2.4311E-5,2.43198E-5,9.0064E-09,2.39314E-05,9.96904E-05,0.000100326,5.94291E-06,9.37475E-05,2.26608E-05,7.10867E-05,0,0,,0,0,0,0.243471,0,-2.42589E-12,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,1.58975E-6,0,0.999998,1.58975E-06,0,0,0,0,0
"MODRA CM 4 Noise 0.5,0.5 UPC 1.2E-05","4.713E-07","0.9728","423","Settles",7E-12,0,1,0.583704,1,1,1,1,0.107667,5.16963,1.24229,0.826778,0.268252,0.082332,0.00799964,0.000340946,0.00750585,0.0803454,0.234047,0.319177,1,1,0.0625001,0.0625008,,,1,,,,,0,0,0,,8.2625,9.13748,17.4,2.60001,994.161,999.139,1.6,0.566085,0.597127,1.16321,0.488248,1.03751,0.892348,2.49235,1.49074E-05,0.892333,0.30337,0.588963,0,1,0.0625004,0,0,0,0.34367,0,0.0933168,0.183713,0.129559,0.0393063,0.0111917,0.031733,0.106431,0.218773,0.279293,0.358765,9.59867E-07,1.99506E-05,0.000460115,0.00542636,0.034285,0.326648,0.274395,1,1,0,0,1,0,0,0,0
"MODRA CM 4 Noise 0.5,0.5 UPC 1.2E-05","4.713E-07","0.9728","423","Tried",2E-13,0,1,0.504915,1,1,1,1,0.0909009,4.53932,2.07326E-06,0.913882,5.42201E-10,1.06723E-05,0.0124868,0.454674,0.513852,0.0189541,2.19754E-05,4.48335E-07,1,1,0.866129,0.0625004,,,0,,,,,0,0,1,0.155025,7.95503,8.64497,16.6,3.4,987.027,996.093,2.4,1.33605,0.0298023,1.36585,1.91663,0.0512308,0.909099,3.3091,2.48791E-11,0.909099,0.0172512,0.891848,0,0,,0,0,0,0.0189761,0,6.99997,2.32147E-12,1.63715E-12,4.96687E-13,1.41421E-13,4.00989E-13,1.34517E-12,4.30454E-12,1,0.999978,2.0292E-05,1.19897E-09,2.37114E-08,2.79903E-07,1.76861E-06,4.12764E-12,3.46735E-12,1,1,0,0,0,0,0,0.844975,0.155025
"MODRA CM 4 Noise 0.5,0.5 UPC 1.2E-05","4.713E-07","0.9728","423","PWins",2E-14,0,1,0.55833,1,1,1,1,0.0909009,4.96664,8.83049E-06,0.953093,1.86296E-15,3.69008E-09,0.000178403,0.110188,0.81258,0.0769267,0.000124578,2.69014E-06,1,1,0.866127,0.0625004,,,0,,,,,0,0,1,1,8.8,7.8,16.6,3.4,998.13,984.99,2.4,2.12295,0.092464,2.21541,4.57802,0.110957,0.909099,3.3091,1.05966E-10,0.909099,0.070049,0.83905,0,0,,0,0,0,0.0770534,0,6.99992,3.49837E-17,2.3179E-16,5.79678E-16,8.64716E-16,8.43243E-15,1.03976E-13,4.69736E-12,1,0.999952,3.89695E-05,1.54521E-09,4.3058E-08,8.71093E-07,7.91541E-06,6.00411E-13,1.00187E-12,1,1,0,0,0,0,0,0,1
