"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","2.236E-07","0.9866","476","All",1,0.999901,9.94717E-05,0.5,1.1315E-6,1.13155E-06,1,9.94717E-05,9.9991E-06,4.5,0.874815,0.97584,0.125001,0.124999,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,0.562492,0.490415,,,9.68429E-07,,,,,1.43795E-07,8.27336E-18,1.932E-8,0.300744,9.9999,9.99999,19.9999,0.000108677,1000,1000,4.56484E-07,5.9915E-7,1.1915E-5,1.25141E-5,4.41683E-07,1.18621E-05,9.8221E-05,9.86774E-05,8.74835E-06,8.94726E-05,1.05916E-05,7.8881E-05,0,9.68429E-7,0.562491,1.43795E-07,8.27336E-18,1.96046E-18,0.120632,0,-2.87446E-15,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,1.13155E-6,1.13155E-06,0.999999,2.26401E-13,9.68429E-07,1.43795E-07,8.27336E-18,1.35126E-8,5.8116E-9
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","2.236E-07","0.9866","476","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,0.874826,0.975842,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,8.74846E-06,1000,1000,0,0,0,0,0,0,8.74846E-06,8.74846E-06,8.74846E-06,0,0,0,0,0,,0,0,0,,0,-1.87751E-06,0.113877,0.133731,0.1272,0.125188,0.125189,0.127202,0.133734,0.11388,0.113877,0.133731,0.1272,0.125187,0.125189,0.127203,0.133734,0.11388,0,0,1,0,0,0,0,0,0
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","2.236E-07","0.9866","476","DisputeArises",9.9E-5,0,1,0.471725,0.0113756,0.0113756,1,1,0.100522,4.2738,0.76949,0.961878,0.147478,0.131892,0.133792,0.132119,0.12533,0.11295,0.103179,0.11326,1,1,0.562492,0.490415,,,0.00973573,,,,,0.00144559,8.3173E-14,0.000194,0.300744,9.00324,9.99216,18.9954,1.0046,998.814,999.993,0.00458909,0.0060234,0.119782,0.125806,0.00444029,0.119251,0.899486,0.904075,7.6949E-06,0.899478,0.106478,0.793,0,0.00973573,0.562491,0.00144559,8.3173E-14,1.97088E-14,0.120632,0,0.0188729,0.125915,0.147681,0.139228,0.132742,0.124519,0.117094,0.116249,0.0965713,0.12593,0.147885,0.140663,0.138437,0.124681,0.111443,0.11465,0.0963097,0.0113756,0.0113756,0.988624,2.27603E-09,0.00973573,0.00144559,8.3173E-14,0.00013584,5.8425E-5
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","2.236E-07","0.9866","476","PFiles",1.1E-6,0,1,0.570313,1,1,1,1,0.090901,5.0625,1.35342E-05,1.15299,2.61097E-06,1.85769E-05,0.00365969,0.14627,0.639921,0.204135,0.00595649,3.75738E-05,1,1,0.562492,0.490415,,,0.855844,,,,,0.127078,7.31154E-12,0.017078,0.300744,9.28483,9.31175,18.5966,1.40342,999.322,999.401,0.403415,0.529498,0.135438,0.664936,0.390335,0.0887133,0.909099,1.31251,1.35342E-10,0.909099,0.191024,0.718075,0,0.855844,0.562491,0.127078,7.31154E-12,1.73255E-12,0.210125,0,2.385,2.21466E-06,2.5975E-06,2.44881E-06,2.33474E-06,2.19011E-06,0.787482,0.195905,0.0166017,0.000451768,0.0109013,0.132809,0.855824,2.80841E-06,3.33409E-06,4.16195E-06,3.78384E-06,1,1,0,2.0008E-07,0.855844,0.127078,7.31154E-12,0.0119417,0.005136
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","2.236E-07","0.9866","476","DAnswers",1.1E-6,0,1,0.570313,1,1,1,1,0.090901,5.0625,1.35342E-05,1.15299,2.61097E-06,1.85769E-05,0.00365969,0.14627,0.639921,0.204135,0.00595649,3.75738E-05,1,1,0.562492,0.490415,,,0.855844,,,,,0.127078,7.31154E-12,0.017078,0.300744,9.28483,9.31175,18.5966,1.40342,999.322,999.401,0.403416,0.529498,0.135438,0.664936,0.390335,0.0887133,0.909099,1.31251,1.35342E-10,0.909099,0.191024,0.718075,0,0.855844,0.562491,0.127078,7.31154E-12,1.73255E-12,0.210125,0,2.385,2.21466E-06,2.5975E-06,2.44881E-06,2.33474E-06,2.19011E-06,0.787482,0.195905,0.0166017,0.000451768,0.0109013,0.132809,0.855824,2.80841E-06,3.33409E-06,4.16195E-06,3.78384E-06,1,1,0,0,0.855844,0.127078,7.31154E-12,0.0119417,0.005136
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","2.236E-07","0.9866","476","Litigated",1.1E-6,0,1,0.570313,1,1,1,1,0.090901,5.0625,1.35342E-05,1.15299,2.61097E-06,1.85769E-05,0.00365969,0.14627,0.639921,0.204135,0.00595649,3.75738E-05,1,1,0.562492,0.490415,,,0.855844,,,,,0.127078,7.31154E-12,0.017078,0.300744,9.28483,9.31175,18.5966,1.40342,999.322,999.401,0.403416,0.529498,0.135438,0.664936,0.390335,0.0887133,0.909099,1.31251,1.35342E-10,0.909099,0.191024,0.718075,0,0.855844,0.562491,0.127078,7.31154E-12,1.73255E-12,0.210125,0,2.385,2.21466E-06,2.5975E-06,2.44881E-06,2.33474E-06,2.19011E-06,0.787482,0.195905,0.0166017,0.000451768,0.0109013,0.132809,0.855824,2.80841E-06,3.33409E-06,4.16195E-06,3.78384E-06,1,1,0,0,0.855844,0.127078,7.31154E-12,0.0119417,0.005136
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","2.236E-07","0.9866","476","Not Litigated",1,0.999902,9.83403E-05,0.5,2.264E-13,0,1,9.83403E-05,9.89626E-06,4.5,0.874816,0.97584,0.125001,0.125,0.125,0.125,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99999,19.9999,0.000107089,1000,1000,2.26401E-14,1.788E-13,1.1762E-5,1.17617E-5,1.78828E-13,1.17617E-05,9.71924E-05,9.71924E-05,8.74836E-06,8.8444E-05,1.03754E-05,7.80686E-05,0,0,,0,0,0,0.119602,0,-2.69875E-06,0.113878,0.133732,0.127201,0.125189,0.125189,0.1272,0.133732,0.113878,0.113878,0.133732,0.127201,0.125188,0.125189,0.127201,0.133732,0.113878,2.2640E-13,0,1,2.26401E-13,0,0,0,0,0
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","2.236E-07","0.9866","476","Settles",9.7E-7,0,1,0.580911,1,1,1,1,0.090901,5.14729,1.57747E-05,1.16215,3.03082E-06,2.82391E-06,0.000565078,0.097953,0.662099,0.232408,0.00692512,4.38678E-05,1,1,0.56249,0.562491,,,1,,,,,0,0,0,,9.36249,9.23751,18.6,1.4,999.519,999.329,0.4,0.57997,0.152601,0.732572,0.442225,0.0972848,0.909099,1.3091,1.57747E-10,0.909099,0.217614,0.691485,0,1,0.562491,0,0,0,0.239373,0,2.24688,2.58768E-06,3.03501E-06,2.86128E-06,2.728E-06,2.2759E-06,0.77164,0.209747,0.018599,2.58475E-06,3.00869E-06,2.79395E-06,0.999975,3.24231E-06,3.89567E-06,4.86296E-06,4.42117E-06,1,1,0,0,1,0,0,0,0
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","2.236E-07","0.9866","476","Tried",1.9E-8,0,1,0.565977,1,1,1,1,0.0909008,5.02782,1.96142E-06,1.14973,1.99959E-10,1.12731E-06,0.00120278,0.128345,0.713404,0.155522,0.00152342,1.72754E-06,1,1,0.562502,0.0625053,,,0,,,,,0,0,1,0.300744,9.00074,9.39926,18.4,1.6,998.328,999.193,0.6,0.482133,0.102022,0.584155,0.402827,0.101987,0.909099,1.5091,1.96142E-11,0.909099,0.14277,0.766329,0,0,,0,0,0,0.157046,0,4.0816,3.59856E-17,4.06911E-17,3.48216E-17,3.07428E-17,3.05911E-17,1.48883E-06,0.959955,0.0400437,0.000821036,0.0399363,0.959225,1.60267E-05,1.96144E-06,2.47974E-12,6.18687E-17,5.95274E-17,1,1,0,0,0,0,0,0.699256,0.300744
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","2.236E-07","0.9866","476","PWins",5.8E-9,0,1,0.602892,1,1,1,1,0.0909009,5.32314,3.14654E-06,1.18081,1.68788E-16,1.81197E-10,1.21788E-05,0.0210965,0.639272,0.334988,0.00462611,5.67469E-06,1,1,0.562504,0.0625089,,,0,,,,,0,0,1,1,9.7,8.7,18.4,1.6,999.847,997.675,0.6,0.960381,0.101886,1.06227,1.14661,0.0305657,0.909099,1.5091,3.14654E-11,0.909099,0.308747,0.600352,0,0,,0,0,0,0.339619,0,4.08669,4.54055E-21,8.09215E-20,6.52394E-19,2.50007E-18,5.1811E-18,7.36039E-07,0.934687,0.0653118,0.000171744,0.0210667,0.978731,2.72215E-05,3.14658E-06,5.72069E-12,9.42480E-17,1.08493E-16,1,1,0,0,0,0,0,0,1
