"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 Noise 2,0.5 FSM 2","2.103E-07","0.7815","501","All",1,0.99991,8.97139E-05,0.5,8.9714E-5,8.97139E-05,1,8.97139E-05,9.9992E-06,4.5,1.86426,0.863442,0.125001,0.124999,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,0.0625008,0.0625008,,,8.97138E-05,,,,,1.14228E-10,1.72950E-12,1.84E-11,0.302412,9.99991,9.99997,19.9999,0.000117328,1000,1000,8.97139E-06,8.4022E-6,1.484E-05,2.32422E-5,9.45275E-07,1.46545E-05,9.83575E-05,0.000107329,1.86428E-05,7.97147E-05,1.32016E-05,6.65131E-05,0,8.97138E-5,0.0625004,1.14228E-10,1.72950E-12,3.40949E-13,0.167508,0,-2.61323E-14,0.102735,0.121027,0.134542,0.141697,0.141697,0.134542,0.121027,0.102735,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,8.97139E-5,8.97139E-05,0.99991,1.795E-11,8.97138E-05,1.14228E-10,1.72950E-12,1.2838E-11,5.565E-12
"MODRA CM 0.25 Noise 2,0.5 FSM 2","2.103E-07","0.7815","501","NoDispute",0.9999,1,0,0.500005,0,0,1,0,0,4.50004,1.86428,0.863443,0.124997,0.124998,0.124998,0.124999,0.125001,0.125002,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.8643E-05,1000,1000,0,0,0,0,0,0,1.8643E-05,1.8643E-05,1.8643E-05,0,0,0,0,0,,0,0,0,,0,-2.29481E-05,0.102734,0.121026,0.134541,0.141697,0.141697,0.134542,0.121028,0.102736,0.113876,0.133729,0.127198,0.125188,0.12519,0.127203,0.133734,0.113881,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 Noise 2,0.5 FSM 2","2.103E-07","0.7815","501","DisputeArises",9E-05,0,1,0.452294,1,1,1,1,0.111456,4.11835,1.57355,0.853136,0.161935,0.14141,0.142511,0.131361,0.114379,0.108102,0.102305,0.0979968,1,1,0.0625008,0.0625008,,,0.999998,,,,,1.27325E-06,1.92779E-08,2.051E-7,0.302412,9.0125,9.88748,18.9,1.10002,998.842,999.953,0.1,0.0936557,0.165414,0.25907,0.0105366,0.163346,0.888559,0.988559,1.57355E-05,0.888544,0.147153,0.741391,0,0.999998,0.0625004,1.27325E-06,1.92779E-08,3.8004E-09,0.167508,0,0.255769,0.114706,0.131683,0.141973,0.144429,0.139144,0.127199,0.110314,0.0905518,0.139627,0.16397,0.155962,0.127501,0.112273,0.109748,0.111196,0.0797224,1,1,2.0008E-07,2.0008E-07,0.999998,1.27325E-06,1.92779E-08,1.43097E-7,6.2034E-8
"MODRA CM 0.25 Noise 2,0.5 FSM 2","2.103E-07","0.7815","501","PFiles",9E-05,0,1,0.452294,1,1,1,1,0.111456,4.11835,1.57355,0.853136,0.161935,0.14141,0.142511,0.131361,0.114379,0.108102,0.102305,0.0979968,1,1,0.0625008,0.0625008,,,0.999998,,,,,1.27325E-06,1.92779E-08,2.051E-7,0.302412,9.0125,9.88748,18.9,1.10002,998.842,999.953,0.1,0.0936557,0.165414,0.25907,0.0105366,0.163346,0.888559,0.988559,1.57355E-05,0.888544,0.147153,0.741391,0,0.999998,0.0625004,1.27325E-06,1.92779E-08,3.8004E-09,0.167508,0,0.255769,0.114706,0.131683,0.141973,0.144429,0.139144,0.127199,0.110314,0.0905518,0.139627,0.16397,0.155962,0.127501,0.112273,0.109748,0.111196,0.0797224,1,1,0,2.0008E-07,0.999998,1.27325E-06,1.92779E-08,1.43097E-7,6.2034E-8
"MODRA CM 0.25 Noise 2,0.5 FSM 2","2.103E-07","0.7815","501","DAnswers",9E-05,0,1,0.452294,1,1,1,1,0.111456,4.11835,1.57355,0.853136,0.161935,0.14141,0.142511,0.131361,0.114379,0.108102,0.102305,0.0979968,1,1,0.0625008,0.0625008,,,0.999999,,,,,1.27325E-06,1.92779E-08,2.051E-7,0.302412,9.0125,9.88748,18.9,1.10002,998.842,999.953,0.1,0.0936556,0.165414,0.25907,0.0105364,0.163346,0.888559,0.988559,1.57355E-05,0.888544,0.147153,0.741391,0,0.999999,0.0625004,1.27325E-06,1.92779E-08,3.8004E-09,0.167508,0,0.255769,0.114706,0.131683,0.141973,0.144429,0.139144,0.127199,0.110314,0.0905518,0.139627,0.16397,0.155962,0.127501,0.112273,0.109748,0.111196,0.0797224,1,1,0,0,0.999999,1.27325E-06,1.92779E-08,1.43097E-7,6.2034E-8
"MODRA CM 0.25 Noise 2,0.5 FSM 2","2.103E-07","0.7815","501","Litigated",9E-05,0,1,0.452294,1,1,1,1,0.111456,4.11835,1.57355,0.853136,0.161935,0.14141,0.142511,0.131361,0.114379,0.108102,0.102305,0.0979968,1,1,0.0625008,0.0625008,,,0.999999,,,,,1.27325E-06,1.92779E-08,2.051E-7,0.302412,9.0125,9.88748,18.9,1.10002,998.842,999.953,0.1,0.0936556,0.165414,0.25907,0.0105364,0.163346,0.888559,0.988559,1.57355E-05,0.888544,0.147153,0.741391,0,0.999999,0.0625004,1.27325E-06,1.92779E-08,3.8004E-09,0.167508,0,0.255769,0.114706,0.131683,0.141973,0.144429,0.139144,0.127199,0.110314,0.0905518,0.139627,0.16397,0.155962,0.127501,0.112273,0.109748,0.111196,0.0797224,1,1,0,0,0.999999,1.27325E-06,1.92779E-08,1.43097E-7,6.2034E-8
"MODRA CM 0.25 Noise 2,0.5 FSM 2","2.103E-07","0.7815","501","Not Litigated",0.9999,1,3.59032E-11,0.500005,1.795E-11,0,1,3.59032E-11,4.00164E-12,4.50004,1.86428,0.863443,0.124997,0.124998,0.124998,0.124999,0.125001,0.125002,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.86431E-05,1000,1000,4.48789E-13,1.494E-11,3.082E-12,1.8027E-11,1.49445E-11,3.00892E-12,1.86431E-05,1.86431E-05,1.8643E-05,3.19015E-11,5.28325E-12,2.6618300000000002E-11,0,0,,0,0,0,0.167508,0,-2.29481E-05,0.102734,0.121026,0.134541,0.141697,0.141697,0.134542,0.121028,0.102736,0.113876,0.133729,0.127198,0.125188,0.12519,0.127203,0.133734,0.113881,1.7952E-11,0,1,1.79516E-11,0,0,0,0,0
"MODRA CM 0.25 Noise 2,0.5 FSM 2","2.103E-07","0.7815","501","Settles",9E-05,0,1,0.452294,1,1,1,1,0.111456,4.11835,1.57355,0.853136,0.161935,0.14141,0.142511,0.131361,0.114379,0.108102,0.102305,0.0979968,1,1,0.0625,0.0625008,,,1,,,,,0,0,0,,9.0125,9.88748,18.9,1.10002,998.842,999.953,0.1,0.0936556,0.165414,0.25907,0.0105364,0.163346,0.888559,0.988559,1.57355E-05,0.888544,0.147153,0.741391,0,1,0.0625004,0,0,0,0.167508,0,0.255769,0.114706,0.131683,0.141973,0.144429,0.139144,0.127199,0.110314,0.0905518,0.139627,0.16397,0.155962,0.127501,0.112273,0.109748,0.111196,0.0797224,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 Noise 2,0.5 FSM 2","2.103E-07","0.7815","501","Tried",2E-11,0,1,0.62848,1,1,1,1,0.121884,5.52784,2.47057,0.919285,0.0344875,0.039143,0.0493156,0.0990951,0.211698,0.251318,0.215206,0.099737,1,1,0.661768,0.0625003,,,0,,,,,0,0,1,0.302412,9.16814,9.68184,18.85,1.15002,998.63,999.421,0.15,0.119785,0.174897,0.294682,0.0903363,0.214249,0.878141,1.02814,2.47057E-05,0.878116,0.3437,0.534416,0,0,,0,0,0,0.393442,0,1.03828,1.56697E-07,1.79888E-07,1.93946E-07,1.973E-07,0.0925483,0.448874,0.4187,0.039877,0.0324308,0.04453,0.0524103,0.0623306,0.287347,0.243818,0.277134,1.08906E-07,1,1,0,0,0,0,0,0.697588,0.302412
"MODRA CM 0.25 Noise 2,0.5 FSM 2","2.103E-07","0.7815","501","PWins",6E-12,0,1,0.771046,1,1,1,1,0.124613,6.66837,2.50243,1.03045,5.89863E-07,9.65954E-05,0.00456198,0.0513681,0.135094,0.168321,0.360845,0.279713,1,1,0.655794,0.0625004,,,0,,,,,0,0,1,1,10.075,8.77497,18.85,1.15003,1000.03,998.024,0.15,0.3961,0,0.3961,0.29872,0,0.875412,1.02541,2.50243E-05,0.875387,0.724774,0.150613,0,0,,0,0,0,0.8289,0,0.369119,4.43413E-08,6.05273E-08,7.7297E-08,9.24719E-08,0.0713361,0.430803,0.449415,0.0484453,0.0001672,0.00237587,0.0174558,0.0688992,0.203422,0.197904,0.509776,1.0771E-13,1,1,0,0,0,0,0,0,1
