"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 Noise 0.5,2 UPC 1.2E-05","1.191E-07","0.8691","504","All",1,0.999909,9.058E-05,0.5,6.01E-11,1.81232E-11,1,9.058E-05,9.99919E-06,4.5,2,0.724975,0.125001,0.125,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,0.0625009,0.0625009,,,1.81232E-11,,,,,2.68412E-17,2.02012E-18,4.17E-19,0.61332,9.99991,9.99998,19.9999,0.00011458,1000,1000,4.57871E-11,4.243E-11,1.1506E-5,1.15056E-5,4.05579E-11,1.15055E-05,0.000104581,0.000104581,2.40002E-05,8.05808E-05,1.0145E-05,7.04358E-05,0,1.8123E-11,0.0625005,2.68412E-17,2.02012E-18,8.96269E-24,0.127021,0,-8.26321E-15,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.102735,0.121027,0.134542,0.141697,0.141697,0.134542,0.121027,0.102735,6.0098E-11,1.81232E-11,1,4.19748E-11,1.81232E-11,2.68412E-17,2.02012E-18,1.6107E-19,2.555E-19
"MODRA CM 4 Noise 0.5,2 UPC 1.2E-05","1.191E-07","0.8691","504","NoDispute",0.9999,1,0,0.500001,0,0,1,0,0,4.50001,2,0.724976,0.124999,0.124999,0.125,0.125,0.125,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.40002E-05,1000,1000,0,0,0,0,0,0,2.40002E-05,2.40002E-05,2.40002E-05,0,0,0,0,0,,0,0,0,,0,6.00544E-06,0.113877,0.133731,0.127201,0.125189,0.125189,0.127201,0.133733,0.113879,0.102734,0.121026,0.134541,0.141697,0.141697,0.134542,0.121027,0.102735,0,0,1,0,0,0,0,0,0
"MODRA CM 4 Noise 0.5,2 UPC 1.2E-05","1.191E-07","0.8691","504","DisputeArises",9.1E-5,0,1,0.485879,6.6348E-7,2.0008E-07,1,1,0.110391,4.38703,2,0.714905,0.14535,0.127433,0.124024,0.125089,0.122046,0.115265,0.113772,0.127021,1,1,0.0625009,0.0625009,,,2.0008E-07,,,,,2.96326E-13,2.23021E-14,4.6E-15,0.61332,9,9.99998,19,1.00002,998.808,1000,5.05488E-07,4.6847E-7,0.127021,0.127021,4.47758E-07,0.127021,0.889633,0.889634,2.4E-05,0.889609,0.112,0.777609,0,2.0008E-07,0.0625005,2.96326E-13,2.23021E-14,9.89478E-20,0.127021,0,-0.0662939,0.122862,0.141912,0.131602,0.126282,0.12329,0.122383,0.125904,0.105764,0.106418,0.124244,0.13673,0.142446,0.140869,0.132314,0.117836,0.0991431,6.63481E-7,2.0008E-07,0.999999,4.63401E-07,2.0008E-07,2.96326E-13,2.23021E-14,1.7782E-15,2.820E-15
"MODRA CM 4 Noise 0.5,2 UPC 1.2E-05","1.191E-07","0.8691","504","PFiles",6E-11,0,1,0.493348,1,0.301561,1,1,0.0998678,4.44678,0.93535,0.808954,0.139979,0.123421,0.120671,0.122201,0.124798,0.123952,0.118385,0.126593,1,1,0.0625009,0.0625009,,,0.301561,,,,,4.46623E-07,3.36138E-08,6.931E-9,0.61332,9.19666,9.04145,18.2381,1.76188,998.079,998.908,0.761873,0.706082,0.15432,0.860403,0.674862,0.150744,0.900143,1.66202,1.12242E-05,0.900132,0.232248,0.667884,0,0.301561,0.0625005,4.46623E-07,3.36138E-08,1.49134E-13,0.25772,0,-0.0301705,0.117978,0.137459,0.129199,0.125676,0.124315,0.125004,0.130174,0.110196,0.104412,0.122491,0.135537,0.142037,0.141319,0.133527,0.119575,0.101101,1,0.301561,0,0.698439,0.301561,4.46623E-07,3.36138E-08,2.68009E-9,4.2509E-9
"MODRA CM 4 Noise 0.5,2 UPC 1.2E-05","1.191E-07","0.8691","504","DAnswers",2E-11,0,1,0.485879,1,1,1,1,0.110391,4.38703,2,0.714905,0.14535,0.127433,0.124024,0.125089,0.122046,0.115265,0.113772,0.127021,1,1,0.0625009,0.0625009,,,0.999998,,,,,1.48104E-06,1.11466E-07,2.298E-8,0.61332,8.2625,9.13748,17.4,2.60002,994.161,999.139,1.6,0.752945,0.220699,0.973644,0.649415,0.383464,0.889633,2.48963,2.4E-05,0.889609,0.112,0.777609,0,0.999998,0.0625005,1.48104E-06,1.11466E-07,4.94541E-13,0.127021,0,-0.0662939,0.122862,0.141912,0.131602,0.126282,0.12329,0.122383,0.125904,0.105764,0.106418,0.124244,0.13673,0.142446,0.140869,0.132314,0.117836,0.0991431,1,1,0,0,0.999998,1.48104E-06,1.11466E-07,8.88739E-9,1.4096E-8
"MODRA CM 4 Noise 0.5,2 UPC 1.2E-05","1.191E-07","0.8691","504","Litigated",2E-11,0,1,0.485879,1,1,1,1,0.110391,4.38703,2,0.714905,0.14535,0.127433,0.124024,0.125089,0.122046,0.115265,0.113772,0.127021,1,1,0.0625009,0.0625009,,,0.999998,,,,,1.48104E-06,1.11466E-07,2.298E-8,0.61332,8.2625,9.13748,17.4,2.60002,994.161,999.139,1.6,0.752945,0.220699,0.973644,0.649415,0.383464,0.889633,2.48963,2.4E-05,0.889609,0.112,0.777609,0,0.999998,0.0625005,1.48104E-06,1.11466E-07,4.94541E-13,0.127021,0,-0.0662939,0.122862,0.141912,0.131602,0.126282,0.12329,0.122383,0.125904,0.105764,0.106418,0.124244,0.13673,0.142446,0.140869,0.132314,0.117836,0.0991431,1,1,0,0,0.999998,1.48104E-06,1.11466E-07,8.88739E-9,1.4096E-8
"MODRA CM 4 Noise 0.5,2 UPC 1.2E-05","1.191E-07","0.8691","504","Not Litigated",1,0.999909,9.05799E-05,0.5,4.197E-11,0,1,9.05799E-05,9.99919E-06,4.5,2,0.724975,0.125001,0.125,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99998,19.9999,0.00011458,1000,1000,1.67899E-11,2.879E-11,1.1506E-5,1.15056E-5,2.87884E-11,1.15055E-05,0.000104581,0.000104581,2.40002E-05,8.05808E-05,1.0145E-05,7.04358E-05,0,0,,0,0,0,0.127021,0,1.19338E-12,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.102735,0.121027,0.134542,0.141697,0.141697,0.134542,0.121027,0.102735,4.1975E-11,0,1,4.19748E-11,0,0,0,0,0
"MODRA CM 4 Noise 0.5,2 UPC 1.2E-05","1.191E-07","0.8691","504","Settles",2E-11,0,1,0.485879,1,1,1,1,0.110391,4.38703,2,0.714905,0.14535,0.127433,0.124024,0.125089,0.122046,0.115265,0.113772,0.127021,1,1,0.0625001,0.0625008,,,1,,,,,0,0,0,,8.2625,9.13748,17.4,2.60002,994.161,999.139,1.6,0.752945,0.220698,0.973643,0.649416,0.383463,0.889633,2.48963,2.4E-05,0.889609,0.112,0.777609,0,1,0.0625005,0,0,0,0.127021,0,-0.0662943,0.122862,0.141912,0.131602,0.126282,0.12329,0.122383,0.125904,0.105764,0.106418,0.124244,0.13673,0.142446,0.140869,0.132314,0.117836,0.0991431,1,1,0,0,1,0,0,0,0
"MODRA CM 4 Noise 0.5,2 UPC 1.2E-05","1.191E-07","0.8691","504","Tried",4E-19,0,1,0.732245,1,1,1,1,0.0954641,6.35796,0.375011,1.03157,2.28545E-06,7.0428E-05,0.00557186,0.0717774,0.193184,0.240625,0.265831,0.222939,1,1,0.925961,0.0625005,,,0,,,,,0,0,1,0.61332,8.41332,8.18668,16.6,3.4,993.049,990.071,2.4,1.15429,0.910724,2.06502,1.52438,1.35663,0.90454,3.30454,4.50013E-06,0.904536,0.595468,0.309068,0,0,,0,0,0,0.659026,0,4.71955,1.49796E-06,2.58005E-06,1.60452E-06,1.60215E-06,0.236612,0.174717,0.352005,0.236659,0.317358,0.496177,0.186458,1.79008E-06,1.78718E-06,1.6132E-06,1.43669E-06,1.20877E-06,1,1,0,0,0,0,0,0.38668,0.61332
"MODRA CM 4 Noise 0.5,2 UPC 1.2E-05","1.191E-07","0.8691","504","PWins",3E-19,0,1,0.804823,1,1,1,1,0.0959839,6.93859,0.415606,1.07473,1.33768E-13,6.15001E-09,2.31595E-05,0.00517037,0.0855954,0.222594,0.338644,0.347974,1,1,0.925436,0.0625005,,,0,,,,,0,0,1,1,8.8,7.8,16.6,3.4,998.13,984.99,2.4,1.32096,1.05485,2.37581,1.85126,1.26582,0.904021,3.30402,4.98727E-06,0.904016,0.794419,0.109597,0,0,,0,0,0,0.879042,0,5.0503,1.14748E-16,3.40898E-11,1.53498E-12,7.2913E-09,0.102234,0.167307,0.391984,0.338475,0.294905,0.493789,0.211306,7.97275E-08,1.07614E-07,3.01834E-08,3.43969E-08,3.56246E-08,1,1,0,0,0,0,0,0,1
