Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000001400,1E-05,0,0,0.025,0.025,0.05,0,0.10001
0.000012949,1E-05,0,1,0.025,0.025,0.05,0,1.10001
0.000000060,1E-05,1,0,0.025,0.025,0.05,0,1.10001
0.000000374,1E-05,0,0,0.025,0.025,0.05,0.05,0.15001
0.000003064,1E-05,0,1,0.025,0.025,0.05,0.05,1.15001
0.000000357,1E-05,1,0,0.025,0.025,0.05,0.05,1.15001
0.177354706,1E-05,0,0,0,0,0,0,1E-05
0.000001333,2E-05,0,0,0.025,0.025,0.05,0,0.10002
0.000011323,2E-05,0,1,0.025,0.025,0.05,0,1.10002
0.000000047,2E-05,1,0,0.025,0.025,0.05,0,1.10002
0.000000815,2E-05,0,0,0.025,0.025,0.05,0.05,0.15002
0.000005715,2E-05,0,1,0.025,0.025,0.05,0.05,1.15002
0.000000920,2E-05,1,0,0.025,0.025,0.05,0.05,1.15002
0.214797241,2E-05,0,0,0,0,0,0,2E-05
0.000001876,3E-05,0,0,0.025,0.025,0.05,0,0.10003
0.000012694,3E-05,0,1,0.025,0.025,0.05,0,1.10003
0.000001008,3E-05,1,0,0.025,0.025,0.05,0,1.10003
0.000000280,3E-05,0,0,0.025,0.025,0.05,0.05,0.15003
0.000000908,3E-05,0,1,0.025,0.025,0.05,0.05,1.15003
0.000000960,3E-05,1,0,0.025,0.025,0.05,0.05,1.15003
0.215601867,3E-05,0,0,0,0,0,0,3E-05
0.000003922,4E-05,0,0,0.025,0.025,0.05,0,0.10004
0.000022474,4E-05,0,1,0.025,0.025,0.05,0,1.10004
0.392163708,4E-05,0,0,0,0,0,0,4E-05
