"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 TIME 0.25 DM 0.5","1.705E-07","0.9635","446","All",1,0.99991,9.00952E-05,0.500001,6.9834E-6,3.17671E-06,1,9.00952E-05,9.9992E-06,4.5,1.90463,0.864203,0.125,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.397187,0.0625008,,,1.87325E-06,,,,,2.79782E-12,1.70521E-12,1.303E-6,0.542646,9.99991,9.99998,19.9999,0.000110676,1000,1000,1.53438E-06,8.9737E-7,2.6688E-5,2.75851E-5,3.93769E-07,2.60873E-05,9.91425E-05,0.000100677,1.90465E-05,8.0096E-05,2.45592E-05,5.55367E-05,0,1.87325E-6,0.0312503,2.79782E-12,1.70521E-12,8.42557E-14,0.309936,0,-1.33858E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.98339E-6,3.17671E-06,0.999993,3.80669E-06,1.87325E-06,2.79782E-12,1.70521E-12,5.9614E-07,7.0731E-7
"MODRA CM 1 TIME 0.25 DM 0.5","1.705E-07","0.9635","446","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,1.90465,0.864204,0.124998,0.124998,0.124999,0.125,0.125001,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.90467E-05,1000,1000,0,0,0,0,0,0,1.90467E-05,1.90467E-05,1.90467E-05,0,0,0,0,0,,0,0,0,,0,-7.73941E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.102829,0.127184,0.135103,0.134877,0.134877,0.135108,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"MODRA CM 1 TIME 0.25 DM 0.5","1.705E-07","0.9635","446","DisputeArises",9E-05,0,1,0.464013,0.0775113,0.0352595,1,1,0.110985,4.21211,1.66264,0.857658,0.153635,0.146181,0.136577,0.123255,0.111448,0.107744,0.109627,0.111534,1,1,0.397187,0.0625008,,,0.0207919,,,,,3.10541E-08,1.89267E-08,0.014468,0.542646,9.01613,9.96682,18.983,1.01705,998.831,999.978,0.0170307,0.0099603,0.296217,0.306177,0.00437059,0.289552,0.889032,0.906062,1.66264E-05,0.889015,0.272592,0.616423,0,0.0207919,0.0312503,3.10541E-08,1.89267E-08,9.35186E-10,0.309936,0,0.0858949,0.120157,0.145183,0.148161,0.139368,0.129857,0.121897,0.109452,0.0859267,0.125549,0.155285,0.164953,0.12553,0.120629,0.116552,0.106756,0.0847469,0.0775113,0.0352595,0.922489,0.0422518,0.0207919,3.10541E-08,1.89267E-08,0.00661678,0.0078507
"MODRA CM 1 TIME 0.25 DM 0.5","1.705E-07","0.9635","446","PFiles",7E-06,0,1,0.429819,1,0.454895,1,1,0.0909009,3.93855,8.57757E-06,1.02115,0.0374001,0.108241,0.226518,0.292992,0.213086,0.0903348,0.0257157,0.00571165,1,1,0.397187,0.0625008,,,0.268244,,,,,4.00639E-07,2.4418E-07,0.18665,0.542646,9.20809,9.57219,18.7803,1.21972,999.104,999.716,0.219719,0.128501,0.450839,0.57934,0.0563865,0.364859,0.909099,1.12882,8.57757E-11,0.909099,0.570768,0.338331,0,0.268244,0.0312503,4.00639E-07,2.4418E-07,1.20652E-08,0.627839,0,3.31562,3.10162E-07,3.7476E-07,3.82447E-07,7.47212E-07,0.530525,0.282821,0.132387,0.0542656,0.150353,0.304539,0.545102,8.67089E-07,1.04726E-06,1.19498E-06,1.21084E-06,1.01548E-06,1,0.454895,0,0.545105,0.268244,4.00639E-07,2.4418E-07,0.0853653,0.101285
"MODRA CM 1 TIME 0.25 DM 0.5","1.705E-07","0.9635","446","DAnswers",3.2E-6,0,1,0.367834,1,1,1,1,0.090901,3.44267,1.29184E-05,0.963363,0.0674019,0.167882,0.283888,0.280056,0.14776,0.043484,0.00830888,0.00121902,1,1,0.397187,0.0625008,,,0.589683,,,,,8.8073E-07,5.36784E-07,0.410315,0.542646,8.91821,9.6587,18.5769,1.42309,998.479,999.759,0.423095,0.13301,0.496436,0.629446,0.0492172,0.530018,0.909099,1.33219,1.29184E-10,0.909099,0.437119,0.47198,0,0.589683,0.0312503,8.8073E-07,5.36784E-07,2.6523E-08,0.480826,0,3.91843,5.29219E-07,6.33427E-07,6.48836E-07,1.13574E-06,0.589679,0.268672,0.105677,0.0359688,0.330523,0.669471,8.02814E-07,1.52227E-06,1.12329E-06,6.61374E-07,6.05788E-07,4.80897E-07,1,1,0,0,0.589683,8.8073E-07,5.36784E-07,0.187659,0.222656
"MODRA CM 1 TIME 0.25 DM 0.5","1.705E-07","0.9635","446","Litigated",3.2E-6,0,1,0.367834,1,1,1,1,0.090901,3.44267,1.29184E-05,0.963363,0.0674019,0.167882,0.283888,0.280056,0.14776,0.043484,0.00830888,0.00121902,1,1,0.397187,0.0625008,,,0.589683,,,,,8.8073E-07,5.36784E-07,0.410315,0.542646,8.91821,9.6587,18.5769,1.42309,998.479,999.759,0.423095,0.13301,0.496436,0.629446,0.0492172,0.530018,0.909099,1.33219,1.29184E-10,0.909099,0.437119,0.47198,0,0.589683,0.0312503,8.8073E-07,5.36784E-07,2.6523E-08,0.480826,0,3.91843,5.29219E-07,6.33427E-07,6.48836E-07,1.13574E-06,0.589679,0.268672,0.105677,0.0359688,0.330523,0.669471,8.02814E-07,1.52227E-06,1.12329E-06,6.61374E-07,6.05788E-07,4.80897E-07,1,1,0,0,0.589683,8.8073E-07,5.36784E-07,0.187659,0.222656
"MODRA CM 1 TIME 0.25 DM 0.5","1.705E-07","0.9635","446","Not Litigated",1,0.999913,8.69187E-05,0.500001,3.8067E-6,0,1,8.69187E-05,9.71046E-06,4.50001,1.90464,0.864203,0.125,0.125,0.124999,0.124999,0.124999,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99998,19.9999,0.000106156,1000,1000,1.90335E-07,4.7484E-7,2.5111E-5,2.55856E-5,2.37421E-07,2.44036E-05,9.62548E-05,9.64452E-05,1.90466E-05,7.72083E-05,2.31707E-05,5.40375E-05,0,0,,0,0,0,0.30369,0,-1.24478E-05,0.102831,0.127187,0.135106,0.134877,0.134875,0.135105,0.127187,0.102831,0.10283,0.127185,0.135106,0.134877,0.134877,0.135106,0.127187,0.102831,3.8067E-06,0,0.999996,3.8067E-06,0,0,0,0,0
"MODRA CM 1 TIME 0.25 DM 0.5","1.705E-07","0.9635","446","Settles",1.9E-6,0,1,0.323277,1,1,1,1,0.0909011,3.08622,1.95174E-05,0.920907,0.0963474,0.218619,0.319906,0.25253,0.0944801,0.0165192,0.00151086,8.7863E-05,1,1,0.0625002,0.0625009,,,1,,,,,0,0,0,,8.88125,9.81875,18.7,1.3,998.438,999.918,0.3,0.115071,0.408484,0.523555,0.0208567,0.456991,0.909099,1.2091,1.95174E-10,0.909099,0.331935,0.577164,0,1,0.0312503,0,0,0,0.365125,0,3.35819,8.97462E-07,1.07418E-06,1.10031E-06,1.92601E-06,0.999991,1.83329E-06,1.07946E-06,8.25615E-07,0.358214,0.641779,7.10736E-07,1.83974E-06,1.61066E-06,1.12157E-06,1.02731E-06,8.15516E-07,1,1,0,0,1,0,0,0,0
"MODRA CM 1 TIME 0.25 DM 0.5","1.705E-07","0.9635","446","Tried",1.3E-6,0,1,0.431869,1,1,1,1,0.0909009,3.95495,2.49598E-06,1.02438,0.0258032,0.0949654,0.232125,0.319615,0.224332,0.0822362,0.0180785,0.00284463,1,1,0.878179,0.0625005,,,0,,,,,0,0,1,0.542646,8.97132,9.42868,18.4,1.6,998.536,999.53,0.6,0.158791,0.622838,0.781628,0.0899753,0.634969,0.909099,1.5091,2.49598E-11,0.909099,0.588284,0.320816,0,0,,0,0,0,0.647106,0,4.72359,3.61429E-19,4.32597E-19,4.43121E-19,6.70778E-19,4.1212E-07,0.654791,0.257549,0.08766,0.290728,0.70927,5.82107E-07,2.2872E-07,4.22866E-07,4.51683E-19,4.13721E-19,3.28427E-19,1,1,0,0,0,0,0,0.457354,0.542646
"MODRA CM 1 TIME 0.25 DM 0.5","1.705E-07","0.9635","446","PWins",7.1E-7,0,1,0.493621,1,1,1,1,0.0909009,4.44897,2.17776E-06,1.08185,0.00448522,0.0351545,0.155414,0.328661,0.306513,0.132855,0.0317519,0.00516689,1,1,0.879273,0.0625005,,,0,,,,,0,0,1,1,9.2,9.2,18.4,1.6,999.262,999.262,0.6,0.156043,0.643957,0.8,0.124834,0.515166,0.909099,1.5091,2.17776E-11,0.909099,0.731776,0.177323,0,0,,0,0,0,0.804946,0,4.76522,6.31531E-20,8.7725E-20,1.03632E-19,2.01073E-19,2.18165E-07,0.595693,0.288828,0.115479,0.245432,0.754567,4.71209E-07,2.11129E-07,4.71471E-07,1.38469E-19,1.81209E-19,1.78677E-19,1,1,0,0,0,0,0,0,1
