"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 TIME 0.75 FSM 0 DM 1 LT 1 UPC 1E-05","6.244E-08","0.8692","400","All",1,0.999914,8.62138E-05,0.500001,1.1599E-5,1.15989E-05,1,8.62138E-05,9.99924E-06,4.5,2.37258,0.818374,0.125,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.416033,0.281825,,,6.47811E-06,,,,,2.06939E-12,2.34975E-13,5.121E-6,0.313512,9.99991,9.99997,19.9999,0.000116251,9.99991,9.99997,6.31154E-06,3.2699E-6,1.579E-05,1.90596E-5,2.26674E-06,1.563E-05,9.99406E-05,0.000106252,2.3726E-05,7.62146E-05,1.45024E-05,6.17121E-05,0,6.47811E-6,0.364332,2.06939E-12,2.34975E-13,2.03958E-24,0.192434,0,-1.88817E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.15989E-5,1.15989E-05,0.999988,1.65062E-11,6.47811E-06,2.06939E-12,2.34975E-13,3.51537E-6,1.6054E-6
"Risk Neutral CM 1 TIME 0.75 FSM 0 DM 1 LT 1 UPC 1E-05","6.244E-08","0.8692","400","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50003,2.3726,0.818375,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.37262E-05,10,9.99998,0,0,0,0,0,0,2.37262E-05,2.37262E-05,2.37262E-05,0,0,0,0,0,,0,0,0,,0,-6.27048E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.102829,0.127185,0.135104,0.134876,0.134877,0.135107,0.127188,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 TIME 0.75 FSM 0 DM 1 LT 1 UPC 1E-05","6.244E-08","0.8692","400","DisputeArises",8.6E-5,0,1,0.466762,0.134537,0.134537,1,1,0.115982,4.2341,2.2126,0.807502,0.153641,0.142701,0.132906,0.123554,0.114623,0.110476,0.110638,0.111461,1,1,0.416033,0.281825,,,0.07514,,,,,2.40031E-08,2.72549E-09,0.059397,0.313512,9.00939,9.91738,18.9268,1.07323,9.00939,9.91738,0.073208,0.0379274,0.183147,0.221074,0.0262921,0.181293,0.88404,0.957248,2.2126E-05,0.884018,0.168215,0.715804,0,0.07514,0.364332,2.40031E-08,2.72549E-09,2.36573E-20,0.192434,0,0.0727255,0.119104,0.144123,0.147591,0.139593,0.130726,0.122873,0.110017,0.0859734,0.122636,0.150798,0.158832,0.131181,0.126059,0.121799,0.111562,0.0771329,0.134537,0.134537,0.865463,1.91457E-07,0.07514,2.40031E-08,2.72549E-09,0.040775,0.0186215
"Risk Neutral CM 1 TIME 0.75 FSM 0 DM 1 LT 1 UPC 1E-05","6.244E-08","0.8692","400","PFiles",1.2E-5,0,1,0.614426,1,0.999999,1,1,0.115307,5.4154,1.9026,0.968815,0.0203796,0.0577927,0.120816,0.163052,0.141752,0.125125,0.163387,0.207695,1,1,0.416033,0.281825,,,0.558509,,,,,1.78413E-07,2.02583E-08,0.441489,0.313512,9.06982,9.38601,18.4558,1.54417,9.06982,9.38601,0.544148,0.281911,0.474537,0.756448,0.195427,0.460759,0.884712,1.42886,1.9026E-05,0.884693,0.476974,0.407719,0,0.558509,0.364332,1.78413E-07,2.02583E-08,1.75842E-19,0.543567,0,2.7002,1.77128E-07,4.5567E-07,4.75853E-07,4.63523E-07,0.292616,0.154832,0.0719554,0.480594,0.0833818,0.16762,0.297696,0.0404293,0.0839521,0.141315,0.185605,6.38475E-07,1,0.999999,0,1.42308E-06,0.558509,1.78413E-07,2.02583E-08,0.303077,0.138412
"Risk Neutral CM 1 TIME 0.75 FSM 0 DM 1 LT 1 UPC 1E-05","6.244E-08","0.8692","400","DAnswers",1.2E-5,0,1,0.614425,1,1,1,1,0.115307,5.4154,1.9026,0.968815,0.0203796,0.0577928,0.120816,0.163052,0.141752,0.125125,0.163387,0.207695,1,1,0.416033,0.281825,,,0.55851,,,,,1.78413E-07,2.02583E-08,0.44149,0.313512,9.06982,9.38601,18.4558,1.54417,9.06982,9.38601,0.544149,0.281911,0.474537,0.756448,0.195427,0.46076,0.884712,1.42886,1.9026E-05,0.884693,0.476974,0.407719,0,0.55851,0.364332,1.78413E-07,2.02583E-08,1.75843E-19,0.543567,0,2.70021,1.77128E-07,4.18985E-07,4.10189E-07,3.58391E-07,0.292617,0.154832,0.0719552,0.480595,0.0833819,0.16762,0.297696,0.0404293,0.083952,0.141315,0.185605,1.51419E-07,1,1,0,0,0.55851,1.78413E-07,2.02583E-08,0.303078,0.138412
"Risk Neutral CM 1 TIME 0.75 FSM 0 DM 1 LT 1 UPC 1E-05","6.244E-08","0.8692","400","Litigated",1.2E-5,0,1,0.614425,1,1,1,1,0.115307,5.4154,1.9026,0.968815,0.0203796,0.0577928,0.120816,0.163052,0.141752,0.125125,0.163387,0.207695,1,1,0.416033,0.281825,,,0.55851,,,,,1.78413E-07,2.02583E-08,0.44149,0.313512,9.06982,9.38601,18.4558,1.54417,9.06982,9.38601,0.544149,0.281911,0.474537,0.756448,0.195427,0.46076,0.884712,1.42886,1.9026E-05,0.884693,0.476974,0.407719,0,0.55851,0.364332,1.78413E-07,2.02583E-08,1.75843E-19,0.543567,0,2.70021,1.77128E-07,4.18985E-07,4.10189E-07,3.58391E-07,0.292617,0.154832,0.0719552,0.480595,0.0833819,0.16762,0.297696,0.0404293,0.083952,0.141315,0.185605,1.51419E-07,1,1,0,0,0.55851,1.78413E-07,2.02583E-08,0.303078,0.138412
"Risk Neutral CM 1 TIME 0.75 FSM 0 DM 1 LT 1 UPC 1E-05","6.244E-08","0.8692","400","Not Litigated",1,0.999925,7.46157E-05,0.499999,1.651E-11,0,1,7.46157E-05,8.6619E-06,4.49999,2.37259,0.818372,0.125002,0.125001,0.125,0.124999,0.124999,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99998,19.9999,9.83418E-05,9.99993,9.99998,2.47596E-12,1.732E-12,1.0286E-5,1.02858E-5,1.73169E-12,1.02858E-05,8.96799E-05,8.96799E-05,2.37261E-05,6.59538E-05,8.97015E-06,5.69837E-05,0,0,,0,0,0,0.13785,0,-3.13198E-05,0.102832,0.127188,0.135107,0.134878,0.134874,0.135106,0.127187,0.102827,0.102831,0.127186,0.135104,0.134877,0.134877,0.135106,0.127186,0.102832,1.6506E-11,0,1,1.65064E-11,0,0,0,0,0
"Risk Neutral CM 1 TIME 0.75 FSM 0 DM 1 LT 1 UPC 1E-05","6.244E-08","0.8692","400","Settles",6.5E-6,0,1,0.690169,1,1,1,1,0.120575,6.02136,2.17069,1.00015,0.00607412,0.0283618,0.0848719,0.138707,0.121239,0.111802,0.199448,0.309497,1,1,0.364332,0.364332,,,1,,,,,0,0,0,,9.11433,9.38565,18.5,1.50002,9.11433,9.38565,0.5,0.224785,0.59663,0.821414,0.148511,0.543309,0.879446,1.37945,2.17069E-05,0.879425,0.574101,0.305324,0,1,0.364332,0,0,0,0.657452,0,1.8245,2.19083E-07,5.48737E-07,3.11827E-07,1.84487E-07,0.257826,0.15683,4.39888E-07,0.585342,3.1065E-07,6.979E-07,0.414655,4.59144E-07,5.07508E-07,0.253021,0.332322,2.71112E-07,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 TIME 0.75 FSM 0 DM 1 LT 1 UPC 1E-05","6.244E-08","0.8692","400","Tried",5.1E-6,0,1,0.518605,1,1,1,1,0.108642,4.64884,1.56346,0.929175,0.0384767,0.0950245,0.166287,0.193851,0.167703,0.14198,0.117767,0.0789109,1,1,0.481438,0.177448,,,0,,,,,0,0,1,0.313512,9.01351,9.38647,18.4,1.60002,9.01351,9.38647,0.6,0.35418,0.320084,0.674263,0.254779,0.35633,0.891374,1.49137,1.56346E-05,0.891358,0.354103,0.537256,0,0,,0,0,0,0.399496,0,3.80802,4.98599E-14,2.54841E-07,5.34623E-07,4.68448E-07,0.336628,0.152304,0.162982,0.348084,0.188864,0.379669,0.149736,0.0915741,0.190155,9.75837E-07,9.17987E-07,1.48681E-13,1,1,0,0,0,0,0,0.686488,0.313512
"Risk Neutral CM 1 TIME 0.75 FSM 0 DM 1 LT 1 UPC 1E-05","6.244E-08","0.8692","400","PWins",1.6E-6,0,1,0.59966,1,1,1,1,0.106272,5.29728,1.3917,1.02034,0.00292868,0.021735,0.093431,0.208222,0.245925,0.189046,0.135895,0.102817,1,1,0.554617,0.223846,,,0,,,,,0,0,1,1,9.7,8.69999,18.4,1.60001,9.7,8.69999,0.6,0.664421,0.190674,0.855094,0.673073,0.0572022,0.893742,1.49374,1.3917E-05,0.893728,0.566778,0.32695,0,0,,0,0,0,0.635579,0,3.99797,1.23024E-14,8.04339E-08,4.25967E-07,4.93877E-07,0.241575,0.155952,0.271229,0.331243,0.129958,0.384683,0.289507,0.0529433,0.142906,1.57649E-06,1.51656E-06,2.19038E-13,1,1,0,0,0,0,0,0,1
