"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 TIME 1 FSM 1","4.535E-08","0.9583","586","All",1,0.999916,8.39352E-05,0.500001,1.6517E-5,1.65165E-05,1,8.39352E-05,9.99926E-06,4.5,2.644,0.788204,0.125,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.573745,0.0625013,,,3.86979E-11,,,,,1.63983E-17,5.48868E-13,1.652E-5,0.22224,9.99992,9.99997,19.9999,0.000112853,9.99992,9.99997,2.47748E-06,2.1449E-6,7.0761E-6,9.22101E-6,2.15517E-06,7.69466E-06,0.000100376,0.000102854,2.64402E-05,7.3936E-05,7.53342E-06,6.64025E-05,0,3.8698E-11,0.340302,1.63983E-17,5.48868E-13,1.54876E-24,0.102634,0,-1.90485E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.65165E-5,1.65165E-05,0.999983,8.367E-12,3.86979E-11,1.63983E-17,5.48868E-13,1.28459E-5,3.6706E-6
"Risk Neutral CM 0.25 TIME 1 FSM 1","4.535E-08","0.9583","586","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,2.64401,0.788205,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.64403E-05,10,9.99997,0,0,0,0,0,0,2.64403E-05,2.64403E-05,2.64403E-05,0,0,0,0,0,,0,0,0,,0,-6.49538E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 TIME 1 FSM 1","4.535E-08","0.9583","586","DisputeArises",8.4E-5,0,1,0.463614,0.196777,0.196777,1,1,0.119131,4.20891,2.47503,0.776327,0.156845,0.144406,0.132687,0.122819,0.114585,0.109736,0.108799,0.110123,1,1,0.573745,0.0625013,,,4.61044E-07,,,,,1.95369E-13,6.53918E-09,0.196777,0.22224,9.02078,9.94968,18.9705,1.02954,9.02078,9.94968,0.0295166,0.0255542,0.0843045,0.109859,0.0256766,0.0916738,0.880894,0.910411,2.47503E-05,0.880869,0.0897528,0.791117,0,4.61044E-7,0.340302,1.95369E-13,6.53918E-09,1.84519E-20,0.102634,0,0.0773791,0.120582,0.145574,0.148606,0.139983,0.130428,0.121881,0.108519,0.0844273,0.125965,0.154891,0.150758,0.134742,0.129481,0.124186,0.10075,0.0792268,0.196777,0.196777,0.803223,9.9684E-08,4.61044E-07,1.95369E-13,6.53918E-09,0.153045,0.0437317
"Risk Neutral CM 0.25 TIME 1 FSM 1","4.535E-08","0.9583","586","PFiles",1.7E-5,0,1,0.545933,1,0.999999,1,1,0.115291,4.86746,2.06437,0.894304,0.0552103,0.0994218,0.13886,0.147737,0.139201,0.147962,0.150757,0.12085,1,1,0.573745,0.0625013,,,2.34298E-06,,,,,9.92842E-13,3.32314E-08,0.999997,0.22224,9.10558,9.7444,18.85,1.15002,9.10558,9.7444,0.15,0.129863,0.24967,0.379533,0.130486,0.28712,0.88473,1.03473,2.06437E-05,0.884709,0.299784,0.584925,0,2.34298E-6,0.340302,9.92842E-13,3.32314E-08,9.37703E-20,0.342818,0,2.61994,2.5963E-07,3.17496E-07,3.31132E-07,0.19664,0.196744,0.102983,0.304704,0.198928,0.138408,0.2345,0.18981,0.08033,0.147273,0.209678,5.78707E-07,4.81996E-07,1,0.999999,0,5.06583E-07,2.34298E-06,9.92842E-13,3.32314E-08,0.777758,0.222239
"Risk Neutral CM 0.25 TIME 1 FSM 1","4.535E-08","0.9583","586","DAnswers",1.7E-5,0,1,0.545933,1,1,1,1,0.115291,4.86746,2.06437,0.894304,0.0552103,0.0994218,0.13886,0.147737,0.139201,0.147962,0.150757,0.12085,1,1,0.573745,0.0625013,,,2.34298E-06,,,,,9.92843E-13,3.32314E-08,0.999998,0.22224,9.10558,9.7444,18.85,1.15002,9.10558,9.7444,0.15,0.129863,0.24967,0.379534,0.130486,0.287121,0.88473,1.03473,2.06437E-05,0.884709,0.299784,0.584925,0,2.34298E-6,0.340302,9.92843E-13,3.32314E-08,9.37704E-20,0.342818,0,2.61994,2.58246E-07,3.1343E-07,3.20793E-07,0.19664,0.196744,0.102983,0.304704,0.198928,0.138408,0.2345,0.18981,0.08033,0.147273,0.209678,4.09228E-07,3.44972E-07,1,1,0,0,2.34298E-06,9.92843E-13,3.32314E-08,0.777758,0.222239
"Risk Neutral CM 0.25 TIME 1 FSM 1","4.535E-08","0.9583","586","Litigated",1.7E-5,0,1,0.545933,1,1,1,1,0.115291,4.86746,2.06437,0.894304,0.0552103,0.0994218,0.13886,0.147737,0.139201,0.147962,0.150757,0.12085,1,1,0.573745,0.0625013,,,2.34298E-06,,,,,9.92843E-13,3.32314E-08,0.999998,0.22224,9.10558,9.7444,18.85,1.15002,9.10558,9.7444,0.15,0.129863,0.24967,0.379534,0.130486,0.287121,0.88473,1.03473,2.06437E-05,0.884709,0.299784,0.584925,0,2.34298E-6,0.340302,9.92843E-13,3.32314E-08,9.37704E-20,0.342818,0,2.61994,2.58246E-07,3.1343E-07,3.20793E-07,0.19664,0.196744,0.102983,0.304704,0.198928,0.138408,0.2345,0.18981,0.08033,0.147273,0.209678,4.09228E-07,3.44972E-07,1,1,0,0,2.34298E-06,9.92843E-13,3.32314E-08,0.777758,0.222239
"Risk Neutral CM 0.25 TIME 1 FSM 1","4.535E-08","0.9583","586","Not Litigated",1,0.999933,6.74198E-05,0.5,8.367E-12,0,1,6.74198E-05,8.09518E-06,4.5,2.64401,0.788202,0.125002,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99997,19.9999,9.38601E-05,9.99993,9.99997,4.18357E-13,2.216E-12,2.9525E-6,2.95248E-6,2.21598E-12,2.95247E-06,8.57649E-05,8.57649E-05,2.64403E-05,5.93246E-05,2.58207E-06,5.67426E-05,0,0,,0,0,0,0.0437925,0,-4.3273E-05,0.102833,0.127189,0.135108,0.134875,0.134875,0.135106,0.127184,0.10283,0.102831,0.127185,0.135105,0.134877,0.134876,0.135105,0.127189,0.102833,8.3671E-12,0,1,8.36714E-12,0,0,0,0,0
"Risk Neutral CM 0.25 TIME 1 FSM 1","4.535E-08","0.9583","586","Settles",4E-11,0,1,0.518865,1,1,1,1,0.115492,4.65092,2.12564,0.862633,0.102059,0.120645,0.132734,0.126843,0.116705,0.125479,0.138674,0.13686,1,1,0.292978,0.387626,,,1,,,,,0,0,0,,9.2653,9.58468,18.85,1.15002,9.2653,9.58468,0.15,0.246401,0.150475,0.396877,0.138131,0.108096,0.884529,1.03453,2.12564E-05,0.884508,0.244673,0.639835,0,1,0.340302,0,0,0,0.278101,0,1.06608,0.0523292,0.063175,0.0644909,0.233577,0.158061,0.0772092,0.210301,0.140857,0.127009,0.181203,0.155537,0.0996536,0.129378,0.155969,0.0544556,0.0967953,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 TIME 1 FSM 1","4.535E-08","0.9583","586","Tried",1.7E-5,0,1,0.545933,1,1,1,1,0.115291,4.86746,2.06437,0.894304,0.0552102,0.0994218,0.13886,0.147737,0.139201,0.147962,0.150757,0.12085,1,1,0.573745,0.0625005,,,0,,,,,0,0,1,0.22224,9.10558,9.7444,18.85,1.15002,9.10558,9.7444,0.15,0.129863,0.24967,0.379533,0.130485,0.287121,0.88473,1.03473,2.06437E-05,0.884709,0.299784,0.584925,0,0,,0,0,0,0.342818,0,2.61994,1.3564E-07,1.65412E-07,1.69692E-07,0.19664,0.196744,0.102983,0.304705,0.198928,0.138409,0.2345,0.18981,0.0803299,0.147273,0.209678,2.8164E-07,1.18183E-07,1,1,0,0,0,0,0,0.77776,0.22224
"Risk Neutral CM 0.25 TIME 1 FSM 1","4.535E-08","0.9583","586","PWins",3.7E-6,0,1,0.649792,1,1,1,1,0.115741,5.69834,2.07204,0.981802,0.00522494,0.027854,0.0895417,0.160057,0.170405,0.156992,0.184827,0.205098,1,1,0.619131,0.0625012,,,0,,,,,0,0,1,1,10,8.84998,18.85,1.15002,10,8.84998,0.15,0.584337,0,0.584337,0.587138,0,0.88428,1.03428,2.07204E-05,0.884259,0.49681,0.387449,0,0,,0,0,0,0.565663,0,2.76211,1.01484E-07,1.76301E-07,2.64288E-07,0.133099,0.179161,0.1332,0.308449,0.24609,0.0984796,0.259709,0.211569,0.0531794,0.13454,0.242522,8.76339E-07,3.14254E-07,1,1,0,0,0,0,0,0,1
