"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 RC 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.044E-08","0.5377","1115","All",1,0.999917,8.28688E-05,0.500001,8.2869E-5,8.28688E-05,1,8.28688E-05,9.99927E-06,4.5,2.76998,0.772656,0.125,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.217003,0.0625,,,5.71369E-05,,,,,0,0,2.573E-5,0.156593,9.99992,9.99996,19.9999,0.000118785,9.99992,9.99996,8.21597E-06,1.0541E-5,3.0943E-6,1.36355E-5,3.62387E-06,3.1443E-06,0.000100569,0.000108785,2.76998E-05,7.28696E-05,3.96857E-06,6.8901E-05,0,5.71369E-5,0.0625,0,0,0,0.0544238,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,8.28688E-5,8.28688E-05,0.999917,0,5.71369E-05,0,0,2.17025E-5,4.0294E-6
"Risk Neutral CM 0.25 RC 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.044E-08","0.5377","1115","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,2.77,0.772656,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.77E-05,10,9.99997,0,0,0,0,0,0,2.77E-05,2.77E-05,2.77E-05,0,0,0,0,0,,0,0,0,,0,-6.68492E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127184,0.135104,0.134876,0.134876,0.135108,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 RC 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.044E-08","0.5377","1115","DisputeArises",8.3E-5,0,1,0.460373,1,1,1,1,0.120664,4.18299,2.57357,0.761299,0.158844,0.146182,0.134097,0.123493,0.113883,0.107628,0.106654,0.109219,1,1,0.217003,0.0625,,,0.689486,,,,,0,0,0.310514,0.156593,9.05034,9.85049,18.9008,1.09917,9.05034,9.85049,0.0991443,0.127204,0.0373396,0.164543,0.0437302,0.037943,0.879362,0.978506,2.57357E-05,0.879336,0.0478897,0.831446,0,0.689486,0.0625,0,0,0,0.0544238,0,0.080662,0.121972,0.147054,0.149705,0.14035,0.129956,0.120731,0.107079,0.0831527,0.127586,0.156885,0.152698,0.136476,0.131148,0.112915,0.102046,0.0802464,1,1,0,0,0.689486,0,0,0.261889,0.0486242
"Risk Neutral CM 0.25 RC 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.044E-08","0.5377","1115","PFiles",8.3E-5,0,1,0.460373,1,1,1,1,0.120664,4.18299,2.57357,0.761299,0.158844,0.146182,0.134097,0.123493,0.113883,0.107628,0.106654,0.109219,1,1,0.217003,0.0625,,,0.689486,,,,,0,0,0.310514,0.156593,9.05034,9.85049,18.9008,1.09917,9.05034,9.85049,0.0991443,0.127204,0.0373396,0.164543,0.0437302,0.037943,0.879362,0.978506,2.57357E-05,0.879336,0.0478897,0.831446,0,0.689486,0.0625,0,0,0,0.0544238,0,0.080662,0.121972,0.147054,0.149705,0.14035,0.129956,0.120731,0.107079,0.0831527,0.127586,0.156885,0.152698,0.136476,0.131148,0.112915,0.102046,0.0802464,1,1,0,0,0.689486,0,0,0.261889,0.0486242
"Risk Neutral CM 0.25 RC 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.044E-08","0.5377","1115","DAnswers",8.3E-5,0,1,0.460373,1,1,1,1,0.120664,4.18299,2.57357,0.761299,0.158844,0.146182,0.134097,0.123493,0.113883,0.107628,0.106654,0.109219,1,1,0.217003,0.0625,,,0.689486,,,,,0,0,0.310514,0.156593,9.05034,9.85049,18.9008,1.09917,9.05034,9.85049,0.0991443,0.127204,0.0373396,0.164543,0.0437302,0.037943,0.879362,0.978506,2.57357E-05,0.879336,0.0478897,0.831446,0,0.689486,0.0625,0,0,0,0.0544238,0,0.080662,0.121972,0.147054,0.149705,0.14035,0.129956,0.120731,0.107079,0.0831527,0.127586,0.156885,0.152698,0.136476,0.131148,0.112915,0.102046,0.0802464,1,1,0,0,0.689486,0,0,0.261889,0.0486242
"Risk Neutral CM 0.25 RC 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.044E-08","0.5377","1115","Litigated",8.3E-5,0,1,0.460373,1,1,1,1,0.120664,4.18299,2.57357,0.761299,0.158844,0.146182,0.134097,0.123493,0.113883,0.107628,0.106654,0.109219,1,1,0.217003,0.0625,,,0.689486,,,,,0,0,0.310514,0.156593,9.05034,9.85049,18.9008,1.09917,9.05034,9.85049,0.0991443,0.127204,0.0373396,0.164543,0.0437302,0.037943,0.879362,0.978506,2.57357E-05,0.879336,0.0478897,0.831446,0,0.689486,0.0625,0,0,0,0.0544238,0,0.080662,0.121972,0.147054,0.149705,0.14035,0.129956,0.120731,0.107079,0.0831527,0.127586,0.156885,0.152698,0.136476,0.131148,0.112915,0.102046,0.0802464,1,1,0,0,0.689486,0,0,0.261889,0.0486242
"Risk Neutral CM 0.25 RC 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.044E-08","0.5377","1115","Not Litigated",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,2.77,0.772656,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.77E-05,10,9.99997,0,0,0,0,0,0,2.77E-05,2.77E-05,2.77E-05,0,0,0,0,0,,0,0,0,,0,-6.68492E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127184,0.135104,0.134876,0.134876,0.135108,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 RC 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.044E-08","0.5377","1115","Settles",5.7E-5,0,1,0.471994,1,1,1,1,0.125117,4.27595,2.86745,0.735729,0.180102,0.144809,0.117768,0.101261,0.0932452,0.100093,0.120672,0.14205,1,1,0.0625,0.0625,,,1,,,,,0,0,0,,9.025,9.88747,18.9125,1.08753,9.025,9.88747,0.0875,0.111857,0.00557,0.117427,0.0125839,0.00543071,0.874911,0.962411,2.86745E-05,0.874883,0.00503572,0.869847,0,1,0.0625,0,0,0,0.00571278,0,-0.817074,0.176903,0.21328,0.128336,0.108828,0.0917676,0.0899542,0.101083,0.0898476,0.10543,0.110569,0.128711,0.132299,0.0948352,0.163767,0.148003,0.116386,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 RC 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.044E-08","0.5377","1115","Tried",2.6E-5,0,1,0.434569,1,1,1,1,0.110775,3.97655,1.92102,0.818078,0.111641,0.149229,0.170356,0.172859,0.15971,0.124358,0.075527,0.0363201,1,1,0.560072,0.0625,,,0,,,,,0,0,1,0.156593,9.10659,9.76839,18.875,1.12502,9.10659,9.76839,0.125,0.16128,0.107883,0.269163,0.11289,0.110136,0.889244,1.01424,1.92102E-05,0.889225,0.143046,0.746179,0,0,,0,0,0,0.162585,0,2.07406,0,0,0.197153,0.210344,0.214753,0.18907,0.120394,0.0682868,0.176784,0.259727,0.20596,0.14575,0.211778,0,0,0,1,1,0,0,0,0,0,0.843407,0.156593
"Risk Neutral CM 0.25 RC 0.5 FSM 0 DM 1 LT 1 UPC 1E-05","1.044E-08","0.5377","1115","PWins",4E-06,0,1,0.564035,1,1,1,1,0.110321,5.01228,1.8452,0.938627,0.0138127,0.0542979,0.135487,0.203492,0.201165,0.168153,0.134038,0.089554,1,1,0.610013,0.0625,,,0,,,,,0,0,1,1,9.95,8.92498,18.875,1.12502,9.95,8.92498,0.125,0.67376,0.020062,0.693822,0.694199,0.0010031,0.889697,1.0147,1.8452E-05,0.889679,0.354764,0.534915,0,0,,0,0,0,0.40124,0,2.54394,0,0,0.124295,0.182138,0.201824,0.207509,0.167856,0.116378,0.133175,0.317415,0.25362,0.0901293,0.20566,0,0,0,1,1,0,0,0,0,0,0,1
