Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000002011,0,0,0,0.0125,0.025,0.05,0,0.0875
0.000018752,0,0,1,0.0125,0.025,0.05,0,1.0875
0.000001362,0,1,0,0.0125,0.025,0.05,0,1.0875
0.000000289,0,0,0,0.0125,0.025,0.05,0.0375,0.125
0.000001499,0,0,1,0.0125,0.025,0.05,0.0375,1.125
0.000001389,0,1,0,0.0125,0.025,0.05,0.0375,1.125
0.229992663,0,0,0,0,0,0,0,0
0.451815112,3E-05,0,0,0,0,0,0,3E-05
0.000023325,3E-05,0,1,0,0,0,0,1.00003
0.000000658,3E-05,1,0,0,0,0,0,1.00003
0.000000770,3E-05,0,0,0.0125,0.025,0.05,0,0.08753
0.000003528,3E-05,0,1,0.0125,0.025,0.05,0,1.08753
0.000001736,3E-05,1,0,0.0125,0.025,0.05,0,1.08753
0.000000567,3E-05,0,0,0.0125,0.025,0.05,0.0375,0.12503
0.000002167,3E-05,0,1,0.0125,0.025,0.05,0.0375,1.12503
0.000001644,3E-05,1,0,0.0125,0.025,0.05,0.0375,1.12503
0.318114501,4E-05,0,0,0,0,0,0,4E-05
0.000018028,4E-05,0,1,0,0,0,0,1.00004
