Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000000170,0,0,0,0.2,0.1,0.2,0,0.5
0.000001081,0,0,1,0.2,0.1,0.2,0,1.5
0.000000622,0,1,0,0.2,0.1,0.2,0,1.5
0.000000118,0,0,0,0.2,0.1,0.2,0.3,0.8
0.000000418,0,0,1,0.2,0.1,0.2,0.3,1.8
0.000000767,0,1,0,0.2,0.1,0.2,0.3,1.8
0.229994736,0,0,0,0,0,0,0,0
0.000018752,0,0,1,0,0,0,0,1
0.000001362,0,1,0,0,0,0,0,1
0.000000170,2E-05,0,0,0.2,0.1,0.2,0,0.50002
0.000000471,2E-05,0,1,0.2,0.1,0.2,0,1.50002
0.000000848,2E-05,1,0,0.2,0.1,0.2,0,1.50002
0.000000078,2E-05,0,0,0.2,0.1,0.2,0.3,0.80002
0.000000343,2E-05,0,1,0.2,0.1,0.2,0.3,1.80002
0.000000268,2E-05,1,0,0.2,0.1,0.2,0.3,1.80002
0.269959525,2E-05,0,0,0,0,0,0,2E-05
0.000018908,2E-05,0,1,0,0,0,0,1.00002
0.000001462,2E-05,1,0,0,0,0,0,1.00002
0.499966277,3E-05,0,0,0,0,0,0,3E-05
0.000017194,3E-05,0,1,0,0,0,0,1.00003
0.000016429,3E-05,1,0,0,0,0,0,1.00003
