"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 WA 0.0001 DM 0.5","1.386E-08","0.8737","339","All",1,0.999806,0.000194229,0.5,0.0001942,3.88614E-11,1,0.000194229,9.99906E-05,4.5,0.46796,1.02007,0.125,0.125,0.125,0.125,0.125,0.124999,0.125,0.125001,1,1,0.498843,0.388573,,,2.74692E-11,,,,,6.64455E-12,3.55503E-12,1.19E-12,0.632413,9.99983,9.9999,19.9997,0.000276601,1000,1000,7.76918E-05,4.0108E-5,0.0001026,0.00014272,2.00543E-05,9.235E-05,9.89186E-05,0.00017661,4.6798E-06,9.42388E-05,5.43594E-05,3.98794E-05,0,2.7469E-11,0.230957,6.64455E-12,3.55503E-12,1.13743E-17,0.586999,0,-4.17996E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00019423,3.88614E-11,0.999806,0.000194229,2.74692E-11,6.64455E-12,3.55503E-12,4.3839E-13,7.542E-13
"MODRA CM 4 WA 0.0001 DM 0.5","1.386E-08","0.8737","339","NoDispute",0.9998,1,0,0.500002,0,0,1,0,0,4.50001,0.467965,1.02007,0.124999,0.124999,0.124999,0.125,0.125,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,10,20,4.67985E-06,1000,1000,0,0,0,0,0,0,4.67985E-06,4.67985E-06,4.67985E-06,0,0,0,0,0,,0,0,0,,0,-5.2862E-06,0.102831,0.127186,0.135105,0.134876,0.134876,0.135106,0.127188,0.102832,0.102831,0.127186,0.135105,0.134875,0.134875,0.135107,0.127188,0.102833,0,0,1,0,0,0,0,0,0
"MODRA CM 4 WA 0.0001 DM 0.5","1.386E-08","0.8737","339","DisputeArises",0.0002,0,1,0.490648,1,2.0008E-07,1,1,0.514807,4.42519,0.438974,1.0148,0.131134,0.128404,0.128551,0.128223,0.124071,0.119753,0.119085,0.120779,1,1,0.498843,0.388573,,,1.41427E-07,,,,,3.42098E-08,1.83033E-08,6.14E-09,0.632413,9.1,9.5,18.6,1.4,999.058,999.679,0.4,0.206501,0.528299,0.7348,0.10325,0.475469,0.485198,0.885198,4.38974E-06,0.485193,0.279872,0.205321,0,1.41427E-7,0.230957,3.42098E-08,1.83033E-08,5.8561E-14,0.586999,0,0.027211,0.105706,0.130485,0.137993,0.136553,0.134699,0.132783,0.123214,0.098567,0.105881,0.130959,0.139113,0.138876,0.138876,0.130876,0.122742,0.0926757,1,2.0008E-07,2.0008E-07,1,1.41427E-07,3.42098E-08,1.83033E-08,2.25706E-9,3.8831E-9
"MODRA CM 4 WA 0.0001 DM 0.5","1.386E-08","0.8737","339","PFiles",0.0002,0,1,0.490648,1,2.0008E-07,1,1,0.514807,4.42519,0.438974,1.0148,0.131134,0.128404,0.128551,0.128223,0.124071,0.119753,0.119085,0.120779,1,1,0.498843,0.388573,,,1.41427E-07,,,,,3.42098E-08,1.83033E-08,6.14E-09,0.632413,9.1,9.5,18.6,1.4,999.058,999.679,0.4,0.206501,0.528299,0.7348,0.10325,0.475469,0.485198,0.885198,4.38974E-06,0.485193,0.279872,0.205321,0,1.41427E-7,0.230957,3.42098E-08,1.83033E-08,5.8561E-14,0.586999,0,0.027211,0.105706,0.130485,0.137993,0.136553,0.134699,0.132783,0.123214,0.098567,0.105881,0.130959,0.139113,0.138876,0.138876,0.130876,0.122742,0.0926757,1,2.0008E-07,0,1,1.41427E-07,3.42098E-08,1.83033E-08,2.25706E-9,3.8831E-9
"MODRA CM 4 WA 0.0001 DM 0.5","1.386E-08","0.8737","339","DAnswers",4E-11,0,1,0.490648,1,1,1,1,0.514807,4.42519,0.438974,1.0148,0.131134,0.128404,0.128551,0.128223,0.124071,0.119753,0.119085,0.120779,1,1,0.498843,0.388573,,,0.706851,,,,,0.170981,0.0914797,0.030689,0.632413,8.40642,8.96902,17.3754,2.62456,995.252,998.552,1.62455,0.469987,0.881777,1.35176,0.368753,1.35041,0.485198,2.10975,4.38974E-06,0.485193,0.279872,0.205321,0,0.706851,0.230957,0.170981,0.0914797,2.92688E-07,0.586999,0,0.027211,0.105706,0.130485,0.137993,0.136553,0.134699,0.132783,0.123214,0.098567,0.105881,0.130959,0.139113,0.138876,0.138876,0.130876,0.122742,0.0926757,1,1,0,0,0.706851,0.170981,0.0914797,0.0112808,0.019408
"MODRA CM 4 WA 0.0001 DM 0.5","1.386E-08","0.8737","339","Litigated",4E-11,0,1,0.490648,1,1,1,1,0.514807,4.42519,0.438974,1.0148,0.131134,0.128404,0.128551,0.128223,0.124071,0.119753,0.119085,0.120779,1,1,0.498843,0.388573,,,0.706851,,,,,0.170981,0.0914797,0.030689,0.632413,8.40642,8.96902,17.3754,2.62456,995.252,998.552,1.62455,0.469987,0.881777,1.35176,0.368753,1.35041,0.485198,2.10975,4.38974E-06,0.485193,0.279872,0.205321,0,0.706851,0.230957,0.170981,0.0914797,2.92688E-07,0.586999,0,0.027211,0.105706,0.130485,0.137993,0.136553,0.134699,0.132783,0.123214,0.098567,0.105881,0.130959,0.139113,0.138876,0.138876,0.130876,0.122742,0.0926757,1,1,0,0,0.706851,0.170981,0.0914797,0.0112808,0.019408
"MODRA CM 4 WA 0.0001 DM 0.5","1.386E-08","0.8737","339","Not Litigated",1,0.999806,0.000194229,0.5,0.0001942,0,1,0.000194229,9.99905E-05,4.5,0.46796,1.02007,0.125,0.125,0.125,0.125,0.125,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99983,9.9999,19.9997,0.000276601,1000,1000,7.76917E-05,4.0108E-5,0.0001026,0.00014272,2.00542E-05,9.235E-05,9.89185E-05,0.00017661,4.6798E-06,9.42387E-05,5.43594E-05,3.98794E-05,0,0,,0,0,0,0.586999,0,-1.06126E-12,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00019423,0,0.999806,0.000194229,0,0,0,0,0
"MODRA CM 4 WA 0.0001 DM 0.5","1.386E-08","0.8737","339","Settles",3E-11,0,1,0.518203,1,1,1,1,0.520958,4.64562,0.621026,1.01782,0.139137,0.114631,0.104264,0.110076,0.115969,0.122495,0.138112,0.155316,1,1,0.448557,0.475272,,,1,,,,,0,0,0,,8.43096,8.96904,17.4,2.60001,995.578,998.609,1.6,0.448128,0.906272,1.3544,0.359456,1.37388,0.479048,2.07905,6.21026E-06,0.479042,0.284077,0.194965,0,1,0.230957,0,0,0,0.606723,0,-0.795312,0.149544,0.184601,0.0827495,0.11283,0.1415,0.103517,0.118509,0.106751,0.0850099,0.0894301,0.0721238,0.14741,0.116116,0.185154,0.173646,0.13111,1,1,0,0,1,0,0,0,0
"MODRA CM 4 WA 0.0001 DM 0.5","1.386E-08","0.8737","339","Tried",1E-12,0,1,0.495536,1,1,1,1,0.499975,4.46429,7.60002E-07,1.08151,0.0124255,0.0529722,0.159695,0.287796,0.278912,0.147926,0.0486507,0.0116225,1,1,0.87471,0.0625006,,,0,,,,,0,0,1,0.632413,8.11621,8.48379,16.6,3.4,991.065,995.895,2.4,0.7413,1.42413,2.16543,0.710799,2.65595,0.500025,2.90002,7.60002E-12,0.500025,0.387473,0.112552,0,0,,0,0,0,0.774907,0,4.02633,8.61998E-13,9.57432E-13,8.45708E-13,3.54596E-07,2.15669E-07,0.602423,0.28199,0.115587,0.115587,0.28199,0.602423,2.94257E-13,4.82306E-13,1.03466E-12,1.04599E-12,8.46237E-13,1,1,0,0,0,0,0,0.367587,0.632413
"MODRA CM 4 WA 0.0001 DM 0.5","1.386E-08","0.8737","339","PWins",8E-13,0,1,0.550736,1,1,1,1,0.499975,4.90589,3.46876E-07,1.13116,0.00189746,0.0171951,0.0933061,0.257443,0.331114,0.207132,0.0737535,0.0181589,1,1,0.875128,0.0625005,,,0,,,,,0,0,1,1,8.3,8.3,16.6,3.4,994.596,994.596,2.4,0.812399,1.50892,2.32132,0.759757,2.56517,0.500025,2.90002,3.46876E-12,0.500025,0.443823,0.0562022,0,0,,0,0,0,0.887601,0,4.02093,1.7293E-13,2.56775E-13,3.18257E-13,1.09316E-07,9.84768E-08,0.548055,0.307833,0.144112,0.0837276,0.257415,0.658857,3.67973E-13,6.61437E-13,1.24905E-12,1.40121E-12,9.89935E-13,1,1,0,0,0,0,0,0,1
