Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000022591,1E-05,0,0,0.025,0.025,0.05,0,0.10001
0.000020313,1E-05,0,1,0.025,0.025,0.05,0,1.10001
0.000000594,1E-05,1,0,0.025,0.025,0.05,0,1.10001
0.000000409,1E-05,0,0,0.025,0.025,0.05,0.05,0.15001
0.000000182,1E-05,0,1,0.025,0.025,0.05,0.05,1.15001
0.000000184,1E-05,1,0,0.025,0.025,0.05,0.05,1.15001
0.229973753,1E-05,0,0,0,0,0,0,1E-05
0.000013269,2E-05,0,0,0.025,0.025,0.05,0,0.10002
0.000010587,2E-05,0,1,0.025,0.025,0.05,0,1.10002
0.000000528,2E-05,1,0,0.025,0.025,0.05,0,1.10002
0.000000241,2E-05,0,0,0.025,0.025,0.05,0.05,0.15002
0.000000079,2E-05,0,1,0.025,0.025,0.05,0.05,1.15002
0.000000109,2E-05,1,0,0.025,0.025,0.05,0.05,1.15002
0.135081177,2E-05,0,0,0,0,0,0,2E-05
0.000063483,3E-05,0,0,0.025,0.025,0.05,0,0.10003
0.000026481,3E-05,0,1,0.025,0.025,0.05,0,1.10003
0.000017102,3E-05,1,0,0.025,0.025,0.05,0,1.10003
0.634768918,3E-05,0,0,0,0,0,0,3E-05
