Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000016925,3E-05,0,0,0.025,0.025,0.05,0,0.10003
0.000013670,3E-05,0,1,0.025,0.025,0.05,0,1.10003
0.000000079,3E-05,1,0,0.025,0.025,0.05,0,1.10003
0.000006075,3E-05,0,0,0.025,0.025,0.05,0.05,0.15003
0.000004111,3E-05,0,1,0.025,0.025,0.05,0.05,1.15003
0.000000569,3E-05,1,0,0.025,0.025,0.05,0.05,1.15003
0.229976599,3E-05,0,0,0,0,0,0,3E-05
0.000010049,4E-05,0,0,0.025,0.025,0.05,0,0.10004
0.000007351,4E-05,0,1,0.025,0.025,0.05,0,1.10004
0.000003460,4E-05,0,0,0.025,0.025,0.05,0.05,0.15004
0.000002138,4E-05,0,1,0.025,0.025,0.05,0.05,1.15004
0.000000128,4E-05,1,0,0.025,0.025,0.05,0.05,1.15004
0.135082856,4E-05,0,0,0,0,0,0,4E-05
0.000063484,5E-05,0,0,0.025,0.025,0.05,0,0.10005
0.000027552,5E-05,0,1,0.025,0.025,0.05,0,1.10005
0.000006423,5E-05,1,0,0.025,0.025,0.05,0,1.10005
0.634778530,5E-05,0,0,0,0,0,0,5E-05
