"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 WA 0 FSM 2","4.745E-09","0.4768","465","All",1,0.999924,7.61603E-05,0.500001,7.616E-05,7.61603E-05,1,7.61603E-05,0,4.5,2.40486,0.818458,0.125,0.125,0.125,0.124999,0.125,0.125,0.125,0.125001,1,1,0.0672569,0.0625009,,,7.5606E-05,,,,,1.04314E-10,4.08132E-12,5.541E-7,0.461542,9.99992,9.99997,19.9999,0.000107853,1000,1000,7.64374E-06,6.5892E-6,1.81E-05,2.46889E-5,8.44995E-07,1.79053E-05,0.000100209,0.000107853,2.40488E-05,7.61603E-05,1.84856E-05,5.76748E-05,0,7.5606E-05,0.0625005,1.04314E-10,4.08132E-12,3.09657E-17,0.242719,0,-1.04152E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.61603E-5,7.61603E-05,0.999924,1.52382E-11,7.5606E-05,1.04314E-10,4.08132E-12,2.98384E-7,2.5576E-7
"MODRA CM 0.25 WA 0 FSM 2","4.745E-09","0.4768","465","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,2.40487,0.818459,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.40489E-05,1000,1000,0,0,0,0,0,0,2.40489E-05,2.40489E-05,2.40489E-05,0,0,0,0,0,,0,0,0,,0,-4.2198E-06,0.10283,0.127186,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 WA 0 FSM 2","4.745E-09","0.4768","465","DisputeArises",7.6E-5,0,1,0.468225,1,1,1,1,0,4.2458,2.29293,0.803139,0.155596,0.142813,0.130628,0.120481,0.113043,0.110723,0.112509,0.114207,1,1,0.0672569,0.0625009,,,0.992722,,,,,1.36967E-06,5.35886E-08,0.007276,0.461542,9.01514,9.88448,18.8996,1.10039,998.843,999.947,0.100364,0.086518,0.237652,0.32417,0.011095,0.2351,1.00002,1.10039,2.29293E-05,1,0.242719,0.757281,0,0.992722,0.0625005,1.36967E-06,5.35886E-08,4.06586E-13,0.242719,0,0.0554026,0.119495,0.144058,0.1469,0.138554,0.129929,0.122862,0.1109,0.0873008,0.125324,0.154005,0.14841,0.130789,0.124991,0.120139,0.10959,0.0867518,1,1,2.0008E-07,2.0008E-07,0.992722,1.36967E-06,5.35886E-08,0.00391784,0.0033582
"MODRA CM 0.25 WA 0 FSM 2","4.745E-09","0.4768","465","PFiles",7.6E-5,0,1,0.468225,1,1,1,1,0,4.2458,2.29293,0.803139,0.155596,0.142813,0.130628,0.120481,0.113043,0.110723,0.112509,0.114207,1,1,0.0672569,0.0625009,,,0.992722,,,,,1.36967E-06,5.35886E-08,0.007276,0.461542,9.01514,9.88448,18.8996,1.10039,998.843,999.947,0.100364,0.086518,0.237652,0.32417,0.011095,0.2351,1.00002,1.10039,2.29293E-05,1,0.242719,0.757281,0,0.992722,0.0625005,1.36967E-06,5.35886E-08,4.06586E-13,0.242719,0,0.0554026,0.119495,0.144058,0.1469,0.138554,0.129929,0.122862,0.1109,0.0873008,0.125324,0.154005,0.14841,0.130789,0.124991,0.120139,0.10959,0.0867518,1,1,0,2.0008E-07,0.992722,1.36967E-06,5.35886E-08,0.00391784,0.0033582
"MODRA CM 0.25 WA 0 FSM 2","4.745E-09","0.4768","465","DAnswers",7.6E-5,0,1,0.468225,1,1,1,1,0,4.2458,2.29293,0.803139,0.155596,0.142813,0.130628,0.120481,0.113043,0.110723,0.112509,0.114207,1,1,0.0672569,0.0625009,,,0.992723,,,,,1.36967E-06,5.35886E-08,0.007276,0.461542,9.01514,9.88448,18.8996,1.10039,998.843,999.947,0.100364,0.0865179,0.237653,0.32417,0.0110948,0.2351,1.00002,1.10039,2.29293E-05,1,0.242719,0.757281,0,0.992723,0.0625005,1.36967E-06,5.35886E-08,4.06586E-13,0.242719,0,0.0554026,0.119495,0.144058,0.1469,0.138554,0.129929,0.122862,0.1109,0.0873008,0.125324,0.154005,0.14841,0.130789,0.124991,0.120139,0.10959,0.0867518,1,1,0,0,0.992723,1.36967E-06,5.35886E-08,0.00391784,0.0033582
"MODRA CM 0.25 WA 0 FSM 2","4.745E-09","0.4768","465","Litigated",7.6E-5,0,1,0.468225,1,1,1,1,0,4.2458,2.29293,0.803139,0.155596,0.142813,0.130628,0.120481,0.113043,0.110723,0.112509,0.114207,1,1,0.0672569,0.0625009,,,0.992723,,,,,1.36967E-06,5.35886E-08,0.007276,0.461542,9.01514,9.88448,18.8996,1.10039,998.843,999.947,0.100364,0.0865179,0.237653,0.32417,0.0110948,0.2351,1.00002,1.10039,2.29293E-05,1,0.242719,0.757281,0,0.992723,0.0625005,1.36967E-06,5.35886E-08,4.06586E-13,0.242719,0,0.0554026,0.119495,0.144058,0.1469,0.138554,0.129929,0.122862,0.1109,0.0873008,0.125324,0.154005,0.14841,0.130789,0.124991,0.120139,0.10959,0.0867518,1,1,0,0,0.992723,1.36967E-06,5.35886E-08,0.00391784,0.0033582
"MODRA CM 0.25 WA 0 FSM 2","4.745E-09","0.4768","465","Not Litigated",0.9999,1,3.04786E-11,0.500003,1.524E-11,0,1,3.04786E-11,0,4.50002,2.40487,0.818459,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.40489E-05,1000,1000,3.80983E-13,1.154E-11,3.791E-12,1.5332E-11,1.15404E-11,3.70119E-12,2.40489E-05,2.40489E-05,2.40489E-05,3.04786E-11,7.397749999999998E-12,2.30809E-11,0,0,,0,0,0,0.242719,0,-4.2198E-06,0.10283,0.127186,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,1.5239E-11,0,1,1.52393E-11,0,0,0,0,0
"MODRA CM 0.25 WA 0 FSM 2","4.745E-09","0.4768","465","Settles",7.6E-5,0,1,0.467605,1,1,1,1,0,4.24084,2.29993,0.801761,0.156701,0.14366,0.130816,0.119616,0.111692,0.110005,0.112669,0.114842,1,1,0.0625001,0.0625009,,,1,,,,,0,0,0,,9.0125,9.88748,18.9,1.10002,998.842,999.953,0.1,0.0854296,0.23762,0.32305,0.00961095,0.23465,1.00002,1.10002,2.29993E-05,1,0.240628,0.759372,0,1,0.0625005,0,0,0,0.240628,0,0.0166986,0.120371,0.145114,0.147977,0.13957,0.130882,0.123763,0.108088,0.0842369,0.125004,0.151522,0.147019,0.131748,0.125907,0.121019,0.110393,0.0873876,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 WA 0 FSM 2","4.745E-09","0.4768","465","Tried",5.5E-7,0,1,0.552822,1,1,1,1,0,4.92258,1.33821,0.991133,0.00485144,0.0273479,0.105032,0.238508,0.297324,0.208743,0.0907229,0.0274698,1,1,0.716167,0.0625003,,,0,,,,,0,0,1,0.461542,9.375,9.47498,18.85,1.15001,998.948,999.102,0.15,0.235009,0.242059,0.477068,0.21355,0.296522,1.00001,1.15001,1.33821E-05,1,0.527979,0.472021,0,0,,0,0,0,0.527979,0,5.33609,4.60214E-12,5.54815E-12,5.65761E-12,2.86933E-06,2.00053E-06,3.0246E-06,0.494666,0.505326,0.169003,0.492776,0.338217,3.04727E-06,3.53395E-07,4.74653E-12,4.37834E-12,3.3411E-12,1,1,0,0,0,0,0,0.538458,0.461542
"MODRA CM 0.25 WA 0 FSM 2","4.745E-09","0.4768","465","PWins",2.6E-7,0,1,0.619034,1,1,1,1,0,5.45228,1.33916,1.04638,0.000330101,0.00500517,0.0421687,0.16924,0.308121,0.278633,0.14595,0.0505522,1,1,0.72423,0.0625003,,,0,,,,,0,0,1,1,10.075,8.77499,18.85,1.15001,1000.03,998.024,0.15,0.509182,0,0.509182,0.462689,0,1.00001,1.15001,1.33916E-05,1,0.715818,0.284182,0,0,,0,0,0,0.715818,0,5.3358,3.39242E-13,5.67231E-13,8.35635E-13,2.47085E-06,2.27908E-06,3.00147E-06,0.462475,0.537518,0.137477,0.523346,0.339172,4.3784E-06,5.04439E-07,1.84583E-12,2.43078E-12,2.13185E-12,1,1,0,0,0,0,0,0,1
