"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 WA 0 LT 0.8","9.504E-08","0.8864","347","All",1,0.999935,6.53246E-05,0.500001,6.747E-11,1.44838E-11,1,6.53246E-05,0,4.5,4,0.651718,0.125,0.125,0.124999,0.125,0.125,0.125,0.125,0.125001,1,1,0.0634015,0.0625011,,,1.44673E-11,,,,,1.88439E-17,1.27695E-14,3.73E-15,0.631404,9.99993,9.99996,19.9999,0.000105325,1000,1000,4.43729E-11,2.17E-11,1.4339E-5,1.43388E-5,2.03662E-11,1.43388E-05,0.000105325,0.000105325,4.00002E-05,6.53246E-05,1.43388E-05,5.09858E-05,0,1.4467E-11,0.0625008,1.88439E-17,1.27695E-14,5.05377E-20,0.219501,0,-1.9237E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.7473E-11,1.44838E-11,1,5.29896E-11,1.44673E-11,1.88439E-17,1.27695E-14,1.3733E-15,2.352E-15
"MODRA CM 4 WA 0 LT 0.8","9.504E-08","0.8864","347","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,4,0.65172,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.00002E-05,1000,1000,0,0,0,0,0,0,4.00002E-05,4.00002E-05,4.00002E-05,0,0,0,0,0,,0,0,0,,0,0,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 4 WA 0 LT 0.8","9.504E-08","0.8864","347","DisputeArises",6.5E-5,0,1,0.467029,1.0329E-6,2.2172E-07,1,1,0,4.23623,4,0.627864,0.156388,0.141509,0.12787,0.120622,0.118391,0.115719,0.111548,0.107953,1,1,0.0634015,0.0625011,,,2.21467E-07,,,,,2.88465E-13,1.95477E-10,5.7E-11,0.631404,9,9.99996,19,1.00004,998.808,1000,6.79267E-07,3.3222E-7,0.219501,0.219501,3.11769E-07,0.219501,1.00004,1.00004,4E-05,1,0.219501,0.780499,0,2.21467E-7,0.0625008,2.88465E-13,1.95477E-10,7.73640E-16,0.219501,0,-2.11397E-14,0.12039,0.144754,0.147329,0.138854,0.130072,0.12256,0.109984,0.0860574,0.12039,0.144754,0.147329,0.138854,0.130072,0.12256,0.109984,0.0860574,1.03289E-6,2.2172E-07,0.999999,8.11174E-07,2.21467E-07,2.88465E-13,1.95477E-10,2.1022E-11,3.601E-11
"MODRA CM 4 WA 0 LT 0.8","9.504E-08","0.8864","347","PFiles",7E-11,0,1,0.532276,1,0.214659,1,1,0,4.75821,1.65733,0.926141,0.108669,0.108933,0.112084,0.119276,0.127213,0.133677,0.140994,0.149154,1,1,0.0634015,0.0625011,,,0.214414,,,,,2.79279E-07,0.000189252,5.522E-5,0.631404,9.31308,9.02927,18.3423,1.65765,998.568,998.877,0.657635,0.321642,0.325664,0.647306,0.301841,0.240409,1.00002,1.65765,1.65733E-05,1,0.655582,0.344418,0,0.214414,0.0625008,2.79279E-07,0.000189252,7.49002E-10,0.655582,0,0.146037,0.0821163,0.100535,0.105202,0.132532,0.160788,0.157256,0.145404,0.116168,0.0896978,0.113905,0.126153,0.132865,0.139848,0.145138,0.139122,0.113272,1,0.214659,0,0.785341,0.214414,2.79279E-07,0.000189252,2.03525E-5,3.4864E-5
"MODRA CM 4 WA 0 LT 0.8","9.504E-08","0.8864","347","DAnswers",1E-11,0,1,0.453317,1,1,1,1,0,4.12654,3.86944,0.631436,0.152785,0.14894,0.143091,0.131572,0.117545,0.107373,0.1012,0.0974939,1,1,0.0634015,0.0625011,,,0.99886,,,,,1.30103E-06,0.000881642,0.000257,0.631404,8.26337,9.13638,17.3998,2.60024,994.165,999.132,1.60021,0.672364,0.38411,1.05647,0.580117,0.666755,1.00004,2.60024,3.86944E-05,1,0.221534,0.778466,0,0.99886,0.0625008,1.30103E-06,0.000881642,3.48927E-09,0.221534,0,0.329737,0.10864,0.130626,0.132949,0.159854,0.155021,0.127387,0.105711,0.0798109,0.143959,0.192908,0.132949,0.125301,0.117377,0.110598,0.0992494,0.0776582,1,1,0,0,0.99886,1.30103E-06,0.000881642,9.4813E-05,0.0001624
"MODRA CM 4 WA 0 LT 0.8","9.504E-08","0.8864","347","Litigated",1E-11,0,1,0.453317,1,1,1,1,0,4.12654,3.86944,0.631436,0.152785,0.14894,0.143091,0.131572,0.117545,0.107373,0.1012,0.0974939,1,1,0.0634015,0.0625011,,,0.99886,,,,,1.30103E-06,0.000881642,0.000257,0.631404,8.26337,9.13638,17.3998,2.60024,994.165,999.132,1.60021,0.672364,0.38411,1.05647,0.580117,0.666755,1.00004,2.60024,3.86944E-05,1,0.221534,0.778466,0,0.99886,0.0625008,1.30103E-06,0.000881642,3.48927E-09,0.221534,0,0.329737,0.10864,0.130626,0.132949,0.159854,0.155021,0.127387,0.105711,0.0798109,0.143959,0.192908,0.132949,0.125301,0.117377,0.110598,0.0992494,0.0776582,1,1,0,0,0.99886,1.30103E-06,0.000881642,9.4813E-05,0.0001624
"MODRA CM 4 WA 0 LT 0.8","9.504E-08","0.8864","347","Not Litigated",1,0.999935,6.53246E-05,0.500001,5.299E-11,0,1,6.53246E-05,0,4.5,4,0.651718,0.125,0.125,0.124999,0.125,0.125,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99996,19.9999,0.000105325,1000,1000,2.11959E-11,1.196E-11,1.4339E-5,1.43388E-5,1.19639E-11,1.43388E-05,0.000105325,0.000105325,4.00002E-05,6.53246E-05,1.43388E-05,5.09858E-05,0,0,,0,0,0,0.219501,0,-4.77775E-12,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,5.299E-11,0,1,5.29896E-11,0,0,0,0,0
"MODRA CM 4 WA 0 LT 0.8","9.504E-08","0.8864","347","Settles",1E-11,0,1,0.453205,1,1,1,1,0,4.12564,3.87157,0.631106,0.152957,0.14909,0.14315,0.131436,0.1173,0.107252,0.10123,0.0975862,1,1,0.0625004,0.0625011,,,1,,,,,0,0,0,,8.2625,9.13746,17.4,2.60004,994.161,999.139,1.6,0.672083,0.383594,1.05568,0.579672,0.666495,1.00004,2.60004,3.87157E-05,1,0.220774,0.779226,0,1,0.0625008,0,0,0,0.220774,0,0.323016,0.108764,0.130775,0.133101,0.160037,0.155197,0.127532,0.105832,0.0787619,0.143865,0.192245,0.133101,0.125444,0.117511,0.110724,0.0993625,0.0777467,1,1,0,0,1,0,0,0,0
"MODRA CM 4 WA 0 LT 0.8","9.504E-08","0.8864","347","Tried",4E-15,0,1,0.49367,1,1,1,1,0,4.44936,2.00023,0.873201,0.00580471,0.0381334,0.154108,0.32036,0.307497,0.137317,0.0321002,0.00468026,1,1,0.853098,0.0625068,,,0,,,,,0,0,1,0.631404,8.4314,8.16858,16.6,3.40002,993.287,989.833,2.4,1.02949,1.19868,2.22817,1.33304,1.95846,1.00002,3.40002,2.00023E-05,1,0.801913,0.198087,0,0,,0,0,0,0.801913,0,6.99848,1.90513E-10,1.85566E-10,2.19492E-05,0.00020092,0.000132735,1.73666E-05,7.83214E-07,0.999626,0.999831,0.000168878,3.05996E-10,1.87353E-10,1.79958E-10,1.65252E-10,1.08122E-10,8.46009E-11,1,1,0,0,0,0,0,0.368596,0.631404
"MODRA CM 4 WA 0 LT 0.8","9.504E-08","0.8864","347","PWins",2E-15,0,1,0.537559,1,1,1,1,0,4.80047,2.00004,0.909762,0.000957739,0.0127599,0.0905996,0.285934,0.363048,0.190983,0.0484194,0.00729848,1,1,0.853166,0.0625047,,,0,,,,,0,0,1,1,8.8,7.79998,16.6,3.40002,998.13,984.989,2.4,1.30433,1.0748,2.37913,1.79473,1.28976,1.00002,3.40002,2.00004E-05,1,0.895668,0.104332,0,0,,0,0,0,0.895668,0,6.99952,6.76275E-12,1.26577E-11,1.25688E-05,4.68989E-05,5.13097E-05,1.2094E-05,8.92066E-07,0.999876,0.999952,4.76966E-05,1.54972E-10,6.15757E-11,9.57589E-11,1.22034E-10,9.17104E-11,8.43373E-11,1,1,0,0,0,0,0,0,1
